utilizable [01/'ju:təlaizəbl/]	[01* ttừ]\n- dùng được
utilization [01/,ju:təlai'zei∫n/]	[01* dtừ]\n- sự dùng, sự sử dụng
utilize [01/'ju:təlaiz/]	[01* ngđtừ]\n- dùng, sử dụng\n- lợi dụng
utilizer	- xem [03utilize] 
utmost [01/'ʌtmoust/]	như [03uttermost]
Utopia [01/ju:'toupiə/]	[01* dtừ]\n- điều không tưởng\n- chính thể không tưởng; x hội không tưởng
Utopian [01/ju:'toupiən/]	[01* ttừ]\n- không tưởng\n[02= utopian socialism] chủ nghĩa x hội không tưởng\n[01* dtừ]\n- người theo chủ nghĩa không tưởng; người không tưởng
Utopianism [01/ju(:) 'toupjənizm/]	[01* dtừ]\n- chủ nghĩa không tưởng
utricle [01/'ju:trikl/]	[01* dtừ]\n- (sinh vật) túi nhỏ (trong c thể) 
utricular [01/ju:'trikjulə/]	[01* ttừ]\n- (sinh vật)(thuộc) túi nhỏ
utter [01/'ʌtə/]	[01* ttừ]\n- hoàn toàn\n[02= an utter darkness] sự tối hoàn toàn, sự tối như mực\n[02= an utter denial] lời từ chối dứt khoát; sự phủ nhận dứt khoát\n[01* ngđtừ]\n- thốt ra, phát ra\n[02= to utter a sigh] thốt ra một tiếng thở dài\n- nói, nói ra, phát biểu, bày tỏ\n[02= to utter a lie] nói láo\n[02= not to utter a word] không nói nửa lời\n[02= to utter one's feelings] phát biểu cm tưởng\n- cho lưu hành, phát hành (bạc gi...) 
utterable [01/'ʌtərəbl/]	[01* ttừ]\n- đọc được, phát âm được\n- có thể phát biểu được, có thể diễn t được
utterance [01/'ʌtərəns/]	[01* dtừ]\n- sự phát biểu, sự bày tỏ\n- cách nói\n[02= clear utterance] cách nói rõ ràng\n- (số nhiều) lời; lời phát biểu
utterer	- xem [03utter] 
utterly [01/'ʌtəli/]	như [03totally]
uttermost [01/'ʌtəmoust/]	[01* ttừ]\n- xa nhất, cuối cùng\n[02= utmost limits] giới hạn cuối cùng\n- hết sức, vô cùng, tột bực, cực điểm\n[02= to make the utmost efforts to] cố gắng hết sức để\n[01* dtừ]\n- mức tối đa, cực điểm\n[02= to the utmost] đến mức tối đa, đến cực điểm\n[02= to do one's utmost] gắng hết sức
utterness [01/'ʌtənis/]	[01* dtừ]\n- tính chất hoàn toàn
U-tube [01/ju:tjub/]	[01* dtừ]\n- ống hình chữ V, ống xi-phông
U-turn [01/'ju:'tə:n/]	[01* dtừ]\n- sự quay 180 o, sự vòng ngược\n[02= u-turns not allowed] không được vòng ngược (biển ở trên đường trong thành phố) 
uucp	- Từ vt của [03UNIX - to - UNIX Copy Protocol], một giao thức truyền thông trước đây dùng cho các máy tính chạy với UNIX, nó đòi hỏi phải có một máy gọi máy kia qua điện thoại
uudecode	- Một chương trình dùng để biến đổi một tệp do chương trình uuencode tạo ra thành tệp nhị phân sao cho bạn có thể phục hồi lại tệp này trong chương trình đã được dùng để tạo ra nó
uuencode	- Một trình tiện ích được sử dụng cùng với UNIX và mạng Internet, nhằm chuyển đổi mã của một tệp nhị phân (bằng một chương trình như Word Perfect chẳng hạn) thành ra các ký tự ASCII, cho nên tệp đó có thể chuyển qua một dịch vụ chỉ tiếp nhận các tệp văn bản
uv [01/,ju:'vi:/]	[01* (vt)]\n- cực tím, tử ngoại ([03ultraviolet] ) 
uva [01/'ju:və/]	- dtừ s/n [03uvae]\n[01* dtừ]\n- nho, nho chùm
uvae [01/'ju:vi/]	[01* dtừ] s/n [03uva]
uvula [01/'ju:vjulə/]	[01* dtừ] s/n [03uvulae]\n- (giải phẫu) lưỡi gà
uvulae [01/'ju:vjuli:/]	như [03uvula]
uvular [01/'ju:vjulə/]	[01* ttừ]\n- (thuộc) lưỡi gà
uxoricide [01/ʌk'sɔ:risaid/]	[01* dtừ]\n- tội giết vợ\n- kẻ giết vợ
uxorious [01/ʌk'sɔ:riəs/]	[01* ttừ]\n- (tục) rất mực yêu vợ, nhất vợ nhì trời\n- bị vợ xỏ mũi
uxoriously	- xem [03uxorious] 
uxoriousness [01/ʌk'sɔ:riəsnis/]	[01* dtừ]\n- (tục) tính rất mực yêu vợ\n- tình trạng bị vợ xỏ mũi
v [01/vi:/]	[01* dtừ] s/n [02Vs, V's]\n- V, v\n- 5 (chữ số La mã)\n- vật hình V
vac [01/væk/]	[01* dtừ]\n- (tục)(vt) của [03vacation]\n- (vt) của [03vacuum_cleaner] 
vaca [01/'va:kə/]	[01* dtừ]\n- Bò cái
vacancy [01/'veikənsi/]	[01* dtừ]\n- tình trạng trống rỗng\n- khoảng không, khoảng trống\n[02= a vacancy on a page] một khoảng trống trên trang giấy\n- tình trạng bỏ không (nhà ở)\n- chỗ khuyết; chỗ trống\n[02= a vacancy in the government] một chỗ khuyết trong chính phủ\n- sự nhàn rỗi, sự rãnh rỗi\n- sự trống rỗng tâm hồn; tình trạng lơ đãng, tình trạng ngây dại
vacant [01/'veikənt/]	[01* ttừ]\n- trống, rỗng\n[02= a vacant space] khoảng trống\n- bỏ không, trống\n[02= a vacant room] căn phòng bỏ không\n[02= a vacant seat] ghế trống\n- khuyết, thiếu\n[02= to apply for a vacant post] xin vào làm ở chỗ khuyết\n- rảnh rỗi (thì giờ)\n[02= vacant hours] những giờ rảnh rỗi\n- trống rỗng (óc) ; lơ đãng, ngây dại (cái nhìn)\n[02= the vacant mind] đầu óc trống rỗng\n[02= a vacant stare] cái nhìn lỡ đãng
vacant possession	[01* dtừ]\n-(dùng trong quảng cáo nhà) tình trạng chưa có người ở và có thể giao nhà ngay cho người mua; nhà bỏ không và cần bán
