blamefully	như [03blamefulness]
blamefulness	- xem [03blameful] 
blameless [01/'bleimlis/]	[01* ttừ]\n- không thể khiển trách được; vô tội, không có lỗi
blamelessly [01/'bleimlisli/]	[01* phtừ]\n- không thể chê được
blamelessness	- xem [03blameless] 
blamer	- xem [03blame] 
blameworthiness	- xem [03blameworthy] 
blameworthy [01/'bleimwə:đi/]	như [03blamable]
blanc de blanc [01/,blɔηdə'blɔη/]	[01* dtừ]\n-(thường) viết hoa B & B một loại rượu vang trắng, làm bằng nước ép của nho trắng) 
blanch [01/blɑ:nt∫/]	[01* đtừ]\n- làm trắng, làm bạc đi\n- làm tái nhợt; tái nhợt đi\n[02= to blanch from fear] sợ tái mặt
blancher	- xem [03blanch] 
blanc-mange [01/blə'mɒnʒ/]	[01* dtừ]\n- bánh flăng
bland [01/blænd/]	[01* ttừ]\n- có cử chỉ dịu dàng, lễ phép\n- mỉa mai\n- ôn hoà (khí hậu)\n- ngọt dịu, thơm dịu, thơm tho (rượu, đồ ăn) 
blandish [01/'blændi∫/]	[01* ngđtừ]\n- xu nịnh, bợ đỡ, tán tỉnh, lấy lòng
blandisher	- xem [03blandish] 
blandishment [01/'blændi∫mənt/]	[01* dtừ]\n- sự xu nịnh\n- ((thường) số nhiều) lời nịnh hót, lời tán tỉnh lấy lòng
blandly [01/'blændli/]	[01* phtừ]\n- dịu dàng, ôn tồn
blandness [01/'blændnis/]	[01* dtừ]\n- sự dịu dàng lễ phép\n- sự mỉa mai\n- sự ôn hoà (khí hậu)\n- sự ngọt dịu, sự thơm dịu, sự thơm tho
blank	[01* ttừ]\n- để trống, để trắng (tờ giấy...)\n[02= a blank page] một trang để trắng\n[02= a blank cheque] một tờ séc để trống\n[02= a blank space] một quãng trống\n- trống rỗng; ngây ra, không có thần (cái nhìn...)\n[02= a blank existence] một cuộc đời trống rỗng\n[02= a blank look] cái nhìn ngây dại\n[02= his money is completely blank on the subject] về vấn đề đó anh ta không nhớ được tí gì\n- không nạp chì (đạn) ; giả\n[02= blank cartridge] đạn không nạp chì\n[02= blank window] cửa sổ giả\n- bối rối, lúng túng\n[02= to look blank] có vẻ bối rối, lúng túng\n- hoàn toàn tuyệt đối\n[02= blank silence] sự yên lặng hoàn toàn\n[02= blank despair] nỗi thất vọng hoàn toàn\n- không vần (thơ)\n[02= blank verse] thơ không vần\n[01* dtừ]\n- chỗ để trống, khoảng trống, gạch để trống\n[02= to fill the blank] điền vào những chỗ để trống\n- sự trống rỗng\n[02= his mind is a complete blank] đầu óc anh ta trống rỗng\n- nỗi trống trải\n[02= what a blank such a life is!] cuộc sống như vậy thật trống rỗng quá!\n- đạn không nạp chì ((cũng) [03blank cartridge] )\n- vé xổ số không trúng\n[02= to draw a blank] không trúng số; ((bóng)) thất bại\n- phôi tiền (mảnh kim loại để rập thành đồng tiền)\n- (Mỹ) mẫu in có chừa chỗ trống\n- (Mỹ) điểm giữa bia tập bắn; đích\n[02= to fire points blank] chĩa súng thẳng sát đích mà bắn, dí súng tận nơi mà bắn\n[01* ngđtừ]\n- (Mỹ),(thể thao) thắng tuyệt đối, thắng hoàn toàn (đội bạn) 
blank address	- (kỹ) địa chỉ trống
blank card	- (kỹ) phiếu trắng
blank cartridge	- đạn không nạp chì
blank cell	- (kỹ) ô trống
blank character	- (kỹ) ký tự trống = [03space character] 
blank cheque [01/'blæηk't∫ek/]	[01* dtừ]\n- tờ séc có chữ ký với số tiền phải trả được để trống, để cho người nhận tiền điền vào; sự tự do hành động\n[02= The architect was given/presented with a blank cheque to design a new city centre] Viên kiến trúc sư được trao toàn quyền thiết kế trung tầm đô thị mới
blank disk	- (kỹ) đĩa trống
blank endorsement [01/'blæηk'in'dɔ:smənt/]	[01* dtừ]\n- tờ ngần phiếu không ghi tên người trả (người cầm tấm phiếu có thể tiện lợi sử dụng) 
blank line	- (kỹ) dòng trống, hàng trống
blank record	- (kỹ) bản ghi trống
blank tape	- (kỹ) băng trống
blank verse [01/'blæηk'və:s/]	[01* dtừ]\n- thơ không vần
