victimhood	- xem [03victim] 
victimisation [01/,viktimai'zei∫n/]	[01* dtừ]\n- sự khiển trách, sự trừng phạt (ai một cách không công bằng về những hành động do người khác tiến hành)\n- sự bắt nạt, sự trù dập; sự trêu chọc\n- sự biến thành nạn nhân, sự biến thành vật hy sinh\n- sự ngược đãi, sự đối xử tàn nhẫn\n- sự cô lập\n- sự lừa bịp
victimise [01/'viktimaiz/]	như [03victimize]
victimizable [01/,viktimai'zəbl/]	[01* ttừ]\n- cả tin, yếu đuối
victimization [01/,viktimai'zei∫n/]	[01* dtừ]\n- sự dùng làm vật hy sinh\n- sự đối xử tàn nhẫn\n- sự lừa bịp
victimize [01/'viktimaiz/]	[01* ngđtừ]\n- dùng làm vật hy sinh, đem hy sinh\n- đối xử tàn nhẫn\n- lừa, bịp
victimizer	- xem [03victimize] 
victor [01/'viktə/]	[01* dtừ]\n- người thắng cuộc, kẻ chiến thắng\n- (định ngữ) chiến thắng\n[02= victor army] đạo quân chiến thắng
victoria [01/vik'tɔ:riə/]	[01* dtừ]\n- xe ngựa bốn bánh mui trần\n- chim bồ câu victoria\n- (thực vật) cây súng Nam Mỹ ((cũng) [03victoria lily] ) 
Victoria Cross [01/vik'tɔ:riə'krɔ:/]	[01* dtừ]\n-, viết tắt là VC Anh dũng bội tinh Victoria (phần thưởng (quần sự) cao nhất về lòng dũng cảm) 
victoria lily [01/vik'tɔ:riə'lili/]	[01* dtừ]\n- <thực> cây súng Nam Mỹ
victoria-cross	[01* dtừ]\n- (Victoria-Cross)(vt) VC Anh dũng bội tinh Victoria (phần thưởng (qsự) cao nhất về lòng dũng cảm) 
victorian [01/vik'tɔ:riən/]	[01* ttừ] [02(Victoria)]\n- (thuộc) triều đại của Nữ hoàng Victoria, sống trong triều đại của Nữ hoàng Victoria, vào thời đại Nữ hoàng Victoria (1837 - 1901)]\n- có những tính chất và quan điểm được gán cho người thuộc lớp trung lưu ở Anh vào thế kỷ 19\n[01* dtừ]\n- người sống dưới triều đại của Nữ hoàng Victoria
victorious [01/vik'tɔ:riəs/]	[01* ttừ]\n- chiến thắng, thắng cuộc\n[02= a victorious army] đạo quân chiến thắng\n[02= a victorious day] ngày chiến thắng\n[02= victorious over difficulties] chiến thắng những khó khăn
victoriously [01/vik'tɔ:riəsli/]	[01* trạng từ]\n- xem [03victorious] 
victoriousness	- xem [03victorious] 
victory [01/'viktəri/]	[01* dtừ]\n- sự chiến thắng, sự thắng cuộc; thắng lợi\n[02= to win glorious victories] giành được những chiến thắng vẻ vang\n- sự khắc phục được, sự chế ngự được\n[02= victory over one's quick temper] sự chế ngựa được tính nóng nảy của mình
victress [01/'viktris/]	[01* dtừ]\n- người đàn bà chiến thắng
victrices [01/'viktrisi:z/]	- số nhiều của [03victrix]
victrix [01/'viktriks/]	[01* dtừ]\n- xem [03victress] 
victual [01/'vitl/]	[01* dtừ ((thường) số nhiều)]\n- thức ăn; lương thực, thực phẩm\n[01* nđtừ]\n- mua thức ăn\n- ăn uống\n[01* ngđtừ]\n- cung cấp lương thực thực phẩm\n[02= to victual a town] cung cấp lương thực thực phẩm cho một thành phố
victualler [01/'vitlə/]	[01* dtừ]\n- người buôn lương thực thực phẩm\n[02= licensed victualler] người bán rượu có môn bài\n- (hàng hải) tàu tiếp tế lương thực thực phẩm (cho các tàu khác) 
victualling [01/'vitliη/]	[01* dtừ]\n- sự cung cấp lương thực thực phẩm; sự tiếp tế lương thực thực phẩm\n[02= victualling note] (hàng hải) phiếu cấp lương thực thực phẩm cho thuỷ thủ
victualling-bill [01/'vitliηbil/]	[01* dtừ]\n- giấy phép cho tiếp tế lương thực thực phẩm (được miễn thuế quan) 
victualling-house [01/'vitliηhaus/]	[01* dtừ]\n- quán ăn, cửa hàng ăn
victualling-office [01/'vitliη'ɔfis/]	[01* dtừ]\n- phòng cung cấp lương thực thực phẩm cho hải quân
victualling-yard [01/'vitliηja:d/]	[01* dtừ]\n- kho lương thực thực phẩm
vicuna [01/vi'kju:nə/]	[01* dtừ]\n- một loài động ở châu Mỹ, họ hàng với con lạc đà không bướu có lông mịn mượt mà\n- lông của con vật đó (để may quần áo) 
vide [01/'videi, 'vaidi:/]	[01* đtừ không ngôi ((vt) v.)]\n- xem\n[02= v. supra] xem trên\n[02= v. page 50] xem trang 50
videlicet [01/vi'deliset/]	[01* phtừ]\n- ((vt) viz) nghĩa là, tức là\n[02= three people have seen, videlicet John, William and Oliver] ba người đã trông thấy tức là Giôn, Uy-liam và Ô-li-vơ
video [01/'vidiou/]	[01* ttừ]\n- (Mỹ)(thuộc) truyền hình; dùng trong truyền hình\n[01* dtừ]\n- (Mỹ) truyền hình
video cassette record	[01* dtừ]\n- (vt) VCR đầu máy viđêô
video cassette recorder [01/,vidiou'kɑ:set ri'kɔ:də/]	[01* dtừ]\n-, viết tắt là VCR đầu máy viđêô
video game [01/'vidiou'geim/]	[01* dtừ]\n- trò chơi viđêô
