blithesomely	- xem [03blithesome] 
blithsomeness	như [03blithesomely]
blitz [01/blits/]	[01* dtừ]\n- chiến tranh chớp nhoáng\n- (Mỹ) cuộc oanh tạc dữ dội\n- (Mỹ) cuộc vân động ồ ạt chớp nhoáng\n- (qsự),(lóng) đợt kiểm tra đột xuất (một đơn vị)\n[01* ngđtừ]\n- (qsự) đánh chớp nhoáng\n- (Mỹ) oanh tạc dữ dội\n- (lóng) kiểm tra đột xuất (một đơn vị)\n[04! to be blitzed]\n- bị phạt, bị phê bình cảnh cáo (lính) 
blitzkrieg [01/'blitskri:g/]	[01* dtừ]\n- chiến tranh chớp nhoáng\n- (Mỹ) cuộc tấn công ồ ạt chớp nhoáng (bằng không quân và thiết giáp phối hợp) 
blizzard [01/'blizəd/]	[01* dtừ]\n- trận bão tuyết
bloat [01/blout/]	[01* ngđtừ]\n- muối và hun khói (cá trích)\n[01* đtừ]\n- phông lên, sưng lên, phù lên, sưng húp lên
bloated [01/'bloutid/]	[01* ttừ]\n- húp híp, béo phị; phồng lên, sưng lên\n[02= bloated face] mặt béo húp híp\n[02= bloated with pride] (bóng) vênh váo, kiêu ngạo\n[02= bloated armament] vũ khí đầy ngập lên
bloater [01/'bloutə/]	[01* dtừ]\n- cá trích muối hun khói
blob [01/blɔb/]	[01* dtừ]\n- giọt nước\n- viên tròn\n- đốm màu\n- (thể thao) điểm không (crikê)\n[04! on the blob]\n- (lóng) bằng miệng, vấn đáp
blobber-lipped [01/'blɔbə'lipt/]	[01* ttừ]\n- có môi dầy và vều
bloc [01/blɔk/]	[01* dtừ]\n- (chính trị) khối\n[02= left-wing parties bloc] khối các đảng phái tả\n[02= sterling bloc] khối đồng bảng Anh
block [01/blɔk/]	[01* dtừ]\n- khối, tảng, súc (đá, gỗ...)\n- cái thớt, đon kê, tấm gỗ kê để chặt đầu (người bị tử hình)\n- khuôn (mũ) ; đầu giả (để trưng bày mũ, tóc giả...)\n- khuôn nhà lớn, nhà khối (ở giữa bốn con đường)\n- vật chương ngại; sự trở ngại; sự tắc nghẽn, sự tắc nghẽn xe cộ\n- lô đất (chính phủ cấp cho tư nhân) ; (Mỹ) khoảnh đất trong thành phố\n- bản khắc (để in)\n- số lớn cổ phần\n- (ngành đường sắt) đoạn đường; đoàn toa xe\n- (kỹ) puli\n- (thể thao) sự chặn, sự cản (bóng, đối phương)\n- thông cáo phản đối một dự luật (nghị viện)\n- (úc) đường phố lớn có nhiều người đi dạo\n- (lóng) cái đầu (người)\n- người đần độn\n- người nhẫn tâm\n[04! chip of the old block]\n- đứa con giống bố như tạc\n[04! to be senf to the block]\n- bị xử chém\n[01* ngđtừ]\n- làm trở ngại (sự đi lại) ; ngăn chận\n- làm trở ngại sự thi hành; chặn đứng (một kế hoạch)\n[02= to block the enemy's plant] chặn đứng những kế hoạch của địch\n- (thể thao) chặn cản (bóng, đối phương)\n- hạn chế chi tiêu, hạn chế việc sử dụng (vốn)\n- phản đối (dự luật ở nghị viện)\n- gò vào khuôn (mũ...)\n- rập chữ nổi (bìa sách, da\n[04! to block out (in)]\n- phác ra, vẽ phác\n[02= to block out a plan] phác ra một kế hoạch\n[02= to block in a picture] vẽ phác một bức tranh
block address	- (kỹ) địa chỉ khối
block and tackle [01/'blɔkəndtækl/]	[01* dtừ]\n- (kỹ) puli
block cancel character	- (kỹ) ký tự bỏ khối
block check character	- (kỹ) ký tự kiểm khối
block data	- (kỹ) dữ kiện khối
block device	- (kỹ) thiết bị khối
block diagram [01/'blɔk,daiəgræm/]	- (kỹ) sơ đồ khối
block gap	- (kỹ) khoảng cách (ký lục) khối = [03interblock gap] 
block grant [01/'blɔk,grænt/]	- (ktế) Trợ cấp cả gói\n- Nói chung là một khoản trợ cấp không đặt cọc của chính phủ cấp cho chính quyền địa phương
block ignore character	- xem [03block cancel character] 
block length	- (kỹ) độ dài khối
block letter [01/'blɔk,letə/]	[01* dtừ]\n- chữ viết rời nhau (như trong chữ in) 
block mark	- (kỹ) dấu khối
block nesting	- (kỹ) lồng khối
block parity	- (kỹ) giải thuật kiểm toàn khối
block plane [01/'blɔk'plein/]	[01* dtừ]\n- cái bào gọt (của thợ mộc) 
block practice [01/'blɔk'præktis/]	[01* dtừ]\n- giai đoạn thực tập giảng dạy cho giáo viên
block prefix	- (kỹ) tiếp đầu khối
block record	- (kỹ) bản ghi khối
block release [01/'blɔk'rili:z/]	[01* dtừ]\n- khoá học ngắn hạn cho công nhần
block retrieval	- (kỹ) truy dụng khối
block search	- (kỹ) tìm khối
block signal	- (kỹ) tín hiệu chặn
block sort	- (kỹ) sắp xếp theo khối
block structure	- (kỹ) cấu trúc khối
block transfer	- (kỹ) chuyển từng khối một
block vote [01/'blɔkvout/]	[01* dtừ]\n- cuộc bỏ phiếu mà trong đó, lá phiếu của mỗi cử tri chi phối tỉ lệ của số người được cử tri ấy đại diện
blockade [01/blɔ'keid/]	[01* dtừ]\n- sự phong toả, sự bao vây\n[02= to raise a blockade] rút bỏ một phong toả\n[02= to run the blockade] tránh thoát vòng vây\n[02= paper blockade] sự phong toả trên giấy tờ (có tuyên bố nhưng không thực hiện)\n- (Mỹ) sự ùn lại, sự tắc nghẽn (xe cộ)\n- sự mắc nghẽn (vì tuyết, băng...)\n[01* ngđtừ]\n- phong toả, bao vây\n- che mất (mắt)\n- (Mỹ) làm tắc nghẽn, làm trở ngại (lối đi lại) 
blockade running [01/blɔ'keid,rʌniη/]	[01* dtừ]\n- việc chạy thoát khỏi vùng bị phong toả
blockader	- xem [03blockade] 
blockade-runner [01/blɔ'keid,rʌnə/]	[01* dtừ]\n- tàu thủy hoặc người chạy thoát khỏi vùng bị phong toả
blockage [01/blɔkidʒ/]	[01* dtừ]\n- sự bao vây; tình trang bị bao vây
block-book [01/'blɔk,buk/]	[01* nđtừ]\n- đặt trước một số chỗ
block-booking [01/'blɔkbukiη/]	[01* dtừ]\n- sự đặt trước một số chỗ (ở nhà hát hoặc phòng khách sạn) cùng một lúc
blockbuster [01/'blɔk,bʌstə/]	[01* dtừ]\n- (lóng) bom tấn\n- (bóng) phim/sách được công chúng hâm mộ và đạt doanh thu khổng lồ
block-buster [01/'blɔk,bʌstə/]	[01* dtừ]\n- (lóng) bom tấn
blocker	- xem [03block] 
blockette	- (kỹ) khối con
blockhead [01/'blɔkhəd/]	[01* dtừ]\n- người ngu dốt, người đần độn
blockhouse [01/'blɔkhaus/]	[01* dtừ]\n- (qsự) lô cốt
blocking	- (kỹ) khóa; chặn; kết khối\n- cản
blocking factor	- (kỹ) hệ số kết khối
blocking layer	- (kỹ) lớp chặn
blockish [01/'blɔki∫/]	[01* ttừ]\n- như khối, như tảng, như súc\n- ngu dốt, đần độn
blockishly	- xem [03blockish] 
blockishness	như [03blockishly]
blocklaying [01/'blɔk,lejiη/]	[01* dtừ]\n- sự xây móng hoặc tường dùng những khối bê tông
blocksize	- (kỹ) cỡ khối; cỡ khối kiện
block-system [01/'blɔk,sistəm/]	[01* dtừ]\n- (ngành đường sắt) hệ thống tín hiệu chặn đường
bloke [01/blouk/]	[01* dtừ]\n- (tục) gã, chàng\n- (tục) người cục mịch, người thô kệch\n- (the bloke)(hàng hải),(lóng) thuyền trưởng
blond [01/blɔnd/]	[01* ttừ]\n- vàng hoe
blonde [01/blɔnd/]	[01* dtừ]\n- cô gái tóc hoe, người đàn bà tóc hoe\n[01* ttừ]\n- (như) [03blond] 
blondish	- xem [03blond] 
blondness	như [03blondish]
