whorehouse [01/'hə:haus/]	[01* dtừ]\n- (từ cổ) nhà thổ; lầu xanh
whore-master	như [03whore-monger]
whoremaster [01/'hɔ:,mɑ:stə/]	- Cách viết khác : [03whoremonger]
whore-monger	[01* dtừ]\n- người hay chi gái
whoremonger [01/'hɔ:,mʌngə/]	- xem [03whore-master] 
whoreson [01/'hɔ:sn/]	[01* dtừ]\n- con đẻ hoang
whorl [01/wə:l/]	[01* dtừ]\n- (thực vật) vòng (lá, cánh hoa...)\n- (động vật) vòng xoắn\n[02= the whorl of a shell] vòng xoắn của vỏ ốc\n- (nghành dệt) con lăn cọc sợi
who's who [01/'hu:z'hu:/]	[01* dtừ]\n- danh sách và lược sử những người có tên tuổi
whose [01/hu:z/]	[01* đại từ sở hữu]\n- của ai\n[02= whose book are you reading?] anh đọc cuốn sách của ai đấy?\n- của người mà, mà\n[02= this is the man whose house we have just passed] đây là người mà chúng ta vừa đi qua nhà
whoso [01/'hu:sou/]	[01* đại từ]\n- (cổ)(như) [03whoever] 
whosoe'er [01/,hu:sou'eə/]	[01* dtừ]\n- (thơ ca)(như) [03whoever] 
whosoever [01/,hu:sou'evə/]	[01* đại từ]\n- dạng nhấn mạnh của whoever
whuff [01/wʌf/]	[01* nđtừ]\n- thở phì phì; thở hồng hộc
why [01/wai/]	[01* phtừ]\n- tại sao, vì sao\n[02= why was he late?] sao anh ấy đến muộn?\n[02= why not?] tại sao không?\n[02= that's the reason why] đó là lý do vì sao\n[02= not to know why] không biết tại sao\n[01* dtừ] s/n [03whys]\n- lý do, lý do tại sao\n[01* thán từ]\n- sao!, thế nào!\n[02= why, it's quite easy!] sao, thật là dễ!
whys	[01* dtừ]\n- lý do, lý do tại sao
WI	- (vt)(nhất là trên địa chỉ) [03West Indies] + Liên bang quần đảo Antilles thuộc Anh gồm các đảo barbade; WI (Anh) Woman's Institute + Học viện Phụ nữ
wick [01/wik/]	[01* dtừ]\n- bấc (đèn)\n- (y) bấc
wicked [01/'wikid/]	[01* ttừ]\n- xấu, hư, tệ, đồi bại, tội lỗi\n- ác, độc ác\n- nguy hại\n- tinh quái\n- dữ (thú)\n- độc\n[02= wicked climate] khí hậu độc
wickedness [01/'wikidnis/]	[01* dtừ]\n- tính chất đồi bại\n- tính chất độc ác\n- tính chất nguy hại\n- tính tinh quái\n- tính độc hại
