wine-stone [01/'wain'stoun/]	[01* dtừ]\n- cáu rượu (ở đáy thùng) 
wine-taster [01/'wain,teistə/]	[01* dtừ]\n- người nếm rượu
wine-vault [01/'wain'vɔ:lt/]	[01* dtừ]\n- hầm rượu
wing [01/wiη/]	[01* dtừ]\n- (động vật) ; (thực vật) cánh (chim, sâu bọ; qu, hạt)\n[02= to lend (add) wing to] chắp cánh cho, làm cho chạy mau\n- sự bay, sự cất cánh; (bóng) sự bay bổng\n[02= on the wing] đang bay\n[02= to take wing] cất cánh bay, bay đi\n- (kiến trúc) cánh, chái (nhà)\n[02= the east wing of a building] chái phía đông của toà nhà\n- cánh (máy bay, quạt)\n- (hàng hi) mạn (tàu)\n- (số nhiều)(sân khấu) cánh gà\n- (qsự) cánh\n[02= right wing] cánh hữu\n[02= left wing] cánh t\n- phi đội (không quân Anh) ; (số nhiều) phù hiệu phi công\n- (thể thao) biên\n[02= right wing] hữu biên\n[02= left wing] t biên\n-(đùa) cánh tay (bị thưng)\n- (tục) sự che chở, sự bo trợ\n[02= under the wing of someone] được người nào che chở\n[02= to take someone under one's wing] bo trợ ai\n[04! to clip someone's wings]\n- hạn chế sự cử động (tham vọng, sự tiêu pha) của ai; chặt đôi cánh của ai (bóng)\n[04! to come on the wings of the wind]\n- đến nhanh như gió\n[01* ngđtừ]\n- lắp lông vào (mũi tên)\n- thêm cánh, chắp cánh; làm cho nhanh hn\n[02= fear winged his steps] sự sợ h i làm cho nó chạy nhanh như bay\n[02= to wing one's words] nói liến thoắng\n- bay, bay qua\n[02= to wing one's way] bay\n- bắn ra\n[02= to wing an arrow] bắn mũi tên ra\n- bắn trúng cánh (con chim) ; (tục) bắn trúng cánh tay\n- (kiến trúc) làm thêm chái\n[02= to wing a hospital] làm thêm chái cho một bệnh viện\n- (qsự) bố phòng ở cánh bên
wing flap [01/'wiη'flæp/]	[01* dtừ]\n- (hàng không) cánh con (của máy bay) 
wing-bearing [01/,wiη,beəring/]	[01* ttừ]\n- có cánh (côn trùng) 
wing-beat [01/'wiη'bi:t/]	[01* dtừ]\n- cái vỗ cánh, cái đập cánh
wing-case [01/'wiη'keis/]	như [03wing-sheath]
wing-chair [01/'wiη't∫eə/]	[01* dtừ]\n- ghế bành có lưng tựa cao hai bên có hai trụ nhô lên
wing-commander [01/'wiηkə'mɑ:ndə/]	[01* dtừ]\n- trung uý không quân (Anh) 
wingding [01/'wiηdiη/]	[01* dtừ]\n- (Mỹ,tục) bữa tiệc vui vẻ cuồng nhiệt
winged [01/'wiηd/]	[01* ttừ]\n- có cánh (chim)\n- được chắp cánh; nhanh
winger [01/'wiηə/]	[01* dtừ]\n- (thể thao) cầu thủ chạy biên (bóng đá) 
wing-footed [01/'wiη'futid/]	[01* ttừ]\n- (thơ ca) nhanh, mau lẹ
wingless [01/'wiηlis/]	như [03aphanipterous]
winglet [01/'wiηlit/]	[01* dtừ]\n- (động vật) cánh nhỏ
wingman [01/'wiηmən/]	[01* dtừ] s/n [03wingmen]\n- máy bay yểm trợ, máy bay kèm sau, máy bay số\n- phi công yểm trợ, phi công số
wing-nut [01/'wiη'nʌt/]	[01* dtừ]\n- ốc tai hồng (đai ốc có hai cánh để có thể vặn bằng ngón tay cái và một ngón tay vào đinh ốc hoặc bu lông) 
wing-over [01/'wiη,ouvə/]	[01* dtừ]\n- (hàng không) sự nhào lộn trên không
wing-sheath [01/'wiη'∫i:θ/]	[01* dtừ]\n- (động vật) cánh cứng (sâu bọ) 
wing-span [01/'wiη'spæn/]	như [03wing-spread]
wing-spread [01/'wiη'spred/]	[01* dtừ]\n- si cánh
wing-stroke [01/'wiη'strouk/]	như [03wing-beat]
wing-weary [01/'wiη,wiəri/]	[01* ttừ]\n- mỏi cánh (chim)\n- (bóng) mệt mỏi (trong chuyến du lịch) ; mỏi chân
wingy [01/'wiηi/]	[01* ttừ]\n- (thơ) có cánh; được chắp cánh
wink [01/wiηk/]	[01* dtừ]\n- sự nháy mắt\n[02= to give the wink to] nháy mắt với, ra hiệu cho\n[02= to tip someone the wink] (lóng) ra hiệu cho ai\n- nháy mắt, khonh khắc\n[02= in a wink] trong nháy mắt, trong khonh khắc\n[02= not to get a wink of sleep; not to sleep a wink] không chợp mắt được tí nào\n[04! forty winks]\n- giấc ngủ ngắn (ban ngày)\n[01* nđtừ]\n- nháy mắt, nháy mắt ra hiệu\n[02= to wink at someone] nháy mắt ra hiệu cho người nào\n- lấy lánh, nhấp nháy (ngọn đèn, sao)\n[01* ngđtừ]\n- nháy, chớp, nhấp nháy\n[02= to wink one's eyes] nháy mắt\n- biểu lộ bằng cái nháy mắt\n[02= to wink assent] nháy mắt đồng ý\n[04! to wink at]\n- nhắm mắt làm ng\n[02= to wink at someone's error] nhắm mắt làm ng trước sai lầm của ai
winker [01/'wiηkə/]	[01* dtừ]\n- (tục) con mắt\n- lông mi\n- miếng che mắt (ngựa)\n- (số nhiều) kính đeo mắt
winking [01/'wiηkiη/]	[01* dtừ]\n- sự nháy (mắt)\n- sự lấp lánh, sự nhấp nháy (sao...)\n[04! like winking]\n- (tục) trong khonh khắc, trong nháy mắt\n[01* ttừ]\n- nhấp nháy, lấp lánh
winkle [01/'wiηkl/]	[01* dtừ]\n- (động vật) ốc hưng\n[01* ngđtừ]\n- (qsự) kéo từng bộ phận nhỏ của địch ra mà tiêu diệt\n[04! to winkle out]\n- nhể ra, lôi ra (như nhể ốc) 
winkle-picker [01/'wiηkl'pikə/]	[01* dtừ]\n- (thường snh) giày có mũi dài nhọn
winner [01/'winə/]	[01* dtừ]\n- người được cuộc, người thắng; con vật thắng trong cuộc đua (ngựa...) 
winning [01/'winiη/]	[01* dtừ]\n- sự thắng cuộc, sự thắng; sự chiến thắng\n- (số nhiều) tiền (đồ vật) được cuộc, tiền được bạc\n- (kỹ) sự khai thác\n[02= ore winning] sự khai thác quặng\n[01* ttừ]\n- được cuộc, thắng cuộc\n[02= the winning horse] con ngựa thắng cuộc\n- quyết định, dứt khoát\n[02= a winning stroke] cú quyết định\n- hấp dẫn, lôi cuốn, quyến rũ\n[02= a winning smile] nụ cười quyến rũ
winningly [01/'winiηli/]	[01* ttừ]\n- hấp dẫn, lôi cuốn, quyến rũ
winning-over [01/'winiη'ouvə/]	[01* dtừ]\n- sự lôi kéo
winning-post [01/'winiη'poust/]	[01* dtừ]\n- (thể thao) cột đích
winnings [01/'winiηz/]	[01* dtừ]\n- tiền được cuộc, được bạc
winnow [01/'winou/]	[01* ngđtừ]\n- quạt, sy (thóc)\n- sàng lọc, chọn lựa; phân biệt\n[02= to winnow truth from falsehood] phân biệt thật hư\n- (thơ ca) đập, vỗ\n[02= to winnow wings] vỗ cánh
winnower [01/'winouə/]	[01* dtừ]\n- người quạt, người sy (thóc)\n- máy quạt thóc
winnowing [01/'winouiη/]	[01* dtừ]\n- sự quạt, sự sy (thóc)\n- sự sàng lọc, sự chọn lựa
winnowing-machine [01/'winouiηmə'∫i:n/]	[01* dtừ]\n- máy quạt thóc
wino [01/'wainou/]	[01* dtừ]\n- (tục) người nghiện rượu, kẻ nghiện rượu (đặc biệt là rượu rẻ tiền) 
winsome [01/'winsəm/]	[01* ttừ]\n- hấp dẫn, quyến rũ, lôi cuốn\n[02= a winsome smile] nụ cười quyến rũ\n- vui vẻ, tưi tỉnh, rạng rỡ
winsomeness [01/'winsəmnis/]	[01* dtừ]\n- sự hấp dẫn, sự quyến rũ
winter [01/'wintə/]	[01* dtừ]\n- mùa đông\n[02= in winter] về mùa đông\n- (thơ ca) năm, tuổi\n[02= a man of sixty winters] một người sáu mưi tuổi\n- (thơ ca) lúc tuổi già\n[02= to stand on winter's verge] sắp về già\n[01* ttừ]\n- (thuộc) mùa đông\n[02= winter season] mùa đông\n[02= winter life] cuộc sống về mùa đông\n[02= winter quarters] ni đóng quân mùa đông\n[02= winter sleep] sự ngủ đông\n[01* nđtừ]\n- trú đông, tránh rét\n[02= to winter in the south] tránh rét ở miền nam\n- qua đông (cây cỏ...)\n[01* ngđtừ]\n- đưa đi trú đông; đưa đi ăn cỏ để tránh rét\n[02= to winter the cattle] đưa vật nuôi đi tránh rét
winter sports [01/'wintə'spɔ:ts/]	[01* dtừ]\n- thể thao mùa đông (những môn thể thao trên tuyết hoặc trên băng; trượt tuyết, trượt băng) 
winter-bud [01/'wintəbʌd/]	[01* dtừ]\n- chồi mùa đông
winter-green [01/'wintə'gri:n/]	[01* dtừ]\n- (thực vật) cây lộc đề
wintering [01/'wintəriη/]	[01* dtừ]\n- sự trú đông, sự đưa đi tránh rét\n- sự qua đông
winterise [01/'wintəraiz/]	[01* ngđtừ]\n- (Mỹ) chuẩn bị (lương thực, rơm rạ, nhà cửa...) cho mùa đông
winterize [01/'wintəraiz/]	[01* ngđtừ]\n- chuẩn bị (lưng thực, rm rạ...) cho mùa đông\n[02= to winterize the straw for the cattle] chuẩn bị rm rạ cho vật nuôi ăn mùa đông
winterkill [01/'wintəkil/]	[01* đtừ]\n- (Mỹ) chết vì lạnh giá mùa đông (cây cối) 
winterly [01/'wintəli/]	[01* ttừ]\n- (thuộc) mùa đông; lạnh giá\n[02= a winterly sky] trời đông\n- (bóng) lạnh nhạt, lạnh lùng ((cũng) [02wintery, wintry] )\n[02= a winterly smile] một nụ cười lạnh nhạt\n[02= winterly reception] sự đón tiếp lạnh lùng
winter-time	[01* dtừ]\n- mùa đông; thời kỳ mùa đông
wintertime [01/'wintə'taim/]	[01* dtừ]\n- mùa đông; thời kỳ mùa đông\n[02= the days are shorter in the wintertime] về mùa đông, ngày trở nên ngắn hơn
wintery [01/'wintri/]	như [03wintry]
wintrily [01/'wintrili/]	[01* phtừ]\n- lạnh
wintry [01/'wintri/]	[01* ttừ]\n- lạnh giá; hiu hắt m đạm như mùa đông\n[02= wintery weather] thời tiết lạnh giá\n- (bóng) lạnh nhạt, lạnh lùng ((như) [03winterly] ) 
winy [01/'waini/]	[01* ttừ]\n- nồng, có mùi rượu, sặc mùi rượu
wipe [01/waip/]	[01* dtừ]\n- sự lau, sự chùi\n- (lóng) cái tát, cái quật\n- (lóng) khăn tay\n[01* ngđtừ]\n- lau, chùi\n[02= to wipe one's face] lau mặt\n[02= to wipe something dry] lau khô một vật gì\n[02= to wipe one's eyes] lau nước mắt, thôi khóc\n[04! to wipe at]\n- (lóng) quật, tống cho một qu; giáng cho một đòn\n[04! to wipe away]\n- tẩy (vết bẩn) ; lau sạch (nước mắt)\n[04! to wipe off]\n- lau đi, lau sạch, tẩy đi\n- làm tắt (một nụ cười)\n- thanh toán, tr hết, giũ sạch (nợ cũ)\n- quên đi, xoá sạch (mối bất hoà cũ...)\n[04! to wipe out]\n- lau chùi, lau sạch, chùi, tẩy (vết bẩn)\n- tiêu diệt (quân đội) ; triệt hạ (thành phố)\n- thanh toán, tr hết (nợ) ; rửa (nhục)\n[04! to wipe up]\n- lau sạch, chùi sạch\n[04! to wipe someone's eye]\n- (lóng) phỗng tay trên ai, đi nước trước ai\n[04! to wipe the floor with someone] (lóng)\n- (lóng) đánh bại ai hoàn toàn (trong cuộc tranh luận)\n- (lóng) hạ ai đo ván (trong cuộc đấu võ) ; đánh bại nhục nh
wiper [01/'waipə/]	[01* dtừ]\n- người lau chùi\n- khau lau, giẻ lau; khăn lau tay
wipo	[01* dtừ]\n- Tổ chức quốc tế về quyền sở hữu trí tuệ (World Intellectual Property Organization) 
wire [01/waiə/]	[01* dtừ]\n- dây (kim loại)\n[02= silver wire] dây bạc\n[02= iron wire] dây thép\n[02= barbed wire] dây thép gai\n[02= to pull the wires] giật dây (bóng)\n- bức điện báo\n[02= by wire] bằng điện báo\n[02= to send off a wire] đánh một bức điện\n[02= let me know by wire] h y báo cho tôi biết bằng điện\n[04! live wire]\n- xem [03live]\n[01* ngđtừ]\n- bọc bằng dây sắt\n- buộc bằng dây sắt\n- chăng lưới thép (cửa sổ)\n- xỏ vào dây thép\n- bẫy (thỏ, chim...) bằng dây thép\n- đánh điện\n- (điện học) mắc (dây) điện, bắt điện\n[02= to wire a house for electricity] mắc điện cho một ngôi nhà\n[01* nđtừ]\n- đánh điện\n[02= to wire to someone] đánh điện cho ai\n[02= to wire for someone] đánh điện mời ai đến\n[04! to wire in]\n- (lóng) rán hết sức làm (một việc gì)\n[04! to wire off]\n- rào dây thép để tách ra\n[04! to wire into somebody]\n- đấm ai một cú thật mạnh, dùng hết sức giáng cho ai một đòn
wire wool [01/'waiə'wul/]	[01* dtừ]\n- tấm bùi nhùi bằng dây sắt
wire-brush [01/'waiə'brʌ∫/]	[01* dtừ]\n- bàn chi sắt
wire-cloth [01/'waiə'klɔθ/]	[01* dtừ]\n- lưới thép
wire-cutter [01/'waiə'kʌtə/]	[01* dtừ]\n- kìm cắt dây thép
wire-dancer [01/'waiə'dɑ:nsə/]	[01* dtừ]\n- người đi trên dây
wire-dancing [01/'waiə'dɑ:nsiη/]	[01* dtừ]\n- nghệ thuật đi trên dây
wiredraw [01/'waiədrɔ:/]	như [03wiredrew]
wiredrawer [01/'waiə,drɔ:ə/]	[01* dtừ]\n- (kỹ) người kéo sợi (kim loại) ; máy kéo sợi (kim loại) 
