worm-eaten [01/'wə:m'i:tn/]	[01* ttừ]\n- bị sâu đục, bị mọt ăn\n- (bóng) cũ kỹ
worm-gear [01/'wə:m'giə/]	[01* dtừ]\n- (kỹ) truyền động trục vít\n- bánh vít
worm-hole [01/'wə:m'houl/]	[01* dtừ]\n- lỗ sâu, lỗ mọt (trong gỗ, trái cây) 
worm-like [01/'wə:mlaik/]	[01* ttừ]\n- giống con sâu; dạng giun\n- khúm núm; bợ đỡ; xu nịnh
worm-powder [01/'wə:m'paudə/]	[01* dtừ]\n- (y) bột tẩy giun
worm's-eye view [01/'wə:mz'aivju:/]	[01* dtừ]\n-(đùa) quay cảnh nhìn ở dưới lên
worm-wheel [01/'wə:m'wi:l/]	[01* dtừ]\n- (kỹ) bánh vít
wormwood [01/'wə:mwud/]	[01* dtừ]\n- (thực vật) cây ngải apxin, cây ngải tây\n- (bóng) nỗi đắng cay, nỗi khổ nhục
wormy [01/'wə:mi/]	[01* ttừ]\n- có giun, có sán\n- nhiều sâu\n- bị sâu đục\n- giống con giun, hình ngoằn ngoèo
worn [01/wɔ:n/]	[01* động tính từ quá khứ của] [03wear] 
worn-out [01/'wɔ:n'aut/]	[01* ttừ]\n- rất mòn và do đó không còn dùng được nữa\n- mệt lử, kiệt sức (người) 
worried [01/'wʌrid/]	[01* thời quá khứ & động tính từ quá khứ của] [03worry]\n[01* ttừ]\n- (+[04about somebody/something; that]) bồn chồn, lo nghĩ, cảm thấy lo lắng, tỏ ra lo lắng
worriedly [01/'wʌridli/]	[01* phtừ]\n- bồn chồn, lo nghĩ, cảm thấy lo lắng, tỏ ra lo lắng
worrier [01/'wʌriə/]	[01* dtừ]\n- người hay lo lắng
worriment [01/'wʌrimənt/]	[01* dtừ]\n- sự lo lắng\n- điều lo nghĩ
worrisome [01/'wʌrisəm/]	[01* ttừ]\n- gây ra lo lắng, gây ra rắc rối, làm phiền
worry [01/'wʌri/]	[01* dtừ]\n- sự lo lắng; điều lo nghĩ\n- sự quấy rầy; điều làm phiền, điều khó chịu\n- sự nhạy (của chó săn)\n[01* ngđtừ]\n- quấy rầy, làm phiền, làm khó chịu\n[02= to worry someone with foolish questions] quấy rầy người nào bằng những câu hỏi ngớ ngẩn\n[02= to be dreadfully worried] rất lo phiền\n[01* nđtừ]\n- lo, lo nghĩ\n[02= don't worry] đừng lo\n[02= to worry about little things] lo vì những việc linh tinh\n[02= to wear a worried look] nét mặt có vẻ lo nghĩ\n- nhay (chó)\n[04! to worry along]\n- vẫn tiến bước mặc dầu gặp khó khăn\n[04! to worry out]\n- lo lắng để giải quyết bằng xong (một vấn đề)\n[04! I should worry]\n- (Mỹ),(tục) điều đó chẳng phiền hà gì tôi chút nào
worrying [01/'wʌriiη/]	[01* ttừ]\n- gây ra lo lắng cho ai, gây lo nghĩ\n- nhiều lo lắng, nhiều lo nghĩ
worse	[01* ttừ (cấp so sánh của ] [03bad])\n- xấu hơn, tồi hơn, dở hơn\n- ác hơn\n- nguy hiểm hơn\n- (vị ngữ) nặng hơn, trầm trọng hơn, nguy kịch hơn (bệnh, hoàn cảnh)\n[02= the doctor says he is worse today] bác sĩ nói bệnh anh ta hôm nay nặng hơn\n[02= to have the worse ground] ở địa vị xấu hơn, ở trong điều kiện xấu hơn\n[01* phtừ (cấp so sánh của ] [03badly])\n- xấu hơn, kém hơn\n[02= he has been taken worse] bệnh tình anh ta trở nên xấu hơn (nặng hơn)\n- tệ hơn, mạnh hơn, quá quắt hơn\n[02= it's raining worse than ever] mưa chưa bao giờ dữ như thế này\n[04! none the worse]\n- không kém\n[04! worse off]\n- lâm vào hoàn cảnh xấu hơn; sa sút\n[01* dtừ]\n- cái xấu hơn, cái tệ hơn, cái tồi hơn\n[02= there was worse to come] còn có những cái xấu hơn sẽ đến\n- tình trạng xấu hơn, chiều hướng xấu hơn\n[02= a change for the worse] sự thay đổi xấu đi\n[02= to go from bad to worse] ngày càng xấu hơn\n- (the worse) sự thua cuộc\n[02= to have the worse] bị thua\n[02= to put to the worse] thắng
worsen [01/'wə:sn/]	[01* ngđtừ]\n- làm cho xấu hơn, làm cho tồi hơn, làm cho tệ hơn\n- (tục) thắng\n[01* nđtừ]\n- trở nên xấu hơn, trở nên tồi hơn, trở nên tệ hơn
worship [01/'wə:∫ip/]	[01* dtừ]\n- (tôn giáo) sự thờ cúng, sự cúng bái\n[02= freedom of worship] sự tự do thờ cúng\n[02= a worship place of worship] nơi thờ cúng, nhà thờ, đền thờ\n- sự tôn kính, sự suy tôn, sự tôn sùng\n[02= to win worship] được tôn kính, được tôn sùng\n[04! your (his) Worship]\n- ngài\n[01* ngđtừ]\n- thờ, thờ phụng, cúng bái\n- tôn kính, suy tôn, tôn sùng\n[01* nđtừ]\n- đi lễ
worshiper [01/'wə:∫ipə/]	[01* dtừ]\n- (tôn giáo) người thờ cúng\n- người tôn sùng, người sùng bái
worshipful [01/'wə:∫ipfl/]	[01* ttừ]\n- đáng tôn kính, đáng tôn sùng, đáng sùng bái
worshipper [01/'wə:∫ipə/]	như [03worshiper]
worst	[01* ttừ (cấp cao nhất của] [02bad)]\n- xấu nhất, tồi nhất, tệ nhất\n- độc ác nhất\n- nghiêm trọng nhất\n[02= the worst fault] sai lầm nghiêm trọng nhất\n- (y) ốm yếu nhất\n[01* phtừ (cấp cao nhất của] [02badly])\n- xấu nhất, tồi nhất, tệ nhất\n[01* dtừ]\n- cái xấu nhất, cái tồi nhất, cái tệ nhất\n[02= if the worst comes to the worst] trong trường hợp xấu nhất\n[02= to be prepared for the worst] chuẩn bị đợi cái xấu nhất\n- thời kỳ xấu nhất, thời kỳ dữ dội nhất, thời kỳ găng nhất\n[02= when the plague was at its worst] khi bệnh dịch hạch ở vào thời kỳ kịch liệt nhất\n[02= the worst of the storm is over] lúc dữ dội nhất của cơn bão đã qua\n- sự thua kém\n[02= to get the worst of it] thua kém, thất bại\n[02= to put somebody to the worst] đánh bại ai\n[04! at (the) worst]\n- trong tình hình xấu nhất\n[04! do your worst]\n- thì mày cứ thử làm đi (ý thách thức)\n[01* ngđtừ]\n- đánh bại, hơn\n[02= to worst an adversary] đánh bại đối phương
worsted [01/'wustid/]	[01* dtừ]\n- sợi len xe\n- vải len xe
wort [01/wə:t/]	[01* dtừ]\n- hèm rượu\n- (hiếm) cỏ, cây cỏ
worth [01/wə:θ/]	[01* ttừ vị ngữ]\n- giá, đáng giá\n[02= it is not worth much] cái ấy không đáng giá bao nhiêu\n[02= to be worth little] giá chẳng đáng bao nhiêu\n- đáng, bõ công\n[02= the book is worth reading] quyển sách đáng đọc\n[02= is it worth while?] điều đó có bõ công không?, điều đó có đáng làm không?\n[02= to be worth one's salt] làm lụng rất tốt, rất xứng đáng với đồng lương được hưởng\n- có\n[02= to be worth money] có tiền\n[02= to die worth a million] chết để lại bạc triệu\n[04! for all one is worth]\n- làm hết sức mình\n[04! for what it is worth]\n- không bảo đảm, không kèm theo cam kết gì\n[01* dtừ]\n- giá; giá cả\n[02= to have one's money's worth] mua được phải giá; mua được (cái gì) xứng với đồng tiền bỏ ra\n- số lượng (hàng...) vừa giá (một số tiền nào đấy)\n[02= give me a shilling's worth of flowers] bán cho tôi một silinh hoa\n- giá trị\n[02= a man of worth] người có giá trị
worthful [01/'wə:θf(u) l/]	[01* ttừ] (từ hiếm) xứng đáng, được tôn tọng; quí, quí giá
worthily [01/'wə:đili/]	[01* phtừ]\n- xứng đáng với, đáng làm\n- đáng coi trọng, đáng được kính trọng, đáng được cân nhắc\n- <đùa> đáng kính, đáng trọng, đáng được kính trọng, đáng được thừa nhận (nhất là về một người)\n- thích đáng; thích hợp\n- xứng đáng, tiêu biểu cho
worthiness [01/'wə:đinis/]	[01* dtừ]\n- sự xứng đáng\n- giá trị
worthless [01/'wə:θlis/]	[01* ttừ]\n- không có giá trị, vô dụng, không ra gì; không xứng đáng\n[02= a worthless argument] một lý lẽ không có giá trị\n[02= a worthless fellow] một đứa không ra gì, một tên vô lại
worthlessness [01/'wə:θlisnis/]	[01* dtừ]\n- tính chất không có giá trị, tính chất vô dụng, tính chất không ra gì; tính chất không xứng đáng
worthwhile [01/wə:θ'wail/]	[01* ttừ]\n- quan trọng, thú vị hoặc đáng bỏ thời gian, tiền của hoặc nỗ lực; đáng giá; bõ công\n[02= it's worthwhile taking the trouble to explain a job fully to new employees] bỏ công sức ra giải thích công việc cặn kẽ cho nhân viên mới là việc đáng làm\n[02= nursing is a very worthwhile career] y tá là một nghề rất đáng làm
worth-while [01/'wə:θ'wail/]	[01* ttừ]\n- đáng giá, bõ công\n[02= it is not a worth-while job] đó là một việc làm chẳng bõ công
worthy [01/'wə:ði/]	[01* ttừ]\n- xứng đáng, có phẩm giá đáng kính, đáng trọng (người)\n[02= worthy people] người xứng đáng, người đáng kính trọng\n- xứng đáng, thích đáng; thích hợp\n[02= a worthy reward] một phần thưởng xứng đáng\n- đáng\n[02= worthy of note] đáng chú ý\n[01* dtừ]\n-(mỉa mai) ;(đùa) vị\n[02= who's the worthy who has just arrived?] vị nào vừa mới đến thế?\n- (cổ) danh nhân
would [01/wud/]	[01* thời quá khứ của] [03will] 
would-be [01/'wudbi:/]	[01* ttừ]\n- muốn trở thành, thích trở thành; thích làm ra vẻ; cứ làm ra vẻ\n[02= a would-be poet] người thích trở thành nhà thơ; người thích làm ra vẻ nhà thơ
wouldn't [01/'wudnt/]	- (vt) của [03would not] 
wound [01/wu:nd/]	[01* thời quá khứ & động tính từ quá khứ của] [03wind] /wu:nd/\n[01* dtừ]\n- vết thương, thương tích\n[02= to inflict a wound on] làm cho bị thương\n[02= to receive a wound] bị một vết thương\n[02= the wounds of war] những vết thương chiến tranh\n- vết băm, vết chém (trên cây)\n- (bóng) điều làm tổn thương, điều xúc phạm; nỗi đau thương\n[02= a wound to one's pride] điều xúc phạm lòng tự hào\n[02= to revive someone's wound] gợi lại nỗi đau thương của ai\n- (thơ ca) mối hận tình\n[01* ngđtừ]\n- làm bị thương\n[02= wounded in the arm] bị thương ở cánh tay\n- (bóng) làm tổn thương, chạm đến, xúc phạm\n[02= to wound someone in his honour] làm tổn thương đến danh dự của ai\n[02= wounded in one's affections] bị tổn thương về tình cảm
woundable [01/'wu:ndəbl/]	[01* ttừ]\n- dễ bị thương, có thể bị thương
wounded [01/'wu:ndid/]	[01* ttừ]\n- bị thương\n- bị tổn thương, bị xúc phạm\n[01* dtừ]\n- the wounded những người bị thương
wove [01/wi:v/]	như [03weave]
woven [01/wi:v/]	như [03weave]
