bulbar [01/'bʌlbə/]	[01* ttừ]\n- thuộc hành
bulbed [01/bʌlbd/]	[01* ttừ]\n- có củ, có hành\n- hình củ, hình hành
bulbiferous [01/bʌl'bifərəs/]	[01* ttừ]\n- có củ, có hành
bulbil [01/'bʌlbil/]	[01* dtừ]\n- (thực vật) hành con
bulbilate [01/'bʌlbileit/]	[01* ttừ]\n- (thực vật) có giò; có hành con
bulbous [01/'bʌlbəs/]	[01* ttừ]\n- có củ, có hành; hình củ, hình hành\n- phồng ra
bulbously	- xem [03bulbous] 
bulgarian [01/bʌl'geəriən/]	[01* ttừ]\n- (thuộc) Bun-ga-ri\n[01* dtừ]\n- người Bun-ga-ri\n- tiếng Bun-ga-ri
bulge [01/bʌldʒ/]	[01* dtừ]\n- chỗ phình, chỗ phồng, chỗ lồi ra\n- (thương nghiệp),(tục) sự tăng tạm thời (số lượng, chất lượng) ; sự nêu giá\n- (hàng hải) đáy tàu\n- the bulge (Mỹ),(lóng) thế lợi, ưu thế\n[02= to have the bulge on somebody] nắm ưu thế hơn ai\n[01* đtừ]\n- phồng ra; làm phồng lên
bulginess	- xem [03bulge] 
bulging [01/'bʌldʒiη/]	như [03bulgy]
bulgy [01/'bʌldʒi/]	[01* ttừ]\n- lồi ra, phồng ra, phình lên\n[02= bulging eyes] mắt lồi ra, mắt ốc nhồi\n[02= bulging cheeks] má phình lên, má bầu
bulimia [01/bju:'limiə/]	như [03bulimy]
bulimic [01/bju:'limik/]	[01* ttừ]\n- (y) cuồng ăn vô độ; mắc chứng cuồng ăn vô độ
bulimy [01/'bju:limi/]	[01* dtừ]\n- (y) chứng cuồng ăn vô độ; chứng háu ăn\n- sự ham (đọc sách...) 
bulk [01/bʌlk/]	[01* dtừ]\n- (hàng hải) trọng tải hàng hoá; hàng hoá\n[02= to break bulk] bắt đầu dỡ hàng; khối lớn; tầm vóc lớn, khổ người lớn\n- phần lớn hơn, số lớn hơn\n[02= the bulk off the work] phần lớn hơn của công việc\n[02= the bulk of the population] số đông dân chúng\n[04! to load in bulk]\n- bốc hàng rời (không đóng bao...)\n[04! to sell in bulk]\n- bán buôn\n[01* đtừ]\n- thành đống, xếp thành đống\n- tính gộp, cân gộp (một thứ hàng gì...)\n[04! to bulk up]\n- lên tới một tổng số lớn\n[04! to bilk large]\n- chiếm một địa vị quan trọng\n- trông có vẻ to lớn; lù lù ra
bulk buying [01/'bʌlk'baiiη/]	[01* dtừ]\n- sự mua sỉ (mua số lượng lớn) 
bulk current	- (kỹ) dòng khối
bulk delay	- (kỹ) trễ khối, đình trệ chung
bulk eraser	- (kỹ) bộ xóa dữ kiện, đầu xóa dữ kiện = [03degausser] 
bulk lifetime	- (kỹ) tuổi thọ
bulk memory	- (kỹ) bộ nhớ loại lớn
bulk processing	- (kỹ) xử lý gộp
bulk storage	- (kỹ) bộ trữ lớn
bulkhead [01/'bʌlkhed/]	[01* dtừ]\n- (hàng hải) vách ngăn\n[02= watertight bulkhead] vách ngăn kín không để nước thấm qua\n- buồng, phòng (trên tàu) 
bulkily	- xem [03bulky] 
bulkiness [01/'bʌlkinis/]	[01* dtừ]\n- sự to lớn, sự đồ sộ; sự kềnh càng (của một vật gì) ; tầm vóc to lớn (người) 
bulky [01/'bʌlki/]	[01* ttừ]\n- to lớn, đồ sộ; kềnh càng (của một vật gì) ; tầm vóc to lớn (người) 
bull [01/bul/]	[01* dtừ]\n- bò đực\n- con đực (voi, cá voi...)\n[02= a bull elephant] voi đực\n[02= a bull whale] cá voi đực\n- bull (thiên văn) sao Kim ngưu\n- người đầu cơ giá lên (thị trường chứng khoán)\n[02= bull operations] hoạt động đầu cơ giá lên (ở thị trường chứng khoán)\n- (lóng) cớm, mật thám; cảnh sát\n[04! bull in a china shop]\n- người vụng về, lóng ngóng\n[04! to take the bull by the horns]\n- không sợ khó khăn nguy hiểm\n[01* nđtừ]\n- đầu cơ giá lên (ở thị trường chứng khoán)\n[01* ngđtừ]\n- tìm cách nâng giá (hối phiếu ở thị trường chứng khoán)\n[01* dtừ]\n- sắc lệnh của giáo hoàng\n[01* dtừ]\n- lời nói ngớ ngẩn, lời nói ngây ngô, lời nói tự nó đã mâu thuẫn ((thường) [03Irish bull])\n- sai lầm (về ngôn ngữ)\n- (lóng) lời nói láo, lời nói bậy bạ, lời nói khoác lác\n[01* ngđtừ]\n- (lóng) lừa bịp (ai) bằng những lời khoác lác\n[01* dtừ]\n- nước tráng thùng rượu để uống
bull neck [01/'bulnek/]	[01* dtừ]\n- cổ bò (to và ngắn) 
bull pen [01/'bul pen/]	[01* dtừ]\n- nơi giam tù nhần trước khi ra toà
bull ring [01/'bulriη/]	[01* dtừ]\n- trường đấu bò
bull session [01/'bul,se∫n/]	[01* dtừ]\n- (Mỹ),(tục) cuộc thảo luận trong nhóm nhỏ, cuộc toạ đàm thân mật trong nhóm nhỏ
bulla [01/bulə/]	[01* dtừ] s/n [02bullae]\n- con dấu bằng chì gắn vào sắc lệnh giáo hoàng\n- vết bỏng lớn\n- nốt mọng\n- bóng; túi
bullace [01/'bulis/]	[01* dtừ]\n- (thực vật) cây mận rừng\n- quả mận rừng
bullate [01/'bʌleit/]	[01* ttừ]\n- lồi lên, sưng lên, phồng lên
bull-calf [01/'bul'kɑ:f/]	[01* dtừ]\n- bò đực con\n- người ngây ngô khờ khạo
bulldog [01/'buldɔg/]	[01* dtừ]\n- chó bun (một giống chó đầu to, khoẻ và dũng cảm)\n- (bóng) người bền bỉ ngoan cường; người gan lì\n- viên hiện dịch (giúp việc ông giám thị ở trường đại học Anh)\n- (tục) súng lục ổ quay\n- (thực vật) tẩu (hút thuốc lá) 
bulldog ant [01/'buldɔgænt/]	[01* dtừ]\n- giống kiến lớn ở Ôxtrầylia
bulldog clip [01/'buldɔg'klip/]	[01* dtừ]\n- kẹp lò xo dùng để kẹp giấy
bulldogger	- xem [03bulldog] 
bulldose [01/'buldouz/]	[01* ngđtừ]\n- ủi (đất) ; san phẳng bằng xe ủi đất\n- (Mỹ),(lóng) doạ dẫm, hăm doạ, đe doạ (để làm tiền, ép buộc) 
bulldoze [01/'buldouz/]	như [03bulldose]
bulldozer [01/'buldouzə/]	[01* dtừ]\n- xe ủi đất\n- (Mỹ),(lóng) người doạ dẫm, người đe doạ, người ép buộc
bulldozerman [01/'buldouzəmən/]	[01* dtừ]\n- người lái xe ủi đất
bullet [01/'bulit/]	[01* dtừ]\n- đạn (súng trường, súng lục)\n[02= dumdum bullet] đạn đum đum\n- (số nhiều)(qsự),(lóng) hạt đậu
bullet-head [01/'bulit'hed/]	[01* dtừ]\n- người đầu tròn\n- người ngu đần\n- (Mỹ) người ngang bướng, người cứng cổ, người ngoan cố
bullet-headed [01/'bulit'hedid/]	[01* ttừ]\n- đầu tròn\n- ngu đần\n- (Mỹ) ngang bướng, cứng cổ, ngoan cố
bulletin [01/'bulitin/]	[01* dtừ]\n- thông cáo, thông báo\n- tập san
bulletin board	- (kỹ) bảng công báo
bulletin board system (BBS)	- (kỹ) hệ thống bảng công báo
bulletin-board [01/'bulitin'bɔ:d/]	- bảng yết thị, bảng thông báo
bullet-mackerel [01/'bulit'mækərəl/]	[01* dtừ]\n- (động vật) cá ngừ tròn
bulletproof [01/,bulit'pru:f/]	- Khả năng chống các can nhiễu từ bên ngoài, tự phục hồi lại từ các tình trạng sẽ dẫn đến đổ vỡ không tránh khỏi đối với các chương trình khác
bullet-proof [01/'bulit'pru:f/]	[01* ttừ]\n- ngăn được đạn, đạn bắn không thủng
bull-fence [01/'bul'fens/]	[01* dtừ]\n- hàng rào có hố đằng sau (cho ngựa đua nhảy qua) 
bullfight [01/'bulfait/]	[01* dtừ]\n- trận đấu bò, trò đấu bò (ở Tây ban nha) 
bullfighter [01/'bulfaitə/]	[01* dtừ]\n- người đấu bò
