celluloid [01/'seljulɔid/]	[01* dtừ]\n- (hoá) xenluloit
cellulose [01/'seljulous/]	[01* dtừ]\n- (hoá) xenluloza
cellulose acetate [01/'seljulous'æsiteit/]	[01* dtừ]\n-(hoá) axitat xeluloza
cellulose nitrate [01/'seljulous'æsiteit/]	[01* dtừ]\n-(hoá) nitrat xeluloza
cellulosic	- xem [03cellulose] 
Celsius [01/'selsiəs/]	[01* ttừ]\n- thuộc về độ bách phân
celt [01/kelt/]	[01* dtừ]\n- người Xen-tơ
celtic [01/'keltik/]	như [03keltic]
celticism [01/'keltisizm/]	[01* dtừ]\n- phong tục tập quán Xen-tơ\n- (ngôn) từ ngữ đặc Xen-tơ
celticist [01/'keltisist/]	[01* dtừ]\n- chuyên gia văn hoá xen-tơ
celtologist [01/kel'tɔlədʒist/]	[01* dtừ]\n- nhà xentơ học
cembalo [01/'t∫embəlou/]	[01* dtừ] s/n [02cembali, cembalos]\n- (âm nhạc) đàn clavico
cement [01/si'ment/]	[01* dtừ]\n- xi-măng\n- chất gắn (như xi-măng)\n- bột hàn răng\n- (phẫu) xương răng\n- (kỹ) bột than để luyện sắt\n- (bóng) mối liên kết, mối gắn bó\n[01* ngđtừ]\n- trát xi-măng; xây bằng xi-măng\n- hàn (răng)\n- (kỹ) luyện (sắt) bằng bột than, cho thấm cacbon ủ\n- (bóng) thắt chắc, gắn bó\n[02= to cement the friendship] thắt chặt tình hữu nghị
cementation [01/,si:men'tei∫n/]	[01* dtừ]\n- sự trát xi-măng; sự xây bằng xi-măng\n- sự hàn (răng)\n- (kỹ) sự luyện (sắt) bằng bột than, sự cho thấm cacbon ủ\n- (bóng) sự thắt chắc, gắn bó
cementer	- xem [03cement] 
cementing [01/si'mentiη/]	[01* dtừ]\n- sự gắn xi măng\n- sự thấm các bon
cementite [01/si'mentail/]	[01* dtừ]\n- (hoá) cementit
cementitious [01/,si:men'ti∫əs/]	[01* ttừ]\n- gắn (trám) xi măng; kết dính
cemetery [01/'semitri/]	[01* dtừ]\n- nghĩa trang, nghĩa địa
cemf	- (kỹ) sức phản điện động
cemtrum	- tâm\n- c. of a group tama của nhóm
cenltium [01/'seltjəm/]	[01* dtừ]\n- (hoá) xenti
cenobite [01/'si:noubait/]	[01* dtừ]\n- cũng [03coenobite]\n- (từ Mỹ) người tu đạo
cenogenesis [01/'sinou'dʒenisis/]	[01* dtừ]\n- (sinh học) sự phát sinh quần lạc
cenology [01/si'nɔlədʒi/]	[01* dtừ]\n- môn quần lạc sinh vật
cenotaph [01/'senətɑ:f/]	[01* dtừ]\n- đài kỷ niệm, bia kỷ niệm\n[04! the Cenotaph]\n- đài chiến sĩ Anh chết trong đại chiến I và II
cenotaphic	- xem [03cenotaph] 
cenozoic [01/si:nɔ'zouik/]	[01* dtừ]\n- (từ Mỹ, cainozoic) kỷ thứ ba\n[01* ttừ]\n- thuộc kỷ thứ ba
cense [01/sens/]	[01* ngđtừ]\n- xông trầm\n- dâng hương
censer [01/'sensə/]	[01* dtừ]\n- bình hương, lư hương
censor [01/'sensə/]	[01* dtừ]\n- nhân viên kiểm duyệt (sách báo, phim ảnh, thư từ...)\n- giám thị (trường đại học)\n[01* ngđtừ]\n- kiểm duyệt\n- dạng bị động bị kiểm duyệt cắt đi
censorable	- xem [03censor] 
censorial [01/sen'sɔ:riəl/]	[01* ttừ]\n- kiểm duyệt
censorious [01/sen'sɔ:riəs/]	[01* ttừ]\n- phê bình, chỉ trích, khiển trách
censoriously [01/sen'sɔ:riəsli/]	[01* phtừ]\n- nghiêm khắc
censoriousness [01/sen'sɔ:riəsnis/]	[01* dtừ]\n- tính chất phê bình, tính chất chỉ trích, tính chất khiển trách
censorred	- (thống kê) bị thiếu; đã kiểm duyệt
censorship [01/'sensə∫ip/]	[01* dtừ]\n- cơ quan kiểm duyệt\n- quyền kiểm duyệt\n- công tác kiểm duyệt
censurability	như [03censurableness]
censurable [01/'sen∫ərəbl/]	[01* ttừ]\n- đáng phê bình, đáng chỉ trích, đáng khiển trách
censurableness	- xem [03censurable] 
censurably	như [03censurableness]
censure [01/'sen∫ə/]	[01* dtừ]\n- sự phê bình, sự chỉ trích, sự khiển trách\n- lời phê bình, lời khiển trách\n[01* ngđtừ]\n- phê bình, chỉ trích, khiển trách
censurer	- xem [03censure] 
census [01/'sensəs/]	[01* dtừ]\n- sự điều tra số dân
census taker [01/'sensəs'teikə/]	[01* dtừ]\n- cán bộ điều tra số dân (đi từng nhà) 
census-paper [01/'sensəs,peipə/]	[01* dtừ]\n- bản khai (tên tuổi...) trong cuộc điều tra số dân
cent [01/sent/]	[01* dtừ]\n- đồng xu (bằng 1 qoành 00 đô la)\n[02= red cent] (Mỹ) đồng xu đồng\n[04! I don't care a cent]\n- xem [03care] 
cental [01/'sentl/]	[01* dtừ]\n- tạ Anh (bằng 45kg36) 
centare [01/'senteə/]	- Cách viết khác : [03centiare]
centaur [01/'sentɔ:/]	[01* dtừ]\n- quái vật đầu người, mình ngựa, người ngựa (thần thoại Hy lạp)\n- (bóng) người cưỡi ngựa giỏi\n- (Centaur)(thiên văn) chòm sao nhân mã, chòm sao người ngựa
centel [01/'sentl/]	[01* dtừ]\n- tạ Anh (bằng 45 kg 36) 
centenarian [01/,senti'neəriən/]	[01* ttừ]\n- sống trăm tuổi\n[01* dtừ]\n- người sống trăm tuổi
centenary [01/sen'ti:nəri/]	[01* ttừ]\n- trăm năm\n[01* dtừ]\n- thời gian trăm năm, thế kỷ\n- lễ kỷ niệm một trăm năm; sự làm lễ kỷ niệm một trăm năm
centennial [01/sen'tenjəl/]	[01* ttừ]\n- sống trăm năm, trăm tuổi\n- một trăm năm một lần\n- (thuộc) lễ kỷ niệm một trăm năm
centennially [01/sen'tenjəli/]	[01* phtừ]\n- một trăm năm một lần
center (centre)	- trung tâm // đặt vào tâm\n- c. of a bundle tâm của một chùm\n- c. of buyoancy tâm nổi\n- c. of s cirele tâm vòng tròn\n- c. of compresssion tâm nén\n- c. of a conic tâm của một cônic\n- c. of curvature tâm cong\n- c. of figure tâm một hình\n- c. of flexure tâm uốn\n- c. of gravity trọng tâm\n- c. of a group tâm của một nhóm\n- c. of homology tâm thấu xạ\n- c. of inversion tâm nghịch đảo\n- c. of isologue tâm đối vọng\n- c. of mass tâm khối\n- c. of mean distance tâm khoảng cách trung bình\n- c. of moment tâm mômen\n- c. of oscillation tâm dao động\n- c. of a pencil tâm một bó\n- c. of percussion tâm kích động\n- c. of perspectivity tâm phối cảnh\n- c. of projection tâm chiếu\n- c. of a quadratic complex tâm một mớ bậc hai\n- c. of a quadric tâm một quadric\n- c. of a range tâm của một miền biến thiên\n- c. of similarity tâm đồng dạng\n- c. of sphere tâm hình cầu\n- c. of surface tâm của mặt\n- c. of suspension tâm treo\n- c. of twist tâm xoắn\n- aerodynamic c. tâm áp\n- computation c. trung tâm tính toán\n- elastic c. tâm dàn hồi\n- harmonic c. tâm điều hoà\n- instantaneous c. tâm tức thời\n- median c. tk tâm (trung vị; međian)\n- radical c. tâm đẳng phương\n- ray c. tâm vị tự\n- shear c. tâm trượt, tâm cắt
center [01/'sentə/]	[01* dtừ & đtừ]\n- (Mỹ)(như) [03centre] 
center frequency	- (kỹ) tần số giữa, trung tần (khi biến điệu tần số) 
centering	- (kỹ) chỉnh tâm
centering coil	- (kỹ) cuộn dây chỉnh tâm
centesimal [01/sen'tesiməl/]	[01* ttừ]\n- chia làm trăm phần, bách phân
centesimal graduation	- (kỹ) thang bách phân
centesimally	- xem [03centesimal] 
centi	- (kỹ) phần trăm, centi
centibar [01/'sentiba:/]	[01* dtừ]\n- centiba (đơn vị đo khí áp) 
centigrade [01/'sentigreid/]	[01* ttừ]\n- chia trăm độ, bách phân
centigram [01/'sentigræm/]	như [03centigramme]
centigramme [01/'sentigræm/]	[01* dtừ]\n- xentigam
centile	- (kỹ) bách phân vị
centiliter [01/'senti,mi:tə/]	như [03centilitre]
centilitre [01/'sentili:tə(r) /]	[01* dtừ]\n- xentilit
centime [01/'sɑ:nti:m/]	[01* dtừ]\n- xentilit (một phần trăm frăng của Pháp) 
centimeter [01/'senti,mi:tə/]	như [03centimetre]
centimetre [01/'senti,mi:tə/]	[01* dtừ]\n- xentimet
centimetre-gram-second [01/'senti,mi:tə'græm'sekənd/]	[01* dtừ]\n- hệ thống đơn vị dựa trên centimet là đơn vị chiều dài, gram là đơn vị khối lượng; giây là đơn vị thời gian
centimetric [01/,senti'metrik/]	[01* ttừ]\n- thuộc centimet
centimo [01/'sentimou/]	[01* dtừ] s/n [02cetimos]\n- đồng xu bằng 1 / 100 đơn vị cơ bản tiền Tây Ban Nha và một số nước Nam Mỹ
centipede [01/'sentipi:d/]	[01* dtừ]\n- (động vật) con rết\n- động vật nhiều chân
centner [01/'sentnə/]	[01* dtừ]\n- tạ Đức (bằng 50kg) 
