chaton [01/∫æ'touη/]	[01* dtừ]\n- mặt nhẫn
chatoyant [01/∫ə'təjənt/]	[01* ttừ]\n- óng ánh nhiều màu\n[01* dtừ]\n- viên ngọc óng ánh nhiều màu
chattel [01/'t∫ætl/]	[01* dtừ, (thường) số nhiều]\n- động sản\n[02= chattel mortgage] (Mỹ) sự cám đồ, sự cược đồ (động sản)\n[04! to be the chatttel of]\n- là vật sở hữu của (nói về người nô lệ)\n[04! chattel slavery system]\n- chế đọ chiếm hữu nô lệ\n[04! to go away with all one's goods and chattels]\n- tếch đi với tất cả đồ tế nhuyễn của riêng tây
chatter [01/'t∫ætə/]	[01* dtừ]\n- tiếng hót líu lo, tiếng ríu rít (chim) ; tiếng róc rách (suối)\n- sự nói huyên thiên, sự nói luôn mồm (người)\n- tiếng lập cập (răng)\n- tiếng lạch cạch (của máy bị xọc xạch, bị jơ)\n[01* nđtừ]\n- hót líu lo, hót ríu rít (chim) ; róc rách (suối)\n- nói huyên thiên, nói luôn mồm\n- lập cập (răng đập vào nhau)\n- kêu lạch cạch (máy bị xọc xạch, bị jơ)\n[04! to chatter like a magpie]\n- nói như khướu
chatterbox [01/'t∫ætəbɔks/]	[01* dtừ]\n- đứa bé nói líu lo\n- người ba hoa, người hay nói huyên thiên\n- (Mỹ),(lóng) súng liên thanh
chatterer [01/'t∫ætərə/]	[01* dtừ]\n- người ba hoa, người hay nói huyên thiên
chatter-resistant [01/'t∫ætə'ri'zistənt/]	[01* ttừ]\n- chống rung
chattily [01/'t∫ætili/]	[01* phtừ]\n- dông dài, huyên thuyên
chattiness [01/'t∫ætinis/]	[01* dtừ]\n- sự ăn nói huyên thuyên, sự ăn nói ba hoa
chatty [01/'t∫æti/]	[01* ttừ]\n- thích nói chuyện phiếm, thích tán gẫu, hay chuyện trò\n- (qsự),(lóng) bẩn, tởm, nhếch nhác
chauffer [01/'t∫ɔ:fə/]	[01* dtừ]\n- lò than nhỏ, lồng ấp
chauffeur [01/'∫oufə/]	[01* dtừ]\n- người lái xe
chaulmoogra [01/t∫ɔl'mu:grə/]	[01* dtừ]\n- (thực vật) cây chùm bao, cây đại phong tử\n[02= chaulmoogra oil] dầu đại phong tử (để chữa bệnh hủi) 
chauvinism [01/'∫ouvinizm/]	[01* dtừ]\n- chủ nghĩa sô vanh
chauvinist [01/'∫ouvinist/]	[01* ttừ]\n- sô vanh chủ nghĩa, sô vanh\n[01* dtừ]\n- người theo chủ nghĩa sô vanh
chauvinistic [01/,∫ouvi'nistik/]	[01* dtừ]\n- người theo chủ nghĩa sô vanh\n[01* ttừ]\n- có tính chất sô vanh
chauvinistically [01/,∫ouvi'nistikəli/]	[01* phtừ]\n- có tính cách bá quyền, hống hách
chaw [01/t∫ɔ:/]	[01* dtừ]\n- (tục) sự nhai\n- mồi thuốc lá nhai\n[01* ngđtừ]\n- uộc) qĩu (Mỹ) đánh nhừ tử
chaw-bacon [01/'t∫ɔ:,beikən/]	như [03châteaux]
chayka [01/'t∫eikə/]	[01* dtừ]\n- xem [03cheka] 
chayote [01/t∫a:'joutei/]	[01* dtừ]\n- (thực vật) cây su su
chb [01/,si: eit∫ 'bi/]	[01* (vt)]\n- Cử nhân chuyên ngành phẫu thuật ([03Bachelor of Surgery]) 
cheap [01/t∫i:p/]	[01* ttừ]\n- rẻ, rẻ tiền; đi tàu xe hạng ít tiền\n[02= cheap seats] chỗ ngồi rẻ tiền\n[02= cheap music] âm nhạc rẻ tiền\n[02= a cheap jest] trò đùa rẻ tiền\n[02= cheap trip] cuộc đi chơi bằng tàu xe hạng ít tiền\n[02= cheap tripper] người đi chơi bằng tàu xe hạng ít tiền\n- ít giá trị, xấu\n- hời hợt không thành thật\n[02= cheap flattery] sự tâng bốc không thành thật\n[04! cheapest is the dearest]\n- (tục ngữ) của rẻ là của ôi\n[04! to feel cheap]\n- (lóng) thấy khó chịu, thấy khó ở\n[04! to hold someone cheap]\n- khinh ai, coi thường ai\n[04! to make oneself cheap]\n- ăn ở không ra gì để cho người ta khinh\n[01* phtừ]\n- rẻ, rẻ mạt; hạ, hạ giá\n[02= to get (buy) something cheap] mua vật gì rẻ\n[02= to sell something cheap] bán vật gì rẻ\n[01* dtừ]\n- on the cheap rẻ, rẻ tiền
cheap jack [01/'tʃi:pdʤæk/]	[01* dtừ]\n- người bán rong
cheapen [01/'t∫i:pən/]	[01* dtừ]\n- hạ giá; làm giảm giá; làm sụt giá; làm giảm giá trị
cheapener	- xem [03cheapen] 
cheapish [01/'∫i:pi∫/]	[01* ttừ]\n- hơi rẻ, hơi hạ
cheapjack [01/'t∫i:pdʒæk/]	[01* dtừ]\n- người bán rong\n[01* ttừ]\n- vô giá trị, chẳng ra gì
cheaply [01/'t∫i:pli/]	[01* phtừ]\n- rẻ, rẻ tiền
cheapness [01/'t∫i:pnis/]	[01* dtừ]\n- sự rẻ, sự rẻ tiền (đen & bóng) 
cheap-skate [01/'t∫i:pskeit/]	[01* dtừ]\n- kẻ bần tiện
cheapskate [01/'tʃi:pskeit/]	[01* dtừ]\n- (Mỹ) người keo kiệt
cheat [01/t∫i:t/]	[01* dtừ]\n- trò lừa đảo, trò lừa bịp; trò gian lận, ngón gian\n- người lừa đảo, kẻ gian lận; tên cờ bạc bịp, tên cờ bạc gian lận\n[04! topping cheat]\n- (lóng) cái giá treo cổ\n[01* ngđtừ]\n- lừa, lừa đảo (ai)\n[02= to cheat someone (out) of something] lừa ai để lấy vật gì\n- tiêu, làm tiêu tan (thì giờ, mệt nhọc, bằng cách đi chơi...)\n[01* nđtừ]\n- gian lận; đánh bạc bịp\n- (Mỹ),(lóng) có ngoại tình; ((thường) +[02on]) không chung thuỷ
cheatable [01/'t∫i:təbl/]	[01* ttừ]\n- có thể lừa bịp được
cheater [01/'t∫i:tə/]	[01* dtừ]\n- người lừa đảo, người gian lận; tên cờ bạc bịp
cheatingly	- xem [03cheat] 
cheattee [01/'t∫i:ti:/]	như [03chiseller]
check [01/t∫ek/]	[01* dtừ]\n- (Mỹ)(như) [03cheque]\n[01* dtừ]\n- sự cản trở, sự ngăn cản; sự kìm hãm; sự hạn chế; sự chặn lại; người chống cự, người ngăn cản, vật cản\n[02= to put a check on something] cản trở việc gì; kìm hãm việc gì; hạn chế việc gì\n[02= to keep a check on; to keep in check] hạn chế; kìm hãm\n[02= to hold someone in check] cản ai tiến lên, chặn đứng lại\n- (săn bắn) sự mất vết, sự mất hơi\n[02= to come to a check] mất vết, mất hơi\n- sự dừng lại, sự ngừng lại\n- (qsự) sự thua nhẹ\n[02= to meet with a check] bị thua nhẹ\n- sự kiểm tra, sự kiểm soát, sự kiểm lại; dấu ghi đã kiểm tra (đã kiểm soát)\n- hoá đơn, giấy ghi tiền (khách hàng phải trả ở khách sạn)\n- (Mỹ),(đánh bài) thẻ\n- kiểu kẻ ô vuông, kiểu ca rô; vải kẻ ô vuông, vải ca rô\n- (đánh cờ) sự chiếu tướng\n[02= check!] chiếu tướng!\n[04! to pass in (cash, hand in) one's check]\n- chết\n[01* ngđtừ]\n- cản, cản trở; chăn, ngăn chặn; kìm, kiềm chế, nén, dằn (lòng)\n[02= he couldn't check his anger] hắn không kìm được tức giận\n[02= we must check the bloody hand of imperialism] chúng ta phải chặn bàn tay đẫm máu của chủ nghĩa đế quốc\n- kiểm tra, kiểm soát; kiểm lại; đánh dấu đã kiểm soát\n[02= please, check these figures] làm ơn soát lại những con số này\n- quở trách, trách mắng\n- (Mỹ) gửi, ký gửi\n[02= have you checked all you luggage?] anh đã gửi hết hành lý chưa?\n- (đánh cờ) chiếu (tướng)\n[01* nđtừ]\n- ngập ngừng, do dự\n- dừng lại, đứng lại (chó săn; vì lạc vết, hoặc để đánh hơi)\n[04! to check in]\n- ghi tên khi đến\n- (Mỹ) ghi tên lấy phòng ở khách sạn\n[04! to check out]\n- ghi tên khi ra về (sau ngày làm việc)\n- (Mỹ) trả buồng khách sạn\n- (Mỹ),(lóng) chết ngoẻo\n[04! to check up]\n- kiểm tra, soát lại; chữa (bài) 
check bit	- (kỹ) bit kiểm
check box	- (kỹ) hộp kiểm
check character	- (kỹ) ký tự kiểm
check code	- (kỹ) mã kiểm
check digit	- (kỹ) số kiểm
check inspection [01/'t∫ek ins'pek∫n/]	[01* dtừ]\n-(y) sự khám lại để thẩm tra
check list [01/'t∫ek'list/]	[01* dtừ]\n- danh sách kiểm tra
check mate [01/,t∫ek meit/]	- (ngđtừ)(cờ) chiếu tướng, làm đối phương bí; làm thất bại; đánh bại
check sum	- (kỹ) tổng số kiểm
check up	[01* dtừ]\n- sự kiểm tra toàn diện (thường là về sức khỏe) 
checkable	- xem [03check] 
check-analysis [01/'t∫ekə'næləsis/]	[01* dtừ]\n- sự phân tích đối chiếu để kiểm tra
checkbook [01/'t∫ekbuk/]	- xem [03cheque-book] 
checked [01/t∫ekt/]	[01* ttừ]\n- kẻ ô vuông, kẻ ca rô
