adjudgement [01/ə'dʒʌdʒmənt/]	như [03adjudgment]
adjudgment [01/ə'dʒʌdʒmənt/]	[01* dtừ]\n- sự xét sử, sự phân xử\n- sự kết án, sự tuyên án\n- sự cấp cho, sự ban cho
adjudicate [01/ə'dʒu:dikeit/]	[01* đtừ]\n- xét xử (quan toà)\n- tuyên án
adjudication [01/ə,dʒu:di'kei∫n/]	[01* dtừ]\n- sự xét xử\n- sự tuyên án, quyết định của quan toà
adjudicative	- xem [03adjudicate] 
adjudicator [01/ə'dʒu:dikeitə/]	[01* dtừ]\n- quan toà
adjunct [01/'ædʒʌηkt/]	[01* dtừ]\n- điều thêm vào, cái phụ vào; vật phụ thuộc\n- người phụ việc, phụ tá\n- (ngôn) định ngữ; bổ ngữ\n- (triết học)(thuộc) tính không bản chất\n[01* ttừ]\n- phụ vào; phụ thuộc\n- phụ, phụ tá
adjunct professor [01/'ædʒʌηktprə'fesə/]	[01* dtừ]\n- (Mỹ) trợ giáo
adjunction [01/ə'dʒʌηk∫n/]	[01* dtừ]\n- sự thêm vào, sự phụ vào\n- (kỹ) phụ thêm, phụ gia
adjunctive [01/ə'dʒʌηktiv/]	[01* ttừ]\n- thêm, phụ vào; phụ thuộc
adjuration [01/,ædʒuə'rei∫n/]	[01* dtừ]\n- lời thề, lời tuyên thệ\n- sự khẩn nài, sự van nài
adjuratory	- xem [03adjuration] 
adjure [01/ə'dʒuə/]	[01* ngđtừ]\n- bắt thề, bắt tuyên thệ\n- khẩn nài, van nài
adjurer	như [03adjuror]
adjuror	- xem [03adjure] 
adjust [01/ə'dʒʌst/]	[01* ngđtừ]\n- sửa lại cho đúng, điều chỉnh\n[02= to adjust a watch] lấy lại đồng hồ\n[02= to adjust a plan] điều chỉnh một kế hoạch\n- lắp (các bộ phận cho ăn khớp)\n- chỉnh lý, làm cho thích hợp\n[02= to adjust a lesson] chỉnh lý một bài học (cho thích hợp với trình độ hoặc yêu cầu)\n- hoà giải, dàn xếp (mối bất hoà, cuộc phân tranh...)\n- (kỹ) điều chỉnh
adjustable [01/ə'dʒʌstəbl/]	[01* ttừ]\n- có thể điều chỉnh được\n- có thể làm cho thích hợp\n- có thể hoà giải được, có thể giàn xếp được (mối bất hoà, cuộc phân tranh...) 
adjustable array	- (kỹ) dẫy/mảng điều chỉnh được
adjustable capacitor	- (kỹ) bộ điện dung chỉnh được
adjustable dimension	- (kỹ) kích thước điều chỉnh được
adjustable probe	- (kỹ) đầu dò điều chỉnh được
adjustably	- xem [03adjust] 
adjuster [01/ə'dʒʌstə/]	[01* dtừ]\n- máy điều chỉnh\n- thợ lắp máy, thợ lắp ráp
adjusting	- (kỹ) điều chỉnh (d) 
adjusting screw	- (kỹ) vít điều chỉnh
adjustment [01/ə'dʒʌstmənt/]	[01* dtừ]\n- sự sửa lại cho đúng, sự điều chỉnh, sự chỉnh lý\n[02= adjustment in direction] (qsự) sự điều chỉnh hướng\n[02= adjustment in range] (qsự) sự điều chỉnh tầm\n- sự hoà giải, sự dàn xếp (mối bất hoà, cuộc phân tranh...) 
adjustment table	- (kỹ) bảng điều chỉnh
adjustor	như [03adjustably]
adjutage [01/'ædʒutidʒ/]	[01* dtừ]\n- ống vòi (ống nhỏ lắp vào miệng vòi máy nước để lấy nước) 
adjutancy [01/'ædʒutənsi/]	[01* dtừ]\n- (qsự) chức sĩ quan phụ tá; nhiệm vụ sĩ quan phụ tá
adjutant [01/'ædʒutənt/]	[01* dtừ]\n- người phụ tá\n- (qsự) sĩ quan phụ tá\n- (động vật) cò già (Ân độ)((cũng) [02adjutant bird, adjutant crane, adjutant stork] ) 
Adjutant General [01/'ædʒutənt 'dʒenərəl/]	[01* dtừ]\n- sự quan quản trị cao cấp trong quân đội
adjuvant [01/'ædʒuvənt/]	[01* ttừ]\n- giúp đỡ, phụ tá, giúp ích\n[01* dtừ]\n- người giúp đỡ, người phụ tá; vật giúp ích
