conductorial	như [03conductorship]
conductorship	- xem [03conductor] 
conductress [01/kʌn'dʌktris/]	[01* dtừ]\n- nữ nhân viên thu tiền vé xe búyt
conduit [01/'kɔndit; 'kɔndju:it/]	[01* dtừ]\n- máng nước\n- ống cách điện
conduplicate [01/kən'dju:plikit/]	[01* ttừ]\n- (thực vật) gập đôi (lá, cánh hoa) 
conduplication	- xem [03conduplicate] 
condylar	- xem [03condyle] 
condyle [01/'kɔndil/]	[01* dtừ]\n- (phẫu) cục lõi (ở đầu xương), lõi cầu
condyloid	như [03condylar]
condyloma [01/kɔndi'loumə/]	[01* dtừ]\n- (y) condilom
condylomatous [01/kɔndi'loumətəs/]	[01* ttừ]\n- (y) thuộc về condilom
cone [01/koun/]	[01* dtừ]\n- hình nón; vật hình nón\n- (thực vật) nón\n- (động vật) ốc nón\n- (hàng hải) tín hiệu báo bão (hình nón)\n- (số nhiều) bột áo (bột mịn để xoa bột bánh mì đã nhào)\n[01* ngđtừ]\n- làm thành hình nón\n[02= to be coned] bị đèn pha chiếu chụm vào; bị đèn pha phát hiện (máy bay)\n[01* nđtừ]\n- có hình nón
cone antenna	- (kỹ) ăngten hình nón
cone loudspeaker	- (kỹ) loa (có) vành loe
cone-shaped [01/'koun∫eipt/]	[01* ttừ]\n- có hình nón
conet	- (tô pô) đối lưới
coney [01/'kouni/]	như [03cony]
confab [01/'kɔnfæb/]	[01* dtừ]\n- (tục) câu chuyện; chuyện phiếm, chuyện tán phét\n[01* nđtừ]\n- nói chuyện; nói chuyện phiếm, tán phét
confabulate [01/kən'fæbjuleit/]	[01* nđtừ]\n- nói chuyện; nói chuyện phiếm, tán phét
confabulation [01/kən,fæbju'lei∫n/]	[01* dtừ]\n- sự nói chuyện; sự nói chuyện phiếm, sự tán phét
confabulator	như [03confabulatory]
confabulatory	- xem [03confabulate] 
confection [01/kən'fek∫n/]	[01* dtừ]\n- sự pha chế\n- quả đóng hộp; mứt; kẹo\n- áo quần may sẵn (của phụ nữ)\n[01* ngđtừ]\n- làm, chế, pha chế
confectioner [01/kən'fek∫ənə/]	[01* dtừ]\n- người làm mứt kẹo\n- người bán mứt kẹo
confectionery [01/kən'fek∫nəri/]	[01* dtừ]\n- mứt; kẹo\n- cửa hàng mứt kẹo
confederacy [01/kən'fedərəsi/]	[01* dtừ]\n- liên minh\n- liên bang\n- sự âm mưu, cuộc âm mưu; sự cấu kết
confederalist [01/kən'fedərəlist/]	[01* dtừ]\n- người theo thuyết liên bang
confederat [01/kən'fedəreit/]	[01* đtừ]\n- liên minh; liên hiệp với (+ with)\n- kết đảng
