conglomerator	như [03conglomeratic]
conglutinate [01/kən'glu:tineit/]	[01* đtừ]\n- dán lại (bằng hồ) ; dính lại
conglutination	- xem [03conglutinate] 
conglutinative [01/kən'glu:tinətiv/]	[01* ttừ]\n- kết dính
conglutinator [01/kən'glu:tineitə/]	[01* dtừ]\n- thuốc làm vết thương dính miệng
conglutinous [01/kən'glu:tinəs/]	như [03conglutinative]
congou [01/'kɔηgu:/]	[01* dtừ]\n- chè công phu (một thứ chè đen Trung quốc) 
congratulate [01/kən'grætjuleit/]	[01* ngđtừ]\n- chúc mừng, khen ngợi\n[02= to congratulate someone on something] mừng ai về việc gì\n[02= to congratulate oneself on something] tự mình lấy làm sung sướng (vui thích) về một việc gì, mừng cho mình về việc gì
congratulation [01/kən,grætju'lei∫n/]	[01* dtừ]\n- sự chúc mừng, sự khen ngợi\n- ((thường) số nhiều) lời chúc mừng, lời khen ngợi\n[02= please accept my congratulations] xin anh hãy nhận những lời chúc mừng của tôi
congratulator [01/kən'grætjuleitə/]	[01* dtừ]\n- người chúc mừng, người khen ngợi
congratulatory [01/kən'grætjulətəri/]	[01* ttừ]\n- để chúc mừng, để khen ngợi\n[02= congratulatory letter] thư chúc mừng
congregate [01/'kɔηgrigeit/]	[01* đtừ]\n- tập hợp, tụ hợp, nhóm hợp, hội nghị\n[02= to congregate troops] tập hợp quân\n- thu nhập, thu nhặt, thu góp\n[02= to congregate documents] thu góp tài liệu
congregation [01/,kɔηgri'gei∫n/]	[01* dtừ]\n- sự tập hợp, sự tụ tập, sự hội họp\n- (tôn giáo) giáo đoàn\n[02= the Congregation de Propaganda] giáo đoàn truyền giáo\n- đại hội đồng trường đại học
congregational [01/,kɔηgri'gæ∫ənl/]	[01* ttừ]\n- (tôn giáo) thuộc về giáo đoàn
congregationalism [01/kɔηgri'geit∫nəlizm/]	[01* dtừ]\n- chủ nghĩa giáo đoàn (tin lành) 
congregationalist [01/kɔηgri'gei∫nəlist/]	[01* dtừ]\n- người theo chủ nghĩa giáo đoàn
congregative	- xem [03congregate] 
congregativeness	như [03congregative]
congregator	như [03congregative]
congress [01/'kɔηgres/]	[01* dtừ]\n- sự nhóm hợp, sự hội họp\n- đại hội, hội nghị\n[02= peace congress] đại hội hoà bình\n[02= medical congress] hội nghị y tế\n- (Congress) quốc hội (gồm thượng nghị viện và hạ nghị viện)(Mỹ, Phi-líp-pin, Châu mỹ la-tinh trừ Cu-ba)\n[02= during Congress] trong khi quốc hội họp
congressional [01/kɔη'gre∫ənl/]	[01* ttừ]\n- (thuộc) đại hội, (thuộc) hội nghị\n[02= congressional debates] những cuộc tranh luận ở hội nghị\n- (Congressional)(thuộc) quốc hội (Mỹ, Phi-líp-pin, Châu mỹ la-tinh trừ Cu-ba) 
