consecrative	như [03consecratory]
consecrator	như [03consecratory]
consecratory	- xem [03consecrate] 
consecution [01/,kɔnsi'kju:∫n/]	[01* dtừ]\n- sự\n- (ngôn) sự phối hợp (các thời) 
consecutive [01/kən'sekjutiv/]	[01* ttừ]\n- liên tục, liên tiếp, tiếp liền nhau\n[02= three consecutive days] ba ngày liên tiếp\n[02= many consecutive grenerations] mấy đời tiếp liền nhau
consecutive bytes	- (kỹ) bai tuần tự
consecutively [01/kən'sekjutivli/]	[01* phtừ]\n- liên tiếp, dồn dập
consecutiveness [01/kən'sekjutivnis/]	[01* dtừ]\n- sự liên tục, sự liên tiếp, sự tiếp liền nhau
consenescence [01/,kɔnsi'nesns/]	[01* dtừ]\n- sự suy nhược vì già, sự lão suy
consensual [01/kən'sensjuəl/]	[01* ttừ]\n- (sinh vật) liên ứng
consensually	- xem [03consensual] 
consensus [01/kən'sensəs/]	[01* dtừ]\n- sự đồng lòng, sự đồng tâm, sự nhất trí\n[02= consensus of opinion] sự nhất trí ý kiến\n- (sinh vật) sự liên ứng
consent [01/kən'sent/]	[01* dtừ]\n- sự đồng ý, sự ưng thuận, sự bằng lòng, sự thoả thuận; sự tán thành)\n[02= by greneral (common) consent] do sự ưng thuận chung, được toàn thể nhất trí tán thành\n[02= by mutual consent] do hai bên bằng lòng\n[02= with one consent] được toàn thể tán thành\n[02= to carry the consent of somebody] được sự tán thành của ai\n[04! age of consent]\n- tuổi kết hôn, tuổi cập kê\n[04! silence gives consent]\n- xem [03silence]\n[01* nđtừ]\n- đồng ý, ưng thuận, thoả thuận; tán thành\n[02= to consent to a plan] tán thành một kế hoạch
consentaneity [01/kən'sentə'ni:iti/]	[01* dtừ]\n- sự hoà hợp, sự thích hợp\n- sự đồng ý; sự nhất trí
consentaneous [01/,kɔnsen'teiniəs/]	[01* ttừ]\n- hoà hợp, thích hợp\n- đồng ý; nhất trí
consentaneously	- xem [03consentaneous] 
consenter	- xem [03consent] 
consentient [01/kən'sen∫ənt/]	[01* ttừ]\n- đồng ý, bằng lòng, ưng thuận; tán thành, nhất trí
consequence [01/'kɔnsikwəns/]	[01* dtừ]\n- hậu quả, kết quả\n[02= to take the consequence of something] chịu hậu quả của việc gì\n[02= in consequence of] do kết quả của\n- (toán) hệ quả\n- tầm quan trọng, tính trọng đại\n[02= it's of no consequence] cái đó không có gì quan trọng; cái đó chả thành vấn đề\n[02= a person of consequence] người tai mắt, người có vai vế, người có địa vị cao\n[04! by way of consequences; in consequences]\n- vì thế, vậy thì, như vậy thì
consequent [01/'kɔnsikwənt/]	[01* ttừ]\n- do ở, bởi ở, là hậu quả của, là kết quả của\n[02= the confusion consequent upon the earthquake] sự hỗn loạn do động đất gây nên\n- hợp lý, lôgíc\n[01* dtừ]\n- hậu quả tất nhiên, kết quả tất nhiên\n- (toán) dố thứ hai trong tỷ lệ\n- (ngôn) mệnh đề kết quả
consequential [01/,kɔnsi'kwen∫l/]	[01* ttừ]\n- do hậu quả, do kết quả; là kết quả lôgíc của\n- tự phụ, tự mãn, tự đắc\n[02= a consequential air] vẻ tự đắc
consequentiality	- xem [03consequential] 
consequentially [01/,kɔnsi'kwen∫əli/]	[01* phtừ]\n- tự đắc, kiêu căng\n- do đó, do vậy
consequently [01/'kɔnsikwəntli/]	[01* phtừ]\n- do đó, vì vậy cho nên, bởi thế; vậy thì
conservable [01/kən'sə:vəbl/]	[01* ttừ]\n- có thể bảo tồn, có thể lưu giữ
conservancy [01/kən'sə:vənsi/]	[01* dtừ]\n- sự bảo vệ (của nhà nước đối với rừng, núi, sức khoẻ nhân dân...)\n[02= forest conservancy] sự bảo vệ rừng\n- uỷ ban bảo vệ sông cảng
conservation [01/,kɔnsə:'vei∫n/]	[01* dtừ]\n- sự giữ gìn, sự duy trì, sự bảo tồn, sự bảo toàn\n[02= conservation of energy] sự bảo toàn năng lượng
conservational	- xem [03conservation] 
conservationist [01/kənsə:'vei∫ənist/]	[01* dtừ]\n- người ủng hộ công cuộc bảo vệ môi trường thiên nhiên
conservatism [01/kən'sə:vətizm/]	[01* dtừ]\n- chủ nghĩa bảo thủ
conservative [01/kən'sə:vətiv/]	[01* ttừ]\n- để giữ gìn, để duy trì, để bảo tồn, để bảo toàn\n- bảo thủ, thủ cựu\n[02= conservative views] quan điểm bảo thủ\n[02= the Conversative party] đảng bảo thủ (Anh)\n- thận trọng, dè dặt; vừa phải, phải chăng\n[02= conservative estimate] sự ước lượng dè dặt\n[01* dtừ]\n- người bảo thủ, người thủ cựu\n- đảng viên đảng bảo thủ (Anh) 
conservative party	- Đảng Bảo thủ (Anh) 
conservatively [01/kən'sə:vətivli/]	[01* phtừ]\n- dè dặt\n- bảo thủ
conservativeness	- xem [03conservatively] 
conservatize [01/kən'sə:vətaiz/]	[01* đtừ]\n- (làm cho) trở thành bảo thủ
conservatoire [01/kən'sə:vətwɑ:/]	[01* dtừ]\n- trường nhạc
conservator [01/'kɔnsə:veitə/]	[01* dtừ]\n- người giữ gìn, người bảo vệ, người bảo quản\n- chuyên viên bảo quản
conservatorial	như [03conservatorship]
conservatorship	- xem [03conservator] 
conservatory [01/kən'sə:vətri/]	[01* dtừ]\n- nhà kính (trồng cây)\n- (như) [03conservatoire] 
conserve [01/kən'sə:v/]	[01* dtừ, (thường) số nhiều]\n- mứt, mứt quả\n[01* ngđtừ]\n- giữ gìn, duy trì, bảo tồn, bảo toàn\n[02= to conserve one's strength] giữ gìn sức khoẻ; bảo toàn lực lượng\n- chế thành mứt
conserver	- xem [03conserve] 
consider [01/kən'sidə/]	[01* đtừ]\n- cân nhắc, xem xét, suy xét, suy nghĩ\n[02= all things considered] sau khi đã cân nhắc mọi điều\n- để ý đến, quan tâm đến, lưu ý đến\n[02= to consider the feelings of other people] quan tâm đến những tình cảm của người khác\n- xem như, coi như\n[02= he considers himself very important] tự nó coi mình là quan trọng lắm\n- có ý kiến là
considerable [01/kən'sidərəbl/]	[01* ttừ]\n- đáng kể, to tát, lớn\n[02= a considerable distance] khoảng cách đáng kể\n[02= considerable expense] khoản chi tiêu lớn\n- có vai vế, có thế lực quan trọng (người)\n[02= a considerable person] người quan trọng, người có vai vế\n[01* dtừ]\n- (Mỹ),(tục) số lượng lớn, số lượng đáng kể
considerably [01/kən'sidərəbli/]	[01* phtừ]\n- đáng kể, lớn lao, nhiều\n[02= it's considerably colder this morning] sáng nay rét hơn nhiều
considerate [01/kən'sidərit/]	[01* ttừ]\n- ân cần, chu đáo, hay quan tâm tới người khác\n[02= to be considerate towards (to) someone] ân cần chu đáo với ai\n[02= it is very considerate of you] anh thật chu đáo quá\n- (cổ) cẩn thận, thận trọng
considerately [01/kən'sidəritli/]	[01* phtừ]\n- thận trọng, chu đáo, y tứ
considerateness [01/kən'sidəritnis/]	[01* dtừ]\n- sự ân cần, sự chu đáo, sự hay quan tâm tới người khác
consideration [01/kən,sidə'rei∫n/]	[01* dtừ]\n- sự cân nhắc, sự suy xét, sự nghiên cứu, sự suy nghĩ\n[02= under consideration] đáng được xét, đáng được nghiên cứu\n[02= to give a problem one's careful consideration] nghiên cứu kỹ vấn đề, cân nhắc kỹ vấn đề\n[02= to leave out of consideration] không xét đến, không tính đến\n[02= to take into consideration] xét đến, tính đến, quan tâm đến, lưu ý đến\n- sự để ý, sự quan tâm, sự lưu ý\n- sự tôn kính, sự kính trọng\n[02= to show great consideration for] tỏ lòng tôn kính (ai)\n- sự đền bù, sự đền đáp; sự bồi thường; tiền thưởng, tiền công\n[02= for a consideration] để thưởng công\n- cớ, lý do, lý\n[02= he will do it on no consideration] không một lý do gì mà nó sẽ làm điều đó\n- (hiếm) sự quan trọng\n[02= it's of no consideration at all] vấn đề chẳng có gì quan trọng cả\n[04! in consideration of]\n- xét đến, tính đến; vì lẽ\n- để đền bù, để đền ơn\n[04! upon further consideration]\n- sau khi nghiên cứu thêm, sau khi suy xét kỹ
considerer	- xem [03consider] 
considering [01/kən'sidəriη/]	[01* gtừ]\n- vì rằng, thấy rằng, xét rằng\n[02= it was not so bad considering it was his first attempt] cái đó cũng không đến nỗi quá tồi, xét vì đó là lần thử đầu tiên của anh ta\n- xét cho kỹ, xét cho đến cùng\n[02= you were pretty lucky considering] xét cho đến cùng thì anh ta cũng khá may mắn thật
consign [01/kən'sain/]	[01* ngđtừ]\n- gửi (tiền, hàng hoá) ; gửi (hàng hoá) để bán\n- uỷ thác, ký thác; giao phó\n[02= to consign a child to his uncle's care] giao phó con cho chú nuôi
consignable	- xem [03consign] 
consignation [01/,kɔnsai'nei∫n/]	[01* dtừ]\n- sự gửi; sự gửi (hàng) để bán\n[02= to the consignation of Mr. X] gửi cho ông X\n- tiền gửi ngân hàng\n- sự trả tiền chính thức cho người được pháp luật chỉ định
consignee [01/,kənsai'ni:/]	[01* dtừ]\n- người nhận, người nhận hàng gửi để bán
consigner [01/kən'sainə/]	[01* dtừ]\n- người gửi, người gửi hàng gửi để bán
consignment [01/kən'sainmənt/]	[01* dtừ]\n- sự gửi (hàng hoá) ; sự gửi hàng để bán\n[02= goods for consignment to the provinces and abroad] hàng hoá để gửi đi các tỉnh và nước ngoài\n[02= to send someone goods on consignment] gửi hàng hoá cho người nào bán\n[02= your consignment of book has duly come to hand] chúng tôi đã nhận được sách của ông gửi đến\n[02= to the consignment of Mr. X] gửi ông X\n[02= consignment note] phiếu gửi hàng\n- gửi hàng để bán
consignor [01/kən'sainə/]	như [03consigner]
consilience [01/kən'siliəns/]	[01* dtừ]\n- sự trùng hợp, sự ăn khớp
consilient [01/kən'siliənt/]	[01* ttừ]\n- trùng hợp, ăn khớp
consist (of)	- gồm, bao gồm
consist [01/kən'sist/]	[01* nđtừ]\n- (+[04 of]) gồm có\n[02= water consists of hydrogen] nước gồm có hydrô và ôxy\n- (+[04 in]) cốt ở, cốt tại, ở chỗ\n[02= happiness consists trying one's best to fulfill one's duty] hạnh phúc là ở chỗ cố gắng hết sức mình hoàn thành nhiệm vụ\n- (+[04 with]) phù hợp\n[02= to consist with something] phù hợp với việc gì
