kaolin	258-2603-B
kaolinisation	258-2648-B
kaolinise	258-2726-B
kaolinite	258-2785-B
kaolinization	258-2838-B
kaolinize	258-2910-B
kapellmeister	258-2958-B
kaph	258-3014-B
kapok	258-3092-B
kappa	258-3140-B
kaptan	258-3223-B
kaput	258-3278-B
karabiner	258-3403-B
karakul	258-3528-B
karaoke	258-3599-B
karat	258-3800-B
karate	258-3879-B
karateist	258-3935-B
karelian	258-3963-B
karen	258-4088-B
kari	215-15800-S
karma	258-4280-B
karmic	258-4342-B
karoo	258-4366-B
kaross	258-4442-B
karri	258-4528-B
karst	258-4584-B
karstic	258-4633-B
kart	258-4695-B
kartel	258-4750-B
kartell	258-4841-B
karting	258-5154-B
karyokinesis	258-5220-B
karyokinetic	258-5309-B
karyologic	258-5393-B
karyology	258-5483-B
karyolymph	258-5554-B
karyoplasm	258-5658-B
karzy	258-5731-B
kasbah	258-5814-B
kashmir goat	258-5867-B
kashmiri	258-5994-B
kashruth	258-6123-B
kat	258-6356-B
kata	258-6515-B
katabatic	258-6591-B
katabolism	258-6676-B
katamorphic	258-6728-B
katamorphism	258-6807-B
katharevusa	258-6927-B
katharsis	258-7060-B
kathode	258-7120-B
kation	258-7161-B
katytid	258-7201-B
kauri	258-7273-B
kava	258-7381-B
kavass	258-7468-B
kayak	258-7568-B
kayaker	258-7603-B
kayo	258-7628-B
kazi	258-7703-B
kazoo	258-7734-B
kb	258-7794-B
kbe	258-7958-B
kc	258-8129-B
kea	258-8217-B
kebab	258-8297-B
keck	258-8348-B
keckle	258-8440-B
ked	258-8532-B
keddah	258-8581-B
kedge	258-8617-B
kedgeree	258-8863-B
keek	258-8959-B
keel	258-9088-B
keelhaul	258-9583-B
keelson	258-9741-B
keen	258-9898-B
keen set	258-11905-B
keener	258-11236-B
keenly	258-11259-B
keenness	258-11337-B
keep	258-12046-B
keep fit	258-20478-B
keeper	258-20566-B,44-29439-S,55-88-S,56-19096-S,103-7691-S,137-7914-S,197-7997-S,203-34154-S,226-1776-S,273-256-S,399-4219-S,471-10961-S,514-28131-S,525-12841-S
keeping	258-20978-B,44-29549-S,55-249-S,103-7768-S,223-26095-S,398-3166-S
keeping room	258-21761-B
keepnet	258-21828-B
