antitype	24-14329-B
antityphoid	24-14401-B
antitypical	24-14472-B
antiunemployment	24-14504-B
antiunion	24-14594-B
antivenene	24-14662-B
antivenin	24-14761-B
antivibration	24-14832-B
antiviolence	24-14868-B
antiviral	24-14981-B
antivirulent	24-15041-B
antivirus	24-15107-B
antivivisection	24-15260-B
antiwar	24-15346-B
antiwhite	24-15409-B
antiwrinkle	24-15471-B
antizionist	24-15537-B
antler	24-15739-B,59-23604-S
antlered	24-15824-B
antonomasia	24-15972-B
antonym	24-16056-B
antonymic	24-16114-B
antonymous	24-16143-B
antonymy	24-16173-B
antra	24-16201-B
antral	24-16240-B
antre	24-16265-B
antrum	24-16330-B
antwerp	24-16490-B
anura	24-16584-B
anuria	24-16661-B
anuroid	24-16718-B
anurous	24-16780-B
anury	24-16855-B
anus	24-16935-B
anuual	25-0-B
anvil	25-21-B
anvil beak	25-358-B
anvil bed	25-411-B
anvil block	25-463-B
anxiety	25-514-B
anxious	25-857-B
anxiously	25-1451-B
anxiousness	25-1539-B
any	25-1570-B
any more	25-2969-B
any time	25-3174-B
anybody	25-3279-B
anyhow	25-3790-B
anymore	25-4434-B
anyone	25-4471-B
anyplace	25-4575-B
anything	25-4633-B
anytime	25-5874-B
anyway	25-5905-B
anywhere	25-5942-B
anywise	25-6155-B
anzac	25-6322-B
aorist	25-6719-B
aoristic	25-6887-B
aoristically	25-6966-B
aorta	25-6997-B
aortal	25-7064-B
aortic	25-7088-B
apa graphic	25-7157-B
apace	25-7197-B
apache	25-7317-B
apanage	25-7481-B
aparejo	25-7658-B
apart	25-7761-B
apartheid	25-8468-B
apartment	25-8552-B,142-18456-S,448-10684-S
apartment block	25-8776-B
apartness	25-8843-B
apatetic	25-8870-B
apathetic	25-8939-B
apathetically	25-9040-B
apathy	25-9130-B
apatite	25-9247-B
ape	25-9304-B,41-21112-S,306-3254-S
ape like	25-9874-B
ape man	25-9948-B
apeak	25-9492-B
apec	25-9629-B
apedicellate	25-9751-B
apelike	25-9815-B
apepsia	25-10005-B
apepsy	25-10046-B
aper	25-10108-B
apercu	25-10128-B
aperient	25-10197-B
aperiodic	25-10244-B
aperitif	25-10318-B
aperitive	25-10378-B
apertural	25-10423-B
aperture	25-10453-B,22-3186-S,65-11284-S,79-17583-S,151-4696-S
apery	25-10677-B
apetalous	25-10797-B
apetaly	25-10876-B
apex	25-10905-B
aphaeresis	25-11109-B
aphaeretic	25-11195-B
aphanipterous	25-11228-B
aphasia	25-11294-B
aphasiac	25-11425-B
aphasic	25-11512-B
aphelia	25-11630-B
aphelion	25-11674-B
apheliotropic	25-11810-B
apheliotropism	25-11910-B
aphesis	25-12018-B
aphetic	25-12142-B
aphetically	25-12276-B
aphetion	25-12307-B
aphetize	25-12354-B
aphides	25-12472-B
aphidian	25-12561-B
aphidicide	25-12633-B
aphis	25-12704-B
aphonia	25-12740-B
aphonic	25-12781-B
aphonous	25-12834-B
aphony	25-12877-B
aphorism	25-12940-B
aphorismic	25-12986-B
aphorist	25-13084-B
aphoristic	25-13117-B
aphoristically	25-13168-B
aphotic	25-13203-B
aphototropic	25-13355-B
aphototropism	25-13421-B
aphrodisiac	25-13495-B
aphrodisiacal	25-13622-B
aphtha	25-13659-B
aphthae	25-13698-B
aphyllous	25-13780-B
aphylly	25-13847-B
api	25-13876-B
apian	25-13973-B
apiarian	25-14039-B
apiarist	25-14090-B
apiary	25-14137-B
apical	25-14218-B
apically	25-14349-B
apices	25-14376-B
apiculate	25-14548-B
apiculiform	25-14620-B
apicultural	25-14690-B
apiculture	25-14771-B
apiculturist	25-14836-B
apiculus	25-14896-B
apiece	25-14967-B
apilary	25-15176-B
apileate	25-15247-B
apiologist	25-15313-B
apiology	25-15391-B
apish	25-15465-B
apishly	25-15666-B
apishness	25-15691-B
apisination	25-15824-B
apitoxin	25-15902-B
apivorous	25-15956-B
apl	25-16008-B
aplacental	25-16041-B
aplanat	25-16131-B
aplanatic	25-16214-B
aplanatic lens	25-16292-B
aplanatism	25-16345-B
aplanetic	25-16436-B
aplanetism	25-16510-B
aplanogamete	25-16587-B
aplanospore	25-16664-B
aplasia	25-16737-B
aplenty	25-16877-B
aplerotic	25-16998-B
aplomb	25-17063-B
apnoea	25-17158-B
apobiosis	25-17219-B
apobiotic	25-17311-B
apocalypse	25-17393-B
