limber	270-9272-B
limbo	270-9405-B
lime	270-9564-B,49-9301-S,62-6812-S,172-22672-S,173-1020-S,196-18243-S,416-16838-S,423-19046-S,423-21068-S,429-55-S
lime burner	270-9874-B
lime juice	270-9937-B
lime juicer	270-10001-B
lime kiln	270-10156-B
lime pit	270-10501-B
lime tree	270-10693-B
lime twig	270-10735-B
lime wash	270-10820-B
lime water	270-10883-B
limeade	270-9810-B
limekiln	270-10112-B
limelight	270-10206-B
limen	270-10418-B
limerick	270-10568-B
limestone	270-10641-B
limey	270-10942-B
limicoline	270-11031-B
limicolous	270-11128-B
liminal	270-11221-B
limit	270-11353-B,14-14476-S,98-19414-S,434-5418-S,447-3485-S,469-24621-S
limitary	270-11723-B
limitation	270-11823-B
limitative	270-12052-B
limited	270-12105-B,92-5604-S
limited company	369-127-S
limited liability company	270-12181-B
limited monarchy	270-12440-B
limited point	270-12534-B
limited train	270-12612-B
limited war	270-12692-B
limiter	270-12765-B,36-1929-S,82-21090-S,111-459-S,129-15600-S
limiting	270-12960-B,111-26099-S,305-5749-S
limiting inductor	111-507-S
limiting resistor	111-573-S
limitless	270-13024-B
limitlessness	270-13075-B
limitrophe	270-13139-B
limits	4-15173-S,94-6545-S,310-19727-S,311-2076-S
limmer	270-13195-B
limn	270-13309-B
limner	270-13354-B
limnetic	270-13419-B
limnimeter	270-13503-B
limnologic	270-13591-B
limnological	270-13676-B
limnologist	270-13769-B
limnology	270-13839-B
limnophilous	270-13911-B
limonite	270-13975-B
limousine	270-14035-B
limp	270-14085-B
limpet	270-14334-B
limpid	270-14526-B
limpidity	270-14635-B
limpidly	270-14795-B
limpidness	270-14863-B
limpingly	270-14910-B
limply	270-14969-B
limpness	270-15028-B
limy	270-15099-B
linac	270-15198-B
linage	270-15268-B
linalool	270-15379-B
linchpin	270-15439-B
lincoln green	270-15526-B
linctus	270-15612-B
linden	270-15667-B
line	270-15730-B,12-8858-S,15-8507-S,18-13201-S,30-10755-S,31-15407-S,32-20734-S,41-18598-S,42-18323-S,44-29808-S,46-290-S,51-4035-S,55-10232-S,55-28349-S,57-8692-S,57-20645-S,59-12084-S,60-21939-S,62-14275-S,62-22180-S,66-19777-S,72-12524-S,73-18415-S,83-15254-S,87-19020-S,88-27804-S,89-14263-S,97-27602-S,97-30408-S,98-1115-S,98-1503-S,98-19466-S,107-20155-S,108-1912-S,114-15025-S,114-16836-S,115-2382-S,115-3131-S,116-1031-S,118-10316-S,120-3896-S,126-8620-S,126-11475-S,128-12878-S,145-3893-S,148-6044-S,148-15402-S,159-8427-S,168-7894-S,168-8121-S,174-3188-S,179-5044-S,179-20341-S,179-20814-S,182-9629-S,191-18631-S,199-8911-S,203-27378-S,209-13361-S,213-109-S,213-12440-S,215-10572-S,218-23813-S,225-24276-S,252-22862-S,263-18868-S,269-15250-S,272-14580-S,274-19349-S,278-17584-S,278-18366-S,279-13862-S,303-13634-S,311-2186-S,313-18030-S,319-24841-S,321-11473-S,330-19727-S,335-5324-S,348-9724-S,348-22003-S,350-19608-S,355-16290-S,363-5517-S,370-6184-S,390-21483-S,407-6680-S,414-544-S,418-2351-S,419-20751-S,428-512-S,431-24838-S,438-6896-S,438-7442-S,445-23893-S,446-6884-S,461-28180-S,463-22983-S,469-18216-S,472-30514-S,473-8025-S,473-8123-S,474-14235-S,476-7126-S,476-19605-S,479-22501-S,506-6149-S,506-6571-S,513-24054-S,516-1122-S,524-11369-S
line computer	104-8334-S
line drawing	270-22142-B
line engraving	270-19590-B
line gauge	270-19756-B
line magnetic equator	5-18888-S
line memory	120-3945-S
line of duty	270-19850-B
line officer	270-23000-B
line out	270-23115-B
line package	141-19625-S
line printer	270-19950-B
line printing	270-20023-B
line scanning	15-13846-S,150-180-S
line spectrum	270-20099-B
line subscriber	130-7001-S
line up	270-23626-B
line whip	468-3280-S
lineage	270-20163-B
lineal	270-20248-B
lineally	270-20329-B
lineament	270-20382-B
lineaments	270-20469-B
linear	270-20554-B,411-13648-S
linear accelerator	270-20829-B
linear algelra	270-20921-B
linear dependence	270-21009-B
linear function	270-21091-B
linear perspertive	270-21161-B
linear programming	270-21249-B
linear transformation	270-21332-B
linearity	270-21442-B
linearization	270-21514-B
linearize	270-21573-B
linearizing	270-21697-B
linearly	270-21769-B
linearzition	270-21808-B
lineation	270-21909-B
linebreed	270-21963-B
lined	270-22080-B,442-4560-S
linefold	270-22249-B
lineman	270-22384-B
linen	270-22588-B,44-25249-S,130-14861-S,460-6619-S
linen draper	270-22931-B
liner	270-23254-B,12-8980-S,169-18567-S,215-10667-S,216-31345-S,309-10810-S,313-12307-S,330-19834-S,330-20630-S,335-5488-S
lines	283-2967-S
linesman	270-23365-B
linet	270-23591-B
ling	270-23771-B,129-11065-S
linga	270-23893-B
lingala	270-23940-B
lingam	270-24011-B
lingel	270-24049-B
linger	270-24104-B
lingerer	270-24746-B
lingerie	270-24847-B
lingering	270-24930-B
lingeringly	270-25183-B
lingo	270-25253-B
lingua franca	270-25363-B
lingual	270-25465-B,34-9214-S
linguiform	270-25592-B
linguist	270-25665-B
linguistic	270-25770-B
linguistic atlas	270-25866-B
linguistic form	270-25954-B
linguistic geography	270-26039-B
linguistic philosophy	270-26119-B
linguistician	270-26213-B
linguistics	270-26287-B,91-8512-S,448-502-S
lingulate	270-26421-B
liniment	270-26469-B
lining	270-26536-B,420-21815-S,446-27883-S
link	270-26690-B,36-407-S,89-14322-S,109-17766-S,114-16886-S,130-9113-S,138-23135-S,194-2288-S,264-6485-S,292-18164-S,424-12911-S,427-5678-S
link layer	114-16956-S
link library	143-10705-S
link memory	194-2391-S
link motion	270-27886-B
link protocol	114-17023-S
link up	270-28216-B
linkage	270-27163-B,414-32583-S
linkage group	270-27267-B
linkboy	270-27378-B
linked	270-27441-B,239-16101-S,414-35406-S
linked list	138-462-S
linker	270-27557-B
linking	270-27625-B
linking verb	270-27750-B
linkman	270-27824-B
links	270-27983-B,204-4783-S
linkup	270-28120-B
linnet	270-28317-B,208-873-S
lino	271-0-B
linocut	271-60-B
linoleic acid	271-154-B
linoleum	271-229-B
linotype	271-300-B
linotype cast	271-365-B
linsang	271-436-B
linseed	271-505-B
linseed cake	271-579-B
linseed oil	271-554-B,271-649-B
linsey woolsey	271-707-B
linstock	271-865-B
lint	271-945-B
lintel	271-1016-B
linter	271-1119-B
liny	271-1209-B
lion	271-1291-B,24-15897-S,406-19741-S,407-6897-S
lion hearted	271-2578-B
lion heartedness	271-2653-B
lion hunter	271-2747-B
lioncel	271-2318-B
lioness	271-2418-B
lionet	271-2471-B
lionhearted	271-2522-B
lionisation	271-2848-B
lionise	271-2920-B
lionization	271-2962-B
lionize	271-3131-B
lip	271-3471-B
lip deep	271-4814-B
lip good	271-4968-B
lip labour	271-5186-B
lip language	271-5276-B
lip read	271-6285-B
lip reading	271-6389-B
lip service	271-6676-B
lip speaking	271-7049-B
liparite	271-4626-B
lipase	271-4685-B
lipbrush	271-4741-B
lipgloss	271-4903-B
lipid	271-5068-B
lipide	271-5103-B
lipin	271-5151-B
lipogenesis	271-5351-B
lipoid	271-5439-B
lipolysis	271-5538-B
lipoma	271-5613-B
lipomatous	271-5659-B
lipophilic	271-5720-B
lipophilicity	271-5796-B
lipoprotein	271-5886-B
lipotropic	271-5953-B
lipotropin	271-6039-B
lipotropism	271-6109-B
lipped	271-6213-B,52-1363-S,83-9285-S,394-17810-S,469-12356-S,519-21864-S
lips	271-6509-B
lipsalve	271-6578-B
lipstick	271-7124-B
liquate	271-7177-B
liquation	271-7259-B
liquefacient	271-7365-B
liquefaction	271-7429-B
liquefiable	271-7496-B
liquefy	271-7564-B
liquesce	271-7677-B
liquescency	271-7756-B
liquescense	271-7820-B
liquescent	271-7915-B
liqueur	271-8026-B
liquid	271-8116-B,515-9189-S
liquid air	271-8668-B
liquid ammonia	271-8731-B
liquid crytal display	6-19519-S
liquid measure	271-8806-B
liquidate	271-8901-B
liquidation	271-9054-B
liquidator	271-9462-B
liquidise	271-9528-B
liquidiser	271-9574-B
liquidity	271-9664-B
liquidity preference	271-9727-B
liquidize	271-9830-B
liquidizer	271-9891-B
liquidometer	271-9941-B
liquidus	271-10019-B
liquor	271-10133-B,280-20747-S
liquorice	271-10601-B
liquorish	271-10647-B
lira	271-10738-B
lire	271-10820-B
lirra	470-9747-S
lis	182-229-S,182-808-S
lisle	271-10854-B
lisle thread	271-10947-B
lisp	271-11047-B
lisper	271-11180-B
lisping	271-11237-B
lispingly	271-11287-B
lissom	271-11346-B
lissome	271-11386-B
lissomness	271-11427-B
list	271-11530-B,4-7023-S,29-2265-S,29-17063-S,32-2446-S,50-11550-S,50-17321-S,69-26046-S,71-5589-S,75-7803-S,79-17669-S,81-15661-S,88-27862-S,138-462-S,143-5043-S,164-26570-S,178-6560-S,180-19733-S,190-4162-S,222-10995-S,224-14647-S,226-17494-S,279-11924-S,298-22248-S,300-25649-S,324-6379-S,332-15434-S,360-21051-S,415-29837-S,418-5656-S,418-9656-S,419-14907-S,474-25608-S,511-17554-S,513-25820-S,519-19308-S
list price	271-12550-B
listed building	271-12645-B
listel	271-12734-B
listen	271-12866-B
listenable	271-13108-B
listener	271-13169-B,145-4173-S
listening	271-13317-B
listening post	271-13367-B
listeria	271-13484-B
listerine	271-13556-B
listing	271-13626-B,31-15489-S
listless	271-13726-B
listlessly	271-13805-B
listlessness	271-13871-B
lit	271-13982-B,182-27188-S,196-18317-S,513-21601-S
lit up	271-14049-B
litany	271-14102-B
litchi	271-14159-B
lite	271-14199-B
liter	271-14375-B
literacy	271-14409-B,91-11658-S
literal	271-14490-B,15-7256-S,15-8551-S
literalise	271-15069-B
literalism	271-15174-B
literalist	271-15281-B
literality	271-15381-B
literalize	271-15434-B
literally	271-15485-B
literalness	271-15717-B
literariness	271-15788-B
literary	271-15889-B
literate	271-16163-B,305-5808-S
literati	271-16438-B
literator	271-16520-B
literature	271-16574-B,161-4638-S
litharge	271-16997-B
lithe	271-17055-B
litheness	271-17146-B
lithesome	271-17269-B
lithesomeness	271-17354-B
lithia water	271-17427-B
lithiasis	271-17511-B
lithic	271-17572-B
lithification	271-17677-B
lithistid	271-17768-B
lithium	271-17834-B
litho	271-17886-B
lithograph	271-17950-B
lithographer	271-18077-B
lithographic	271-18164-B
lithography	271-18276-B,149-9505-S
lithoid	271-18365-B
lithoidal	271-18445-B
lithologist	271-18474-B
lithology	271-18544-B
lithopone	271-18671-B
lithoprint	271-18764-B
lithosol	271-18815-B
lithosphere	271-18882-B
lithotomy	271-18968-B
lithotripter	271-19036-B
lithotrity	271-19109-B
lithuanian	271-19181-B
litigable	271-19328-B
litigant	271-19416-B
litigate	271-19525-B
litigation	271-19587-B
litigious	271-19671-B
litigiousness	271-19834-B
litmus	271-19974-B
litmus paper	271-20054-B
litotes	271-20124-B
litre	271-20196-B
lits	513-21681-S
litt	38-8849-S
litt d	271-20236-B
litter	271-20275-B
litter basket	271-20951-B
litter bearer	271-21026-B
litter bin	271-21106-B
litter bug	271-21247-B
litter lout	271-21297-B
litterae humaniores	271-20726-B
litterateur	271-20888-B
litterbug	271-21157-B
littermate	271-21355-B
littery	271-21434-B
little	271-21492-B
little bear	271-22764-B
little dipper	271-22861-B
little englander	271-22931-B
little finger	271-23054-B
little go	271-23487-B
little known	271-23647-B
little magazine	271-23117-B
little makes a mickle	282-4874-S
little russian	271-23245-B
little toe	271-23362-B
little woman	271-23421-B
littleness	271-23713-B
littoral	271-23866-B
litttle	271-23992-B
liturgical	272-0-B
liturgically	272-80-B
liturgics	272-159-B
liturgiologist	272-243-B
liturgiologyl	272-348-B
liturgist	272-446-B
liturgy	272-605-B
lituus	272-668-B
lity	267-10379-S
livability	272-707-B
livable	272-759-B
livable in	272-927-B
livable with	272-1220-B
livableness	272-1031-B
live	272-1307-B
live steam	272-5055-B
live trap	272-5173-B
liveable	272-5330-B
lived	274-5587-S,418-9736-S
livelihood	272-5371-B
liveliness	272-5516-B
livelong	272-5647-B
lively	272-5812-B
liven	272-6482-B
livener	272-6734-B
liveness	443-20734-S
liver	272-6941-B,189-24109-S,274-5643-S,519-14721-S
liver coloured	272-7525-B
liver complaint	272-7603-B
liver extract	272-7333-B
liver oil	85-9992-S
liver pate	272-7410-B
liver sausage	272-7468-B
livered	76-6578-S,270-7779-S,290-16603-S,519-21939-S
liveried	272-7674-B
liverish	272-7748-B
liverishness	272-7848-B
liverpudian	272-7934-B
liverwurst	272-8047-B
livery	272-8107-B
livery company	272-8643-B
livery servant	272-8775-B
livery stable	272-9013-B
liveryman	272-8865-B
lives	272-9151-B
livestock	272-9182-B
livid	272-9248-B
lividity	272-9414-B
lividly	272-9458-B
lividness	272-9519-B
living	272-9633-B,189-24213-S,440-17257-S
living fossil	272-10882-B
living in	272-11446-B
living language	272-10971-B
living picture	272-11039-B
living rock	272-11132-B
living room	272-11620-B
living space	272-11728-B
living standard	272-11205-B
living theatre	272-11281-B
living wage	272-11824-B
living wire	272-11367-B
livingly	272-11550-B
livraison	272-11966-B
livre	272-12026-B
lixiviate	272-12118-B
lixiviation	272-12185-B
lizard	272-12260-B,191-7391-S,275-10473-S,413-17515-S,427-1278-S
lizzie	272-12313-B,469-28818-S
liìne	440-36627-S
ll	272-12352-B,218-13517-S,232-1063-S,253-15165-S,416-15592-S,467-4965-S,517-30199-S,524-22762-S
ll b	272-12388-B
ll d	272-12560-B
ll m	272-12616-B
llama	272-12672-B
llano	272-12750-B
lo	272-12831-B
loach	272-12953-B
load	272-13016-B,3-3820-S,15-15361-S,37-9708-S,40-12503-S,54-11407-S,68-10978-S,69-2700-S,69-11253-S,115-29256-S,143-10779-S,159-17870-S,190-4322-S,190-16030-S,192-19436-S,304-15277-S,311-2308-S,324-6743-S,332-13707-S,332-15713-S,333-932-S,417-18566-S,522-32254-S
load circuit	168-12224-S
load displacement	272-14893-B
load line	272-14580-B
load off	272-15330-B
load on	272-15405-B
load shedding	272-15510-B
