lobbying	272-20550-B
lobbyism	272-20639-B
lobbyist	272-20795-B
lobbyman	272-20948-B
lobe	272-21061-B,408-25129-S
lobe fin	272-21234-B
lobe fined fish	272-21304-B
lobed	272-21184-B,187-20316-S
lobelia	272-21389-B
lobeliceous	272-21444-B
lobing	272-21522-B
loblolly	272-21638-B
loblolly boy	272-21741-B
loblolly man	272-21866-B
lobotomize	272-21985-B
lobotomized	272-22077-B
lobotomy	272-22173-B
lobscourse	272-22246-B
lobscouse	272-22294-B
lobster	272-22371-B
lobster eyed	272-22596-B
lobster pot	272-22825-B
lobster trap	272-22879-B
lobsterback	272-22511-B
lobstering	272-22683-B
lobsterman	272-22754-B
lobular	272-22951-B
lobular pneumonia	272-23038-B
lobulate	272-23125-B
lobulation	272-23211-B
lobule	272-23261-B
lobulose	272-23325-B
lobworm	272-23397-B
loc cit	272-23463-B
loca	272-23533-B
local	272-23582-B
local authority	272-24319-B
local autonomy	272-24412-B
local oscillator	272-24505-B
local time	272-24599-B
locale	272-24762-B
localisation	272-24846-B
localise	272-25060-B
localism	272-25105-B
localite	272-25334-B
localitis	272-25416-B
locality	272-25507-B
localizable	272-25754-B
localization	272-25998-B
localize	272-26058-B
localized	272-26314-B
locally	272-26348-B
locatable	272-26435-B
locate	272-26590-B
location	272-26845-B,4-14368-S
locative	272-27240-B
locator	272-27354-B
loch	272-27478-B
lochan	272-27525-B
lochia	272-27591-B
lochial	272-27668-B
loci	272-27752-B
lock	272-27786-B,12-9187-S,67-6705-S,88-4007-S,138-7195-S,148-6090-S,151-201-S,182-12736-S,211-4707-S,214-3985-S,268-3220-S,307-20648-S,427-5726-S,437-29581-S,442-9754-S,444-15260-S,469-2301-S,469-24936-S,524-1598-S
lock chain	272-30011-B
lock gate	273-0-B
lock hole	273-47-B
lock hospital	272-29361-B
lock house	272-29435-B
lock jaw	273-191-B
lock keeper	273-256-B
lock maker	273-385-B
lock master	273-435-B
lock nut	273-512-B
lock out	273-665-B
lock step	272-29515-B
lock stitch	273-1061-B
lock up	273-1127-B
lock up shop	272-29616-B
lockable	272-29702-B
lockage	272-29767-B
locked	263-18996-S,427-1362-S
locker	272-30086-B,115-6168-S
locker room	272-30290-B
locket	272-30357-B
lockfast	272-30479-B
locking	273-100-B,410-8750-S
lockless	273-305-B
lockout	273-570-B
locks	151-244-S
locksman	273-817-B
locksmith	273-884-B
locksmithery	273-938-B
locksmithing	273-994-B
locky	273-1297-B
loco	273-1356-B
loco citato	273-1523-B
loco disease	273-1600-B
loco parentis	236-11002-S
locomobile	273-1692-B
locomobility	273-1814-B
locomote	273-1892-B
locomotion	273-1988-B
locomotive	273-2072-B,461-20847-S
locomotiveness	273-2343-B
locomotivity	273-2403-B
locomotor	273-2473-B
locomotor ataxia	273-2601-B
locoplant	273-2716-B
locular	273-2795-B
loculate	273-2860-B
loculated	273-2906-B
loculicidal	273-2977-B
loculose	273-3053-B
loculus	273-3116-B
locum	273-3188-B
locum tenens	273-3244-B
locus	273-3295-B,304-10707-S
locus classicus	273-3405-B
locus standi	273-3509-B
locust	273-3645-B,224-8922-S
locust tree	273-3857-B
locust years	273-3781-B
locution	273-3977-B
locutory	273-4069-B
lode	273-4143-B
lodestar	273-4224-B
lodestone	273-4268-B
lodge	273-4314-B,354-2764-S
lodgement	273-5566-B
lodger	273-6037-B
lodging	273-6139-B,141-13625-S
lodging house	273-6321-B
lodging room	273-6398-B
lodgment	273-6464-B
loess	273-6511-B
loft	273-6599-B,85-1842-S,316-15161-S
loftily	273-6874-B
loftiness	273-6979-B
lofty	273-7152-B
log	273-7364-B,34-10708-S,160-13829-S,402-2210-S,524-29399-S
log book	273-9395-B
log cabin	273-9580-B
log canoe	273-9662-B
log head	273-10648-B
log house	273-10728-B
log hut	273-10806-B
log in	273-11924-B
log jam	273-12579-B
log man	273-12637-B
log off	273-8350-B
log on	273-8379-B
log out	273-13993-B
log roll	273-14069-B
log rolling	273-14351-B
log yard	273-14732-B
logan	273-8405-B
logan stone	273-8516-B
loganberry	273-8447-B
logaoedic	273-8577-B
logarithm	273-8672-B,89-5976-S
logarithmic	273-8731-B
logarithmic function	273-8795-B
logarithmically	273-8876-B
logarthm	273-8959-B
loge	273-9728-B
logged	273-9787-B
logger	273-9923-B
loggerhead	273-10054-B
loggia	273-10391-B
logginess	273-10447-B
logging	273-10534-B,114-17080-S,170-20344-S,372-14871-S
loggy	273-10591-B
logic	273-10923-B,48-14922-S,91-11721-S,111-136-S,111-259-S,129-16072-S,130-7712-S,152-12622-S,187-12893-S,193-6403-S,194-7823-S,363-22323-S
logic circuit	129-16205-S,130-7793-S,152-12555-S
logic gate	129-15978-S
logic section	29-7519-S
logic unit	29-6255-S
logical	273-10967-B,305-5882-S
logical analysis	273-11052-B
logical circuit	273-11141-B
logical positivism	273-11225-B
logicality	273-11326-B
logically	273-11388-B
logicalness	273-11444-B
logician	273-11498-B
logicise	273-11583-B
logicism	273-11676-B
logicize	273-11739-B
logigraphic	273-11832-B
login	273-11887-B
logion	273-12010-B
logisise	273-12112-B
logistic	273-12158-B
logistical	273-12248-B
logistically	273-12299-B
logistician	273-12368-B
logistics	273-12454-B
logit	273-12550-B
logo	273-12701-B
logogram	273-12749-B
logograph	273-12828-B
logographer	273-12889-B
logographic	273-13040-B
logography	273-13115-B
logogriph	273-13167-B
logomachic	273-13247-B
logomachist	273-13354-B
logomachy	273-13452-B
logomania	273-13535-B
logon file	273-13607-B
logorrhoea	273-13650-B
logos	273-13742-B
logotype	273-13877-B
logwood	273-14631-B
logy	273-14688-B
lohan	273-14788-B
loin	273-14848-B
loin cloth	273-15038-B
loin rag	273-15122-B
loir	273-15184-B
loiter	273-15247-B
loiterer	273-15408-B
loiteringly	273-15551-B
lol	471-11140-S
lolish	471-11185-S
loll	273-15648-B
loll around	273-15945-B
loll of	273-15999-B
lollipop	273-16039-B
lollipop lady	273-16123-B
lollipop man	273-16300-B
lollop	273-16442-B
lolly	273-16541-B,230-10124-S
lombard	273-16607-B
lombardian	273-16712-B
loment	273-16780-B
lomentaceous	273-16869-B
lomentum	273-16978-B
london fog	273-17064-B
london particular	273-17137-B
london plane	273-17223-B
londoner	273-17313-B
londonese	273-17379-B
londonish	273-17444-B
londonism	273-17536-B
londonization	273-17610-B
londonize	273-17687-B
londony	273-17751-B
lone	273-17819-B
lone hand	273-17933-B
lone wolf	273-18015-B
loneliness	273-18148-B
lonely	273-18263-B
lonely hearts	273-18302-B
loner	273-18425-B
lonesome	273-18493-B
lonesomeness	273-18688-B
long	273-18774-B,115-16660-S,226-6221-S,303-13693-S,517-12204-S
long acting	274-1637-B
long ago	274-1721-B
long awaited	274-2258-B
long barrelled	274-2408-B
long bill	274-2484-B
long bond	274-2626-B
long bone	274-2710-B
long case clock	274-2914-B
long cherished	274-2998-B
long clothes	274-3138-B
long coats	273-21567-B
long decayed	274-3226-B
long descended	274-3294-B
long distance	274-3380-B
long division	273-21637-B
long dozen	273-21718-B
long drawn	274-3454-B
long drawn out	274-3582-B
long drink	273-21774-B
long eared	274-3821-B
long ears	273-21866-B
