array processor	29-23171-B,134-24197-S
array representation	29-23221-B
array segment	29-23288-B
array variable	29-23330-B
arrear	29-23372-B
arrearage	29-23886-B
arrears	29-24097-B
arrest	29-24879-B,80-12138-S,226-9133-S
arrestee	29-25418-B
arrester	29-25478-B,28-497-S,269-30219-S,433-4316-S
arrester hook	29-25679-B
arresting	29-25817-B
arrestingly	29-26005-B
arrestment	29-26077-B
arrestor	29-26139-B
arrhenogenic	29-26289-B
arrhenokaryon	29-26363-B
arrhythmia	29-26442-B
arriere pensee	29-26516-B
arris	29-26579-B
arrival	29-26648-B,304-21501-S
arrival rate	29-26834-B
arrive	29-26873-B
arriver	29-27130-B
arriviste	29-27156-B
arroba	29-27221-B
arrogance	29-27413-B
arrogant	29-27513-B
arrogantly	29-27595-B
arrogate	29-27645-B
arrogation	29-27839-B
arrogative	29-27966-B
arrogator	30-0-B
arrow	30-30-B,107-21703-S,150-16366-S,178-23893-S
arrow cursor	30-222-B
arrow head	30-300-B
arrow headed	30-359-B
arrow key	30-265-B
arrowroot	30-475-B
arrowy	30-593-B
arroyo	30-684-B
arse	30-754-B,141-25943-S
arse licker	30-913-B
arsenal	30-1020-B
arsenate	30-1149-B
arsenic	30-1216-B
arsenical	30-1355-B
arsenide	195-5735-S
arsenide diode	195-5850-S
arsenide semiconductor	195-5920-S
arsenious	30-1401-B
arsenite	30-1448-B
arsenopyrit	30-1504-B
arsenous	30-1573-B
arshin	30-1628-B
arsin	30-1723-B
arsis	30-1786-B
arson	30-1883-B
arsonist	30-1989-B
arsonval current	114-8001-S
arsonval galvanometer	114-8077-S
arsy versy	30-2103-B
art	30-2188-B,50-7893-S,82-20054-S,91-10088-S,257-13287-S,259-23474-S,266-33900-S,308-7480-S,314-3375-S,315-11408-S,353-11642-S,441-4800-S,522-27852-S
art deco	30-2943-B
art film	30-3009-B
art form	30-3069-B,30-5520-B
art nouveau	30-3121-B
art work	30-3186-B
arte	88-29570-S
artefact	30-3454-B
artel	30-3683-B
artem	408-10428-S
artemisia	30-3773-B
arterial	30-3858-B
arterialise	30-4246-B
arterialization	30-4302-B
arterialize	30-4341-B
arterially	30-4512-B
arteriography	30-4543-B
arteriolar	30-4635-B
arteriolar venular	30-4726-B
arteriole	30-4826-B
arteriolith	30-4912-B
arteriosclerosis	30-4986-B
arteriosclerotic	30-5080-B
arteriotomy	30-5125-B
arteritis	30-5215-B
artery	30-5291-B,375-27442-S
artesian	30-5385-B
artesian well	30-5455-B
artful	30-5590-B
artfully	30-5736-B
artfulness	30-5783-B
arthopodan	30-5905-B
arthral	30-5981-B
arthritic	30-6035-B
arthritically	30-6104-B
arthritis	30-6139-B,318-2014-S,390-16845-S
arthrobranchiae	30-6200-B
arthrodesis	30-6285-B
arthrogenous	30-6389-B
arthromere	30-6488-B
arthropathy	30-6608-B
arthrophyte	30-6674-B
arthropod	30-6759-B
arthropodal	30-6847-B
arthropodous	30-6914-B
arthropterous	30-6948-B
arthrosis	30-7033-B
arthrospore	30-7093-B
arthrostracous	30-7195-B
arthrous	30-7275-B
artichoke	30-7326-B,202-7616-S,255-6836-S
article	30-7398-B,119-9970-S,266-7970-S
article of faith	30-8412-B
articles	417-8002-S,417-8784-S
articulacy	30-8549-B
articular	30-8582-B
articularly	30-8643-B
articulate	30-8676-B
articulated vehicle	30-8947-B
articulately	30-9086-B
articulateness	30-9160-B
articulation	30-9254-B,96-14842-S
articulation index	30-9521-B
articulation testing	30-9564-B
articulatory	30-9620-B
artifact	30-9657-B
artifactual	30-9875-B
artifice	30-9907-B
artificer	30-10119-B
artificial	30-10305-B
artificial cognition	30-10585-B
artificial intelligence	30-10641-B
artificial language	30-10702-B
artificial line	30-10755-B
artificial voice	30-10829-B
artificiality	30-10892-B
artificialize	30-11032-B
artificially	30-11137-B
artificialness	30-11237-B
artillerist	30-11300-B
artillery	30-11354-B,176-17955-S,225-12055-S
artilleryman	30-11509-B
artily	30-11603-B
artiness	30-11626-B
artiodactyl	30-11731-B
artiodactylous	30-11905-B
artisan	30-11967-B
artisanal	30-12026-B
artisanship	30-12083-B
artist	30-12114-B,314-3418-S,332-8230-S,345-351-S,353-11877-S
artistdom	30-12250-B
artiste	30-12334-B
artistic	30-12457-B
artistical	30-12503-B
artistically	30-12650-B
artistry	30-12724-B
artless	30-12838-B
artlessly	30-12999-B
artlessness	30-13028-B
arts	178-8804-S,240-16589-S,264-812-S,268-17758-S,283-8221-S,283-23777-S,336-16335-S,346-21316-S,355-28836-S
arts and crafts	30-13177-B
artwork	30-13281-B
arty	30-13385-B
arty and crafty	30-13481-B
arty crafty	30-13641-B
arucola	30-13770-B
arum	30-13827-B
arum lily	30-13892-B
aryan	30-13956-B
arytenoid	30-14053-B
as	30-14141-B,186-825-S,236-26056-S,408-26463-S
as catch can	70-11775-S
as you earn	332-14181-S
as you enter	332-14264-S
as you please	203-27870-S
asa	30-16892-B
asafoetida	30-17064-B
asap	30-17168-B
asbestine	30-17259-B
asbestos	30-17365-B
asbestosis	30-17424-B
asbestotic	30-17525-B
ascariasis	30-17558-B
ascarid	30-17641-B
ascend	30-17696-B
ascendable	30-18216-B
ascendancy	30-18245-B
ascendant	30-18295-B
ascendency	30-18342-B
ascendent	30-18492-B
ascender	30-18898-B
ascendible	30-18987-B
ascending	30-19018-B
ascending key	30-19071-B
ascending order	30-19111-B
ascending sequence	30-19176-B
ascending sort	30-19221-B
ascension	30-19280-B
ascension day	30-19453-B,30-19700-B
ascensional	30-19533-B
ascent	30-19780-B
ascertain	30-20040-B
ascertainable	30-20343-B
ascertainableness	30-20504-B
ascertainably	30-20545-B
ascertainment	30-20580-B
ascetic	30-20722-B
ascetical	30-20842-B
ascetically	30-20887-B
asceticism	30-20918-B
asci	30-21012-B
ascidial	30-21047-B
ascidian	30-21157-B
ascidiate	30-21216-B
ascidiform	30-21246-B
ascidium	30-21277-B
asciferous	30-21346-B
ascii	30-21439-B,30-21768-B
ascii code	30-21574-B,1-943-S
ascii code set	1-986-S
ascii text	30-21671-B
asclepiadaceous	30-21992-B
ascocrap	30-22092-B
ascogenous	30-22175-B
ascogone	30-22243-B
ascogony	30-22308-B
ascolichens	30-22393-B
ascoma	30-22495-B
ascomycetes	30-22574-B
ascorbic	30-22662-B
ascospore	30-22753-B
ascosporous	30-22827-B
ascot	30-22860-B
ascribable	30-22944-B
ascribe	30-23074-B
ascription	30-23263-B
ascriptive	30-23462-B
ascus	30-23495-B
asdic	30-23573-B
asean	30-23646-B
aseanpol	30-23767-B
asemic	31-0-B
asepsis	31-56-B
aseptate	31-183-B
aseptic	31-268-B
aseptically	31-366-B
asepticism	31-397-B
asexual	31-429-B
asexuality	31-534-B
asexually	31-620-B
ash	31-649-B,54-17127-S,275-22087-S,296-22539-S,333-3799-S,428-28948-S
ash bin	31-1959-B
ash blonde	31-1021-B
ash box	31-2040-B
ash can	31-1172-B
ash coloured	31-2197-B
ash content	31-2256-B
ash fire	31-2563-B
ash pan	31-2925-B
ash pit	31-3019-B
