optic nerve	315-11183-B
optic transmission	176-4748-S
optical	315-11299-B
optical aberration	150-3981-S
optical art	315-11408-B
optical computer	315-11482-B
optical cross section	150-4041-S
optical disk	128-14061-S
optical fiber	315-11578-B,80-21572-S
optical glass	315-11644-B
optical illusion	315-11715-B
optical reader	15-7307-S,15-8657-S
optical scanner	315-11796-B
optical sensing device for input to computers	177-25393-S
optical storage	160-2161-S
optical system	150-4690-S
optically	315-11887-B
opticator	315-11964-B
optician	315-12045-B
opticist	315-12153-B
optics	315-12211-B,149-5217-S,149-6182-S,176-4269-S,176-5209-S,199-14000-S,279-2589-S
optimal	315-12285-B
optimality	315-12338-B
optimate	315-12417-B
optime	315-12516-B
optimise	315-12592-B
optimism	315-12621-B
optimist	315-12796-B
optimistic	315-12884-B
optimistically	315-12954-B
optimization	315-13036-B
optimization technique	91-13130-S
optimize	315-13071-B
optimizer	315-13244-B
optimizing	410-10357-S
optimum	315-13313-B
option	315-13512-B,26-22328-S,99-20832-S,118-22692-S,429-6565-S
optional	315-13790-B
optive	99-20860-S
optocoel	315-13882-B
optoelectronics	315-13962-B
optogram	315-14031-B
optometer	315-14122-B
optometrist	315-14187-B
optometry	315-14260-B
optophone	315-14326-B
opulence	315-14431-B
opulent	315-14505-B
opulently	315-14568-B
opus	315-14651-B,279-5236-S
opuscule	315-14823-B
or	315-14904-B
or break	280-7038-S
or circuit	19-12723-S,165-6898-S
or death	269-15615-S
or die	137-7545-S
or gate	316-17488-B,95-9850-S
or learning	390-3853-S
or mis	222-13459-S
or miss	222-13509-S
or none	14-10951-S
or nothing	14-11025-S
or presence	2-20573-S
or snee	427-15167-S
ora	315-15430-B
orach	315-15534-B
orache	315-15558-B
oracle	315-15614-B
oracular	315-15969-B
oracularity	315-16183-B
oral	315-16365-B,354-24636-S
oral history	315-16511-B
orally	315-16590-B
orang	315-16715-B
orang outan	315-17581-B
orang outang	315-17638-B
orang utan	315-17724-B
orange	315-16759-B,10-25725-S,52-10048-S,281-4834-S,300-23127-S,414-29469-S,461-18303-S
orange ade	315-17118-B
orange blossom	315-17241-B
orange lily	315-17044-B
orange peel	315-17340-B
orange squash	315-17452-B
orangeade	315-17184-B
orangery	315-17396-B
orangy	315-17780-B
orate	315-17864-B
oration	315-17946-B
orator	315-18101-B,369-609-S,448-19357-S,448-19944-S
oratorical	315-18317-B
oratorically	315-18498-B
oratorio	315-18563-B
oratorise	315-18630-B
oratorize	315-18675-B
oratory	315-18720-B,448-19498-S
oratress	315-18887-B
oratrix	315-18985-B
orb	315-19045-B,407-9234-S
orbicular	315-19536-B,320-11553-S
orbicularis	315-19660-B
orbicularity	315-19734-B
orbiculate	315-19870-B
orbit	315-19954-B,149-6263-S,199-16806-S,315-20473-S,329-11790-S,411-16017-S
orbital	315-20246-B,149-6313-S
orbiter	315-20338-B
orbito orbit	315-20473-B
orbitomalar	315-20570-B
orbitonasal	315-20653-B
orc	315-20727-B
orca	315-20756-B
orcadian	315-20829-B
orch	315-20931-B
orchard	315-21003-B,282-10024-S,452-14724-S
orcharding	315-21067-B
orchardist	315-21148-B
orchardman	315-21227-B
orchesis	315-21279-B
orchesography	315-21354-B
orchestic	315-21439-B
orchestics	315-21508-B
orchestra	315-21594-B,73-21920-S,447-19096-S,458-20530-S
orchestra stalls	315-21795-B
orchestral	315-21889-B
orchestral pit	315-21979-B
orchestral stalls	315-22066-B
orchestrate	316-0-B
orchestration	316-133-B
orchestrina	316-286-B
orchestrion	316-346-B
orchic	316-399-B
orchid	316-454-B
orchidaceae	316-553-B
orchidaceous	316-622-B
