papoosh	327-10603-B
papper grass	327-10673-B
pappose	327-10728-B
pappus	327-10767-B
pappy	327-10830-B
paprika	327-10876-B
papuan	327-10931-B
papula	327-11030-B
papulae	327-11071-B
papular	327-11140-B
papulose	327-11209-B
papulous	327-11279-B
papyraceous	327-11324-B
papyri	327-11405-B
papyrologist	327-11546-B
papyrology	327-11652-B
papyrus	327-11749-B
par	327-11793-B,305-16969-S
par avion	327-12238-B
par excellence	327-12321-B
par hasard	327-12423-B
par para	327-12477-B
para	327-13065-B,327-12477-S
paraanalitic	327-13153-B
parabasal	327-13201-B
parabiosis	327-13267-B
parabiotic	327-13349-B
parablast	327-13410-B
parable	327-13481-B
parabola	327-13689-B
parabolic	327-13750-B,327-13945-B
parabolic antenna	112-9675-S
parabolic reflector	192-19673-S
parabolical	327-13990-B
parabolically	327-14162-B
parabolise	327-14197-B
parabolize	327-14246-B
paraboloid	327-14279-B
paraboloid reflector	111-23650-S
paraboloidal	327-14346-B
parabomb	327-14381-B
parabranchia	327-14444-B
paracasein	327-14525-B
paracentesis	327-14602-B
paracentral	327-14683-B
paracentric	327-14765-B
parachromatine	327-14838-B
parachronism	327-14938-B
parachrosis	327-15013-B
parachute	327-15111-B,140-30091-S
parachute flare	327-15245-B
parachute jump	327-15323-B
parachute jumper	327-15550-B
parachute mine	327-15397-B
parachute troops	327-15474-B
parachuter	327-15631-B
parachutic	327-15690-B
parachutist	327-15722-B
paraclete	327-15783-B
paracme	327-15888-B
paracompact	327-15954-B
paraconvex	327-15990-B
paracyst	327-16014-B
parade	327-16091-B,222-11155-S,231-7375-S,231-9317-S
parade ground	327-16793-B
parademe	327-16877-B
parader	327-16949-B
paraderm	327-16975-B
paradiddle	327-17067-B
paradigm	327-17144-B
paradigmatic	327-17220-B
paradisaic	327-17337-B
paradisaical	327-17388-B
paradisaically	327-17444-B
paradisally	327-17479-B
paradise	327-17515-B,49-8469-S,185-15265-S
paradise fish	327-17765-B
paradisiac	327-17859-B
paradisiacal	327-17911-B
paradisiacally	327-17969-B
paradisial	327-18008-B
paradisic	327-18060-B
paradisical	327-18144-B
parados	327-18198-B
paradox	327-18291-B
paradoxical	327-18460-B
paradoxically	327-18540-B
paradoxicalness	328-0-B
paradoxure	328-35-B
paradrome	328-86-B
paraesthesia	328-153-B
paraffin	328-234-B
paraffin lamp	328-347-B
paraffin oil	328-416-B
paraffinic	328-479-B
parafrons	328-510-B
parafrontals	328-591-B
parafunction	328-681-B
paraganglia	328-765-B
paraganglion	328-842-B
paragaster	328-927-B
paragastric	328-1023-B
paragastrula	328-1102-B
paragenesis	328-1187-B
paraglobulin	328-1260-B
paraglossa	328-1345-B
paraglossae	328-1447-B
paraglossal	328-1519-B
paragoge	328-1588-B
paragogic	328-1681-B
paragon	328-1756-B
paragraph	328-1989-B
paragrapher	328-2292-B
paragraphia	328-2348-B
paragraphic	328-2422-B
paragraphical	328-2479-B
paragraphist	328-2557-B
paraguay	328-2655-B
paraguayan	328-2723-B
paragula	328-2828-B
paraheliotropic	328-2905-B
paraheliotropism	328-3000-B
parahormone	328-3121-B
parainfluenza	328-3184-B
parakeet	328-3282-B
parakeratosis	328-3327-B
parakite	328-3417-B
paraldehyde	328-3601-B
paralectotype	328-3669-B
paralectotypic	328-3761-B
paralegic	328-3851-B
paralimnic	328-3965-B
paralimnion	328-4025-B
paralipomena	328-4143-B
paralipomenon	328-4268-B
paralipsis	328-4349-B
parallactic	328-4487-B
parallax	328-4556-B
parallel	328-4790-B,346-8063-S,413-12806-S
parallel bars	328-5856-B
parallel nerved	328-6642-B
parallel plane	328-7202-B
parallel resistance	159-18037-S
parallel ruler	328-5930-B
parallel series	328-7268-B
parallel veined	328-7350-B
paralleled	328-6024-B
paralleleped	328-6109-B
parallelepiped	328-6251-B
parallelepipedon	328-6325-B
parallelism	328-6356-B
parallelizability	328-6563-B
parallelize	328-6613-B
parallelodrome	328-6716-B
parallelogeotropic	328-6804-B
parallelogeotropism	328-6896-B
parallelogram	328-7024-B
parallelotope	328-7168-B
parallergy	328-7430-B
paralogical	328-7504-B
