penholder	335-0-B
penial	335-56-B
penicillamine	335-126-B
penicillase	335-194-B
penicillate	335-257-B
penicilli	335-335-B
penicilliform	335-368-B
penicillin	335-439-B
penicillium	335-495-B
penile	335-577-B
peninsula	335-648-B
peninsular	335-705-B
peninsulate	335-866-B
penis	335-968-B
penitence	335-1051-B
penitent	335-1142-B
penitential	335-1301-B
penitentially	335-1434-B
penitentiary	335-1521-B
penitently	335-1733-B
penknife	335-1786-B
penlight	335-1835-B
penman	335-1977-B
penmanship	335-2141-B
penn orth	335-3540-B
penna	335-2335-B
pennae	335-2401-B
pennant	335-2517-B
pennate	335-2668-B
penner	335-2739-B
pennies	335-2761-B
penniferous	335-2797-B
penniform	335-2849-B
pennigerous	335-2953-B
penniless	335-3016-B
pennilessly	335-3123-B
pennilessness	335-3156-B
pennon	335-3191-B
pennoncel	335-3360-B
pennoned	335-3454-B
pennorth	335-3481-B
penny	335-3610-B,188-18207-S,197-8418-S,208-21994-S,214-32995-S,405-11103-S,482-13874-S
penny a line	335-5324-B
penny a liner	335-5488-B
penny farthing	335-4680-B,335-5575-B
penny in the slot	335-5661-B
penny in the slot machine	335-5789-B
penny pincher	335-4792-B,335-5894-B
penny pinching	335-4829-B,335-5988-B
penny post	335-4941-B,335-6112-B
penny whistle	335-5037-B
penny wise	335-5113-B,335-6481-B
pennyroyal	335-6208-B
pennyweight	335-6309-B
pennywise	335-6419-B
pennywort	335-6581-B
pennyworth	335-6650-B
penological	335-7089-B
penologically	335-7211-B
penologist	335-7245-B
penology	335-7276-B
pensee	29-26516-S
pensile	335-7519-B
pension	335-7647-B,205-24999-S
pensionable	335-8059-B
pensionary	335-8246-B
pensioner	335-8532-B
pensive	335-8662-B
pensively	335-8733-B
pensiveness	335-8813-B
penstock	335-8906-B
penswan	335-9025-B
pent	335-9080-B,335-9104-B
pent roof	335-13795-B
pent up	335-9204-B
penta	335-9274-B
pentacapsular	335-9475-B
pentacarpellary	335-9562-B
pentachord	335-9634-B
pentacle	335-9728-B
pentacoccous	335-9838-B
pentad	335-9898-B
pentadactyl	335-10047-B
pentadactyle	335-10196-B
pentadactylism	335-10276-B
pentadecagon	335-10314-B
pentagon	335-10355-B
pentagonal	335-10482-B
pentagonally	335-10543-B
pentagraf	335-10576-B
pentagram	335-10625-B
pentagynous	335-10684-B
pentahedral	335-10771-B
pentahedron	335-10844-B
pentahydrate	335-10920-B
pentamerism	335-10991-B
pentamerous	335-11026-B
pentameter	335-11142-B
pentandrous	335-11212-B
pentane	335-11296-B
pentangle	335-11348-B
pentangular	335-11411-B
pentapetalous	335-11483-B
pentaphyllous	335-11573-B
pentaploid	335-11647-B
pentaprism	335-11763-B
pentaspherical	335-11832-B
pentastyle	335-11860-B
pentasyllable	335-11926-B
pentateuch	335-11987-B
pentathlete	335-12089-B
pentathlon	335-12160-B
pentatomic	335-12253-B
pentavalence	335-12329-B
pentavalent	335-12388-B
pentecost	335-12460-B
pentecostal	335-12681-B
penthouse	335-12890-B
pentice	335-13024-B
pentimenti	335-13080-B
pentimento	335-13150-B
pentium	335-13301-B
pentode	335-13535-B
pentomic	335-13605-B
pentose	335-13742-B
pentstemon	335-13863-B
penult	335-13947-B
penultimate	335-14072-B
penultimately	335-14120-B
penumbra	335-14157-B
penumbrae	335-14203-B
penumbral	335-14250-B
penumbras	335-14280-B
penumbrous	335-14342-B
penurious	335-14372-B
penuriously	335-14481-B
penuriousness	335-14613-B
penury	335-14756-B
penvis	335-14883-B
penwiper	335-14961-B
peon	335-15018-B
peonage	335-15177-B
peony	335-15462-B
people	335-15499-B,53-12974-S,183-13014-S,296-22827-S,522-33230-S
peopler	335-16574-B
pep	335-16600-B
pep pill	335-16923-B
pep talk	335-16984-B
peperino	335-17060-B
peplos	335-17123-B
peplum	335-17193-B
peplus	335-17242-B
pepo	335-17267-B
pepper	335-17319-B,50-12522-S,381-21454-S
pepper and salt	335-17890-B
pepper caster	335-18067-B
pepper castor	335-18126-B
pepper grass	335-18320-B
pepper mill	335-18476-B
pepper pot	335-18809-B
pepperbox	335-18015-B
peppercorn	335-18221-B
pepperiness	335-18399-B
peppering	335-18430-B
peppermint	335-18535-B
peppermint oil	335-18654-B
pepperoni	335-18722-B
pepperwort	335-18981-B
peppery	335-19045-B
peppily	335-19298-B
peppiness	335-19323-B
peppy	335-19350-B
pepsin	335-19449-B
pepsinogen	335-19505-B
peptic	335-19576-B
peptics	335-19693-B
peptide	335-19762-B
peptogen	335-19884-B
peptone	335-19956-B
peptonic	335-20002-B
peptonization	335-20030-B
peptonize	335-20065-B
per	335-20123-B
per annum	335-20847-B
per capita	335-20900-B
per cent	335-20963-B
per center	227-17355-S
per cents	180-8036-S
per contra	335-21053-B
per diem	335-21194-B
per inch	137-18565-S
per pro	335-21307-B
per se	336-0-B
per second	336-98-B,112-5326-S
peradventure	336-153-B
perambulate	336-675-B
perambulation	336-931-B
perambulator	336-1088-B
perambulatory	336-1164-B
perborate	336-1201-B
percale	336-1260-B
perceivable	336-1338-B
perceivably	336-1557-B
perceive	336-1589-B
perceiver	336-1829-B
percent	336-1860-B
percentage	336-1898-B
percentagewise	336-2129-B
percentile	336-2211-B
percentism	227-17473-S
percept	336-2297-B
perceptibility	336-2409-B
perceptible	336-2537-B
perceptibly	336-2644-B
perception	336-2788-B,34-16020-S,169-3172-S,412-15126-S
perceptional	336-2917-B
perceptionalism	336-3013-B
perceptive	336-3155-B
perceptively	336-3301-B
perceptiveness	336-3479-B
perceptivity	336-3609-B
perceptual	336-3711-B
perch	336-3800-B,407-9486-S
percha	211-11508-S
perchance	336-4596-B
perchloric	336-4706-B
percidae	336-4808-B
percipience	336-4865-B
percipiency	336-4948-B
percipient	336-4982-B
percolate	336-5300-B
percolation	336-5432-B
percolator	336-5534-B
percorn rent	336-5633-B
percurrent	336-5707-B
percusion	336-5797-B
percuss	336-5844-B
percussion	336-5949-B
percussion band	336-6124-B
percussion cap	336-6217-B
percussion hammer	336-6501-B
percussion instrument	336-6291-B,336-6589-B
percussion section	336-6412-B
percussionist	336-6710-B
percussive	336-6793-B
percussively	336-6866-B
percussiveness	336-6903-B
percutaneous	336-6940-B
percutaneously	336-7016-B
perdition	336-7055-B
perdu	336-7209-B
perdue	336-7246-B
perdurability	336-7345-B
perdurable	336-7486-B
perdurably	336-7594-B
perdure	336-7627-B
pere	336-7692-B
peregrin	336-7834-B
peregrinate	336-7879-B
peregrination	336-7980-B
peregrinator	336-8070-B
peregrine	336-8106-B
peregrine falcon	336-8182-B
pereia	336-8313-B
pereion	336-8372-B
peremptorily	336-8461-B
peremptoriness	336-8600-B
peremptory	336-8891-B
peremptory writ	336-9361-B
perennate	336-9480-B
perennation	336-9551-B
perennial	336-9621-B
perenniality	336-9923-B
perennially	336-10056-B
perestroika	336-10264-B
perfect	336-10402-B,268-3461-S,331-4267-S,359-13145-S,522-20887-S
perfect binding	336-11260-B
perfect number	336-11361-B
perfect pitch	336-11438-B
perfecter	336-11539-B
perfectibility	336-11568-B
perfectible	336-11751-B
perfecting press	336-11901-B
perfection	336-11974-B,103-7486-S
perfectionism	336-12433-B
perfectionist	336-12536-B
perfectionistic	336-12647-B
perfective	336-12688-B
perfectively	336-12814-B
perfectiveness	336-12849-B
perfectivity	336-12886-B
perfectly	336-12921-B
perfectness	336-12990-B
perfecto	336-13021-B
perfervid	336-13105-B
perfervidly	336-13237-B
perfervidness	336-13270-B
perfidious	336-13305-B
perfidiously	336-13387-B
perfidiousness	336-13483-B
perfidy	336-13537-B
perfoliate	336-13688-B
perfoliation	336-13767-B
perforable	336-13802-B
perforate	336-13834-B
perforating machine	336-14065-B
