periwigged	337-10493-B
periwinkle	337-10553-B
perjure	337-10679-B
perjured	337-10810-B
perjurer	337-10885-B
perjurious	337-11013-B
perjuriously	337-11043-B
perjury	337-11076-B
perk	337-11246-B
perkily	337-11705-B
perkiness	337-11730-B
perky	337-11845-B
perlacous	337-11933-B
perlite	337-11999-B
perlitic	337-12064-B
perlocutionary force	337-12092-B
perm	337-12215-B
permafrost	337-12370-B
permalloy	337-12480-B
permanence	337-12543-B
permanency	337-12865-B
permanent	337-13006-B
permanent magnet	337-13290-B
permanent teeth	337-13373-B
permanent wave	337-13448-B
permanent way	337-13629-B
permanently	337-13726-B
permanentness	337-13761-B
permanganate	337-13796-B
permanganic	337-13880-B
permeability	337-13987-B,2-25273-S
permeable	337-14089-B,411-16629-S
permeably	337-14169-B
permeance	337-14200-B
permeant	337-14277-B
permease	337-14306-B
permeate	337-14405-B
permeation	337-14593-B
permian	337-14687-B
permiscible	337-14754-B
permissibility	337-14835-B
permissible	337-14963-B
permissibleness	337-15066-B
permissibly	337-15105-B
permission	337-15191-B,4-7428-S,346-12401-S
permissive	337-15356-B
permissively	337-15560-B
permissiveness	337-15677-B
permit	337-15792-B
permittance	337-16264-B
permittee	337-16383-B
permitter	337-16411-B
permittivity	337-16440-B,2-25337-S,90-12666-S
permutability	337-16531-B
permutable	337-16565-B
permutably	337-16595-B
permutation	337-16626-B,112-6111-S,163-15867-S
permutational	337-16857-B
permute	337-16894-B
pern	337-16986-B
pernicious	337-17054-B
pernicious anaemia	337-17181-B
perniciously	337-17280-B
perniciousness	337-17350-B
pernickety	337-17440-B
pernio	337-17652-B
pernoctation	337-17697-B
pernorate	337-17774-B
pernoration	337-17879-B
peroneal	337-17966-B
peroneous	337-18030-B
perorate	337-18092-B
peroration	337-18194-B
peroretion	337-18272-B
perot axis	170-438-S
perot cavity	170-484-S
perot fringe	170-536-S
perot interferometer	170-582-S
perot mode	170-646-S
peroxide	337-18343-B
peroxide blonde	337-18538-B
peroxidic	337-18622-B
peroxyde	337-18652-B
perpend	337-18813-B
perpendicular	337-18886-B
perpendicular architecture	337-19267-B
perpendicularity	337-19378-B
perpendicularly	337-19476-B
perpetrate	337-19605-B
perpetration	337-19889-B
perpetrator	337-20069-B
perpetual	337-20144-B
perpetual calendar	337-20450-B
perpetual motion	337-20533-B
perpetually	337-20631-B
perpetuance	337-20801-B
perpetuate	337-20834-B
perpetuating	410-11044-S
perpetuation	337-21092-B
perpetuator	337-21282-B
perpetuity	337-21316-B
perplex	337-21543-B
perplexed	338-0-B
perplexedly	338-109-B
perplexing	338-224-B
perplexingly	338-361-B
perplexity	338-393-B
perquisite	338-617-B
perquisition	338-722-B
perron	338-806-B
perry	338-855-B
pers	338-900-B
perse	338-1005-B
persecute	338-1093-B
persecutee	338-1292-B
persecution	338-1324-B
persecution complex	338-1567-B
persecutional	338-1726-B
persecutive	338-1763-B
persecutor	338-1796-B
persecutory	338-1937-B
persecutrix	338-1970-B
perseverance	338-2050-B
perseverant	338-2172-B
perseveration	338-2280-B
persevere	338-2381-B
persevering	338-2635-B
perseveringly	338-2811-B
persian	338-2914-B
persian carpet	338-3121-B
persian cat	338-3210-B
persian gulf war	338-3286-B
persian lamb	338-3337-B
persic	338-3411-B
persiennes	338-3509-B
persiflage	338-3584-B
persimmon	338-3700-B
persism	338-3839-B
persist	338-3891-B
persistence	338-4270-B,338-4409-B
persistency	338-4524-B
persistent	338-4577-B
persistently	338-4809-B
persister	338-4939-B
persnickety	338-4968-B
person	338-5050-B,133-14498-S,133-14832-S,179-10629-S,407-24894-S
person call	338-10560-S
person to person call	338-10560-B
persona	338-5854-B,236-11476-S
persona grata	338-6247-B
persona gratissima	338-6388-B
persona non grata	338-6511-B
personable	338-6675-B
personableness	338-6757-B
personably	338-6794-B
personae	338-6878-B,139-15993-S
personage	338-6940-B
personal	338-7125-B
personal assistant	338-7534-B
personal column	338-7624-B
personal computer	338-7711-B,1-1375-S,54-23888-S
personal equation	338-7847-B
personal estate	338-7974-B
personal pronoun	338-8058-B
personal property	338-8148-B
personalisation	338-8234-B
personalise	338-8319-B
personalism	338-8465-B
personalist	338-8535-B
personality	338-8664-B,436-15076-S
personality cult	338-9017-B
personalization	338-9105-B
personalize	338-9245-B
personally	338-9300-B
personalty	338-9485-B
personate	338-9550-B
personation	338-9685-B
personative	338-9840-B
personator	338-9873-B
personel	24-2202-S
personification	338-10003-B
personifier	338-10137-B
personify	338-10170-B
personnel	338-10309-B,24-2388-S
perspectival	338-10672-B
perspective	338-10708-B
perspectively	338-11103-B
perspectivity	338-11139-B
perspertive	270-21161-S
perspex	338-11189-B
perspicacious	338-11274-B
perspicaciously	338-11365-B
perspicaciousness	338-11461-B
perspicacity	338-11504-B
perspicuity	338-11608-B
perspicuous	338-11745-B
perspicuously	338-11875-B
perspicuousness	338-11963-B
perspirable	338-12075-B
perspirant	24-2511-S
perspiration	338-12148-B
perspirative	338-12232-B
perspiratory	338-12314-B
perspire	338-12460-B
persuadable	338-12599-B
persuade	338-12705-B
persuader	338-12983-B
persuasibility	338-13013-B
persuasible	338-13051-B
persuasibleness	338-13104-B
persuasion	338-13144-B
persuasive	338-13536-B
persuasively	338-13669-B
persuasiveness	338-13763-B
pert	338-13881-B
pertain	338-14104-B
pertaincious	338-14333-B
pertainciousness	338-14473-B
pertinacious	338-14656-B
pertinaciously	338-14748-B
pertinaciousness	338-14845-B
pertinacity	338-14912-B
pertinence	338-14973-B
pertinency	338-15116-B
pertinent	338-15167-B
pertinently	338-15501-B
pertly	338-15625-B
pertness	338-15710-B
pertubative	338-15805-B
perturb	338-15933-B
perturbable	338-16058-B
perturbation	338-16089-B
perturbational	338-16287-B
perturbative	338-16326-B
perturbeb	338-16460-B
pertused	338-16492-B
pertussis	338-16569-B
peruke	338-16637-B
perusable	338-16676-B
perusal	338-16704-B
peruse	338-16855-B
peruser	338-17049-B
peruvian	338-17076-B
pervade	338-17208-B
pervader	338-17457-B
pervasion	338-17485-B
pervasive	338-17595-B
pervasively	338-17691-B
pervasiveness	338-17726-B
perve	338-17761-B
perverse	338-17844-B
perversely	338-18234-B
perverseness	338-18697-B
perversion	338-18749-B
perversity	338-19005-B
perversive	338-19307-B
pervert	338-19480-B
perverted	338-19883-B
perverter	338-19978-B
pervertible	338-20009-B
pervious	338-20040-B
perviously	338-20276-B
perviousness	338-20307-B
pes	338-20474-B
pesante	338-20533-B
peseta	338-20599-B
peskily	338-20676-B
peskiness	338-20701-B
pesky	338-20728-B
peso	338-20840-B
pessary	338-20918-B
pessimism	338-20979-B
pessimist	338-21079-B
pessimistic	338-21151-B
pessimistically	338-21218-B
pest	338-21292-B,189-427-S,510-19848-S
pest control	338-21469-B
pest house	338-21792-B
pester	338-21592-B
pesterer	338-21676-B
pesthole	338-21703-B
pesticidal	338-21888-B
pesticide	338-21920-B
pestiferous	338-22024-B
pestiferously	338-22173-B
pestiferousness	338-22212-B
pestilence	338-22251-B
pestilent	338-22333-B
pestilential	338-22550-B
pestilentially	338-22678-B
pestle	338-22717-B
pestology	338-22797-B
pet	338-22927-B
pet cock	339-672-B
pet name	338-23500-B
pet shop	338-23569-B
pet subject	338-23664-B
peta	338-23753-B
petal	338-23835-B
petal shaped	339-206-B
petaled	338-23893-B,181-12439-S
petaliferous	338-23932-B
petaliform	338-23997-B
petalike	338-24060-B
petalled	338-24119-B
petalles	338-24188-B
petallike	338-24245-B
petalody	339-0-B
petaloid	339-100-B
petalous	339-158-B
petard	339-258-B
petary	339-330-B
petasi	339-384-B
petasus	339-442-B
petaurist	339-535-B
petcock	339-612-B
petechia	339-738-B
petechiae	339-833-B
petechial	339-899-B
peter	339-1032-B,53-226-S
petersham	339-1255-B
petiolate	339-1385-B
petiolated	339-1432-B
petiole	339-1496-B
petioled	339-1561-B
petiolule	339-1617-B
petit bourgeois	339-1675-B,339-2067-B
petit four	339-1747-B
petit mal	339-1832-B
petit point	339-1902-B
petit souper	339-1998-B
petite	339-2110-B
petite bourgeoisie	339-2227-B
petiteness	339-2319-B
petitio principii	339-2348-B
petition	339-2506-B
petitionary	339-2953-B
petitioner	339-3041-B
petong	339-3195-B
petr	339-3260-B
petrel	339-3338-B,445-19876-S,445-21574-S,445-22932-S
petrescence	339-3443-B
petrescent	339-3510-B
petri	339-3576-B
petri dish	339-3600-B
petrifaction	339-3705-B
petrification	339-3833-B
petrify	339-3964-B
petrine	339-4417-B
petro	339-4564-B
petrochemical	339-4656-B
petrochemistry	339-4749-B
petrodollar	339-4824-B
petrogenesis	339-4902-B
petrogenetic	339-5002-B
petroglyph	339-5086-B
petroglyphic	339-5150-B
petrograph	339-5185-B
petrographer	339-5255-B
petrographic	339-5353-B
petrographical	339-5412-B
petrographically	339-5489-B
petrography	339-5529-B
petroil	339-5621-B
petrol	339-5683-B
petrol bomb	339-5732-B
petrol engine	339-6205-B
petrol pump	339-5859-B
petrol station	339-5929-B
petrol tank	339-6043-B
petrolatum	339-6103-B
petroleum	339-6274-B
petroleum jelly	339-6345-B
petroleur	339-6408-B
petrolic	339-6500-B
petroliferous	339-6588-B
petrolith	339-6665-B
petrologic	339-6719-B
petrological	339-6775-B
petrologically	339-6887-B
petrologist	339-6923-B
petrology	339-6980-B
petrophilous	339-7096-B
petrophyte	339-7166-B
petrosal	339-7232-B
petrous	339-7317-B
petter	339-7399-B
petticoat	339-7421-B,489-15000-S
petticoated	339-7886-B
pettifog	339-7919-B
pettifogger	339-8033-B
pettifoggery	339-8132-B
pettifogging	339-8262-B
pettily	339-8506-B
pettiness	339-8665-B
pettioes	339-8760-B
pettish	339-8821-B
pettishly	339-8908-B
pettishness	339-9010-B
pettitoes	339-9134-B
petty	339-9239-B
petty bourgeois	339-9625-B
petty bourgeoisie	339-9711-B
petty cash	339-9798-B
petty expenses	339-9860-B
petty larceny	339-9936-B
petty officer	339-10006-B
petulance	339-10094-B
petulancy	339-10200-B
petulant	339-10230-B
petulantly	339-10317-B
petunia	339-10348-B
petuntse	339-10448-B
peut	401-21156-S
pew	339-10548-B
pew rent	339-11261-B
pewage	339-10967-B
pewit	339-11009-B
pewit gull	339-11175-B
pewter	339-11347-B
peyote	339-11529-B
pfaffian	339-11688-B
pfennig	339-11728-B
pfenning	339-11782-B
pg	339-11822-B
pgdn	339-12023-B
pgup	339-12046-B
phacella	339-12067-B
phaenogam	339-12167-B
phaenogamic	339-12255-B
phaeton	339-12330-B
phag	339-12414-B
phage	339-12490-B
phage typing	339-12878-B
phagedaane	339-12558-B
phagedaene	339-12623-B
phagedane	339-12686-B
phagedeana	339-12738-B
phagedena	339-12808-B
phago	339-12975-B
phagocyte	339-12999-B
phagocytic	339-13067-B
phagocytise	339-13099-B
phagocytize	339-13170-B
phagocytose	339-13205-B
phagocytosis	339-13277-B
phagosome	339-13345-B
phalange	339-13406-B
phalangeal	339-13722-B
phalanger	339-13815-B
phalanges	339-13865-B
phalanstere	339-13913-B
phalansterian	339-13987-B
phalansterianism	339-14106-B
phalanstery	339-14146-B
phalanx	339-14309-B
phalanxes	339-14353-B
phalarope	339-14766-B
phalli	339-14843-B
phallic	339-14881-B
phallically	339-14951-B
phallicism	339-14982-B
phallosome	339-15055-B
phallus	339-15156-B
phalluses	339-15300-B
phaner	339-15442-B
phanero	339-15537-B
phanerogam	339-15565-B
phanerogamic	339-15640-B
phanerogamous	339-15717-B
phanerophyte	339-15780-B
phanstasmal	339-15893-B
phantasm	339-16044-B
phantasma	339-16154-B
phantasmagoria	339-16270-B
phantasmagoric	339-16339-B
phantasmagorical	339-16417-B
phantasmagorically	339-16496-B
phantasmal	339-16541-B
phantasmata	339-16592-B
phantasmic	339-16663-B
phantast	339-16714-B
phantastic	339-16799-B
phantasy	339-16863-B
phantom	339-17083-B
phantom circuit	144-5796-S
phantom like	339-17297-B
pharaoh	339-17380-B
pharaonic	339-17452-B
pharisaic	339-17526-B
pharisaical	339-17623-B
pharisaically	339-17674-B
pharisaicalness	339-17709-B
pharisaism	339-17748-B
pharisee	339-17860-B
pharmaceutical	339-18024-B
pharmaceutically	339-18149-B
pharmaceutics	339-18192-B
pharmaceutist	339-18283-B
pharmacist	339-18352-B
