phrenalgia	342-7671-B
phrenetic	342-7739-B
phrenic	342-7838-B
phrenitic	342-7904-B
phrenitis	342-7935-B
phrenologic	342-7998-B
phrenological	342-8032-B
phrenologist	342-8115-B
phrenology	342-8192-B
phretium	342-8259-B
phrontistery	342-8347-B
phthiriasis	342-8434-B
phthisical	342-8487-B
phthisis	342-8572-B
phut	342-8641-B
phyad	342-8670-B
phycological	342-8736-B
phycomycete	342-8809-B
phyl	342-8890-B
phyla	342-8988-B
phylactery	342-9024-B
phylactic	342-9241-B
phylaxis	342-9298-B
phyle	342-9358-B
phyletic	342-9440-B
phyletically	342-9509-B
phyll	342-9542-B
phyllo	342-9612-B
phylloclade	342-9638-B
phyllode	342-9716-B
phyllome	342-9773-B
phyllophagan	342-9857-B
phyllophagous	342-9943-B
phyllophorus	342-10033-B
phyllopod	342-10099-B
phyllopodan	342-10219-B
phyllostome	342-10252-B
phyllotaxis	342-10323-B
phylloxera	342-10446-B
phylloxeran	342-10533-B
phylo	342-10567-B
phylobiology	342-10591-B
phylogenesis	342-10669-B
phylogenetic	342-10757-B
phylogenetically	342-10858-B
phylogenic	342-10899-B
phylogeny	342-10931-B
phylum	342-10984-B
physic	342-11072-B,260-6941-S
physical	342-11253-B,75-19934-S,169-2628-S,368-9733-S
physicality	342-11899-B
physically	342-11931-B
physician	342-12015-B,226-14675-S,387-11240-S
physicism	342-12098-B
physicist	342-12184-B
physicky	342-12264-B
physics	342-12325-B,330-11259-S
physiocrat	342-12403-B
physiogeny	342-12556-B
physiognomic	342-12632-B
physiognomical	342-12751-B
physiognomically	342-12810-B
physiognomist	342-12850-B
physiognomy	342-12917-B
physiographer	342-13097-B
physiographic	342-13171-B
physiographical	342-13232-B
physiographically	342-13314-B
physiography	342-13356-B
physiologic	342-13423-B
physiological	342-13498-B
physiologically	342-13557-B
physiologist	342-13598-B
physiology	342-13670-B,9-17667-S
physiotherapeutic	342-13733-B
physiotherapist	342-13776-B
physiotherapy	342-13869-B
physique	342-13948-B
physiqued	342-14027-B
phytocoenoses	342-14057-B
phytocoenosis	342-14152-B
phytogenesis	342-14214-B
phytogenetic	342-14270-B
phytogenetically	342-14307-B
phytogeny	342-14346-B
phytogeographer	342-14446-B
phytogeographical	342-14489-B
phytogeography	342-14533-B
phytography	342-14629-B
phytophagous	342-14721-B
phytotoxin	342-14787-B
phytozoa	342-14896-B
phytozoon	342-14943-B
pi	342-14992-B
