precipitateness	356-23320-B
precipitation	356-23502-B
precipitative	356-23702-B
precipitator	356-23738-B
precipitin	356-23774-B
precipitous	356-23862-B
precipitously	356-24034-B
precipitousness	356-24170-B
precis	356-24265-B,356-24406-B
precise	356-24587-B
precisely	357-0-B
preciseness	357-146-B
precisian	357-276-B
precisianism	357-438-B
precision	357-591-B,138-868-S,168-5928-S
precision arithmetic	138-7656-S
precision computation	138-917-S
precision word	168-6056-S
precisive	357-893-B
preclinical	357-961-B
preclude	357-1084-B
preclusion	357-1249-B
preclusive	357-1363-B
preclusively	357-1481-B
precoat	357-1514-B
precocial	357-1626-B
precocious	357-1730-B
precociously	357-1888-B
precociousness	357-2145-B
precocity	357-2202-B
precogitate	357-2389-B
precognition	357-2460-B
precognitive	357-2569-B
precolonial	357-2606-B
precombustion	357-2787-B
precommissioning	357-2886-B
precommunity	357-2980-B
precompact	357-3070-B
precomposed	357-3097-B
precompression	357-3220-B
preconceive	357-3298-B
preconceived	357-3494-B
preconception	357-3620-B
preconcert	357-3786-B
precondemn	357-3952-B
precondenser	357-4160-B
precondition	357-4279-B
preconisation	357-4512-B
preconise	357-4590-B
preconization	357-4857-B
preconize	357-5138-B
preconquest	357-5186-B
preconscious	357-5300-B
preconsider	357-5379-B
preconsign	357-5463-B
preconsonantal	357-5552-B
preconstitute	357-5645-B
precontract	357-5756-B
precontrive	357-5923-B
precook	357-5995-B
precool	357-6079-B
precooler	357-6165-B
precopulary	357-6269-B
precordia	357-6343-B
precordial	357-6417-B
precornu	357-6492-B
precostal	357-6638-B
precranial	357-6702-B
precritical	357-6784-B
precrural	357-6880-B
precuring	357-6948-B
precursive	357-7025-B
precursor	357-7134-B
precursory	357-7353-B
precystic	357-7475-B
predacean	357-7550-B
predaceous	357-7619-B
predacious	357-7803-B
predacity	357-7869-B
predal	357-7977-B
predate	357-8035-B
predation	357-8139-B
predation pressure	357-8243-B
predatism	357-8367-B
predator	357-8455-B
predatorily	357-8539-B
predatoriness	357-8572-B
predatory	357-8607-B
predawn	357-8733-B
predecease	357-8814-B
predecessor	357-8899-B
predeclare	357-9231-B
predefine	357-9320-B
predella	357-9398-B
predesign	357-9514-B
predesignate	357-9702-B
predesigned	357-9794-B
predesterminate	357-9845-B
predestermination	357-9961-B
predestinarian	357-10076-B
predestinarianism	357-10220-B
predestinate	357-10264-B
