presidency	359-18943-B,509-23023-S
president	359-19181-B,274-29419-S,509-23202-S
president elect	359-19421-B
president of the council	274-29515-S
presidentess	359-19606-B
presidential	359-19701-B,509-23254-S
presidential government	359-19928-B
presidentially	359-20082-B
presidentship	359-20121-B
presider	359-20261-B
presidial	359-20289-B
presidiary	359-20402-B
presidio	359-20581-B
presidium	359-20700-B
presignify	359-20869-B
presintering	359-20950-B
prespawning	359-21127-B
prespermatid	359-21226-B
prespiracular	359-21315-B
press	359-21404-B,79-5348-S,83-15636-S,140-39163-S,211-12338-S,211-12756-S,226-2741-S,311-15333-S,336-11901-S,361-20754-S,370-4803-S,375-24059-S,377-13033-S,405-22162-S,414-31113-S,445-15149-S,476-10949-S,524-11769-S
press agency	359-25360-B,359-26684-B
press agent	359-25474-B,359-26770-B
press agentry	359-25581-B
press association	359-25618-B
press baron	359-25703-B
press bed	359-26878-B
press board	359-26985-B
press box	359-27038-B
press bureau	359-27181-B
press button	359-27244-B
press button warfare	359-27303-B
press campaign	359-25772-B
press clipping	359-25849-B,359-27408-B
press conference	359-25928-B
press corrector	359-27466-B
press cutting	359-26003-B,359-27544-B
press gallery	359-27637-B
press gang	359-27731-B
press international	495-10097-S
press law	359-26060-B,359-28167-B
press of canvas	359-26105-B
press office	359-26184-B
press officer	359-26249-B
press photographer	359-26329-B
press proof	359-26426-B
press release	359-26483-B
press run	359-26569-B
press stud	359-28696-B
press up	359-28810-B
pressed	215-12481-S
pressie	359-27809-B
pressing	359-27878-B,226-2863-S
pressing iron	359-28078-B
pressingly	359-28136-B
pressman	359-28225-B
pressmark	359-28287-B
pressor	359-28383-B
pressory	359-28494-B
pressroom	359-28544-B
pressrun	359-28617-B
pressure	359-28929-B,42-9419-S,52-10120-S,103-19887-S,221-562-S,276-657-S,357-8243-S,394-8392-S,442-729-S
pressure boiler	359-29939-B
pressure change	359-30019-B
pressure cooker	359-30181-B
pressure cooking	359-30254-B
pressure gauge	359-30328-B
pressure group	359-30120-B,359-30394-B
pressure point	359-30512-B
pressure tight	359-30639-B
pressurisation	359-30714-B
pressurise	359-30832-B
pressurization	359-30994-B
pressurize	359-31060-B
pressurized water reactor	359-31222-B
pressurizer	360-0-B
presswork	360-34-B
pressworking	360-132-B
prest money	360-1461-B
prestage	360-215-B
prestation	360-290-B
prester	360-380-B
presternal	360-445-B
presternum	360-535-B
prestidigital	360-618-B
prestidigitation	360-729-B
prestidigitator	360-826-B
prestige	360-952-B
prestigious	360-1014-B
prestigiously	360-1134-B
prestigiousness	360-1173-B
prestimony	360-1212-B
prestissimo	360-1312-B
presto	360-1556-B
prestress	360-1808-B
prestressed	360-2020-B
presubstance	360-2097-B
presumable	360-2174-B
presumably	360-2315-B
presume	360-2418-B
presumedly	360-3092-B
presumer	360-3184-B
presuming	360-3212-B
presumingly	360-3312-B
presumption	360-3345-B
presumptive	360-3655-B,218-6826-S
presumptively	360-3802-B
presumptuous	360-3839-B
presumptuously	360-3917-B
presumptuousness	360-4087-B
presupposal	360-4282-B
presuppose	360-4355-B
presupposition	360-4558-B
presuppositional	360-4803-B
presynaptic	360-4842-B
pret aì porter	360-4919-B
pretax	360-4993-B
preteen	360-5066-B
pretence	360-5165-B
pretend	360-5786-B
pretended	360-6621-B
pretendedly	360-6711-B
pretender	360-6744-B
pretense	360-6989-B
pretension	360-7031-B
pretentious	360-7169-B
pretentiously	360-7253-B
pretentiousness	360-7290-B
preter	360-7399-B
preterfect	360-7477-B
preterhuman	360-7552-B
preterit	360-7626-B
preterite	360-7672-B
preterition	360-7782-B
preterm	360-7872-B
preterminal	360-7932-B
pretermission	360-8015-B
pretermit	360-8264-B
pretermitter	360-8412-B
preternatural	360-8446-B
preternaturalism	360-8508-B
preternaturally	360-8552-B
preternaturalness	360-8686-B
preterpluperfect	360-8729-B
pretersensual	360-8817-B
pretest	360-8878-B
pretesticular	360-8994-B
pretext	360-9079-B
pretibial	360-9309-B
pretone	360-9401-B
pretonic	360-9526-B
pretor	360-9629-B
pretorial	360-9668-B
pretorian	360-9728-B
prettification	360-9837-B
prettifier	360-9872-B
prettify	360-9903-B
prettily	360-9985-B
prettiness	360-10077-B
pretty	360-10309-B,360-11636-S
pretty pretty	360-11636-B
prettyish	360-11518-B
prettypretty	360-11579-B
pretuning	360-11711-B
pretzel	360-11793-B
prevail	360-11910-B
prevailer	360-12486-B
prevailing	360-12515-B
prevailingly	360-12682-B
prevailingness	360-12719-B
prevalence	360-12756-B
prevalent	360-12905-B
prevalently	360-13055-B
prevaricate	360-13088-B
prevarication	360-13185-B
prevaricator	360-13331-B
prevenance	360-13427-B
prevenient	360-13492-B
preveniently	360-13589-B
prevent	360-13624-B
preventability	360-14062-B
preventable	360-14096-B
preventative	360-14212-B
preventer	360-14550-B
preventibility	360-14746-B
preventible	360-14785-B
prevention	360-14821-B,161-9298-S
preventive	360-15058-B
preventive custody	360-15108-B
preventive detention	360-15205-B
preventive medicine	360-15342-B
preventively	360-15422-B
preventiveness	360-15457-B
preventorium	360-15494-B
prevenules	360-15579-B
prevernal	360-15656-B
prevertebral	360-15713-B
prevesical	360-15794-B
preview	360-15869-B,427-12065-S
previous	360-16046-B
previously	360-16667-B
previousness	360-16738-B
previse	360-16771-B
prevision	360-16846-B
previsional	360-17009-B
previsionary	360-17088-B
previsor	360-17122-B
previtamin	360-17150-B
prevocalic	360-17217-B
prevocational	360-17303-B
prewar	360-17413-B
prewarn	360-17617-B
prex	360-17681-B
prexy	360-17713-B
prey	360-17803-B,49-8634-S
preyer	360-18408-B
prezzie	360-18431-B
priapean	360-18487-B
priapism	360-18609-B
priappus	360-18726-B
price	360-18795-B,31-5881-S,58-15859-S,69-14503-S,83-12489-S,83-12738-S,102-11624-S,102-14158-S,112-159-S,213-14256-S,271-12550-S,282-23430-S,370-19776-S,398-22064-S,411-3846-S,437-12101-S,441-452-S,473-27564-S,495-7929-S
price boom	360-20332-B
price control	360-19934-B
price current	360-20010-B
price cutter	360-20431-B
price cutting	360-20469-B
price earning ratio	360-20234-B
price fixing	360-20649-B
price index	360-20747-B
price level	360-20109-B
price list	360-21051-B
price maintenance	387-1460-S
price ring	360-21126-B
price slashing	360-21269-B
price support	360-21357-B
price tag	360-21453-B
price war	360-20165-B
price wave	360-21550-B
priceable	360-20306-B
priced	360-20528-B,221-9790-S,276-727-S
priceless	360-20815-B
pricelessly	360-21018-B
pricer	360-21102-B
pricey	360-21620-B
priceyness	360-21678-B
pricily	360-21707-B
prick	360-21735-B
prick eared	360-23121-B
prick ears	360-23191-B
pricker	360-23245-B
pricket	360-23306-B
pricking	360-23524-B
prickle	360-23720-B
prickle cell	360-23981-B
prickliness	360-24063-B
prickling	360-24231-B
prickly	360-24278-B
prickly heat	360-24511-B
prickly pear	360-24604-B
pricy	360-24683-B
pride	360-24719-B,371-7553-S
prideful	360-26053-B
pridefully	360-26158-B
pridefulness	360-26189-B
prie dieu	360-26222-B
prier	360-26313-B
priest	360-26414-B,28-10316-S,217-36926-S,221-626-S,254-2600-S
priest hole	360-26582-B
priest ridden	361-234-B
priestcraft	360-26691-B
priestess	360-26845-B
priesthood	360-26903-B,221-707-S
priestlike	360-26996-B
priestliness	360-27070-B
priestling	361-0-B
priestly	361-63-B
prig	361-317-B
priggery	361-571-B
priggish	361-745-B
priggishly	361-889-B
priggishness	361-1015-B
priggism	361-1204-B
prim	361-1315-B
prima	284-8160-S
prima ballerina	361-1726-B
prima donna	361-1828-B
prima facie	361-1983-B
primacy	361-2150-B
primaeval	361-2332-B
primage	361-2395-B
primal	361-2524-B
primal therapy	361-2631-B
primality	361-2863-B
primaries	7-10457-S
primarily	361-2891-B
primariness	361-2989-B
primary	361-3102-B,53-404-S,239-25521-S
primary color	7-10512-S
primary colour	361-4195-B
primary education	361-4274-B
primary photoelectric current	149-7115-S
primary school	361-4386-B
primate	361-4541-B
primates	361-4585-B
primateship	361-4710-B
primatial	361-4784-B
primatical	361-4839-B
primatological	361-4905-B
primatologist	361-4985-B
primatology	361-5077-B
prime	361-5163-B,411-16934-S
prime cost	361-6567-B
prime entry	54-23810-S
prime meridian	361-6639-B
prime minister	361-6723-B
prime ministership	361-6803-B
prime ministry	361-6846-B
prime mover	361-6887-B
prime number	361-6984-B
prime time	361-7059-B,361-7776-B
primely	361-7158-B
primeness	361-7246-B
primer	361-7356-B
primero	361-7520-B
primerval	361-7628-B
primetide	361-7717-B
primeur	361-7809-B
primeval	361-7890-B
primevally	361-8187-B
primigenial	361-8252-B
primigenious	361-8341-B
primigenous	361-8414-B
primigravida	361-8485-B
primine	361-8555-B
priming	361-8635-B,410-11840-S
primipara	361-9062-B
primiparae	361-9164-B
primiparity	361-9232-B
primiparous	361-9265-B
primitiae	361-9326-B
primitive	361-9473-B
primitively	361-10040-B
primitiveness	361-10190-B
primitivism	361-10369-B
primitivist	361-10634-B
primitivity	361-10756-B
primly	361-10789-B
primness	361-10975-B
primo	361-11177-B
primogenial	361-11320-B
primogenital	361-11392-B
primogenitary	361-11517-B
primogenitor	361-11556-B
primogeniture	361-11631-B
primordia	361-11817-B
primordial	361-11885-B
primordiality	361-12010-B
primordializm	361-12212-B
primordially	361-12308-B
primordium	361-12409-B
primp	361-12551-B
primrose	361-12742-B,163-17032-S
primrosy	361-12967-B
primula	361-13051-B
primum mobile	361-13122-B
primus	361-13317-B
prince	361-13367-B,108-13261-S,108-13734-S
prince charming	361-13885-B
prince consort	361-13974-B
prince of wales	361-14106-B
prince s feather	361-14885-B
princedom	361-14181-B
princelet	361-14304-B
princelike	361-14366-B
princeliness	361-14501-B
princeling	361-14534-B
princely	361-14581-B
princeps	361-14769-B,146-5526-S
princeship	361-14974-B
princess	361-15003-B,108-13294-S,108-13782-S
princess royal	361-15280-B
