augmented	34-13446-B
augmented learning	92-3164-S
augmenter	34-13473-B
augmention	34-13502-B
augur	34-13550-B
augural	34-13778-B
augury	34-13917-B
august	34-14043-B
augustan	34-14175-B
augustly	34-14349-B
augustness	34-14376-B
auk	34-14405-B
auld lang syne	34-14461-B
aulic	34-14550-B
aulophyte	34-14610-B
aulostomatous	34-14690-B
aumbry	34-14776-B
aunt	34-14901-B,206-5382-S,207-22413-S,279-8669-S
aunt sally	34-15036-B
aunthood	34-15241-B
auntie	34-15266-B
aura	34-15337-B
aural	34-15508-B
aural carrier	34-15795-B
aural detection	34-15852-B
aural detector	34-15907-B
aural harmonic	34-15959-B
aural perception	34-16020-B
aural presentation	34-16078-B
aural reception	34-16135-B
aural signal	34-16178-B
aural transmitter	34-16233-B
aural warning	34-16296-B
aurally	34-16348-B
aureate	34-16406-B
aureately	34-16494-B
aureateness	34-16525-B
aurelia	34-16556-B
aurelian	34-16656-B
aureola	34-16845-B
aureole	34-16888-B
aureomycin	34-16979-B
auric	34-17042-B
auricle	34-17151-B
auricled	34-17270-B
auricula	34-17378-B
auriculae	34-17479-B
auricular	34-17525-B
auricularis	34-17813-B
auricularly	34-17885-B
auriculate	34-17918-B
auriculately	34-17971-B
auriculo ventricular	34-18006-B
auriferous	34-18115-B
auriform	34-18171-B
auriga	34-18223-B
aurignacian	34-18296-B
aurilave	34-18380-B
aurinasal	34-18451-B
auriscope	34-18511-B
aurist	34-18568-B
auriularia	35-0-B
aurochs	35-53-B
aurora	35-129-B
auroral	35-364-B
auroral zone propagation	35-588-B
aurorally	35-653-B
aurorean	35-681-B
auscultate	35-709-B
auscultation	35-772-B
auscultative	35-845-B
auscultatory	35-880-B
auspicate	35-915-B
auspice	35-1058-B
auspices	35-1368-B
auspicious	35-1847-B
auspiciously	35-1961-B
auspiciousness	35-1996-B
aussie	35-2141-B
austenite	35-2241-B
austere	35-2304-B
austerely	35-2500-B
austereness	35-2571-B
austerity	35-2799-B
austral	35-2848-B
australian	35-2892-B
australian rules	35-2987-B
australoid	35-3133-B
australopithecine	35-3211-B
