regulated	518-2155-S
regulating	410-13440-S
regulation	383-30739-B,150-1889-S,410-13505-S
regulations	140-15339-S
regulator	383-31334-B,36-2918-S,90-2975-S,111-752-S,150-1942-S,190-15664-S
regulator gene	383-31427-B
regulatory gene	383-31547-B
reguli	384-0-B
regulus	384-58-B
regurgitant	384-158-B
regurgitate	384-237-B
regurgitation	384-393-B
rehabilitant	384-570-B
rehabilitate	384-716-B
rehabilitation	384-1057-B
rehabilitation center	384-1431-B
rehandle	384-1622-B
rehang	384-1734-B
reharden	384-1773-B
rehash	384-1842-B
rehear	384-2146-B
reheard	384-2185-B
rehearing	384-2290-B
rehearsal	384-2375-B,140-6114-S
rehearse	384-2501-B
reheat	384-2613-B
reheater	384-2703-B
reheating	384-2803-B
rehouse	384-2923-B
rehung	384-3014-B
rei	384-3091-B
reich	384-3156-B
reichstag	384-3235-B
reification	384-3315-B
reificatory	384-3386-B
reify	384-3453-B
reigle	384-3527-B
reign	384-3574-B
reignition	384-3982-B
reimbursable	384-4049-B
reimburse	384-4145-B
reimbursement	384-4243-B
reimport	384-4357-B
reimportation	384-4503-B
rein	384-4682-B,58-18593-S,140-28861-S,189-25066-S,266-8921-S,514-6873-S
rein back	384-5541-B
reincarnate	384-5618-B
reincarnation	384-5704-B
reincorporate	384-5794-B
reincrease	384-5850-B
reindeer	384-5920-B
reindeermoss	384-5989-B
reinduce	384-6086-B
reinfect	384-6237-B
reinforce	384-6319-B
reinforced concrete	384-6754-B
reinforcement	384-6841-B
reingratiate	384-6996-B
reinhabit	384-7191-B
reinject	384-7265-B
reinless	384-7353-B
reins	384-7506-B
reinsert	384-7598-B
reinsertion	115-20594-S
reinsman	384-7687-B
reinspection	384-7768-B
reinstall	384-7861-B
reinstate	384-7951-B
reinstatement	384-8123-B
reinsurance	384-8316-B
reinsure	384-8392-B
reintegrate	384-8458-B
reinter	384-8551-B
reinthrone	384-8592-B
reintroduce	384-8668-B
reinvasion	384-8758-B
reinvestigate	384-8827-B
reinvestment	384-8921-B
reissue	384-8994-B
reiter	384-9124-B
reiterate	384-9215-B
reiteration	384-9298-B
reiterative	384-9419-B
reiver	384-9479-B
reject	384-9518-B
rejectable	384-9974-B
rejectamenta	384-10062-B
rejection	384-10213-B,84-1467-S
rejection slip	384-10405-B
rejig	384-10589-B
rejoice	384-10759-B
rejoicing	384-11320-B
rejoin	384-11661-B
rejoinder	384-11875-B
rejuvenate	384-12011-B
rejuvenation	384-12109-B
rejuvenesce	384-12203-B
