avalanche current	37-4632-B
avalanche diode	37-4679-B
avalanche formation	37-4726-B
avalanche impedance	37-4774-B
avalanche injection	37-4822-B
avalanche injection laser	37-4862-B
avalanche injection mos	182-20991-S
avalanche ionization	37-4925-B
avalanche multiplication	37-4992-B
avalanche multiplication factor	37-5038-B
avalanche noise	37-5101-B
avalanche photodevice	37-5144-B
avalanche photodiode	37-5192-B
avalanche transistor	37-5250-B
avalanche triggering	37-5320-B
avalanche triode	37-5370-B
avan courier	37-5417-B
avant courrier	37-5478-B
avant garde	37-5636-B
avant gardism	37-5718-B
avant gardist	37-5755-B
avarice	37-5792-B
avaricious	37-5840-B
avariciously	37-5909-B
avariciousness	37-5971-B
avascular	37-6059-B
avast	37-6131-B
avatar	37-6229-B
avaunt	37-6415-B
ave	37-6493-B
avenge	37-6780-B
avenger	37-7000-B
avengingly	37-7081-B
avens	37-7110-B
aventurine	37-7198-B
avenue	37-7263-B,278-12542-S
aver	37-7738-B
average	37-7858-B,110-22778-S,138-16327-S
average adjuster	37-9150-B
average bright	37-9275-B
average calculating time	37-9323-B
average capacity	37-9393-B
average current	37-9445-B
average delay time	37-9496-B
average density	37-9561-B
average frequency	37-9610-B
average life	37-9660-B
average load	37-9708-B
average power	37-9748-B
average rate	37-9796-B
average statement	37-9837-B
average value	37-9955-B
averaged	209-19569-S
averaged characteristic	37-10001-B
averaged transients	91-12863-S
averagely	37-10059-B
averageness	37-10117-B
averages	265-22881-S
averaging	37-10148-B
averaging principle	37-10190-B
averaging rectifier	37-10243-B
averment	37-10302-B
averrable	37-10448-B
averruncator	37-10474-B
averse	37-10551-B
aversely	37-10641-B
averseness	37-10670-B
aversion	37-10699-B
avert	37-11041-B
avertable	37-11354-B
avertible	37-11402-B
avesta	37-11533-B
avestan	37-11596-B
avian	37-11776-B
aviarist	37-11816-B
aviary	37-11878-B
aviate	37-11930-B
aviation	37-12042-B
aviation service	37-12120-B
aviator	37-12166-B
aviatress	37-12207-B
aviatrice	37-12265-B
aviatrix	37-12312-B
aviculture	37-12359-B
aviculturist	37-12425-B
avid	37-12460-B
avidity	37-12545-B
avidly	37-12717-B
aviette	37-12781-B
avifauna	37-12872-B
avifaunal	37-12959-B
avion	327-12238-S
avionic	37-12989-B
avionics	37-13017-B
avis	378-3528-S
aviso	37-13093-B
avitaminosis	37-13161-B
avitaminotic	37-13241-B
avocado	37-13278-B
avocation	37-13331-B
avocational	37-13503-B
avocationally	37-13538-B
avocet	37-13573-B
avogadros number	37-13644-B
avoid	37-13688-B
avoidable	37-13941-B
avoidably	37-14011-B
avoidance	37-14038-B
avoider	37-14248-B
avoirdupois	37-14273-B
avoirdupois weight	37-14575-B
avometer	37-14696-B
avoset	37-14746-B
avouch	37-14785-B
avouchment	37-14898-B
avow	37-15077-B
avowable	37-15277-B
avowably	37-15383-B
avowal	37-15408-B
avowed	37-15496-B
avowedly	37-15609-B
avower	37-15758-B
avulsion	37-15781-B
avuncular	37-15997-B
awacs	37-16125-B
await	37-16254-B
awaited	274-2258-S
awaiting repair time	37-16578-B
awake	37-16645-B,520-4115-S,520-4235-S
awaken	37-16680-B
awakener	37-17148-B
awakening	37-17175-B
award	37-17241-B,3-17662-S
award winning	37-18012-B
awardable	37-17884-B
awardee	37-17911-B
awarder	37-17987-B
aware	37-18089-B,409-13468-S
awareness	37-18295-B
awash	37-18322-B
away	37-18468-B,111-24258-S,127-16056-S,170-15016-S,172-3483-S,184-8054-S,200-9379-S,201-13855-S,203-12821-S,220-15327-S,391-27326-S,392-33694-S,396-31972-S,396-42164-S,438-18076-S,460-33940-S,460-34695-S
away game	37-19881-B
away match	37-19976-B
away with something	203-12886-S
awe	37-20024-B
awe inspiring	37-20481-B
aweary	37-20326-B
aweather	37-20411-B
awesome	37-20550-B
awesomely	37-20700-B
awesomeness	37-20729-B
awestricken	37-20844-B
awestruck	37-20927-B
awful	37-20975-B,203-31853-S
awfully	37-21401-B
awfulness	37-21495-B
awhile	37-21522-B
awkward	37-21596-B
awkwardly	37-22160-B
awkwardness	37-22263-B
awl	37-22444-B,405-26076-S
awl shaped	37-22501-B
awn	37-22573-B
awned	37-22649-B
awning	37-22670-B
awnless	37-22784-B
awnlet	37-22807-B
awoke	37-22875-B
awol	38-0-B
awry	38-97-B
ax	38-447-B,350-22614-S
axe	38-474-B,43-16289-S,111-7095-S,209-27663-S,214-13385-S,230-10393-S,350-22749-S,445-3102-S,445-3570-S,477-23975-S
axe stone	38-1374-B
axeman	38-1158-B
axenik	38-1216-B
axes	38-1294-B
axial	38-1434-B
axial cable	84-14941-S
axial field	38-1588-B
axial lead	38-1635-B
axial mode	38-1677-B
axial mode helix	38-1728-B
axial ratio	38-1796-B
axial slot	38-1855-B
axial symmetry	38-1891-B
axiality	38-1947-B
axially	38-1973-B
axil	38-1999-B
axile	38-2058-B
axilla	38-2132-B
axillae	38-2172-B
axillar	168-18455-S
axillary	38-2287-B,168-18517-S
axiology	38-2385-B
axiom	38-2470-B
axiom schema	38-2610-B
axiomatic	38-2671-B,38-2861-B
axiomatical	38-2899-B
axiomatically	38-2955-B
axiomatics	38-2990-B
axiomatizability	38-3110-B
axiomatizable	38-3200-B
axiomatization	38-3242-B
axipetal	38-3276-B
axis	38-3351-B,170-438-S,279-19998-S,411-8099-S,420-1958-S,523-33903-S,524-5872-S
axisymmetric	38-3934-B
axle	38-4017-B,140-28363-S,430-2773-S
axle bearing	38-4143-B
axle box	38-4211-B
axle grease	38-4067-B
axle pin	38-4259-B
