retinoscope	388-28082-B
retinoscopy	388-28157-B
retinosis	388-28228-B
retinue	388-28300-B
retire	388-28358-B
retired	388-29328-B
retirement	388-29686-B
retirement age	388-30034-B
retiring	388-30107-B
retiring room	388-30345-B
retisolution	388-30418-B
retispersion	388-30497-B
retold	388-30576-B
retook	388-30655-B
retool	388-30952-B
retort	388-31038-B
retorted	388-31592-B
retorting	389-0-B
retortion	389-116-B
retouch	389-279-B
retoucher	389-482-B
retrace	389-549-B
retract	389-865-B
retractable	389-1346-B
retractation	389-1660-B
retractile	389-1830-B
retractility	389-1924-B
retraction	389-1989-B
retractor	389-2129-B
retral	389-2229-B
retransfer	389-2288-B
retransform	389-2463-B
retranslate	389-2616-B
retranslation	389-2716-B
retranslocation	389-2887-B
retransmission	389-3004-B
retransmit	389-3114-B
retransmiter	389-3205-B
retransmitter	36-3224-S
retread	389-3294-B
retreader	389-3440-B
retreat	389-3508-B
retree	389-4394-B
retrench	389-4477-B
retrenchment	389-4761-B
retrial	389-4965-B
retribution	389-5041-B
retributive	389-5177-B
retributory	389-5229-B
retrievable	389-5356-B
retrieval	389-5584-B,52-4527-S,242-12675-S
retrieval system	114-18242-S
retrieve	389-6120-B
retriever	389-6750-B,262-3828-S
retrimming	389-6890-B
retro	389-6961-B
retro rocket	389-12540-B
retroact	389-7183-B
retroaction	389-7396-B
retroactive	389-7625-B
retroactive inhibition	389-7722-B
retroactively	389-7873-B
retroactivity	389-8034-B
retrobuccal	389-8143-B
retrobulbar	389-8221-B
retrocaecal	389-8303-B
retrocede	389-8378-B
retrocedence	389-8521-B
retrocedent	389-8617-B
retrocerebral	389-8702-B
retrocervical	389-8771-B
retrocession	389-8844-B
retrocessive	389-8994-B
retrochoir	389-9098-B
retrocollic	389-9201-B
retrocurved	389-9258-B
retrod	389-9320-B
retrodden	389-9537-B
retrodeviation	389-9579-B
retrofit	389-9656-B
retrofixation	389-9755-B
retroflected	389-9851-B
retroflex	389-9920-B
retroflexed	389-9972-B
retroflexion	389-10026-B
retrogradation	389-10180-B
retrograde	389-10395-B
retrogress	389-10448-B
retrogression	389-10566-B
retrogressive	389-10754-B
retrogressively	389-11356-B
retroinsular	389-11575-B
retroiridian	389-11637-B
retroject	389-11682-B
retrolingual	389-11755-B
retromandibular	389-11818-B
retromorphosis	389-11892-B
retronasal	389-11987-B
retroocular	389-12043-B
retrooperative	389-12102-B
retropack	389-12189-B
retroperitoneal	389-12268-B
retropharingeal	389-12342-B
retroposition	389-12412-B
retropubic	389-12487-B
retrorse	389-12715-B
retrosection	389-12793-B
retrospect	389-12814-B
retrospection	389-13063-B
retrospective	389-13213-B
retrospectively	389-13464-B
retrousse	389-13805-B
retroversion	389-13864-B
retroverted	389-13949-B
retry	389-14027-B
retsina	389-14090-B
rettery	389-14187-B
retting	389-14247-B
retubing	389-14305-B
return	389-14364-B,68-20137-S,115-12982-S,208-10508-S,462-20695-S
return address	2-3173-S
return character	68-20211-S
return circuit	144-5741-S,209-13766-S
return coupling	209-13816-S
return fare	389-17776-B
return game	389-17840-B
return half	389-17895-B
return match	389-17962-B
return phantom circuit	144-5796-S
return ticket	389-18034-B
returnable	389-18091-B,305-9896-S
returnee	389-18209-B
returner	389-18277-B
returning	389-18403-B
returning officer	389-18475-B
retuse	389-18631-B
retyre	389-18704-B
reunification	389-18756-B
reunify	389-18862-B
reunion	389-18949-B
reunionist	389-19332-B
reunionistic	389-19523-B
reunite	389-19700-B
reusable	389-20001-B
