roman numerals	393-20342-B
romance	393-20407-B
romancer	393-20957-B
romanesque	393-21283-B
romanic	393-21668-B
romanism	393-21755-B
romanist	393-21816-B
romano	393-21962-B
romantic	393-22022-B
romanticise	393-22564-B
romanticism	393-22786-B
romanticist	393-22881-B
romanticize	393-22968-B
romany	393-23172-B
rome	393-23458-B
romewards	393-23774-B
romish	393-23839-B
romp	393-23977-B
romper	393-24464-B
romper suit	393-24533-B
rompers	393-24582-B
rompingly	393-24653-B
rompish	393-24715-B
rompy	393-24755-B
rondache	393-24815-B
rondavel	393-24888-B
rondeau	393-24974-B
rondel	393-25077-B
rondo	393-25115-B
rondure	393-25174-B
roneo	393-25257-B
rontgen	393-25426-B
rontgen rays	393-25546-B
rontgenogram	393-25645-B
roo	393-25808-B
rood	393-25865-B
rood screen	393-26066-B
roof	393-26157-B,222-504-S,281-20746-S,335-13795-S,397-27274-S,432-20775-S,432-23888-S,453-14551-S
roof garden	394-145-B
roof rack	394-568-B
roof top	394-725-B
roof tree	394-812-B
roofage	393-26669-B
roofed	393-26731-B
roofer	394-0-B
roofing	394-239-B
roofless	394-334-B
rooflight	394-412-B
roofrack	394-475-B
roofslab	394-667-B
rooftree	394-914-B
rooinek	394-1045-B
rook	394-1207-B
rooker	394-1431-B
rookery	394-1487-B,407-7165-S
rookie	394-1732-B
rooky	394-1766-B
