backward	39-11302-B
backward equation	39-11967-B
backward pointer	39-12022-B
backward search	39-12067-B
backward signal	39-12106-B
backward signaling	39-12167-B
backward substitution	39-12219-B
backward voltage	39-12272-B
backward wave	39-12311-B
backwardly	39-12353-B
backwardness	39-12384-B
backwards	39-12560-B
backwash	39-12682-B
backwater	39-12873-B
backway	39-13146-B
backwood	39-13257-B
backwoods	39-13371-B
backwoodsman	39-13495-B
backyard	39-13773-B
bacon	39-13823-B,38-21143-S,75-2669-S,207-27854-S
bacteraemia	39-14075-B
bacteria	39-14183-B
bacterial	39-14260-B
bacterially	39-14342-B
bactericide	39-14375-B
bacterin	39-14471-B
bacteriocin	39-14604-B
bacteriologic	39-14698-B
bacteriological	39-14739-B
bacteriologically	39-14829-B
bacteriologist	39-14871-B
bacteriology	39-14953-B
bacteriolysis	39-15039-B
bacteriolytic	39-15137-B
bacteriophage	39-15176-B
bacteriophagic	39-15252-B
bacteriophagy	39-15292-B
bacteriostasis	39-15330-B
bacteriostat	39-15414-B
bacteriostatic	39-15496-B
bacterium	39-15575-B,393-5769-S
bacteriuria	39-15624-B
baculine	39-15728-B
bad	39-15850-B
bad connection test	39-17928-B
bad debt	39-17568-B
bad disk	39-17653-B
bad lands	39-17681-B
bad language	39-17762-B
bad mouth	39-19836-B
bad packet	39-17837-B
bad sector	39-17866-B
bad tempered	39-19978-B
bad track	39-17895-B
baddie	39-17978-B
baddish	39-18098-B
bade	39-18158-B
badge	39-18186-B
badge reader	39-18404-B
badger	39-18456-B,224-8384-S
badger baiting	39-18882-B
badger drawing	39-18979-B
badger fly	39-19043-B
badger legged	39-19145-B
badinage	39-19207-B
badlands	39-19285-B
badly	39-19388-B
badminton	39-19719-B
badness	39-19904-B
baedeker	39-20065-B
baffle	39-20139-B,5-20523-S,28-550-S
baffle board	39-20524-B
baffle plate	39-20615-B
baffle wall	40-61-B
bafflement	39-20586-B
baffler	40-0-B
baffy	40-113-B
bafta	40-178-B
