shoe lace	417-21231-B
shoe leather	417-21277-B
shoe lift	417-21522-B
shoe nail	417-21941-B
shoe parlor	417-22003-B
shoe parlour	417-22078-B
shoe polish	417-20875-B
shoe shine	417-22182-B
shoe thread	417-22696-B
shoe tree	417-22760-B
shoebill	417-20940-B
shoeblack	417-21011-B
shoehorn	417-21160-B
shoeless	417-21429-B
shoemaker	417-21690-B
shoemaking	417-21874-B
shoes	113-23866-S,400-2834-S,428-1630-S,473-20936-S,514-7489-S
shoeshine	417-22133-B
shoeshine boy	417-22320-B
shoestring	417-22401-B
shogun	417-22942-B
shogunal	417-23025-B
shogunate	417-23099-B
shone	417-23188-B
shoo	417-24240-B
shoo in	417-24352-B
shook	417-24475-B
shook up	417-24606-B
shool	140-29228-S,178-17558-S
shoot	417-24756-B,311-4744-S,395-35412-S,470-21875-S,516-4430-S
shoot out	417-28726-B
shooter	417-27295-B,44-4365-S,333-6317-S,415-33778-S,422-11697-S,438-19538-S,479-7044-S
shooting	417-27561-B,105-19474-S,475-25929-S
shooting boots	417-27996-B
shooting box	417-28074-B
shooting brake	417-28160-B
shooting coat	417-28276-B
shooting gallery	417-28340-B
shooting iron	417-28417-B
shooting licence	417-28489-B
shooting range	417-28569-B
shooting star	417-27784-B
shooting stick	417-28632-B
shooting war	417-27854-B
shop	417-28772-B,31-15667-S,41-22432-S,42-14173-S,47-4886-S,60-10292-S,60-10550-S,60-12568-S,83-8139-S,85-15432-S,99-15955-S,99-23347-S,136-17988-S,139-17343-S,174-23125-S,180-6874-S,200-28127-S,201-1725-S,205-4584-S,209-3169-S,255-6647-S,257-3798-S,257-14353-S,260-33505-S,272-29616-S,278-2630-S,286-2276-S,311-22410-S,314-11697-S,331-8575-S,332-4943-S,338-23569-S,361-21039-S,385-34422-S,425-5943-S,456-24430-S,457-4990-S,457-6796-S,457-16037-S,461-8521-S,461-11340-S,463-6605-S,471-14506-S,480-8568-S,495-4129-S,520-28693-S
shop assistant	417-30033-B
