space station	432-12051-B
space suit	432-12119-B
space telegraph	432-14030-B
space time	432-14109-B
space traveller	432-12190-B
space travelling	432-12267-B
space vehicle	432-12346-B
space writer	432-14572-B
space writing	432-14677-B
spacebar	432-12402-B
spacecraft	432-12571-B
spaced out	432-12640-B
spaceful	432-12884-B
spaceless	432-13261-B
spaceman	432-13360-B
spacemark	432-13411-B
spacemedicine	432-13512-B
spaceport	432-13671-B
spacer	432-13734-B
spaceship	432-13979-B
spacewalk	432-14193-B
spacewalking	432-14364-B
spacewards	432-14434-B
spacewoman	432-14502-B
spacial	432-14780-B
spacing	432-14834-B
spacious	432-14908-B
spaciously	432-14975-B
spaciousness	432-15093-B
spade	432-15180-B
spade beard	432-15522-B
spade bearded	432-15601-B
spade fish	432-15671-B
spade work	432-16080-B
spadeful	432-15755-B
spader	432-15809-B
spadesman	432-15911-B
spadework	432-15973-B
spadger	432-16225-B
spadiceous	432-16283-B
spadices	432-16333-B
spadicose	432-16374-B
spadille	432-16459-B
spading	432-16526-B
spadix	432-16594-B
spado	432-16673-B
spadones	432-16781-B
spae	432-16822-B
spaewife	432-16887-B
spaghetti	432-16942-B
spahee	432-17044-B
spahi	432-17191-B
spake	432-17229-B
spalder	432-19163-B
spall	432-19243-B
spallation	432-19360-B
spallbale	432-19448-B
spalling	432-19504-B
spalpeen	432-19636-B
spam	432-19702-B
span	432-19771-B,29-16460-S,269-13331-S,269-16567-S,434-21791-S,435-0-S,435-90-S,521-3288-S
span new	432-23808-B
span roof	432-20775-B,432-23888-B
span worm	432-23961-B
spandrel	432-20832-B
spangle	432-20945-B,307-19006-S
spangled	440-33354-S
spangles	432-21158-B
spangling	432-21253-B
spangly	432-21317-B
spaniard	432-21371-B
spaniel	432-21434-B,251-11051-S,259-25275-S
spanish	432-21613-B
spanish american	432-21748-B
spanish chestnut	432-22229-B
spanish guitar	432-22321-B
spanish main	432-22431-B
spank	432-22610-B
spanker	432-22848-B
spanking	432-23132-B
spanless	432-23522-B
spanner	432-23622-B
spar	433-0-B,184-448-S,217-29260-S
spar buoy	433-546-B
spar deck	433-614-B
sparable	433-457-B
spare	433-717-B
spare part	433-2028-B,433-2509-B
spare rib	433-2595-B
spare tyre	433-2140-B,433-2760-B
sparely	433-2286-B
spareness	433-2351-B
sparerib	433-2676-B
sparge	433-2817-B
sparger	433-2884-B
sparget	433-2947-B
sparing	433-3032-B
sparingly	433-3177-B
sparingness	433-3306-B
spark	433-3428-B
spark arrester	433-4316-B
spark coil	433-4425-B
spark gap	433-4506-B
spark over	433-5667-B
spark plug	433-5734-B
sparking	433-4579-B
sparking plug	433-4655-B
sparkish	433-4728-B
sparkle	433-4794-B
sparkler	433-5139-B
sparkless	433-5258-B
sparklet	433-5344-B
sparkling	433-5471-B
sparkling water	433-5594-B
sparks	433-5788-B
sparkwear	433-5910-B
sparky	433-5968-B
sparling	433-6029-B
sparoid	433-6096-B
sparring partner	433-6219-B
sparrow	433-6338-B,85-3548-S,217-37286-S,226-15241-S,254-18575-S,430-21622-S,430-22277-S
sparrow bill	433-6402-B
sparrow grass	433-6503-B
sparrow hawk	433-6573-B
sparry	433-6654-B
sparse	433-6746-B
sparsely	433-6849-B
sparseness	433-6942-B
sparsity	433-7044-B
spartacan	433-7157-B
spartacism	433-7342-B
spartan	433-7412-B
spartein	433-7697-B
spasm	433-7754-B
spasmodic	433-7867-B
spasmodical	433-7917-B
spasmodically	433-8152-B
spasmology	433-8444-B
spasmolytic	433-8526-B
spastic	433-8650-B
spat	433-8763-B
spatchcock	433-9264-B
spate	433-9436-B
spathaceous	433-9718-B
spathe	433-9769-B
spathed	433-9853-B
spathic	433-9897-B
spathiform	433-9971-B
spathose	433-10028-B
spathulate	433-10089-B
spatial	433-10175-B
spatially	433-10274-B
spatio temporal	433-10387-B
spatio temporally	433-10481-B
spattee	433-10577-B
spatter	433-10633-B
spatter dock	433-11094-B
spatterdashes	433-10949-B
spatula	433-11174-B
spatular	433-11266-B
spatulate	433-11370-B
spatule	433-11419-B
spatuliform	433-11528-B
spavin	433-11642-B,54-18458-S
spavined	433-11714-B
spawn	433-11858-B,191-12859-S,191-14333-S
spawner	433-12162-B
spawning	433-12218-B
spawning season	433-12318-B
spay	433-12408-B
speak	433-12494-B
speak easy	433-12591-B
speakable	433-12527-B
speaker	433-12675-B,43-2318-S,43-3366-S,275-8455-S,300-14330-S
speakership	433-12869-B
speaking	433-12968-B,164-7702-S,271-7049-S
speaking clock	433-13653-B
speaking trumpet	433-13751-B
speaking tube	433-13834-B
spear	433-13896-B,146-10857-S,179-20216-S,179-21792-S,318-12492-S
spear side	433-14168-B
spearfish	433-14230-B
speargun	433-14311-B
spearhead	433-14413-B
spearman	433-14588-B
spearmint	433-14672-B
speary	433-14781-B
spec	433-14835-B
special	433-14918-B
special branch	433-15435-B
special constable	433-15529-B
special delivery	433-15709-B
special forces	433-15814-B
special licence	433-16108-B
special pleading	433-16305-B
special school	433-16400-B
special student	433-16494-B
specialisation	433-16644-B
specialise	433-16752-B
specialised	433-17080-B
specialism	433-17267-B
specialist	433-17396-B,91-15952-S,305-11669-S
specialistic	433-17538-B
speciality	433-17643-B
specialization	433-17763-B
specialize	433-17896-B
specialized	433-17947-B
specially	433-18001-B
specialty	433-18074-B
speciation	433-18369-B
speciational	433-18491-B
specie	433-18577-B
species	433-18705-B
specifiable	433-18957-B
specific	433-19075-B,305-11748-S
specific epithet	433-19714-B
specific gravity	433-19824-B
specific heat	433-19920-B
specifically	433-19983-B
specification	433-20087-B,114-18586-S,124-149-S,148-7845-S,187-14729-S,193-6570-S
specifications	166-16450-S,168-5843-S
specificity	433-20346-B
specificness	433-20400-B
specified	433-20481-B
specifier	2-24432-S,99-4508-S
specifity	433-20554-B
specify	433-20613-B
specilative	433-20829-B
specimen	433-20868-B
speciogenesis	433-21240-B
speciological	433-21319-B
speciology	433-21407-B
speciosity	433-21502-B
specious	433-21644-B
speciously	433-21826-B
speciousness	433-21963-B
speck	433-22017-B
specked	433-22219-B
speckle	433-22272-B
speckled	433-22364-B
speckless	433-22428-B
specs	433-22505-B
spectacle	433-22570-B
spectacled	433-23066-B
spectacles	433-23239-B,428-1894-S
spectacular	433-23300-B
spectacularly	433-23548-B
spectate	433-23679-B
spectator	433-23786-B
spectator sports	433-23855-B
spectatress	433-23980-B
specter	433-24047-B
spectra	433-24087-B
spectra classification	433-24279-B
spectral	433-24405-B,169-3540-S
spectrality	433-24510-B
spectrally	433-24575-B
spectralnes	433-24638-B
spectre	433-24693-B
spectro	433-24851-B
spectrogram	433-24954-B,283-20197-S
spectrograph	433-25020-B,283-20282-S
spectrographic	433-25109-B
spectrography	433-25217-B,283-20384-S
spectroheliogram	433-25300-B
spectroheliograph	433-25393-B
spectroheliography	433-25489-B
spectrohelioscope	433-25586-B
spectrology	433-25688-B
spectrometer	433-25767-B,34-8828-S,283-20512-S
spectrometric	433-25837-B
spectrometry	433-25907-B,283-20621-S
spectrophotography	433-25978-B
spectrophotometer	433-26067-B
spectroscope	433-26155-B
spectroscopic	433-26228-B
spectroscopy	433-26351-B,149-7859-S,155-2765-S
spectrum	433-26438-B,3-4552-S,34-6595-S,97-29990-S,131-16721-S,149-629-S,149-12964-S,152-11351-S,155-2699-S,190-16244-S,270-20099-S
spectrum signals	190-14686-S
specula	433-26481-B
specular	433-26524-B
speculate	433-26675-B
speculation	434-0-B
speculative	434-255-B
speculativeness	434-437-B
speculator	434-605-B
speculatory	434-710-B
speculum	434-780-B
sped	434-984-B
speech	434-2129-B,130-7427-S,177-12460-S,185-4443-S,239-26003-S,330-5822-S,386-14188-S,448-20040-S
speech clinic	434-2527-B
speech community	434-2666-B
speech day	434-3312-B
speech disorder	434-2753-B
speech form	434-2826-B
speech processing	128-14638-S
speech reading	434-4234-B
speech therapist	434-2927-B
speech therapy	434-3137-B
speechification	434-3362-B
speechifier	434-3468-B
speechify	434-3572-B
speechless	434-3685-B
speechlessly	434-3895-B
speechlessness	434-4079-B
speed	434-4349-B,12-11806-S,82-25237-S,91-7885-S,92-8570-S,209-14008-S,221-10378-S,276-1216-S,481-15065-S,482-17691-S
speed ball	434-4511-B
speed boat	434-4594-B
speed cop	434-4665-B
speed counter	434-4794-B
speed indicator	434-5160-B,12-11874-S
speed limit	434-5418-B
speed merchant	434-5525-B
speed meter	12-11946-S
speed reading	434-5844-B
speed reducer	434-5929-B
speed trap	434-4381-B
speed up	434-6153-B
speed up system	434-6217-B
speeder	434-4867-B
speedily	434-5013-B
speediness	434-5240-B
speeding	434-5336-B
speedo	434-5621-B
speedometer	434-5678-B
speedomiter	434-5757-B
speedster	434-6006-B
speedway	434-6305-B
speedwell	434-6477-B
speedy	434-6550-B
speer	434-6677-B
speiss	434-6728-B
spelaean	434-6812-B
spelaelogical	434-6918-B
spelaelogy	434-6981-B
spelaeology	434-7080-B
speleological	434-7145-B
speleologist	434-7269-B
speleology	434-7358-B
spelican	434-7413-B
spelicans	434-7476-B
spell	434-7523-B,292-19473-S
spell down	434-9047-B
spellbind	434-8517-B
spellbinder	434-8623-B
spellbinding	434-8703-B
spellbound	434-8836-B
speller	434-9112-B
spelling	434-9217-B,292-19518-S
spelling bee	434-9433-B
spelling book	434-9485-B
spelling pronunciation	434-9551-B
spelt	434-9705-B,292-19737-S
spelter	434-9842-B
spelter solder	434-9931-B
spelunker	434-9999-B
spelunking	434-10111-B
spencer	434-10194-B
spencerian	434-10252-B
spencerianism	434-10330-B
spencerism	434-10406-B
spend	434-10477-B,292-19901-S
spendable	434-11377-B
spender	434-11472-B
spending	119-7747-S
spending money	434-11554-B
spendthrift	434-11629-B
spent	434-11786-B,232-12234-S,518-2808-S
sperm	434-12059-B
sperm cell	434-12210-B
sperm formation	434-12280-B
sperm oil	434-15630-B
sperm whale	434-16223-B
spermaceti	434-12369-B
spermagonium	434-12479-B
spermaphore	434-12572-B
spermaphyte	434-12610-B
spermary	434-12708-B
spermatheca	434-12790-B
spermatic	434-12858-B
spermatid	434-12971-B
spermatium	434-13045-B
spermatocyte	434-13139-B
spermatogenesis	434-13209-B
spermatogenetic	434-13298-B
spermatogenous	434-13381-B
spermatogonium	434-13464-B
spermatological	434-13562-B
spermatologist	434-13650-B
spermatology	434-13761-B
spermatophore	434-13861-B
spermatophyte	434-13927-B
spermatorhea	434-14009-B
spermatorrhea	434-14088-B
spermatorrhoea	434-14151-B
spermatozoa	434-14245-B
spermatozoal	434-14304-B
spermatozoan	434-14380-B
spermatozoid	434-14441-B
spermatozoon	434-14521-B
spermic	434-14641-B
spermicidal	434-14702-B
spermicide	434-14786-B
spermicidol	434-14857-B
spermid	434-14944-B
spermiducal	434-15013-B
spermiduct	434-15112-B
spermin	434-15181-B
spermine	434-15238-B
spermiogenesis	434-15309-B
spermogonial	434-15416-B
spermogonium	434-15517-B
spermological	434-15695-B
spermologist	434-15834-B
spermology	434-15961-B
spermophyte	434-16082-B
spermous	434-16165-B
sperrylife	434-16322-B
spessartine	434-16384-B
spessartite	434-16449-B
spew	434-16515-B
spewing	434-16735-B
sphacelate	434-16804-B
sphacelation	434-16936-B
sphagna	434-17051-B
sphagnum	434-17134-B
sphalerite	434-17177-B
sphene	434-17242-B
sphenic	434-17291-B
sphenogram	434-17330-B
sphenoid	434-17393-B
sphenoidal	434-17554-B
spher	434-17601-B
spheral	434-17736-B
sphere	434-17840-B,29-13478-S,192-24013-S,368-1041-S,412-858-S
spheric	434-18554-B
spherical	434-18691-B
spherical angle	434-18811-B
sphericity	434-18885-B
spherics	434-18978-B
sphero conic	434-19078-B
sphero quartic	434-19431-B
spheroid	434-19106-B
spheroidal	434-19187-B
spheroidization	434-19259-B
spherometer	434-19362-B
spherula	434-19462-B
spherular	434-19549-B
spherulate	434-19596-B
spherule	434-19707-B
spherulite	434-19784-B
spherulitic	434-19852-B
sphery	434-19930-B
sphincter	434-20031-B
sphincteral	434-20093-B
sphincterial	434-20147-B
sphincteric	434-20204-B
sphinges	434-20277-B
sphingidae	434-20316-B
sphinx	434-20399-B
sphragistics	434-20625-B
sphygmic	434-20744-B
sphygmogram	434-20798-B
sphygmograph	434-20869-B
sphygmographic	434-20938-B
sphygmography	434-21045-B
sphygmoid	434-21116-B
sphygmology	434-21177-B
sphygmomanometer	434-21256-B
sphygmometer	434-21336-B
sphygmophone	434-21400-B
sphygmoscope	434-21464-B
sphygmus	434-21528-B
sphynx	434-21603-B
spic	434-21655-B
spic and span	434-21791-B
spica	434-21703-B
spicate	434-21865-B
spicated	434-21957-B
spice	434-22001-B
spicebush	434-22432-B
spiced	434-22507-B
spicery	434-22635-B
spicily	434-22733-B
spiciness	434-22855-B
spick and span	435-0-B,435-90-B
spicula	435-338-B
spicular	435-404-B
spiculate	435-449-B
spicule	435-519-B
spiculum	435-574-B
spicy	435-640-B
spider	435-810-B,257-9262-S,294-9549-S
spider crab	435-989-B
spider man	435-1224-B
spider men	435-1337-B
spider monkey	435-1387-B
spider plant	435-1468-B
spider web	435-1599-B
spider wort	435-1658-B
