barge	42-2796-B
barge pole	42-3340-B
bargee	42-3073-B
bargeman	42-3296-B
bargle	28-17200-S
bargraph	42-3539-B
bargy	29-3218-S
bariated cathode	42-3568-B
baric	42-3615-B
barie	42-3639-B
barite	42-3688-B
baritone	42-3739-B
barium	42-3844-B
barium meal	42-3895-B
bark	42-3973-B,391-37948-S,402-12583-S,416-16281-S,461-16456-S
barkeeper	42-5129-B
barker	42-5199-B
barkery	42-5426-B
barking	42-5487-B
barking iron	42-5562-B
barky	42-5632-B
barley	42-5672-B,333-4029-S
barley broth	42-5809-B
barley sugar	42-5720-B,42-6006-B
barley water	42-6097-B
barleycorn	42-5877-B,256-2525-S
barlow	42-6189-B
barm	42-6292-B
barmaid	42-6339-B
barman	42-6417-B
barmecidal	42-6494-B
barmy	42-6606-B
barn	42-6751-B,143-1761-S,470-11622-S
barn dance	42-6894-B
barn door	42-7562-B
barn owl	42-6990-B,42-7908-B
barn storm	42-7039-B,42-8153-B
barn stormer	42-8202-B
barn storming	42-8628-B
barnacle	42-7217-B
barnacle goose	42-7481-B
barnacled	42-7532-B
barney	42-7850-B
barnstorm	42-7976-B
barnstormer	42-8415-B
barnstorming	42-8826-B
barnyard	42-9023-B
barogram	42-9106-B
barograph	42-9177-B
barographic	42-9246-B
barometer	42-9279-B,345-3989-S
barometric	42-9365-B
barometric pressure	42-9419-B
barometrical	42-9535-B
barometrically	42-9611-B
barometry	42-9647-B
baron	42-9681-B,359-25703-S
baronage	42-9834-B
baroness	42-9910-B
baronet	42-9993-B
baronetage	42-10094-B
baronetcy	42-10155-B
barong	42-10217-B
baronial	42-10287-B
barony	42-10352-B
baroque	42-10436-B
baroquely	42-10612-B
baroscope	42-10641-B
barouche	42-10709-B
barque	42-10757-B
barrack	42-10832-B
barracker	42-11129-B
barracking	42-11158-B
barracks	42-11258-B,185-18476-S
barracoon	42-11719-B
barracuda	42-11813-B
barrage	42-11887-B,11-26726-S,12-2559-S,40-23020-S
barrator	42-12253-B
barratrous	42-12459-B
barratrously	42-12492-B
barratry	42-12525-B
barre	42-12735-B
barred	42-12812-B,83-7219-S
barred signal	4-6381-S
barrel	42-12956-B,105-7072-S,138-2502-S,141-7658-S,211-3227-S,353-21449-S,480-14553-S
barrel antenna	42-13506-B
barrel head	42-13750-B
barrel house	42-13823-B
barrel organ	42-13584-B,42-13925-B
barrel roll	42-13649-B,42-14002-B
barrel shaped	42-14109-B
barrel shop	42-14173-B
barreled	138-2568-S
barrelled	42-13876-B,138-2679-S,274-2408-S,421-17076-S
barren	42-14242-B
barrenly	42-14588-B
barrenness	42-14629-B
barretter	42-14750-B
barricade	42-14799-B
barricader	42-14895-B
barrier	42-14927-B,105-20731-S,108-24969-S,108-25190-S,152-12038-S,178-24276-S,217-18476-S,430-22973-S,431-22774-S
barring	42-15156-B
barring out	42-15211-B
barrister	42-15350-B
barrister at law	42-15403-B
barristers at law	42-15472-B
barroom	42-15600-B
barrow	42-15763-B,214-14031-S,393-16051-S,397-18901-S,406-22411-S
bars	328-5856-S,361-23896-S,514-10490-S
bartender	42-15922-B
barter	42-16005-B
barterer	42-16264-B
bartholin s gland	42-16291-B
bartizan	42-16447-B
bartizaned	42-16519-B
