stall holder	440-5147-B
stallage	440-4686-B
stalling	440-5291-B
stallion	440-5446-B
stalls	315-21795-S,315-22066-S
stalwart	440-5511-B
stalwartly	440-5846-B
stalwartness	440-5958-B
stamen	440-6070-B
stamen bearing	440-6135-B
stamened	440-6203-B
stamenless	440-6277-B
stamin	440-6335-B
stamina	440-6424-B
staminaeal	440-6513-B
staminal	440-6563-B
staminate	440-6718-B
stamineal	440-6764-B
stamineous	440-6832-B
stamini	440-6914-B
staminiferous	440-6956-B
staminiform	440-7041-B
staminode	440-7102-B
staminodium	440-7163-B
staminody	440-7248-B
stammer	440-7318-B
stammerer	440-7420-B
stammeringly	440-7483-B
stamp	440-7545-B,316-11763-S,354-18747-S,380-8875-S,395-33660-S,474-590-S
stamp album	440-8731-B
stamp collecting	440-8868-B
stamp collector	440-8967-B
stamp duty	440-9067-B
stamp machine	440-10005-B
stamp mill	440-10069-B
stamp tax	440-8804-B
stamped	440-9179-B
stampede	440-9231-B
stampeping	440-9505-B
stamper	440-9621-B
stamping ground	440-9786-B
stamping machine	440-9922-B
stance	440-10119-B
stanch	440-10243-B
stanchion	440-10606-B
stand	440-10705-B,31-3128-S,63-16310-S,90-19057-S,108-18532-S,133-16795-S,213-21779-S,298-16617-S,302-25596-S,313-12981-S,462-23703-S,483-17725-S,515-7857-S,515-9021-S,515-9820-S,521-31283-S
stand by	440-18919-B
stand camera	440-15769-B
stand in	440-19363-B
stand off	440-21078-B
stand off half	440-21253-B
stand offish	440-21350-B
stand offishly	440-21467-B
stand offishness	440-21545-B
stand out	440-21658-B
stand over	440-21812-B
stand pipe	440-22535-B
stand to	440-22852-B
stand up	440-22922-B
standard	440-15884-B,33-12219-S,56-26686-S,114-15796-S,115-23290-S,138-1317-S,138-8478-S,204-771-S,263-9239-S,272-11205-S,305-11814-S,380-10956-S,420-22805-S
standard bearer	440-17403-B
standard book	440-16676-B
standard deviation	440-16743-B
standard english	440-16824-B
standard error	440-16908-B
standard gauge	440-16972-B
standard lamp	440-17191-B
standard of living	440-17257-B
standard procedure	15-5031-S
standard time	440-17332-B,72-9991-S
standard tv receiver	141-19101-S
standardbred	440-17553-B
standardisation	440-17664-B
standardise	440-17770-B
standardization	440-17904-B
standardize	440-17986-B
standarzed	440-18039-B
standaway	440-18076-B
standby	440-18206-B
standee	440-19068-B
standfast	440-19192-B
standi	273-3509-S
standing	440-19557-B,190-5780-S,274-6872-S
standing army	440-20223-B
standing committee	440-20298-B
standing crop	440-20612-B
standing order	440-20378-B
standing ovation	440-20753-B
standing room	440-20922-B
standing stone	440-20535-B
standish	440-21007-B
standpat	440-21980-B
standpatter	440-22131-B
standpipe	440-22332-B
standpoint	440-22600-B
standstill	440-22676-B
stang	440-23192-B
stanhope	440-23245-B
staniel	440-23341-B
stank	440-23385-B
stannary	440-23406-B
stannic	440-23489-B
stanniferous	440-23575-B
stannite	440-23660-B
stannize	440-23762-B
stannizing	440-23835-B
stannous	440-23882-B
stannum	440-23937-B
stanza	440-23984-B,219-17719-S
stanzaed	440-24079-B
stanzaic	440-24123-B
stapedectomy	440-24262-B
stapedial	440-24356-B
stapes	440-24480-B
staph	440-24565-B
staphilinid	440-24620-B
staphylococcal	440-24807-B
staphylococci	440-24910-B
staphylococcic	440-24972-B
staphylococcus	440-25089-B
staple	440-25211-B,274-357-S
stapler	440-26004-B
stapling machine	440-26149-B
star	440-26226-B,14-17397-S,48-14967-S,102-12340-S,115-17191-S,136-12456-S,138-8689-S,163-17113-S,171-13791-S,177-25638-S,180-8286-S,295-23157-S,305-20638-S,313-15073-S,350-19674-S,350-24649-S,417-27784-S,482-17859-S
star apple	440-27661-B
star chamber	440-28112-B
star crossed	440-28654-B
star dust	440-29042-B
star facet	440-30202-B
star gazer	440-30675-B
star gazing	440-30751-B
star general	468-5112-S
star navigation	440-32741-B
star of david	440-27111-B
star shall	440-33191-B
star shell	440-27279-B
star shower	440-33285-B
star sign	440-27343-B
star spangled	440-33354-B
star stone	440-33473-B
star studded	440-33747-B
star system	440-33896-B
star turn	440-27455-B
star wars	440-27572-B
starboard	440-27735-B
starch	440-27874-B,20-15889-S,82-1755-S
starched	440-28248-B
starchedness	440-28342-B
starcher	440-28476-B
starchiness	440-28558-B
starchy	440-28611-B
stardom	440-28773-B
stare	440-29167-B
starer	440-29957-B
starets	440-30044-B
starfish	440-30328-B
stargaze	440-30397-B
stargazer	440-30486-B
stargazing	440-30881-B
staring	440-31000-B
staringly	440-31092-B
stark	440-31176-B
stark naked	440-31825-B
starkers	440-31668-B
starkly	440-31750-B
starkness	440-31891-B
starless	440-32253-B
starlet	440-32308-B
starlight	440-32427-B
starlike	440-32471-B
starling	440-32521-B
starlit	440-32613-B
starred	440-32831-B,164-7813-S,232-12382-S
starry	440-32942-B
starry eyed	440-33007-B
stars and stripes	440-33113-B
starshaped	440-33262-B
starstruck	440-33541-B
start	440-34027-B,86-14208-S,184-12018-S,216-27933-S,257-10085-S,259-8724-S,371-18292-S
start up	441-1250-B
starter	440-36214-B,36-3917-S,105-17176-S,259-8803-S,305-11886-S,411-547-S
starting	440-36418-B,411-629-S
starting block	440-36880-B
starting gate	441-0-B
starting grid	441-164-B
starting handle	440-36537-B
starting liìne	440-36627-B
starting motor	36-3977-S
starting place	440-36738-B
starting point	441-274-B
starting post	441-368-B
starting price	441-452-B
starting valve	440-36809-B
startle	441-595-B
startler	441-793-B
startling	441-908-B
startlingly	441-1093-B
startup	441-1196-B
starvation	441-1318-B
starve	441-1508-B
starved	414-35868-S
starveling	441-1936-B
starver	441-2145-B
starwort	441-2247-B
stash	441-2314-B
stasimorphy	441-2411-B
stasis	441-2501-B
statable	441-2569-B
statant	441-2681-B
state	441-2774-B,3-3860-S,4-5478-S,5-17882-S,6-22598-S,13-23589-S,40-12565-S,60-16375-S,76-8760-S,80-14867-S,101-17314-S,111-26209-S,171-1645-S,192-2797-S,216-27740-S,274-17678-S,277-12821-S,291-12500-S,292-20200-S,350-26120-S,401-9326-S,408-4784-S,424-3314-S,430-2316-S,430-4021-S,441-24359-S,441-24496-S,517-25234-S
state aided	441-5511-B
state attorney	441-5590-B
state bank	441-4271-B
state capitalism	441-4342-B
state chamber	441-4438-B
state church	441-5696-B
state department	441-4563-B
state house	441-6193-B
state laser	127-17489-S
state machine	178-18138-S
state of emergency	441-4644-B
state of the art	441-4800-B
state room	441-7627-B
state school	441-5025-B
state secretary	441-5112-B
state socialism	441-5239-B
state trooper	441-5332-B
state univesity	441-5416-B
statecraft	441-5800-B
stated	441-5885-B,69-12200-S
statedly	441-5992-B
statehood	441-6100-B
stateless	441-6280-B
statelessly	441-6417-B
statelessness	441-6482-B
stateliness	441-6654-B
stately	441-6769-B
stately home	441-6895-B
statement	441-7026-B,4-3089-S,27-22901-S,31-22380-S,37-9837-S,39-9375-S,41-10331-S,91-13593-S,92-8619-S,93-21951-S,98-19852-S,165-16186-S,165-16650-S,187-15652-S,292-20412-S
statemnet	441-7355-B
stater	441-7399-B
stateroom	441-7481-B
states	424-1755-S,495-10189-S
states general	441-7816-B
states of america	495-10303-S
states righter	441-9074-B
stateside	441-7963-B
statesman	441-8144-B
statesmanlike	441-8496-B
statesmanly	441-8553-B
statesmanship	441-8720-B
statesmen	441-8841-B
stateswoman	441-9182-B
stateswomen	441-9372-B
statewide	441-9574-B
static	441-9631-B,441-9932-B
static electricity	441-9776-B
static test	91-16009-S
statical	441-9988-B
statically	441-10046-B
statics	441-10077-B,101-7194-S
station	441-10153-B,4-5007-S,6-19760-S,11-20424-S,16-6030-S,36-4051-S,59-6762-S,62-14462-S,82-799-S,84-7548-S,88-22017-S,98-19902-S,133-10232-S,140-9170-S,177-23941-S,178-23473-S,179-2818-S,180-21197-S,192-12181-S,197-1156-S,197-13964-S,221-16054-S,308-18021-S,308-19405-S,318-15885-S,332-17240-S,339-5929-S,350-26257-S,350-26919-S,351-9667-S,355-25070-S,356-11727-S,373-16590-S,376-3029-S,377-2156-S,380-12390-S,384-20479-S,413-26435-S,420-9141-S,432-12051-S,473-22124-S,516-21316-S,517-4102-S
station agent	441-11010-B
station bill	441-11966-B
station calendar	441-12071-B
station house	441-11144-B,441-12340-B
station master	441-12488-B
station wagon	441-12555-B
stational mass	441-11213-B
stationariness	441-11330-B
stationary	441-11441-B
stationer	441-12151-B
stationery	441-12270-B
stationmaster	441-12425-B
stations	6-16399-S
statist	441-12648-B
statistic	441-12726-B,441-12775-B,480-724-S
statistical	441-12812-B
statistical mechanics	441-12880-B
statistically	441-12970-B
statistican	441-13083-B
statistician	441-13152-B
statistics	441-13204-B,316-7102-S
statistology	441-13366-B
stative	441-13438-B
stato	441-13518-B
statoblast	441-13608-B
statocyst	441-13682-B
statolatry	441-13789-B
statolith	441-13906-B
stator	441-13995-B
statoscope	441-14096-B
statu pupillari	236-11892-S
statuary	441-14164-B
statue	441-14401-B
statued	441-14573-B
statuesque	441-14667-B
statuesqueness	441-14777-B
statuette	441-14943-B
stature	441-15003-B
status	441-15149-B,2-3246-S,314-20637-S
status quo	441-15431-B,236-11984-S
status symbol	441-15511-B
statutable	441-15662-B
statutably	441-15714-B
statute	441-15793-B
statute book	441-16115-B
statute law	441-15956-B
statute mile	441-16026-B
statutorily	441-16179-B
statutory	441-16372-B
staunch	441-16565-B
staunchly	441-16606-B
staunchness	441-16727-B
staurolite	441-16934-B
staurospore	441-17000-B
stave	441-17092-B
stave rhyme	441-17583-B
staves	441-17656-B
stay	441-18838-B
stay at home	441-20595-B
stay bar	441-20764-B
stay bolt	441-20833-B
stay down strike	441-20903-B
stay in strike	441-21119-B
stay lace	441-21394-B
stay maker	441-21523-B
stay rod	441-21593-B
stayer	441-20997-B
staying	441-21233-B
staying power	441-21306-B
stayless	441-21459-B
staysail	441-21637-B
