stomodaeum	445-1544-B
stomp	445-1613-B
stone	445-1879-B,38-1374-S,43-9093-S,48-5176-S,53-2866-S,84-16554-S,100-47-S,100-767-S,101-3533-S,137-8788-S,146-1425-S,146-1695-S,152-9009-S,171-13851-S,179-2993-S,185-24187-S,188-15388-S,195-8415-S,206-14755-S,216-28136-S,251-17058-S,258-26867-S,273-8516-S,280-19481-S,283-276-S,311-15899-S,332-8673-S,340-11326-S,340-11482-S,344-22938-S,354-4171-S,355-13064-S,356-21439-S,369-6365-S,370-494-S,390-17526-S,393-8477-S,393-17310-S,396-273-S,401-10929-S,415-32303-S,423-8240-S,428-14137-S,440-20535-S,440-33473-S,442-21351-S,444-5874-S,453-15775-S,481-4008-S,514-12680-S,521-0-S
stone age	445-3035-B
stone axe	445-3102-B,445-3570-B
stone beraker	445-3630-B
stone blind	445-3684-B
stone blindness	445-3758-B
stone boiling	445-3163-B
stone bow	445-3842-B
stone braker	445-3907-B
stone break	445-3952-B
stone breaker	445-4001-B
stone broke	445-4058-B
stone buck	445-4157-B
stone cast	445-4203-B
stone coal	445-4456-B
stone cold	445-4509-B
stone cold sober	445-4571-B
stone colour	445-4698-B
stone crop	445-4770-B
stone crusher	445-4896-B
stone cutter	445-4955-B
stone cutting	445-5043-B
stone dead	445-5190-B
stone deaf	445-5247-B
stone fence	445-5305-B
stone fruit	445-5388-B
stone hearted	445-5462-B
stone horse	445-5549-B
stone jug	445-5617-B
stone man	445-3293-B
stone marten	445-3379-B
stone oil	445-5889-B
stone pine	445-5944-B
stone pit	445-6077-B
stone pitch	445-6129-B
stone race	445-6203-B
stone s cast	445-6277-B
stone s throw	445-6331-B
stone saw	445-6385-B
stone still	445-6443-B
stone wall	445-3483-B
stonechat	445-4385-B
stonecrop	445-4819-B
stoned	445-5128-B
stoneless	445-5679-B
stoneman	445-5781-B
stonemason	445-5828-B
stonewall	445-6504-B
stonewalling	445-6681-B
stoneware	445-6853-B
stonework	445-6974-B
stonily	445-7130-B
stoniness	445-7242-B
stony	445-7396-B
stony broke	445-7726-B
stony hearted	445-7779-B
stony heartedness	445-7876-B
stood	445-7963-B
stooge	445-7997-B
stook	445-8432-B
stool	445-8628-B,65-13616-S,65-16453-S,83-11001-S,109-13679-S,112-2297-S,141-25438-S,298-16677-S,303-15161-S
stool pigeon	445-9260-B
stoolie	445-9195-B
stoop	445-9376-B
stoop shouldered	445-9948-B
stoopingly	445-9868-B
stop	445-10031-B,12-12126-S,62-19866-S,93-22009-S,138-1435-S,138-8754-S,192-19790-S,192-24049-S,305-12341-S,374-11509-S,386-33634-S,388-4644-S,388-14414-S,452-5232-S,519-16440-S
stop bolt	445-13080-B
stop go	445-13702-B
stop light	445-13870-B
stop off	445-13953-B
stop order	445-14058-B
stop over	445-14322-B
stop press	445-15149-B
stop valve	445-15226-B
stop watch	445-15288-B
stop work	445-15375-B
stopcock	445-13144-B
stope	445-13260-B
stopgap	445-13479-B
stoping	445-13765-B
stopover	445-14212-B
stoppage	445-14369-B
stopped	154-17449-S
stopper	445-14476-B,203-30552-S,418-27164-S,470-21419-S
stopping	445-14860-B,138-8858-S
stopping train	445-14937-B
stopple	445-15062-B
storable	445-15468-B
storage	445-15541-B,6-22662-S,7-13641-S,15-11747-S,32-3513-S,37-954-S,39-6270-S,60-16643-S,61-2570-S,63-7827-S,66-21486-S,79-19151-S,83-8637-S,86-14251-S,86-15886-S,92-0-S,109-3158-S,124-14646-S,130-5872-S,130-5963-S,132-21791-S,150-7602-S,153-4946-S,160-2161-S,160-2370-S,168-12505-S,177-16949-S
storage allocation dynamic memory allocation	143-11391-S
storage battery	445-15715-B
storage cell	445-15780-B
storage device	114-18638-S,130-6055-S,149-13898-S
storage device direct access storage	130-5963-S
storage devices	37-998-S
storage dynamic memory	143-11330-S
storage heater	445-15854-B
storage radiator	445-16016-B
storage scope	120-4291-S
storage tube	150-6947-S
storage yard	445-16111-B
storax	445-16184-B
store	445-16297-B,66-21531-S,73-13847-S,92-51-S,92-8672-S,122-12494-S,129-4392-S,177-26708-S,316-10160-S,324-3918-S,388-9737-S,464-20673-S,506-17233-S
store bought	445-17377-B
store room	445-18144-B
store ship	445-18198-B
stored	445-17514-B
storefront	445-17584-B
storehouse	445-17664-B
storekeeper	445-17796-B
storekeeping	445-17908-B
storeman	445-17986-B
storeroom	445-18057-B
stores	73-13996-S,425-27595-S
storey	445-18281-B
storeyed	445-18440-B
storiated	445-18539-B
storied	445-18634-B,313-15322-S,482-18036-S
storiette	445-18795-B
storing	445-18881-B
stork	445-18981-B
