systemless	459-19087-B
systems analysis	459-19183-B
systems analyst	459-19274-B
systems simulator	198-15023-S
systole	459-19362-B
systolic	460-0-B
systyle	460-72-B
systylous	460-152-B
syzygy	460-227-B
t	460-297-B,11-23923-S,21-20191-S,28-15277-S,66-12110-S,103-4722-S,113-53-S,127-12637-S,137-3831-S,142-21939-S,212-14938-S,214-32506-S,215-30204-S,216-12715-S,252-21236-S,285-3306-S,290-7871-S,298-22351-S,306-26150-S,415-25169-S,418-18308-S,515-10428-S,518-8130-S,522-8576-S,523-9441-S
t ang	461-16863-B
t bone	462-24573-B
t junction	470-15839-B
t other	472-23186-B
t shirt	480-350-B
t square	480-578-B
t statistic	480-724-B
ta	460-591-B,462-13630-S
ta hsueh	460-651-B
ta ta	462-13630-B
tab	460-727-B,144-4731-S
tabac	460-1094-B
tabard	460-1173-B
tabaret	460-1285-B
tabasco	460-1345-B
tabby	460-1424-B
tabby cat	460-1743-B
tabby moth	460-1815-B
tabefaction	460-1889-B
tabefy	460-1961-B
taberdar	460-2136-B
tabernacle	460-2267-B
tabes	460-2484-B
tabescence	460-2537-B
tabescent	460-2634-B
tabetic	460-2700-B
tabid	460-2845-B
tabinet	460-2994-B
tabla	460-3065-B
table	460-3176-B,7-13533-S,8-2873-S,49-9986-S,60-21394-S,68-2423-S,85-15500-S,85-16828-S,91-9140-S,96-13040-S,99-4563-S,99-16082-S,117-13423-S,129-12410-S,140-8588-S,140-9253-S,167-4741-S,168-8206-S,168-12592-S,177-16128-S,184-13809-S,193-5345-S,195-18492-S,201-2230-S,202-6276-S,221-1602-S,266-11411-S,269-17066-S,274-30607-S,296-2020-S,298-777-S,301-24578-S,303-15273-S,309-4629-S,314-21205-S,333-16302-S,334-14520-S,337-2927-S,344-15642-S,346-8612-S,395-10788-S,395-14276-S,400-3142-S,402-4547-S,419-18309-S,463-7603-S,469-2949-S,469-26495-S,471-4056-S,474-12876-S,476-31024-S,490-5685-S,516-6202-S,522-33777-S,523-27086-S
table allowance	460-5137-B
table board	460-5700-B
table book	85-17006-S
table cloth	460-5827-B
table companion	460-5917-B
table cover	460-6012-B
table d hote	460-4503-B,460-4570-B
table diamond	460-6077-B
table flap	460-6161-B
table fork	460-6259-B
table glass	460-6383-B
table knife	460-6456-B
table leaf	460-6570-B
table licence	460-4707-B
table linen	460-6619-B
table manners	460-4847-B
table mat	460-6701-B
table money	460-6819-B
table napkin	460-6941-B
table shore	460-6994-B
table spoon	460-7090-B
table spoonful	460-7147-B
table talk	460-7486-B
table tennis	460-4993-B,460-7589-B
table tomb	460-7642-B
table turning	460-7788-B
table ware	460-7934-B
table water	460-8020-B
table wine	460-5051-B
tableau	460-5313-B
tableau vivant	460-5382-B
tableaux	460-5591-B
tableaux vivants	460-5633-B
tableful	460-6313-B
tableland	460-6509-B
tablet	460-7220-B,207-143-S,424-10421-S
tablet talk	460-7713-B
tablet tennis	460-7431-B
tableware	460-7849-B
tablier	460-8112-B
tabling	460-8176-B
tabloid	460-8376-B
taboo	460-8643-B
taboo words	460-8677-B
tabor	460-8849-B
taboret	460-8909-B
tabour	460-8952-B
tabouret	460-8976-B
tabu	460-9045-B
tabula	460-9486-B
tabulae	460-9630-B
tabular	460-9687-B
tabularize	460-9965-B
tabulate	460-10058-B
tabulating	460-10198-B
tabulating machine	460-10236-B
tabulation	460-10305-B
tabulator	460-10403-B,15-8935-S
tac	469-0-S
tacful	460-10511-B
tache	460-10551-B
tachistoscope	460-10685-B
tachograph	460-10805-B
tachomater	460-11005-B
tachometer	460-11040-B,148-6991-S
tachometry	460-11119-B
tachycardia	460-11191-B
tachygraphy	460-11291-B
tachymeter	460-11356-B
tachymetry	460-11431-B
tacit	460-11500-B
