turn out	481-18135-B
turn over	26-19998-S
turn round	481-19303-B
turn screw	481-19749-B
turn signal	481-15150-B
turn up	481-15306-B,481-20344-B
turnagain	481-15482-B
turnback	481-15610-B
turnbuckle	481-15716-B
turncoat	481-15784-B
turncock	481-15864-B
turned	481-16122-B,518-3721-S
turned on	481-16372-B
turner	481-16453-B,155-9098-S
turnery	481-16503-B
turning	481-16588-B,155-9185-S,460-7788-S
turning along	481-16858-B
turning circle	481-16930-B
turning point	481-17067-B
turnip	481-17160-B
turnipy	481-17237-B
turnkey	481-17296-B
turnkey system	481-17371-B
turnoff	481-17830-B
turnover	481-18421-B
turnpenny	481-18781-B
turnpentine	481-18845-B
turnpentine tree	481-19031-B
turnpike	481-19113-B
turnplate	481-19238-B
turnround	481-19512-B
turnsole	481-19833-B
turnspit	481-20000-B
turnstile	481-20078-B
turntable	481-20132-B
turpentine	481-20516-B,311-12020-S
turpeth	481-20650-B
turpitude	481-20785-B
turps	481-20912-B
turquoise	481-20976-B
turquoise blue	481-21080-B
turret	481-21149-B
turret lathe	481-21411-B
turreted	481-21292-B
turriculate	481-21487-B
turriculated	481-21540-B
turtle	481-21613-B,427-5982-S
turtle back	481-21857-B
turtle backed	481-21962-B
turtle dove	481-22026-B
turtle neck	481-22108-B
turtle neck sweater	481-22184-B
turtle necked	481-22275-B
turtle shell	481-22441-B
turtle soup	293-12730-S
turtler	481-22362-B
turtling	481-22677-B
turves	481-22736-B
turvy	472-6098-S
turvydom	472-6898-S
tuscan	481-23037-B
tuscarora	481-23344-B
tush	481-23494-B
tusk	481-23565-B
tusked	481-23736-B
tusker	481-23772-B
tusky	481-23844-B
tussah	481-23898-B
tussal	481-23960-B
tusser	481-23999-B
tussive	481-24077-B
tussle	481-24144-B
tussock	481-24406-B
tussock grass	481-24472-B
tussore	481-24551-B
tussur	481-24589-B
tut	481-24626-B,481-26446-S
tut tut	481-26446-B
tutee	481-24684-B
tutelage	481-24782-B
tutelar	481-24926-B
tutelary	481-24969-B
tutenag	481-25105-B
tutenague	481-25150-B
tutor	481-25239-B
tutorage	481-25569-B
tutoress	481-25762-B
tutorial	481-25949-B
tutorship	481-26097-B
tutti	481-26247-B
tutti frutti	481-26367-B
tutu	481-26484-B
tux	481-26762-B
tuxedo	481-26837-B
tuyere	481-26953-B
tv	481-26992-B
tv dinner	481-27081-B
tv receiver	141-19101-S
tv recording equipment	150-3147-S
tv system	63-15087-S
tv tube	181-10130-S
twa	481-27188-B
twaddle	481-27236-B
twaddler	481-27395-B
twain	481-27500-B
twang	481-27606-B
twas	481-27853-B,481-27904-B
twat	481-27960-B
tweak	481-28124-B
tweaker	481-28210-B
twee	481-28294-B
tweed	481-28433-B
tweedle	481-28530-B
tweedledee	481-28627-B
tweedledum	481-28675-B
tweedy	481-28791-B
tween	481-28956-B,481-29015-B
tweeny	481-29081-B
tweet	481-29215-B
tweeter	481-29365-B
tweeze	481-29475-B
tweezer	481-29545-B
tweezere	481-29641-B
tweezers	481-29721-B
twelfth	481-29821-B
twelfth day	481-29991-B
twelfth man	481-30115-B
twelfth night	481-30202-B
twelve	481-30380-B
twelvefold	481-30502-B
twelvemo	481-30579-B
twelvemonth	481-30661-B
twelver	481-30820-B
twencenter	481-30881-B
twenteith	481-30971-B
twenties	481-31025-B
twentieth	481-31132-B
twenty	481-31303-B,472-7132-S
twenty fourmo	481-31814-B
twenty one	481-32008-B
twenty p	481-31613-B
twenty pence	481-31687-B
twentyfold	481-31737-B
