vamper	506-2123-B
vampire	506-2239-B
vampire bat	506-2562-B
vampire trap	506-2705-B
vampiric	506-2826-B
vampirism	506-2854-B
vampish	506-2964-B
vampishly	506-3073-B
vampy	506-3098-B
van	506-3120-B,57-7470-S,120-17811-S,210-10370-S,276-11369-S,276-11528-S,361-25340-S
vanadate	506-3802-B
vanadium	506-3860-B
vanadous	506-3919-B
vandal	506-3992-B
vandalic	506-4116-B
vandalise	506-4175-B
vandalism	506-4223-B
vandalistic	506-4358-B
vandalization	506-4413-B
vandalize	506-4466-B
vandyke	506-4595-B
vandyke brown	506-4669-B
vane	506-4748-B,517-4177-S
vanguard	506-4899-B
vanguardism	506-5210-B
vanguardist	506-5242-B
vanilla	506-5275-B
vanillin	506-5389-B
vanish	506-5444-B
vanished	506-5798-B
vanisher	506-5876-B
vanishing	506-5906-B
vanishing cream	506-6024-B
vanishing line	506-6149-B,506-6571-B
vanishing man conception	506-6682-B
vanishing point	506-6231-B,506-6854-B
vanishingly	506-6652-B
vanishment	506-6940-B
vanitory	506-6997-B
vanity	506-7088-B
vanity bag	506-7476-B
vanity box	506-7527-B,506-7658-B
vanity case	506-7606-B
vanquish	506-7728-B
vanquishable	506-7921-B
vanquished	506-8061-B
vanquisher	506-8143-B
vanquishment	506-8276-B
vantage	506-8309-B,86-7414-S
vantage ground	506-8555-B
vantage point	506-8633-B
vanward	506-8696-B
vapid	506-8867-B
vapidity	506-9016-B
vapidly	506-9143-B
vapidness	506-9204-B
vapor	506-9298-B
vaporable	506-9368-B
vaporarium	506-9463-B
vaporer	506-9551-B
vaporescence	506-9576-B
vaporescent	506-9671-B
vaporific	506-9742-B
vaporimeter	506-9855-B
vaporisation	506-9948-B
vaporise	506-10153-B
vaporizable	506-10198-B
vaporization	506-10268-B
vaporize	506-10445-B
vaporizer	506-10580-B
vaporizing	506-10689-B
vaporosity	506-10844-B
vaporous	506-10875-B
vaporously	506-11034-B
vaporware	506-11065-B
vapour	506-11333-B
vapour bath	506-11611-B
vapour laden	506-12220-B
vapour lamp	288-1737-S
vapour trail	506-11664-B,506-12317-B
vapourer	506-11719-B
vapouring	506-11835-B
vapourish	506-12080-B
vapoury	506-12398-B
vappa	506-12441-B
vaquero	506-12499-B
varacious	506-12571-B
varactor	159-1071-S
varan	506-12776-B
varec	506-12843-B
varech	506-12879-B
vari coloured	506-15490-B
variability	506-12979-B
variable	506-13037-B,2-23840-S,29-23330-S,33-17963-S,36-5252-S,93-22151-S,128-15232-S,157-10164-S,202-6692-S
variableness	506-13528-B
variably	506-13645-B
variance	506-13713-B
variant	506-14084-B
variate	506-14377-B
variation	506-14453-B,87-16443-S
variational	506-14914-B
variator	506-14982-B
varicella	506-15056-B
varicelloid	506-15106-B
varicellous	506-15139-B
varices	506-15213-B
varicolored	506-15327-B
varicoloured	506-15434-B
varicose	506-15565-B
varicosity	506-15714-B
varied	506-15831-B
variedly	506-16104-B
variegate	506-16131-B
variegated	506-16237-B
variegation	506-16322-B
variegator	506-16467-B
varietal	506-16499-B
variety	506-16554-B
variety entertainment	506-16993-B
variety show	506-17165-B
variety store	506-17233-B
variform	506-17311-B
variola	506-17398-B
variolar	506-17463-B
variolate	506-17543-B
variolation	506-17610-B
variole	506-17685-B
varioloid	506-17788-B
variolous	506-17904-B
variometer	506-18006-B
variorum	506-18078-B
various	506-18259-B
variously	506-18535-B
variousness	506-18652-B
variplotter	506-18723-B
varix	506-18783-B
varlet	506-18894-B
varletry	506-19013-B
varment	506-19134-B
varmint	506-19190-B
varnish	506-19390-B,299-18379-S
varnish tree	506-20255-B
varnished	506-19757-B
varnisher	506-19871-B
varnishing	506-19987-B
