verisimilitude	508-15401-B
verisimilitudinous	508-15642-B
verisimility	508-15716-B
veritable	508-15775-B
veritableness	508-16008-B
veritably	508-16076-B
verite	79-11363-S
verity	508-16145-B
verjuice	508-16481-B
vermeil	508-16579-B
vermicelli	508-16678-B
vermicidal	508-16752-B
vermicide	508-16822-B
vermicular	508-16871-B
vermicularly	508-17055-B
vermiculate	508-17090-B
vermiculated	508-17349-B
vermiculation	508-17439-B
vermiculite	508-17591-B
vermiculous	508-17664-B
vermiform	508-17729-B
vermifugal	508-17824-B
vermifuge	508-17882-B
vermil	508-17945-B
vermilion	508-17986-B
vermin	508-18071-B
verminate	508-18192-B
vermination	508-18333-B
verminoses	508-18438-B
verminosis	508-18506-B
verminous	508-18570-B
verminously	508-18732-B
vermivorous	508-18765-B
vermouth	508-18830-B
vermuth	508-18873-B
vernacular	508-18928-B
vernacularise	508-19518-B
vernacularism	508-19579-B
vernacularity	508-19700-B
vernacularize	508-19872-B
vernacularly	508-20077-B
vernal	508-20154-B
vernalization	508-20411-B
vernalize	508-20516-B
vernalized	508-20591-B
vernally	508-20653-B
vernation	508-20680-B
vernicle	508-20775-B
vernier	508-20851-B
vernissage	508-20904-B
veronal	508-21025-B
veronica	508-21104-B
verruca	508-21223-B
verrucae	508-21266-B
verrucose	508-21351-B
verrucous	508-21438-B
vers libre	508-21484-B
vers librist	508-24576-B
versa	509-21372-S
versal	508-21541-B
versant	508-21620-B
versatile	508-21681-B
versatilely	508-22051-B
versatility	508-22084-B
verse	508-22321-B,51-4158-S,189-25909-S,219-17833-S,447-3804-S
verse monger	508-22846-B
versed	508-22679-B,518-3861-S
verseman	508-22785-B
versemonger	508-22902-B
verset	508-22967-B
versicle	508-23034-B
versicolour	508-23146-B
versicoloured	508-23242-B
versicular	508-23354-B
versiera	508-23435-B
versification	508-23494-B
versificator	508-23646-B
versifier	508-23700-B,189-25971-S
versify	508-23774-B
version	508-23948-B,15-5250-S,139-6375-S,259-25505-S
versional	508-24465-B
versionist	508-24494-B
verso	508-24654-B
verst	508-24754-B
versus	509-0-B
versute	509-275-B
versy	30-2103-S
vert	509-378-B
vertebra	509-628-B
vertebrae	509-674-B
vertebral	509-805-B
vertebrally	509-964-B
vertebrata	509-997-B
vertebrate	509-1083-B
vertebrated	509-1286-B
vertebration	509-1339-B
vertex	509-1525-B
vertical	509-1566-B
verticality	509-2109-B
vertically	509-2188-B
verticalness	509-2256-B
verticel	509-2309-B
vertices	509-2401-B
verticil	509-2639-B
verticillate	509-2683-B
verticillately	509-2758-B
verticillation	509-2797-B
