bipartisan	49-5813-B
bipartisanism	49-5883-B
bipartisanship	49-5921-B
bipartite	49-5958-B
bipartitely	49-6112-B
bipartition	49-6145-B
biped	49-6228-B
bipedal	49-6357-B
biphase	49-6395-B
biplane	49-6420-B
bipod	49-6485-B
bipolar	49-6536-B
bipolarity	49-6618-B
biquadratic	49-6648-B
biquaternion	49-6782-B
biquinary	49-6815-B
biracial	49-6851-B
biramous	49-6979-B
birational	49-7022-B
birch	49-7051-B,420-21400-S
birchbark	49-7214-B
bird	49-7307-B,56-13140-S,68-995-S,104-24680-S,118-5234-S,136-17773-S,142-14031-S,144-1370-S,191-4819-S,195-8201-S,195-15870-S,196-2397-S,227-10943-S,227-26820-S,275-14979-S,292-17124-S,293-12535-S,303-11512-S,313-24557-S,320-11804-S,361-23961-S,391-2627-S,407-107-S,408-4897-S,427-549-S,427-27017-S,430-21687-S,444-1161-S,445-20085-S,452-13233-S,453-7559-S,478-22598-S,513-15979-S,515-26433-S,517-5289-S,524-12421-S
bird bath	49-8776-B
bird cage	49-8922-B
bird catcher	49-8977-B
bird dog	49-9076-B
bird fancier	49-9133-B
bird lime	49-9301-B
bird nest	49-9502-B
bird of paradise	49-8469-B
bird of passage	49-8542-B
bird of prey	49-8634-B
bird s eye	49-9620-B
bird s eye view	49-9704-B
bird sanctuary	49-8698-B
bird shot	49-9814-B
bird song	49-9891-B
bird table	49-9986-B
bird watch	49-10070-B
bird watcher	49-10154-B
bird watching	49-10250-B
birdbrained	49-8848-B
birdie	49-9232-B
birding	49-9277-B
birdman	49-9361-B
birdseed	49-9554-B
birdsong	49-9940-B
birdwoman	49-10344-B
birectangular	49-10440-B
birefringent discriminator	49-10476-B
biregular	49-10543-B
biretta	49-10571-B
biro	49-10664-B
birse	49-10704-B
birth	49-10811-B,58-7325-S,443-29107-S,482-3382-S
birth certificate	49-11120-B
birth control	49-11196-B
birth mark	49-11497-B
birth place	49-11634-B
birth rate	49-11690-B
birthday	49-11323-B
birthplace	49-11567-B
birthright	49-11755-B
birthstone	49-11849-B
birthwort	49-11963-B
bis	49-12021-B
biscuit	49-12079-B,136-5006-S,136-5517-S,392-34255-S,407-160-S,417-5554-S,417-8895-S,428-29030-S,515-26565-S,520-32119-S
biscuit throw	49-12345-B
bise	49-12421-B,59-374-S
bisecant	49-12493-B
bisect	49-12522-B
bisection	49-12586-B
bisectional	49-12663-B
bisectionally	49-12693-B
bisector	49-12728-B
bisectrices	49-12904-B
bisectrix	49-12954-B
biserial	49-13074-B
bisexual	49-13097-B
bisexuality	49-13170-B
bisexually	49-13271-B
bish	49-13302-B
bishop	49-13366-B,452-10854-S
bishopric	49-13488-B
bisk	49-13586-B
bismuth	49-13651-B
bismuthal	49-13704-B
bismutite	49-13733-B
bison	49-13795-B
bisontine	49-13846-B
bisque	49-13913-B
bissextile	49-13989-B
bistable	49-14046-B
bistable device	49-14099-B
bistatic scattering	49-14145-B
bistort	49-14246-B
bistoury	49-14318-B
bistre	49-14370-B
bistro	49-14449-B
bisulfate	49-14542-B
bisymmetric	49-14605-B
bit	49-14638-B,49-16725-S,66-8139-S,69-0-S,72-12023-S,75-7541-S,98-18740-S,110-14456-S,114-14173-S,175-15225-S,180-17234-S,189-10781-S,210-8555-S,418-23887-S,468-3854-S,482-13955-S
bit ascii code	1-943-S
bit ascii code set	1-986-S
bit by bit	49-16725-B
bit by bit transfer	49-16758-B
bit byte	147-9509-S
bit character	1-1038-S
bit character code	1-1079-S
bit character set	1-1129-S
bit character string	1-1179-S
bit image	206-16396-S
bit manipulation	49-16314-B
bit microcomputer	1-1235-S
bit microprocessor	1-1321-S
bit of work	49-16354-B
bit part	49-16504-B
bit personal computer	1-1375-S
bit player	49-16557-B
bit transfer	49-16758-S
bitable	49-16638-B
bitangent	49-16664-B
bitch	49-16809-B
bitchily	49-17059-B
bitchiness	49-17086-B
bitchy	49-17147-B
bite	49-17195-B,169-16004-S,181-20455-S,191-24160-S,427-645-S
bite fever	378-10482-S
biteable	49-18897-B
biter	50-0-B,106-20376-S
bitewing	50-117-B
bitiminize	50-217-B
biting	50-325-B,106-20494-S,299-17488-S
biting midge	50-599-B
bitingly	50-682-B
bitmap	50-709-B
bitmap display	50-768-B
bitmap font	50-832-B
bitnet	50-883-B
bits	482-13627-S
bitsy	50-1000-B,253-15829-S
bitt	50-1059-B,138-3049-S
bitten	50-1197-B,181-20650-S,184-8593-S,191-24354-S
bitter	50-1233-B
bitter cress	50-2577-B
bitter end	50-2356-B
bitter sweet	50-3586-B
bitterish	50-2648-B
bitterling	50-2704-B
bitterly	50-2807-B
bittern	50-2866-B
bitterness	50-2914-B
bittersweet	50-3142-B
bittock	50-3744-B
bitts	50-3815-B
bitty	253-16023-S
bitumen	50-3906-B
bituminise	50-3974-B
bituminization	50-4022-B
bituminize	50-4059-B
bituminoid	50-4169-B
bituminous	50-4199-B
bituminous coal	50-4283-B
bitwise	50-4428-B
biunique	50-4460-B
bivalence	50-4490-B
bivalency	50-4548-B
bivalent	50-4578-B
bivalve	50-4624-B
bivalved	50-4762-B
bivariate	50-4790-B
bivector	50-4868-B
bivoltine	50-4891-B
bivouac	50-4988-B
bivvy	50-5152-B
biweekly	50-5218-B
bix	50-5379-B
biyearly	50-5547-B
biz	50-5641-B
bizarre	50-5698-B
bizarrely	50-5767-B
bizarreness	50-5798-B
bizonal	50-5829-B
bk	50-5939-B
bl	50-6006-B
blab	50-6047-B
blabber	50-6081-B
blabbermouth	50-6234-B
blabby	50-6307-B
black	50-6330-B,54-17463-S,67-14120-S,84-6242-S,253-17276-S,310-20632-S,345-6370-S,347-2814-S,426-15817-S
black and blue	50-13868-B
black and white	50-7607-B
black and white film	50-7790-B
black and white television	50-7838-B
black art	50-7893-B
black backed gull	267-20548-S
black ball	50-7930-B
black ban	50-8119-B
black bean	50-8205-B
black beetle	50-14020-B
black belt	50-8291-B
black bile	50-8395-B
black body	50-8478-B
black book	50-8515-B
black box	50-8643-B
black boy	50-8691-B
black bread	50-8759-B
black bun	50-8857-B
black butt	50-8959-B
black cap	50-9025-B
black capped	50-14821-B
black coated	50-14886-B
black coffe	50-9184-B
black coffee	50-9244-B
black comedy	50-9297-B
black country	50-9402-B
black currant	50-9504-B
black death	50-9598-B
black diamond	50-9695-B
black dog	50-9796-B
black earth	50-9856-B
black economy	50-9934-B
black english	50-10028-B
black eye	50-10078-B
black face	50-10189-B
black flag	50-10304-B
black friar	50-10436-B
black gold	50-10512-B
black gum	50-10623-B
black hand	50-10690-B
black head	50-10868-B,50-16041-B
black headed gull	50-16108-B
black hole	50-10928-B
black ice	50-11000-B
black kite	50-11076-B
black knot	50-11182-B
black lead	50-11303-B,50-16647-B
black letter	50-11400-B
black level control	35-17635-S
black light	50-11461-B
black list	50-11550-B,50-17321-B
black magic	50-11603-B
black maria	50-11684-B
black mark	50-11746-B
black market	50-11853-B,50-17745-B
black marketeer	50-11913-B,50-17782-B
black marketeering	50-17820-B
black marketer	50-17861-B
black mass	50-12001-B
black mica	50-12108-B
black muslim	50-12138-B
black nationalist	50-12276-B
black out	50-18121-B
black peak	50-12489-B
black pepper	50-12522-B
black power	50-12585-B
black pudding	50-12678-B
black rot	50-12745-B
black sash	50-12861-B
black sheep	50-12986-B
black shirt	50-18479-B
black spot	50-13108-B
black tea	50-13199-B
black tern	50-13250-B
black tie	50-13337-B,50-18801-B
black velvet	50-13434-B
black vomit	50-13589-B
black water fever	50-18945-B
black widow	50-13661-B
blackamoor	50-13780-B
blackball	50-13931-B
blackbeetle	50-14092-B
blackberry	50-14160-B
blackbird	50-14343-B
blackbirding	50-14479-B
blackboard	50-14594-B
blackbody radiator	50-14650-B
blackbroad	50-14711-B
blackbuck	50-14736-B
blackcock	50-14987-B
blackdamp	50-15050-B
blacken	50-15184-B
blackener	50-15422-B
blackface	404-22924-S
blackfellow	50-15451-B
blackfish	50-15512-B
blackfly	50-15591-B
blackguard	50-15690-B
blackguardism	50-15877-B
blackguardly	50-15913-B
blackhead	50-15995-B
blackheart	50-16273-B
blacking	50-16352-B
blacking brush	50-16436-B
blackish	50-16514-B
blackjack	50-16576-B
blackleg	50-16753-B
blacklight trap	50-17014-B
blacklist	50-17178-B
blacklister	50-17391-B
blackly	50-17424-B
blackmail	50-17449-B
blackmailer	50-17631-B
blackness	50-17898-B
blackout	50-18055-B
blacksmith	50-18563-B
blacksmithing	50-18618-B
blacksnake	50-18654-B
blackthorn	50-18726-B
blacktop	50-18832-B
blackwater fever	50-19038-B
blackwood	50-19170-B
blacky	50-19277-B
bladder	50-19338-B,11-27060-S,12-2800-S,195-2356-S,378-24140-S,457-24625-S
bladder campion	50-19538-B
bladder fern	50-19610-B
bladder worm	50-19677-B
bladdery	50-19756-B
blade	50-19856-B,171-25242-S,266-10277-S,379-888-S,402-2272-S,418-17452-S,458-2486-S,458-7623-S
bladed	50-20238-B,482-14039-S
blaeberry	50-20262-B
blah	50-20305-B
blain	50-20376-B
blamable	50-20437-B
blamableness	50-20522-B
blamably	50-20553-B
blame	50-20582-B
blameful	50-21263-B
blamefully	51-0-B
blamefulness	51-33-B
blameless	51-66-B
blamelessly	51-173-B
blamelessness	51-246-B
blamer	51-281-B
blameworthiness	51-305-B
blameworthy	51-344-B
blanc	51-394-S
blanc de blanc	51-394-B
blanc mange	51-731-B
blanch	51-555-B
blanche	29-12459-S,69-1544-S
blancher	51-704-B
bland	51-789-B
blandish	51-962-B
blandisher	51-1055-B
blandishment	51-1086-B
blandly	51-1231-B
blandness	51-1294-B
blank	51-1467-B,26-22032-S,350-10731-S
blank address	51-3217-B
blank card	51-3261-B
blank cartridge	51-3297-B
blank cell	51-3340-B
blank character	51-3371-B
blank cheque	51-3436-B
blank disk	51-3821-B
blank endorsement	51-3855-B
blank line	51-4035-B
blank record	51-4084-B
blank tape	51-4124-B
blank verse	51-4158-B
blanket	51-4224-B,136-8895-S,148-4355-S,397-26570-S
blanket bath	51-5319-B
blanket finish	51-5421-B
blanket stitch	51-5571-B
blanking	51-5693-B,189-9232-S
blankly	51-5721-B
blankness	51-5964-B
blanquette	51-5991-B
blare	51-6068-B
blarney	51-6178-B
blaspheme	51-6311-B
blasphemer	51-6393-B
blasphemous	51-6467-B
blasphemously	51-6524-B
blasphemousness	51-6598-B
blasphemy	51-6637-B
blast	51-6696-B,11-27140-S,12-2875-S,103-13758-S,192-20334-S,225-23394-S,399-26124-S
blast furnace	51-7474-B
blast off	51-7922-B
blasted	51-7207-B
blastema	51-7308-B
blastemal	51-7386-B
blastematic	51-7417-B
blaster	51-7449-B,200-20780-S
blasting	51-7540-B
blastocoel	51-7682-B
blastoderm	51-7780-B
blastodermatic	51-7850-B
blastodermic	51-7887-B
blastomere	51-8011-B
blastomycete	51-8082-B
blastomycosis	51-8152-B
blastoporal	51-8228-B
blastopore	51-8303-B
blastosphere	51-8389-B
blastospheric	51-8464-B
blastula	51-8538-B
blastular	51-8634-B
blastulation	51-8697-B
blatancy	51-8778-B
blatant	51-8934-B
blatantly	51-9098-B
blate	51-9170-B
blather	51-9226-B
blatherer	51-9267-B
blatherskite	51-9296-B
blaze	51-9352-B
blazer	51-9918-B,474-7033-S
blazing	51-11069-B,474-7291-S
blazingly	51-11471-B
blazon	51-11498-B
blazoner	51-11861-B
blazonment	51-11888-B
blazonry	51-12105-B
bldg	51-12219-B
bleach	51-12324-B
bleacher	51-12394-B
bleaching powder	51-12619-B,51-12688-B
bleak	51-12826-B
bleakly	51-13080-B
bleakness	51-13150-B
blear	51-13177-B
blear eyed	51-13439-B
blearily	51-13517-B
bleariness	51-13583-B
bleary	51-13612-B
bleat	51-13673-B
bleater	51-13813-B
bled	51-13838-B
bleed	51-14077-B,306-3794-S
bleeder	51-14468-B
bleeding	51-14684-B,306-3845-S
bleeding heart	51-14816-B
bleep	51-14930-B
bleeper	51-15088-B
blellum	51-15166-B
