water head	515-25488-B
water hen	515-25615-B,515-31620-B
water hole	515-31711-B
water ice	515-31771-B
water jump	516-533-B
water lawyer	516-721-B
water lead	516-790-B
water level	516-933-B
water lily	516-1050-B
water line	516-1122-B
water main	516-1649-B
water mark	221-11904-S,221-12032-S,276-1493-S
water meadow	516-2114-B
water melon	516-2258-B
water meter	516-2358-B
water mill	516-2454-B
water mouth	516-2517-B
water nymph	516-2588-B
water parting	516-2701-B
water pipe	516-2776-B
water pistol	516-2836-B
water plane	516-2929-B
water plant	516-3039-B
water point	515-25731-B
water polo	516-3332-B
water pot	516-3407-B
water power	516-3505-B
water pox	516-3581-B
water pump	515-25805-B
water quake	516-3807-B
water ram	516-3889-B
water rat	516-3957-B
water rate	516-4149-B
water reactor	359-31222-S
water school	53-3071-S
water shoot	516-4430-B
water sick	516-4508-B
water ski	516-4710-B
water skiing	516-4911-B
water skin	516-5014-B
water sking	516-5060-B
water skis	516-5143-B
water snake	516-5249-B
water soak	516-5310-B
water softener	516-5393-B
water soluble	516-5519-B
water spaniel	251-11051-S
water sprayer	516-5695-B
water spring	516-5785-B
water sprite	516-5851-B
water supply	516-5939-B
water system	515-25870-B,516-6092-B
water table	516-6202-B
water tank	515-25948-B
water tap	516-6271-B
water tower	516-6502-B
water turbine	516-6564-B
water waggon	516-6660-B
water wagon	516-6751-B
water wall	516-6808-B
water wave	516-6868-B
water waving	516-6975-B
water weed	516-7142-B
water wheel	516-7199-B
water wings	516-7263-B
water worn	516-7506-B
waterage	515-26035-B
waterborne	515-27031-B
waterboy	515-27337-B
watercourse	515-29169-B
watercress	515-29462-B
watered	515-30145-B
watered silk	515-30283-B
waterer	515-30504-B
waterfall	515-30618-B
waterfowl	515-30759-B
wateriness	515-31841-B
watering	515-32038-B
watering can	515-32345-B
watering cart	516-0-B
watering house	516-75-B
watering place	516-179-B
watering pot	516-378-B
waterish	516-437-B
waterless	516-858-B
waterline	272-14656-S
waterlog	516-1227-B
waterlogged	516-1368-B
waterlogging	516-1581-B
waterman	516-1722-B
watermanship	516-1842-B
watermark	516-1949-B
waterpolo	516-3121-B
waterproof	516-3632-B
waters	40-2008-S,465-17136-S
watershed	516-4313-B
waterside	516-4631-B
waterskier	516-4791-B
waterspout	516-5595-B
watertight	516-6328-B
waterway	516-7056-B
waterworks	516-7331-B
watery	516-7576-B
watt	516-8023-B
watt hour	516-8172-B
wattage	516-8075-B
wattle	516-8241-B
wattle and daub	516-8541-B
wattless	516-8622-B
wattmeter	516-8717-B,150-3434-S
waul	516-8791-B
wave	516-8823-B,6-0-S,16-3246-S,18-1202-S,20-7422-S,33-9682-S,34-8886-S,39-12311-S,52-22242-S,57-5759-S,90-10407-S,102-7451-S,111-1176-S,112-9791-S,113-18903-S,116-21152-S,116-24006-S,116-25461-S,131-16778-S,143-16798-S,145-4351-S,147-8122-S,149-871-S,149-9180-S,149-9217-S,150-3495-S,151-5186-S,159-18262-S,184-14994-S,193-8779-S,209-17229-S,217-22699-S,220-624-S,274-1435-S,274-7520-S,337-13448-S,360-21550-S,417-17331-S,417-19003-S,418-11707-S,431-26096-S,438-19723-S,469-476-S,469-3274-S,475-22404-S,516-6868-S
wave coil	126-15214-S
wave crest	516-10136-B
wave dipole	192-24710-S
wave doubler	192-24764-S
wave filter	148-7146-S
wave lenght	516-10355-B
wave length	516-10413-B
wave like	516-10711-B
wave radio	210-15307-S
wave rectifier	192-20047-S
wave tube	149-9259-S
waveband	516-10074-B
waved	516-10162-B
waveform	516-10232-B
waveguide	516-10301-B,33-9741-S,95-5431-S,102-908-S,112-9829-S,126-18289-S,127-17570-S,151-4958-S
wavelength	90-10445-S,111-26307-S,146-14916-S,149-9312-S,193-8821-S,210-14722-S
waveless	516-10478-B
wavelet	516-10568-B
wavemeter	3-4649-S
waver	516-10812-B,180-21494-S
waverer	516-11243-B
wavering	516-11346-B
wavery	516-11546-B
waves	12-12994-S
waveson	516-11602-B
wavily	516-11678-B
waviness	516-11734-B
waving	180-21585-S,516-6975-S
wavy	516-11847-B
wawl	516-11981-B
wax	516-12183-B,68-12401-S,144-9776-S,254-12792-S,407-6840-S
wax candle	516-13006-B
wax chandler	516-13194-B
wax doll	516-13073-B
wax end	516-13662-B
