broadbrim	59-5926-B
broadcast	59-5987-B,130-6336-S,319-24539-S
broadcast band	59-6634-B
broadcast program	59-6707-B
broadcast station	59-6762-B
broadcaster	59-6822-B
broadcasting	59-6957-B,73-11865-S,73-12662-S,88-35238-S,184-14350-S
broadcloth	59-7012-B
broaden	59-7118-B
broadener	59-7229-B
broadening	59-7258-B
broadish	59-7309-B
broadjump	59-7363-B
broadleaf	59-7427-B
broadloom	59-7528-B
broadlum	59-7597-B
broadly	59-7677-B
broadminded	59-7828-B
broadness	59-8124-B
broadsheet	59-8239-B
broadside	59-8342-B
broadside radiation	59-8863-B
broadsword	59-8909-B
broadtail	59-8970-B
broadway	310-20778-S
broadways	59-9027-B
broadwise	59-9105-B
brocade	59-9152-B
brocatelle	59-9277-B
broccoli	59-9347-B
broch	59-9410-B
brochette	59-9512-B
brochure	59-9616-B
brock	59-9677-B
brocket	59-9784-B
broderie anglaise	59-9855-B
broglie wave	116-21152-S
brogue	59-9939-B
broider	59-10075-B
broidery	59-10164-B
broil	59-10211-B
broiler	59-10511-B
broke	59-10702-B,445-4058-S,445-7726-S
broken	59-10877-B,217-12268-S,520-24109-S
broken circuit	59-11830-B
broken down	59-11881-B,59-12312-B
broken hearted	59-12451-B
broken home	59-11989-B
broken line	59-12084-B
broken reed	59-12121-B
broken wind	59-12229-B
brokenly	59-12528-B
brokenness	59-12620-B
broker	59-12649-B,48-9337-S,164-26367-S,224-7579-S,246-3917-S,417-6072-S
brokerage	59-12855-B
broking	59-12939-B,444-15727-S
brolga	59-12997-B
brolly	59-13068-B
bromate	59-13166-B
bromeliaceous	59-13219-B
bromeliad	59-13306-B
bromic	59-13376-B
bromide	59-13458-B
bromidic	59-13648-B
brominate	59-13676-B
bromine	59-13776-B
bronchi	59-13827-B
bronchia	59-13913-B
bronchial	59-13957-B
bronchial asthma	59-14026-B
bronchially	59-14110-B
bronchiole	59-14143-B
bronchitic	59-14217-B
bronchitis	59-14323-B
broncho	59-14401-B
broncho buster	59-14442-B
broncho pneumonia	59-14688-B
bronchocele	59-14505-B
bronchogenic	59-14585-B
bronchopneumonia	59-14803-B
bronchoscope	59-14917-B
bronchoscopic	59-14994-B
bronchoscopist	59-15080-B
bronchoscopy	59-15162-B
bronchus	59-15237-B
bronco	59-15308-B
bronco buster	59-15431-B
brontosaurus	59-15540-B
bronx cheer	59-15624-B
bronze	59-15706-B,281-8074-S,341-5556-S
bronzer	59-16012-B
bronzy	59-16036-B
brooch	59-16061-B
brood	59-16146-B
brood hen	59-16662-B
brood mare	59-16883-B
brooder	59-16562-B
broodily	59-16711-B
broodiness	59-16777-B
broodingly	59-16855-B
broody	59-16947-B
brook	59-17006-B
brooklet	59-17335-B
broom	59-17387-B,173-18459-S,521-21207-S
broom stick	59-17591-B
broomy	59-17647-B
bros	59-17671-B
brosse	153-5582-S
broth	59-17765-B,42-5809-S,404-23010-S,427-27842-S
brothel	59-17896-B
brothel creeper	59-17958-B
brother	59-18066-B,47-23021-S,52-9377-S,52-10977-S,78-3822-S,105-11032-S,188-9030-S,188-9844-S,213-10038-S,290-16006-S,431-18538-S
brother in law	59-18696-B
brotherhood	59-18525-B,52-9504-S
brotherless	59-18820-B
brotherlike	59-18884-B
brotherliness	59-18943-B
brotherly	59-19027-B,48-1901-S
brothers in law	59-19114-B
brougham	59-19175-B
brought	59-19261-B
brouhaha	59-23353-B
brow	59-23422-B,290-2517-S
brow ague	59-23688-B
brow antler	59-23604-B
browbeat	59-23762-B
browbeaten	59-23807-B
browbeater	59-24047-B
browed	45-2341-S,221-3152-S
brown	59-24078-B,118-16742-S,307-11303-S,407-5624-S,506-4669-S
brown ale	59-24791-B
brown alga	59-24853-B
brown bread	59-24911-B
brown coal	59-24971-B
brown shirt	59-25743-B
brown study	59-25019-B
brown sugar	59-25101-B
brown ware	59-25190-B
browne	399-16424-S
browned off	59-25245-B
brownie	59-25368-B
browning	59-25547-B
brownish	59-25610-B
brownness	59-25672-B
brownout	59-25699-B
brownstone	59-25833-B
brownware	59-25981-B
browny	59-26028-B
browse	59-26083-B
browser	59-26380-B
brucellosis	59-26414-B
brucine	59-26525-B
brucite	59-26584-B
bruin	59-26640-B
bruise	59-26706-B
bruiser	59-27072-B
bruit	59-27162-B
brumal	59-27388-B
brumby	59-27427-B
brume	59-27498-B
brummagem	60-0-B
brumous	60-180-B
brunch	60-231-B
brunette	60-348-B
brunt	60-606-B
brush	60-769-B,11-27297-S,50-16436-S,53-20771-S,55-25441-S,83-15030-S,108-20205-S,113-25486-S,173-18529-S,181-27203-S,189-1573-S,299-17595-S,351-8237-S,353-7699-S,398-10212-S,406-2962-S,416-761-S,417-20627-S,462-2475-S,471-25683-S,521-11948-S
brush angle	60-1997-B
brush contact resistance	60-2030-B
brush fence	60-2108-B
brush off	60-2411-B
brush up	60-2555-B
brusher	60-2217-B
brushfire war	60-2242-B
brushland	60-2338-B
brushwood	60-2645-B
brushwork	60-2692-B
brushy	60-2785-B
brusque	60-2892-B
brusquely	60-2968-B
brusqueness	60-2997-B
brussels	60-3096-B
brussels sprouts	60-3211-B
brut	60-3294-B
brutal	60-3364-B
brutalise	60-3454-B
brutality	60-3674-B
brutalization	60-3777-B
brutalize	60-3812-B
brutally	60-3860-B
brute	60-3926-B
brute force technique	60-4211-B
brutify	60-4270-B
brutish	60-4352-B
brutishly	60-4482-B
brutishness	60-4555-B
brutism	60-4586-B
bruxism	60-4611-B
bryological	60-4687-B
bryologist	60-4719-B
bryology	60-4792-B
bryony	60-4861-B
bryophyte	60-4900-B
bryophytic	60-4963-B
bs	60-4995-B,60-5019-B
bsc	60-5146-B
bse	60-5353-B
bsi	60-5408-B
bst	60-5497-B
bt	60-5579-B
bta	60-5619-B
bthu	60-5729-B
btu	60-5814-B
btw	60-5911-B
bub	60-5960-B
bubal	60-6102-B
bubble	60-6178-B,226-25803-S,428-12827-S
bubble and squeak	60-7116-B
bubble bath	60-6676-B
bubble car	60-6775-B
bubble chip	60-6858-B
bubble gum	60-6916-B
bubble memory	60-7007-B
bubble sort	60-7064-B
bubbly	60-7219-B
bubbly jock	60-7366-B
bubby	60-7441-B
bublet	60-7555-B
bubo	60-7630-B
bubonic plague	60-7696-B
bubonocele	60-7775-B
buccal	60-7845-B
buccaneer	60-7909-B
buccinator	60-8071-B
buck	60-8135-B,146-10461-S,402-2424-S,445-4157-S
buck fever	60-10715-B
buck horn	60-10846-B
buck seat	60-9376-B
buck shop	60-12568-B
buck shot	60-12774-B
buck tooth	60-13162-B
buckboard	60-9508-B
bucked	60-9584-B
bucker	60-9650-B
bucket	60-9673-B,129-20732-S,515-27467-S
bucket chain	60-10040-B
bucket piston	60-10157-B
bucket seat	60-10207-B,60-10455-B
bucket shop	60-10292-B,60-10550-B
bucketful	60-10329-B
buckeye	60-10677-B
bucking	60-10902-B
bucking coil	60-10956-B
bucking voltage	60-10997-B
bucking winding	60-11038-B
buckish	60-11081-B
buckjumper	60-11167-B
buckle	60-11239-B,417-21097-S
buckler	60-11460-B
buckling	60-11627-B
bucko	60-11707-B
buckra	60-11798-B
buckram	60-11908-B
bucksaw	60-12256-B
buckshee	60-12344-B
buckshop	60-12521-B
buckshot	60-12694-B
buckskin	60-12857-B
buckstick	60-12962-B
buckthor	60-13048-B
bucktooth	60-13200-B
bucktoothed	60-13288-B
buckwheat	60-13347-B
bucolic	60-13425-B
bucolically	60-13593-B
bud	60-13624-B,154-5122-S,264-27693-S,266-10347-S,394-16409-S,408-23845-S,453-2016-S,462-11649-S,521-7861-S
buddahood	60-14061-B
budded	60-14129-B
budder	60-14197-B
buddha	60-14219-B,17-2653-S
buddhism	60-14268-B,161-10253-S
buddhist	60-14320-B
buddhistic	60-14383-B
buddhistical	60-14432-B
budding	60-14503-B
buddy	60-14632-B
budge	60-14693-B
budgerigar	60-14930-B
budget	60-15008-B,194-3957-S
budget forecasting model	60-15329-B
budgetary	60-15393-B
budgeteer	60-15460-B
budgeter	60-15488-B
budgie	60-15516-B
buff	60-15572-B,51-23393-S,51-23530-S
buffa	314-18119-S
buffalo	60-15921-B,515-27535-S
buffer	60-16033-B,63-17112-S,114-14247-S,132-20410-S,189-9267-S,311-18801-S
buffer area	60-16273-B
buffer memory	60-16311-B
buffer state	60-16375-B
buffer stock	60-16492-B
buffer storage	60-16643-B
buffer zone	60-16708-B
buffered channel	60-16766-B
buffered interface	60-16805-B
buffering	60-16852-B,137-24034-S
buffering method	60-16904-B
buffet	60-16952-B
buffet car	60-17398-B
buffet luncheon	60-17498-B
buffeter	60-17580-B
buffeting	60-17607-B
buffi	60-17756-B
buffo	60-17882-B
buffoon	60-17916-B
buffoonery	60-18006-B
buffoonish	60-18061-B
bug	60-18136-B,44-23040-S,47-23115-S,137-4293-S,137-11891-S,178-25402-S,215-25677-S,257-11368-S,269-30346-S,271-21247-S,285-2785-S,432-8856-S
bug eyed	60-18680-B
bug hunter	60-19591-B
bugaboo	60-18523-B
bugbear	60-18565-B
bugger	60-18770-B
bugger all	60-18958-B
buggered	60-19030-B
buggery	60-19094-B
bugginess	60-19206-B
bugging	60-19233-B
buggy	60-19322-B,38-13049-S,43-23349-S,225-11980-S
bughouse	60-19428-B
bugle	60-19707-B
bugle call	60-19981-B
bugler	60-20038-B
buglose	60-20095-B
build	60-20167-B,186-16977-S
build in	60-21361-B
build in font table	60-21394-B
build up	60-22523-B
build up time	60-22882-B
builder	60-21287-B,68-20357-S,69-23230-S,255-6203-S,283-23297-S,316-12796-S,392-23101-S
building	60-21453-B,53-22033-S,152-17369-S,255-6331-S,271-12645-S
building and loan	60-21601-B
building block	60-21715-B
building block principle	60-21799-B
building engineer	60-21858-B
building lease	60-22341-B
