bunk	61-18298-B
bunk bed	61-18705-B
bunker	61-18859-B,84-6424-S
bunkum	61-19170-B
bunky	61-19393-B
bunny	61-19463-B
bunny hug	61-19507-B
bunsen burner	61-19601-B
bunsen photometer	61-19665-B
bunt	61-19710-B
bunter	61-19984-B
bunting	61-20007-B,104-25092-S,427-26420-S,427-27947-S
bunyip	61-20118-B
buoy	61-20210-B,45-21837-S,58-7862-S,196-15094-S,263-11068-S,269-12300-S,307-6622-S,433-546-S
buoyage	61-20669-B
buoyancy	61-20756-B
buoyant	61-21042-B
buoyantly	61-21184-B
bupa	61-21253-B
bur	61-21373-B
buran	61-21572-B
burberry	61-21691-B
burble	61-21814-B
burbler	61-21868-B
burbly	61-21894-B
burbot	61-21918-B
burden	61-21990-B
burdensome	61-22028-B
burdensomely	61-22175-B
burdensomeness	61-22212-B
burdock	61-22249-B
burdon	61-22320-B
bureau	61-22419-B,246-16013-S,283-2880-S,359-27181-S,476-1545-S,517-1466-S,517-2379-S
bureau of investigation	173-24300-S
bureaucracy	61-22459-B
bureaucrat	61-22633-B
bureaucratic	61-22726-B,22-14936-S
bureaucratically	61-22837-B
bureaucratism	61-22909-B
bureaucratist	61-23005-B
bureaucratize	61-23078-B
bureautics	61-23177-B
bureaux	61-23222-B
burette	61-23592-B
burg	61-23644-B
burgage	61-23715-B
burgee	61-23851-B
burgeon	61-23947-B
burger	61-23991-B
burgess	61-24047-B
burgh	61-24166-B
burgher	61-24236-B
burglar	61-24327-B,70-7318-S
burglar alarm	61-24435-B
burglar proof	61-24715-B
burglarious	61-24535-B
burglariously	61-24631-B
burglarize	61-24668-B
burglary	61-24843-B
burgle	61-24951-B
burgomaster	62-0-B
burgonet	62-92-B
burgoo	62-157-B
burgundy	62-229-B
burial	62-303-B
burial ground	62-444-B
burial mound	62-498-B
burial service	62-377-B,62-558-B
buried	62-625-B
buried cable	62-673-B
buried layer	62-737-B
burier	62-772-B
burin	62-795-B
burk	62-854-B
burka	62-930-B
burke	62-1063-B
