caduceus	64-743-B
caducibranchiate	64-860-B
caducity	64-984-B
caducous	64-1173-B
caeca	64-1313-B
caecal	64-1350-B
caecium	64-1436-B
caecum	64-1477-B
caenogenesis	64-1560-B
caesalpiniaceous	64-1701-B
caesar	64-1794-B
caesarean	64-1906-B
caesarean section	64-1986-B
caesarian operation	64-2348-B
caesarism	64-2472-B
caesio	64-2556-B
caesious	64-2619-B
caesium	64-2680-B
caesium cathode	64-2731-B
caespitose	64-2778-B
caesura	64-2853-B
caesural	64-2951-B
caesuric	64-2978-B
cafard	64-3006-B
cafe	64-3057-B,355-15199-S,475-17944-S,475-18036-S
cafe au lait	64-3228-B
cafe noir	64-3292-B
cafeteria	64-3345-B
caffeinated	64-3426-B
caffeine	64-3458-B
caft	53-16281-S
caftan	64-3522-B
cage	64-3638-B,49-8922-S,391-2043-S,439-6990-S
cage antenna	64-3871-B
cagey	64-3908-B
cagily	64-3943-B
caginess	64-4013-B
cagoule	64-4266-B
cagy	64-4359-B
cahier	64-4660-B
cahoot	64-4717-B
cahoots	64-4965-B
cai	64-5107-B
caiman	64-5152-B
cain	64-5223-B
cainozoic	64-5329-B
caique	64-5409-B
cairn	64-5479-B
cairned	64-5707-B
caisson	64-5732-B
caitiff	64-6136-B
cajeput	64-6352-B
cajole	64-6422-B
cajolement	64-6681-B
cajoler	64-6731-B
cajolery	64-6814-B
cajolingly	64-6938-B
cake	64-6967-B,11-18036-S,20-3415-S,70-23112-S,75-17016-S,103-173-S,103-960-S,110-20128-S,179-17620-S,179-18232-S,192-4920-S,208-11267-S,225-23456-S,256-3289-S,264-11079-S,265-31756-S,271-579-S,311-11646-S,329-15213-S,348-19641-S,355-11913-S,377-36657-S,393-0-S,399-7946-S,405-8980-S,408-23875-S,421-1554-S,421-2116-S,436-24396-S,463-531-S,470-6614-S,517-7593-S
cakewalk	64-7856-B
cakewalker	64-7954-B
cal	64-7985-B
calabar	64-8098-B
calabash	64-8142-B
calabash tree	64-8327-B
calaber	64-8460-B
calaboose	64-8548-B
calamander	64-8627-B
calamary	64-8689-B
calamine	64-8763-B
calamint	64-8840-B
calamite	64-8913-B
calamitous	64-9012-B
calamitously	64-9104-B
calamitousness	64-9139-B
calamity	64-9215-B
calamus	64-9371-B
calander	64-9474-B
calash	64-9576-B
calathide	64-9658-B
calcaneum	64-9746-B
calcaneus	64-9828-B
calcanial	64-9915-B
calcar	64-10004-B
calcarate	64-10090-B
calcareous	64-10144-B
calcareously	64-10196-B
calcarious	64-10231-B
calceolaria	64-10318-B
