canopy	66-11424-B
canorous	66-11935-B
canorously	66-11998-B
canorousness	66-12029-B
cant	66-12154-B
cant dog	66-14351-B
cantab	66-13408-B
cantabile	66-13468-B
cantabrigian	66-13544-B
cantaloup	66-13742-B,66-13812-B
cantaloupe	66-13863-B
cantankerous	66-13912-B
cantankerously	66-14028-B
cantankerousness	66-14067-B
cantata	66-14214-B
cantatrice	66-14276-B
canteen	66-14404-B
canter	66-14700-B,214-14970-S
canthal	66-15004-B
cantharid	66-15067-B
cantharidin	66-15139-B
cantharis	66-15207-B
canthi	66-15284-B
canthus	66-15325-B
canticle	66-15412-B
cantilena	66-15476-B
cantilever	66-15558-B
cantilever network	66-15645-B
cantillate	66-15688-B
cantillation	66-15746-B
cantina	66-15814-B
cantiness	66-15887-B
canting	66-15944-B
cantingly	66-16082-B
cantingness	66-16108-B
cantle	66-16139-B
canto	66-16236-B,45-15824-S
canton	66-16326-B
cantonal	66-16508-B
cantonese	66-16535-B
cantonment	66-16619-B
cantor	66-16746-B
cantorial	66-16836-B
cantorum	403-20560-S,403-20739-S
cantrip	66-16864-B
cantus	66-16963-B
canty	66-17153-B
canuck	66-17197-B
canvas	66-17302-B,359-26105-S
canvass	66-17520-B
canvasser	66-17861-B
canyon	66-17981-B
canzona	66-18030-B
canzonet	66-18093-B
caoutchouc	66-18159-B
cap	66-18208-B,50-9025-S,76-16791-S,83-14439-S,107-23355-S,108-13334-S,140-6450-S,142-14279-S,143-1848-S,143-20742-S,147-20588-S,185-15407-S,185-29949-S,207-18252-S,226-26207-S,230-11193-S,243-16935-S,257-2878-S,260-15858-S,268-20961-S,293-9782-S,303-11928-S,336-6217-S,345-6502-S,394-7046-S,404-23128-S,407-1229-S,413-25623-S,414-94-S,423-12835-S,423-14432-S,427-28015-S,467-17699-S,470-24880-S,506-399-S,506-613-S
cap a pie	66-22374-B
cap and bells	66-19556-B
cap and gown	66-19666-B
cap line	66-19777-B
cap product	67-5464-B
capability	66-19813-B,16-2511-S,44-6344-S
capable	66-19993-B
capableness	66-20395-B
capably	66-20426-B
capacious	66-20493-B
capaciously	66-20664-B
capaciousness	66-20697-B
capacitance	66-20819-B,5-20569-S,79-16005-S,86-8171-S,127-16764-S,128-5584-S,134-24355-S,144-5465-S,150-6753-S,152-12490-S,177-13334-S,208-9697-S,208-10824-S,208-11494-S,208-11977-S,409-13804-S
capacitance resistance coupling	66-20896-B
capacitance resistance oscillator	66-20954-B
capacitanci	66-21025-B
capacitate	66-21052-B
capacitation	66-21255-B
capacitive	66-21290-B
capacitively	66-21341-B
capacitor	66-21377-B,8-2132-S,43-25468-S,63-6634-S,64-16490-S,72-16804-S,74-19637-S,104-5004-S,118-4716-S,128-4826-S,132-20597-S,148-14249-S,169-18116-S,174-4924-S,177-27534-S,184-23176-S,196-16404-S,201-25069-S,208-9744-S,210-10184-S
capacitor constant	66-21433-B
capacitor storage	66-21486-B
capacitor store	66-21531-B
capacitor transformer gyrator	66-21580-B
capacitron	66-21663-B
capacity	66-21715-B,12-4136-S,37-3740-S,37-9393-S,91-10296-S,217-18615-S,332-15234-S,409-13897-S,466-28531-S,524-18531-S
caparison	66-22533-B
cape	66-22692-B
capelin	66-22838-B
caper	66-22938-B
capercailie	66-23345-B
capercaillie	66-23402-B
capercailye	66-23482-B
capercailze	66-23535-B
capercailzie	66-23610-B
capful	66-23681-B
capias	66-23781-B
capillarity	66-23848-B
capillary	66-23934-B
capilliform	67-0-B
capillitium	67-60-B
capita	67-127-B,335-20900-S
capital	67-204-B,79-18676-S,255-1945-S,392-12144-S,425-26617-S,522-31400-S
capital expenditure	67-1288-B
capital gain	67-1369-B
capital gains tax	67-1431-B
capital goods	67-1505-B
capital intensive	67-1605-B,67-2281-B
capital letter	67-1749-B
capital levy	67-1783-B
capital profit	67-3461-B
capital ship	67-3551-B
capital sum	67-1902-B,67-3629-B
capital transfer	67-2025-B
capital transfer tax	67-2192-B,67-3694-B
capitalise	67-2395-B
capitalism	67-2576-B,441-4342-S
capitalist	67-2645-B
capitalistic	67-2698-B
capitalistically	67-2920-B
capitalizable	67-2961-B
capitalization	67-2997-B
capitalize	67-3184-B
capitally	67-3235-B
capitals	67-6665-S
capitate	67-3793-B
capitated	67-3847-B
capitation	67-3894-B
capitative	67-3983-B
capitol	67-4016-B
capitole	67-4115-B
capitulant	67-4187-B
capitular	67-4220-B
capitularly	67-4286-B
capitulate	67-4319-B
capitulation	67-4418-B
capitulator	67-4676-B
capitulatory	67-4708-B
capitulum	67-4745-B
caplin	67-4881-B
capon	67-4976-B
caponier	67-5032-B
caponize	67-5092-B
caporal	67-5152-B
capot	67-5231-B
capote	67-5370-B
capped	50-14821-S,83-18665-S,427-28128-S
capping	378-13013-S
capplla	1-2906-S
cappuccino	67-5490-B
capric acid	67-5567-B
capriccio	67-5634-B
caprice	67-5712-B
capricious	67-5820-B
capriciously	67-5898-B
capriciousness	67-5972-B
capricorn	67-6069-B
caprification	67-6157-B
caprine	67-6275-B
capriole	67-6345-B
caproic acid	67-6466-B
caprylic acid	67-6537-B
