caveat	71-9295-B
caveat emptor	71-9930-B
caveman	71-10270-B
cavendish	71-10410-B
caver	71-10473-B
cavern	71-10495-B
cavernicolous	71-10591-B
cavernous	71-10667-B
cavernously	71-10865-B
cavesson	71-10898-B
cavetto	71-10998-B
caviar	71-11142-B
caviare	71-11262-B
cavicorne	71-11302-B
cavil	71-11382-B
caviler	71-11582-B
caviller	71-11607-B
cavitary	71-11746-B
cavitate	71-11869-B
cavitation	71-11900-B
cavity	71-12045-B,3-21398-S,101-2778-S,170-484-S,369-24039-S,400-11770-S
cavity circuit	71-12159-B
cavity klystron	168-11743-S
cavity wall	71-12196-B
cavort	71-12351-B
cavy	71-12417-B
caw	71-12505-B
cay	71-12603-B
cayenne	71-12657-B
cayman	71-12704-B
cayuse	71-12742-B
cb	71-12828-B
cbc	71-12935-B
cbe	71-13042-B
cbi	71-13164-B
cbs	71-13279-B
cbt	71-13388-B
cc	71-13635-B
ccitt	71-13753-B
cconscience stricken	71-13830-B
cd	71-13896-B,71-13946-B,109-9841-S
cd i	71-14023-B
cd rom	71-14248-B
cd rom drive	71-14305-B
cd rom player	71-14344-B
cdev	71-13982-B
cdr	71-14070-B,513-13855-S
cdre	71-14140-B
cdt	71-14392-B
ce	71-14500-B,71-14573-B
cease	71-14653-B
cease acknowledge	71-14932-B
cease fire	71-15048-B
ceasefire	71-14984-B
ceaseless	71-15143-B
ceaselessly	71-15230-B
ceaselessness	71-15302-B
ceasing	302-17552-S
cecal	71-15411-B
cecidium	71-15494-B
cecity	71-15572-B
cedar	71-15644-B,254-13099-S
cedarwood	71-15713-B
cede	71-15774-B
cedilla	71-15868-B
ceiba	71-15946-B
ceil	71-16026-B
ceilidh	71-16142-B
ceiling	71-16240-B
ceilinged	71-16464-B
ceilometer	71-16493-B
celadon	71-16585-B
celandine	71-16757-B
celanese	71-16843-B
celcius	71-16909-B
celebrant	71-16970-B
celebrate	71-17057-B
celebrated	71-17165-B
celebration	71-17249-B
celebrator	71-17369-B
celebratory	71-17401-B
celebrity	71-17434-B
celebrityhood	71-17722-B
celeriac	71-17757-B
celerity	71-17829-B
celery	71-17919-B
celesta	71-17983-B
celeste	71-18150-B
celestial	71-18238-B
celestial bodies	71-18485-B
celestial empire	71-18558-B
celestial globe	71-18639-B
celestially	71-18707-B
celibacy	71-18740-B
celibate	71-18837-B
