champion	73-23986-B
championship	73-24704-B
champleve	73-24956-B
chance	73-25012-B,88-18205-S,136-10999-S,177-3326-S,195-15983-S,279-13516-S,310-19403-S,437-6849-S,476-17409-S
chance medley	73-27339-B
chancel	73-26721-B
chancellery	73-26794-B
chancellor	73-26969-B,274-28771-S,274-29066-S,509-21913-S
chancellorship	73-27227-B
chancellory	73-27264-B
chancer	73-27453-B
chancery	73-27562-B
chancily	73-27922-B
chanciness	73-28001-B
chancre	73-28030-B,429-8488-S
chancroid	73-28081-B
chancroidal	73-28136-B
chancrous	73-28169-B
chancy	73-28198-B
chandelier	73-28295-B
chandelle	73-28386-B
chandle	417-9048-S
chandler	74-0-B,101-173-S,417-6488-S,461-9875-S,516-13194-S
chandlery	74-158-B
change	74-235-B,69-9984-S,198-1317-S,274-22182-S,359-30019-S,374-15231-S,414-32215-S,418-7458-S,425-26720-S
change coefficient	95-8712-S
change constant	95-8788-S
change gear	74-3643-B
change of life	74-2981-B
change over	74-4096-B
change ringing	74-4420-B
change room	74-4521-B
changeability	74-3020-B
changeable	74-3122-B
changeableness	74-3342-B
changeably	74-3423-B
changeful	74-3456-B
changefully	74-3575-B
changefulness	74-3608-B
changeless	74-3718-B
changelessness	74-3807-B
changeling	74-3915-B
changeover time	74-4340-B
changer	74-4391-B,36-2698-S,294-8251-S,350-23268-S
changing	74-4617-B,164-1767-S
channel	74-4697-B,6-18996-S,60-16766-S,68-22238-S,89-13626-S,114-14702-S,130-6462-S,130-7081-S,142-18494-S,153-15732-S,155-12438-S,170-15574-S,190-13617-S,207-18300-S,210-15079-S,421-16407-S
channel controller	141-18553-S
channel junction	197-6899-S
channel multiplexer	114-14742-S
channeler	74-5511-B
channeling	74-5540-B
channelizing	74-5610-B
chanson	74-5654-B
chansonnier	74-5760-B
chant	74-5886-B,208-6484-S
chanter	74-6303-B
chanterelle	74-6463-B
chanteuse	74-6529-B
chantey	74-6654-B
chanticleer	74-6725-B
chantingly	74-6787-B
chantry	74-6815-B
chanty	74-6941-B
chaos	74-6997-B
chaotic	74-7144-B
chaotically	74-7223-B
chap	74-7296-B,43-8697-S
chap book	74-7961-B,74-8231-B
chap fallen	74-8037-B,74-9055-B
chaparajos	74-8121-B
chape	74-8329-B
chapel	74-8441-B,262-16583-S,419-18997-S
chaperon	74-8824-B
chaperonage	74-8973-B
chapiter	74-9213-B
chaplain	74-9284-B
chaplaincy	74-9423-B
chaplainship	74-9498-B
chaplet	74-9531-B
chapleted	74-9651-B
chapman	74-9680-B
chappie	74-9724-B
chappy	74-9811-B
chaps	74-9902-B
chapter	74-9968-B
chapter file	74-10270-B
char	74-10318-B
char a banc	74-10571-B
char a bancs	74-10709-B
charabanc	74-10628-B
character	74-10810-B,1-59-S,1-1038-S,4-1875-S,5-17648-S,7-9601-S,15-4102-S,15-5705-S,15-6893-S,15-7499-S,15-8029-S,39-9298-S,51-3371-S,52-3330-S,52-3383-S,52-3845-S,65-19481-S,68-20048-S,68-20211-S,75-7603-S,85-8566-S,88-27761-S,91-3442-S,92-11467-S,98-18919-S,120-2339-S,120-6047-S,120-6224-S,125-14369-S,135-14362-S,137-24088-S,154-10715-S,154-10858-S,154-10940-S,156-1956-S,160-2474-S,160-13026-S,160-13120-S,161-4446-S,176-17466-S,187-14478-S,187-14826-S,187-16388-S,193-4997-S,202-6123-S,206-16493-S
character actor	74-11813-B
character code	74-11938-B,1-100-S,1-1079-S
character crowding	74-11975-B
character generator	133-16131-S
character inquiry character	156-1956-S
character map	74-12023-B
character packing	74-12067-B
character recognition	74-12124-B
character recognition scanner	74-12178-B
character set	74-12251-B,1-150-S,1-1129-S,15-6948-S,15-7551-S,92-6798-S
character signal	74-12305-B
character string	74-12352-B,1-200-S,1-1179-S
characterise	74-12395-B
characteristic	74-12624-B,18-1112-S,37-10001-S,111-25977-S,190-16722-S,208-10680-S
characteristic constant	74-12849-B
characteristic curve	74-12925-B
characteristically	74-12984-B
characterization	74-13078-B
characterize	74-13319-B
characterizer	74-13375-B
characterless	74-13413-B
charactron	74-13538-B
charade	74-13606-B
charbon	74-13670-B
charcoal	74-13747-B
charcoal burner	74-13968-B
charcuterie	74-14066-B
chard	74-14134-B
chare	74-14215-B
charge	74-14450-B,43-13017-S,123-6122-S,148-4663-S,149-3818-S,149-3859-S,149-11610-S,150-6889-S,189-22823-S,413-25695-S
charge account	74-17652-B
charge carrier	74-17723-B,164-24548-S
charge coupled device	74-17772-B
charge d affaires	74-17834-B
charge sheet	74-18013-B,74-19340-B
charge storage tube	150-6947-S
charge to mass ratio	149-3911-S
chargeability	74-18090-B
chargeable	74-18155-B
chargeable cell	74-18655-B
chargeable time	74-18699-B
chargeable word	74-18756-B
chargeableness	74-18807-B
charged area	74-19079-B,150-7717-S
chargehand	74-19130-B
chargeman	473-20526-S
charger	74-19201-B,477-9267-S
