chickling	76-7403-B
chickweed	76-7539-B
chicle	76-7656-B
chiclet keyboard	76-7743-B
chicly	76-7781-B
chicness	76-7804-B
chicory	76-7829-B
chid	76-7994-B
chidden	76-8027-B
chide	76-8063-B
chider	76-8190-B
chidingly	76-8216-B
chief	76-8243-B,88-28689-S,146-6416-S,146-6679-S,198-11867-S,509-22028-S
chief constable	76-8578-B
chief executive	76-8664-B
chief justice	274-28869-S
chief marshal	11-27555-S,11-27702-S
chief of state	76-8760-B
chief operator	76-8894-B
chief programmer	76-8942-B
chiefdom	76-9018-B
chiefless	76-9065-B
chiefly	76-9141-B
chiefship	76-9312-B
chieftain	76-9414-B
chieftaincy	76-9516-B
chieftainship	76-9572-B
chiffon	76-9700-B
chiffonier	76-9824-B
chignon	76-9936-B
chigoe	76-9989-B
chihuahua	76-10101-B
chilblain	76-10175-B
chilblained	76-10259-B
child	76-10292-B,57-2919-S,188-9093-S,188-9918-S,211-12484-S,275-15048-S,299-23346-S,307-8356-S,362-12233-S,404-117-S
child bearing	76-10901-B
child benefit	76-10791-B
child minder	76-12320-B
child proof	76-12582-B
child s play	76-12692-B
child segment	76-10866-B
childbearing	76-11031-B
childbed	76-11088-B
childbirth	76-11229-B,300-17005-S
childermas	76-11293-B
childhood	76-11433-B,407-23317-S
childish	76-11623-B
childishly	76-11885-B
childishness	76-11935-B
childless	76-12040-B
childlessness	76-12099-B
childlike	76-12130-B
childly	76-12233-B
childminder	76-12377-B
childminding	76-12490-B
children	76-12654-B,183-12891-S
chile pine	76-12759-B
chili	76-12847-B
chiliad	76-12906-B
chiliasm	76-12968-B
chiliferous	76-13082-B
chilify	76-13162-B
chill	76-13230-B
chill proof	76-14639-B
chiller	435-12138-S
chilli	76-14067-B
chilli con carne	76-14114-B
chillily	76-14274-B
chilliness	76-14301-B
chilling	76-14468-B,435-11975-S,435-12254-S
chillingly	76-14582-B
chillness	76-14612-B
chilly	76-14727-B
chilly con carne	76-14999-B
chimaera	76-15098-B
chime	76-15208-B
chimer	76-15917-B
chimera	76-15941-B
chimere	76-16120-B
chimerical	76-16210-B
chimerically	76-16328-B
chimes	148-4728-S
chimney	76-16363-B,263-9537-S
chimney breast	76-16515-B,76-16678-B
chimney cap	76-16791-B
chimney corner	76-16843-B
chimney piece	76-16927-B
chimney pot	76-16977-B
chimney pot hat	76-17047-B
chimney stack	76-17117-B
chimney sweep	76-16625-B,76-17197-B
chimney sweeper	76-17301-B
chimp	76-17437-B
chimpanzee	76-17478-B
chin	76-17602-B,76-19267-S,137-24129-S
chin chin	76-19267-B
chin cough	76-19427-B
chin strap	76-21481-B
chin wag	76-21740-B
china	76-18064-B,54-17180-S,84-19200-S,84-19362-S,251-17126-S
china clay	76-18330-B
china closet	76-18379-B
china cupboard	76-18520-B
china ink	76-18617-B
china tree	76-18961-B
china ware	76-19033-B
chinacupboard	76-18454-B
chinaman	76-18675-B
chinatown	76-18869-B
chinch	76-19091-B
chinchilla	76-19147-B
chine	76-19489-B
chinee	76-19615-B
chineet	76-19691-B
chinese	76-19764-B,240-7656-S,281-4529-S
chinese classics	76-19908-B
chinese copy	76-19988-B
chinese lantern	76-20058-B
chinese puzzle	76-20128-B
chinese wall	76-20221-B
ching	230-6046-S,268-14115-S,417-0-S,419-2998-S,461-25043-S
chink	76-20375-B
chinkapin	76-20660-B
chinkic	76-20756-B
chinless	76-20879-B
chinoiserie	76-20932-B
chinook	76-21128-B
chinook jargon	76-21309-B
chinstrap	76-21402-B
chintz	76-21547-B
chintzy	76-21643-B
chinwag	76-21906-B
chip	76-21975-B,53-1937-S,60-6858-S,92-6006-S,182-13727-S,355-1129-S,420-15470-S
chip basket	76-23715-B
chip transistor	76-23640-B
chipboard	76-23799-B
chipmuck	76-23906-B
chipmunk	77-0-B
chipolata	77-70-B
chippendale	77-151-B
chipper	77-267-B
chippiness	77-420-B
chippings	77-608-B
chippy	77-690-B
chips	179-17448-S
chirk	77-969-B
chirm	77-1072-B
chirograph	77-1155-B
chirographic	77-1264-B
chirographist	77-1325-B
chirography	77-1434-B
chiromancer	77-1515-B
chiromancy	77-1567-B
chiropodist	77-1621-B
chiropody	77-1730-B
chiropractic	77-1826-B
chiropractor	77-1941-B
chiropter	77-2060-B
chiroptera	77-2112-B
chirp	77-2191-B
chirp pulse	77-2609-B
chirpily	77-2675-B
chirpiness	77-2793-B
chirpy	77-2873-B
chirr	77-2935-B
chirrup	77-3019-B
chirruper	77-3166-B
chirstmas box	77-3260-B
chirurgeon	77-3364-B
chisel	77-3442-B,86-13258-S
chiseler	77-3642-B
chiselled	77-3669-B
chiseller	77-3780-B
chisism	70-14439-S
chit	77-3904-B
chit book	77-3938-B
chit chat	77-3996-B
chitchat	77-4142-B
chitin	77-4218-B
chitinized	77-4283-B
chitinous	77-4338-B
chiton	77-4366-B
chitter	77-4480-B
chitter chatter	77-4558-B
chitterling	77-4643-B
chitty	77-4739-B
chivalrous	77-5195-B
chivalrously	77-5327-B
chivalrousness	77-5400-B
chivalry	77-5517-B
chive	77-5722-B
chivvy	77-5800-B
chivy	77-5836-B
chloe	77-6037-B
chloral	77-6109-B
chloralose	77-6218-B
chloramine	77-6283-B
chloramphenicol	77-6347-B
chlorate	77-6428-B,429-2072-S
chlorella	77-6482-B
chlorenchyma	77-6554-B
chloric	77-6646-B
chloride	77-6724-B,288-1022-S,288-1426-S,352-12590-S,429-2141-S
chloridic	77-6815-B
chlorinate	77-6845-B
chlorination	77-6915-B
chlorinator	77-6995-B
chlorine	77-7029-B
chlorobenzene method	77-7081-B
chloroform	77-7137-B
chloroformist	77-7355-B
chloromycetin	77-7425-B
chlorophyceae	77-7509-B
chlorophyll	77-7591-B
chloropicrin	77-7671-B
chloroplast	77-7741-B
chlorosis	77-7816-B
chlorotic	77-7930-B
chlorotically	77-7961-B
