chucklingly	78-16766-B
chuddar	78-16799-B
chuff	78-16873-B
chuffed	78-17093-B
chug	78-17154-B
chugger	78-17275-B
chukka	78-17299-B
chum	78-17403-B
chummage	78-17805-B
chummery	78-18002-B
chummily	78-18078-B
chumminess	78-18148-B
chummy	78-18248-B
chump	78-18326-B
chump chop	78-18559-B
chunder	78-18700-B
chung yung	78-18784-B
chunk	78-18860-B
chunkily	78-19150-B
chunkiness	78-19198-B
chunking	78-19273-B
chunky	78-19475-B
chunnel	78-19552-B
chunter	78-19643-B
church	78-19717-B,59-5585-S,143-2659-S,189-22866-S,220-21997-S,265-3102-S,275-19888-S,383-4261-S,441-5696-S
church ale	78-20241-B
church army	78-20302-B
church goer	78-20829-B
church going	78-20466-B
church rate	79-263-B
church school	78-20546-B
church service	78-20749-B
churchianity	78-20920-B
churchiness	79-0-B
churchman	79-74-B,221-3396-S,275-22904-S
churchmanly	79-195-B
churchmanship	79-228-B
churchwarden	79-341-B
churchy	79-523-B
churchyard	79-603-B
churinga	79-857-B
churl	79-960-B
churlish	79-1181-B
churlishly	79-1415-B
churlishness	79-1489-B
churn	79-1714-B,290-15492-S
churn dasher	79-2303-B
churn out	79-2192-B
churn staff	79-2387-B
churner	79-2362-B
churr	79-2479-B
churrigueresque	79-2579-B
chute	79-2697-B,79-2945-S,460-20122-S
chute the chute	79-2945-B
chutist	79-3014-B
chutnee	79-3100-B
chutney	79-3142-B
chutzpah	79-3204-B
chylaceous	79-3285-B
chyle	79-3313-B
chylifaction	79-3391-B
chyliferous	79-3487-B
chylification	79-3569-B
chyme	79-3627-B
chymification	79-3698-B
chymify	79-3780-B
chymous	79-3861-B
ci	79-3886-B
ci devant	79-5427-B
cia	79-3971-B
ciao	79-4085-B
ciborium	79-4130-B
cicada	79-4263-B
cicatrice	79-4309-B
cicatricial	79-4409-B
cicatrix	79-4481-B
cicatrization	79-4527-B
cicatrize	79-4617-B
cicerone	79-4687-B
ciceroni	79-4739-B
ciceronian	79-4870-B
cicisbeo	79-4930-B
cid	79-5047-B
cider	79-5164-B
cider press	79-5348-B
ciderpress	79-5296-B
cif	79-5540-B
cig	79-5648-B
cigala	79-5705-B
cigar	79-5751-B
cigar case	79-5786-B
cigar holder	79-6369-B
cigar maker	79-6536-B
cigar shaped	79-6606-B
cigaret	79-5852-B
cigarette	79-5912-B
cigarette case	79-5974-B
cigarette end	79-6059-B
cigarette holder	79-6147-B
cigarette lighter	79-6225-B
cigarette paper	79-6295-B
cigarillo	79-6432-B
ciggie	79-6696-B
cilia	79-6728-B
ciliary	79-6805-B
ciliary body	79-6890-B
ciliate	79-6949-B
ciliated	79-7046-B
cilice	79-7108-B
cilium	79-7172-B
cillery	79-7275-B
cimex	79-7369-B
cimmerian	79-7447-B
cimmerlan	79-7508-B
cinabar	79-7556-B
cinc	79-7625-B
cinch	79-7694-B
cinchona	79-8174-B
cinchonic	79-8266-B
cincture	79-8296-B
cinder	79-8594-B
cinder box	79-8890-B
cinder guard	79-9037-B
cinder path	79-9106-B
cinder sifter	79-9199-B
cinder track	79-8837-B
cinderella	79-8952-B
cindery	79-9270-B
cine	79-9367-B
cine camera	79-9610-B
cine film	79-9674-B
cine projector	79-11484-B
cineast	79-9388-B
cineaste	79-9514-B
cinecamera	79-9556-B
cinema	79-9747-B
cinema circuit	79-9934-B
cinema goer	79-10429-B
cinema verite	79-11363-B
cinemactor	79-10038-B
cinemactress	79-10108-B
cinemaddict	79-10186-B
cinemadrama	79-10305-B
cinemagoer	79-10376-B
cinemascope	79-10504-B
cinematheque	79-10569-B
cinematic	79-10687-B
cinematically	79-10759-B
cinematics	79-10791-B
cinematograph	79-10940-B
cinematographer	79-11041-B
cinematographic	79-11158-B
cinematographically	79-11244-B
cinematography	79-11290-B
cinerama	79-11561-B
cineraria	79-11629-B
cinerarium	79-11682-B
cinerary	79-11788-B
cinereous	79-11895-B
cinerescent	79-11959-B
cineritious	79-12035-B
cingalese	79-12099-B
cingulum	79-12232-B
cinnabar	79-12303-B
cinnamic	79-12438-B
cinnamon	79-12467-B
cinq	79-12553-B
cinqfoil	79-12606-B
cinquecento	79-12724-B
cinquefoil	79-12851-B
cio	10-8880-S
cion	79-12898-B
cipher	79-12992-B
ciphertext	79-13404-B
circa	79-13484-B
circadian	79-13596-B
circassian	79-13705-B
circe	79-13814-B
circinate	79-13911-B
circinately	79-14000-B
circle	79-14033-B,21-22182-S,28-11263-S,140-5934-S,140-6522-S,171-22064-S,207-21906-S,226-5875-S,243-20230-S,350-19483-S,411-9099-S,438-18381-S,474-3679-S,481-16930-S
circle diagram	79-15114-B
circler	79-15165-B
circlet	79-15191-B
circs	79-15274-B
circuit	79-15350-B,3-4178-S,3-13831-S,4-5364-S,7-1965-S,18-12399-S,19-12308-S,19-12629-S,19-12723-S,35-13063-S,36-1221-S,36-1387-S,36-5552-S,48-14160-S,58-17041-S,59-11830-S,62-30462-S,71-12159-S,79-9934-S,81-3503-S,82-21455-S,83-7886-S,90-1206-S,90-3134-S,90-10162-S,90-20128-S,91-1121-S,99-812-S,101-16944-S,104-4348-S,104-5056-S,108-8697-S,110-22881-S,111-13859-S,113-20052-S,118-4771-S,119-11748-S,120-3529-S,120-18773-S,123-28771-S,128-717-S,128-12128-S,129-16205-S,130-7793-S,138-4071-S,144-5741-S,144-5796-S,145-778-S,145-1660-S,148-4801-S,149-4177-S,149-11653-S,150-2416-S,152-12370-S,152-12555-S,159-17697-S,162-1983-S,165-6898-S,168-11810-S,168-12224-S,174-1933-S,182-4285-S,184-14182-S,197-6232-S,197-10986-S,208-9798-S,209-12488-S,209-13766-S,209-15090-S,210-8589-S,212-756-S,244-9233-S,246-11802-S,273-11141-S,314-10630-S,361-19630-S,391-38628-S,413-12717-S,418-4769-S,418-7582-S,421-17288-S
circuit breaker	79-15923-B,36-0-S
circuit capacitance	79-16005-B
circuit diagram	79-16061-B
circuit layout	79-16113-B
circuit rider	79-16794-B
circuit television	83-7922-S
circuit terminating equipment	114-14809-S
circuit tester	79-16162-B
circuit theory	79-16211-B
circuit topology	79-16263-B
circuit training	79-16342-B
circuital	79-16460-B
circuitous	79-16513-B
circuitously	79-16632-B
circuitousness	79-16706-B
circuitry	79-16907-B
circuity	79-16970-B
circulant	79-17001-B
circular	79-17065-B
circular aperture	79-17583-B
circular graph	79-17621-B
circular list	79-17669-B
circular saw	79-18139-B
circularise	79-17715-B
circularity	79-17770-B
circularization	79-17827-B
circularize	79-17865-B
circularizer	79-17993-B
circularly	79-18029-B
circularness	79-18060-B
circulary	79-18202-B
circulate	79-18237-B
circulating	79-18601-B
circulating capital	79-18676-B
circulating decimal	79-18762-B
circulating library	79-18860-B
circulating medium	79-18982-B
circulating memory	79-19101-B
circulating storage	79-19151-B
circulation	79-19202-B
circulative	79-19576-B
circulator	79-19609-B
circulatory	79-19704-B
circulatory system	79-19787-B
circum	79-19884-B
circumambience	79-19918-B
circumambiency	79-19958-B
circumambient	79-20055-B
circumambiently	79-20155-B
circumambulate	80-0-B
circumambulation	80-199-B
circumbiendibus	80-242-B
circumbuccal	80-368-B
circumcentre	80-425-B
circumcircle	80-472-B
circumcirele	80-552-B
circumcise	80-594-B
circumciser	80-696-B
circumcision	80-730-B
circumduction	80-805-B
circumference	80-882-B,411-9368-S
circumferential	80-960-B
circumflex	80-1063-B
