clarification	81-8737-B
clarifier	81-8854-B
clarify	81-8883-B
clarinet	81-9061-B
clarinetist	81-9107-B
clarinettist	81-9139-B
clarino	81-9213-B
clarion	81-9317-B
clarionet	81-9745-B
clarity	81-9812-B
claro	81-9911-B
clarsach	81-9992-B
clash	81-10070-B
clasmatocyte	81-11050-B
clasp	81-11158-B
clasp knife	81-11571-B,81-11739-B
clasper	81-11608-B
class	81-11799-B,63-12474-S,179-11665-S,187-11370-S,204-18086-S,221-3555-S,275-22998-S,275-24582-S,275-25349-S,283-23375-S,290-1221-S,361-28077-S,380-14014-S,407-23423-S,407-26678-S,428-19462-S,467-19855-S,473-2654-S,522-20071-S,522-31621-S,522-37141-S
class book	81-13218-B
class conscious	81-13266-B
class consciousness	81-12913-B,81-13372-B
class feeling	81-13546-B
class fellow	81-13661-B
class felow	81-13714-B
class interval	81-12969-B
class list	81-15661-B
class mate	81-15799-B
class room	81-15917-B
class struggle	81-13049-B,81-15986-B
class war	81-13090-B
class warfare	81-13142-B
classer	179-12068-S
classfeeling	81-13486-B
classic	81-13766-B
classical	81-14298-B,304-23102-S
classicality	81-14481-B
classically	81-14515-B
classicism	81-14591-B
classicize	81-14821-B
classics	76-19908-S
classicus	273-3405-S
classifiable	81-14957-B
classification	81-15038-B,433-24279-S
classificatorily	81-15110-B
classificatory	81-15151-B
classified	81-15192-B
classified image	92-3400-S
classifier	81-15310-B
classify	81-15377-B
classiness	81-15434-B
classis	367-20285-S
classless	81-15540-B
classmate	81-15751-B
classroom	81-15861-B
classy	81-16046-B
clast	81-16119-B
clastic	81-16165-B
clathrate	81-16242-B
clatter	81-16321-B
clatterer	81-17080-B
clatteringly	81-17109-B
claudication	81-17205-B
claus	400-10014-S
clausal	81-17310-B
clause	81-17336-B,83-8003-S,161-4494-S,246-5347-S,279-13613-S,334-17622-S,361-16191-S,387-12898-S
clauses	153-6957-S
claustral	81-17527-B
claustrophobe	81-17613-B
claustrophobia	81-17653-B
claustrophobic	81-17746-B
claustrophobically	81-17874-B
clausum	282-13373-S
clava	81-17919-B
clavate	81-17989-B
clavately	81-18056-B
clavation	81-18085-B
clave	81-18167-B
claver	81-18886-B
claves	81-19030-B
clavichord	81-19133-B
clavichordist	81-19199-B
clavicle	81-19235-B
clavicular	81-19281-B,402-23638-S
claviculate	81-19312-B
clavier	81-19344-B
clavierist	81-19435-B
claviform	81-19520-B
claw	81-19566-B,521-37726-S
claw back	81-20305-B
claw hammer	81-20443-B
clawed	81-20420-B
claws	521-37776-S
clay	81-20568-B,76-18330-S,174-2073-S,178-25548-S,346-21453-S,353-19271-S,355-6798-S
clay brained	81-20817-B
clay cold	81-20892-B
clay coloured	81-20967-B
clay conduit	81-20782-B
clay pan	81-21382-B
clayey	81-21037-B
clayish	81-21134-B
claymore	81-21195-B
claymore mine	81-21303-B
clean	81-21441-B,141-14822-S,437-27725-S,505-10819-S
clean bred	81-24561-B
clean copy	81-24185-B
clean cut	81-24633-B
clean fingered	81-25080-B
clean handed	81-25159-B
clean handedness	81-25232-B
clean limbed	81-25670-B
clean shaven	81-26337-B
clean sweep	81-24252-B
clean tongued	81-26423-B
clean up	81-26668-B
cleanable	81-24534-B
cleaner	81-24746-B,132-20681-S,141-13017-S,141-14913-S,205-28272-S,344-21296-S,505-10203-S
cleaniness	81-25294-B
cleaning	81-25382-B,141-13080-S,141-14999-S,409-14605-S,437-27817-S,505-10909-S
cleaning disk	81-25459-B
cleaning rod	81-25500-B
cleaning woman	81-25551-B
cleanliness	81-25743-B
cleanly	81-25792-B
cleanness	81-25903-B
cleanse	81-25982-B
cleanser	81-26275-B
cleanup	81-26524-B
clear	81-26825-B,13-22618-S,14-621-S,109-7777-S
clear cut	81-32802-B
clear eyed	81-33052-B
clear headed	81-33125-B
clear headedly	81-33198-B
clear headedness	81-33276-B
clear out	81-31779-B
clear sighted	82-1526-B
clear sightedly	82-1612-B
clear sightedness	82-1653-B
clear starch	82-1755-B
clear vision	81-31882-B
clearable	81-31937-B
clearage	81-31964-B
clearance	81-32066-B,425-17673-S
clearance sale	81-32429-B,81-32577-B
clearcole	81-32677-B
cleared	81-32972-B
clearer	81-33025-B
clearing	82-0-B,291-6946-S
clearing hospital	82-901-B
clearing house	82-986-B
clearing instruction	82-721-B
clearing off	82-1049-B
clearing station	82-799-B
clearly	82-1151-B
clearness	82-1322-B
clearstarch	82-1834-B
clearway	82-1905-B
cleat	82-2002-B
cleavable	82-2124-B
cleavage	82-2250-B
cleave	82-2459-B
cleaver	82-2493-B
cleck	316-5602-S,469-23330-S
cleek	82-2633-B
clef	82-2708-B,393-19405-S
cleft	82-2767-B,191-24590-S,200-32625-S,465-4266-S,482-14419-S
cleft branchial	82-3060-B
cleft footed	82-3125-B
cleft stick	82-3188-B
cleg	82-3328-B
cleidoic	82-3360-B
cleistogamic	82-3458-B
clem	82-3546-B
clematis	82-3603-B
clemency	82-3674-B
clement	82-3788-B
clementine	82-3876-B
clemently	82-3943-B
clench	82-3972-B
clencher	82-4728-B
clepe	82-4901-B
clepsydra	82-4980-B
cleptomania	82-5076-B
clerestory	82-5173-B
clergy	82-5275-B,46-6576-S
clergyman	82-5344-B
clergywoman	82-5391-B
cleric	82-5457-B
clerical	82-5646-B
clericalism	82-6069-B
clericalist	82-6139-B
clerically	82-6223-B
clericals	82-6254-B
clerihew	82-6323-B
clerisy	82-6412-B
clerk	82-6482-B,54-25197-S,177-19566-S,279-11584-S,329-10015-S,414-22608-S,417-7707-S,473-9185-S
clerk regular	82-7203-B
clerkdom	82-7359-B
clerkliness	82-7385-B
clerkly	82-7416-B
clerkship	82-7615-B
clever	82-7675-B,82-8062-S
clever clever	82-8062-B
cleverly	82-8153-B
cleverness	82-8231-B
clevis	82-8366-B
clew	82-8426-B
