cloy	83-22247-B
cloying	83-22348-B
cloyingly	83-22412-B
cloyingness	83-22438-B
cloze test	83-22469-B
club	83-22583-B,46-7031-S,48-11881-S,54-24891-S,103-24507-S,144-17070-S,176-18558-S,204-4298-S,204-4425-S,239-17019-S,303-12490-S,394-21781-S,423-28234-S,447-22513-S,524-524-S
club car	83-23157-B
club foot	83-23722-B
club footed	83-23770-B
club house	83-23946-B
club law	83-24056-B
club like	83-24165-B
club moss	83-24336-B
club nodding	83-24413-B
club room	83-24495-B
club root	83-24566-B
club sandwich	83-23241-B
club shaped	83-24653-B
club stalked	83-24713-B
clubbable	83-23346-B
clubbed	83-23518-B
clubbing	83-23584-B
clubbist	83-23654-B
clubhouse	83-23876-B
clubman	83-24213-B
clubwoman	83-24801-B
cluck	83-24879-B
clucking hen	83-25000-B
clue	83-25057-B
clueless	83-25201-B
clump	83-25279-B,100-3744-S
clumpish	83-25602-B
clumpy	83-25669-B
clumsily	83-25693-B
clumsiness	83-25747-B
clumsy	83-25832-B
clung	83-25958-B
clunk	83-25991-B
clupeid	83-26081-B
cluster	83-26192-B
cluster bar graph	83-26685-B
cluster bomb	83-26742-B
clustering	83-26800-B
clustering effect	83-26832-B
clutch	84-0-B,191-2283-S
clutter	84-814-B,83-18374-S
clutter filter	84-1348-B
clutter noise	84-1391-B
clutter rejection	84-1467-B
clv	84-1509-B
clypeal	84-1555-B
clypeate	84-1636-B
clypeiform	84-1698-B
clyster	84-1769-B
cm	84-1823-B
cmdr	84-1866-B
cmdre	84-1911-B
cmos	84-1935-B,84-1952-B,47-16260-S
cnd	84-2066-B
cnoidal	84-2211-B
co	84-2238-B
co author	84-14137-B
co axial cable	84-14941-B
co defendant	85-8685-B
co ed	85-10595-B
co edition	85-10746-B
co editor	85-10815-B
co education	85-11029-B
co educational	85-11131-B
co found	86-92-B
co op	99-18193-B
co operate	99-19440-B
co operation	99-19613-B,31-3642-S
co operative	99-19866-B
co operatively	99-20302-B
co operativeness	99-20414-B
co operator	99-20520-B
co opt	99-20654-B
co optation	99-20718-B
co optative	99-20801-B
co option	99-20832-B
co optive	99-20860-B
co ordinate	99-20889-B
co ordinately	99-21886-B
co ordinateness	99-21972-B
co ordination	99-22072-B
co ordinative	99-22224-B
co ordinator	99-22471-B
co owner	99-22773-B
co ownership	99-22876-B
co pilot	100-574-B
co plaintiff	100-1182-B
co regency	100-16792-B
co regent	100-16866-B
co religionist	100-17036-B
co resident	100-17602-B
co respondent	100-17699-B
co signatory	102-6250-B
co star	102-12340-B
co sufferer	102-14886-B
co supreme	102-14959-B
co temporary	102-15605-B
co tenant	102-16007-B
co tidal	102-16621-B
coacervate	84-2288-B
coacervation	84-2370-B
coach	84-2405-B,212-10831-S,279-10679-S,296-16204-S,296-25731-S,354-19608-S,424-27043-S,439-19966-S,482-3443-S
coach and four	84-3184-B
coach box	84-3252-B
coach house	84-3657-B
coach office	84-3893-B
coach screw	84-3971-B
coach work	84-4052-B
coachable	84-3157-B
coachbuilder	84-3342-B
coacher	84-3414-B
coacher box	84-3569-B
coachman	84-3724-B,439-20080-S
coachmanship	84-3793-B
coaction	84-4108-B
coadaptation	84-4221-B
coadapted	84-4330-B
coadjacence	84-4398-B
coadjacent	84-4469-B
coadjutant	84-4535-B
coadjutor	84-4636-B
coadjutrix	84-4728-B
coadunate	84-4800-B
coagulability	84-4981-B
coagulable	84-5016-B
coagulant	84-5085-B
coagulate	84-5136-B
coagulation	84-5214-B
coagulator	84-5307-B
coagulin	84-5374-B
coagulum	84-5436-B
coal	84-5507-B,50-4283-S,51-21594-S,59-24971-S,215-4858-S,332-18594-S,333-6994-S,345-8081-S,406-18469-S,429-8560-S,441-27405-S,445-4456-S,519-18640-S,519-20658-S
coal bed	84-6100-B
coal bin	84-6191-B
coal black	84-6242-B
coal box	84-6301-B
coal bunker	84-6424-B
coal car	84-6499-B
coal cellar	84-6572-B
coal dust	84-6628-B
coal face	84-7200-B
coal field	84-7276-B
coal gas	84-7335-B
coal heaver	84-7391-B
coal hole	84-7483-B
coal measures	84-7929-B
coal mine	84-8007-B
coal miner	84-8058-B
coal oil	84-8122-B
coal pit	84-8178-B
coal plough machine	84-8221-B
coal scoop	84-8298-B
coal scuttle	84-8358-B
coal seam	84-8479-B
coal tar	84-6072-B,84-8523-B
coal whipper	84-8581-B
coalbin	84-6150-B
coaler	84-6692-B
coalesce	84-6792-B
coalescence	84-6964-B
coalescent	84-7169-B
coaling station	84-7548-B
coalition	84-7647-B
coalitional	84-7799-B
coalitionist	84-7836-B
coaly	84-8693-B
coaming	84-8794-B
coarctate	84-8892-B
coarctation	84-8973-B
coarse	84-9065-B
coarse adjustment	84-9339-B
coarse control	84-9387-B
coarse featured	84-9648-B
coarse fish	84-9432-B
coarse fishing	84-9523-B
coarse grained	84-9725-B
coarse minded	84-9944-B
coarse tuning	84-9603-B
coarsely	84-9878-B
coarsen	84-10055-B
coarseness	84-10252-B
coast	84-10379-B,406-18537-S
coast defence	84-10930-B
coast waiter	84-12081-B
coastal	84-10780-B
coastal warning radar	84-10870-B
coaster	84-11045-B,393-16333-S
coastguard	84-11332-B
coastguardsman	84-11452-B
coasting	84-11618-B
coastland	84-11825-B
coastline	84-11916-B
coastwaiter	84-11995-B
coastwarning	84-12225-B
coastwise	84-12308-B
coat	84-12382-B,52-27497-S,56-17864-S,140-6666-S,142-3895-S,142-4411-S,142-25310-S,179-12178-S,191-12601-S,208-8504-S,295-22717-S,311-12681-S,332-23054-S,397-19319-S,408-23623-S,414-18299-S,417-28276-S,426-19127-S,437-8024-S,446-23111-S,452-13517-S,456-20823-S,460-20578-S,471-29553-S,476-24693-S
coat frock	84-13727-B
coat hanger	84-13790-B
coat tails	84-14042-B
coated	84-13563-B,50-14886-S,395-1110-S,452-13608-S
coated cathode	84-13586-B
coated lens	84-13632-B
coatee	84-13673-B
coating	84-13851-B,24-7635-S,93-26004-S
coatrack	84-13953-B
coats	273-21567-S
coax	84-14217-B
coaxal	84-14665-B
coaxer	84-14778-B
coaxial	84-14858-B
coaxial cable	84-14901-B
coaxiality	84-14982-B
coaxing	84-15081-B
coaxingly	84-15148-B
cob	84-15194-B,101-258-S,407-1533-S
cob nut	84-16841-B
cob pipe	101-309-S
cobalamin	84-15482-B
cobalt	84-15570-B
cobaltic	84-15667-B
cobaltous	84-15726-B
cobber	84-15774-B
cobble	84-15853-B
cobble stone	84-16554-B
cobbler	84-15982-B,416-22059-S
cobblers	84-16389-B
cobby	84-16601-B
cobelligerent	84-16655-B
coble	84-16784-B
cobobundary	84-16916-B
cobol	84-16987-B
coboundary	84-17119-B
cobra	84-17182-B,259-25365-S,436-3352-S
cobweb	84-17217-B
cobwebbed	84-17768-B
cobwebby	84-17850-B
coca	84-17937-B
coca cola	84-17997-B
cocaine	84-18110-B
cocainise	84-18156-B
cocainism	84-18258-B
cocainization	84-18359-B
cocainize	84-18479-B
cocategory	84-18526-B
cocci	84-18558-B
coccidiosis	84-18622-B
coccidium	84-18715-B
coccolith	84-18789-B
coccus	84-18867-B
coccygeal	84-18904-B
coccyges	84-18973-B
coccyx	84-19053-B
cochain	84-19094-B
cochere	354-1109-S
cochin	84-19127-B
cochin china	84-19200-B,84-19362-B
cochineal	84-19416-B
cochineal insect	84-19527-B
cochlea	84-19611-B
cochleae	84-19685-B
cochlear	84-19727-B
cochleate	84-19755-B
cochre	354-1206-S
cock	84-19820-B,12-4403-S,40-20947-S,177-7110-S,195-16600-S,210-19359-S,213-10358-S,339-672-S,441-27472-S,481-4060-S
cock a doodle doo	84-21658-B
cock a hoop	84-21765-B
cock a leekie	84-21901-B
cock and bull	84-22159-B
cock and bull story	84-22279-B
cock crow	84-22857-B
cock eye	85-632-B
cock eyed	85-690-B
cock fight	85-809-B
cock fighting	85-941-B
cock horse	85-995-B
cock loft	85-1842-B
cock of the walk	84-21419-B
cock shot	85-3151-B
cock shy	85-3307-B
cock sparrow	85-3548-B
cock sure	85-3917-B
cock tailed	85-4563-B
cock up	85-4641-B
cockade	84-21495-B
cockaded	84-21630-B
cockalorum	84-21994-B
cockatiel	84-22357-B
cockatoo	84-22451-B
cockatrice	84-22520-B
cockbill	84-22619-B
cockboat	84-22686-B
cockbrained	84-22732-B
cockchafer	84-22781-B
cocked	85-0-B,213-10649-S
cocked hat	85-59-B
cocker	85-332-B
cockerel	85-528-B
cockily	85-1106-B
cockiness	85-1166-B
cocking	409-14791-S
cockle	85-1259-B
cockle boat	85-1618-B
cockle shell	85-1693-B
cockles	225-23509-S
cockloft	85-1787-B
