cogitable	86-1021-B
cogitate	86-1168-B
cogitation	86-1297-B
cogitative	86-1508-B
cogitatively	86-1579-B
cogitativeness	86-1614-B
cogitator	86-1712-B
cogito	86-1742-B
cognac	86-1915-B
cognatation	86-1972-B
cognate	86-2136-B
cognation	86-2600-B
cognet	86-2629-B
cognise	86-2666-B
cognition	86-2707-B,30-10585-S
cognitional	86-2809-B
cognitive	86-2842-B
cognitive dissonance	86-2961-B
cognizable	86-3064-B
cognizably	86-3233-B
cognizance	86-3266-B
cognizant	86-3777-B
cognize	86-3955-B
cognomen	86-4027-B
cognominal	86-4100-B
cognoscente	86-4131-B
cognoscenti	86-4201-B
cognoscible	86-4271-B
cognovit	86-4366-B
cogradiency	86-4473-B
cogradiently	86-4509-B
cograduation	86-4547-B
cograilway	86-4711-B
cohabit	86-4879-B
cohabitant	86-4961-B
cohabitation	86-5031-B
cohabitational	86-5128-B
cohabiter	86-5162-B
coheir	86-5196-B
coheiress	86-5241-B
coheirship	86-5321-B
cohere	86-5390-B
coherence	86-5573-B
coherency	86-5622-B
coherent	86-5814-B,340-2149-S
coherently	86-5945-B
coherer	86-6019-B
coheritor	86-6080-B
cohesion	86-6150-B
cohesionless	86-6252-B
cohesive	86-6344-B
cohesively	86-6410-B
cohesiveness	86-6479-B
cohnate	86-6562-B
coho	86-6613-B
cohomology	86-6691-B
cohomotopy	86-6829-B
cohort	86-6863-B
coi	86-6956-B
coideal	86-7062-B
coif	86-7087-B
coiffeur	86-7126-B
coiffeuse	86-7184-B
coiffure	86-7245-B
coign	86-7307-B
coign of vantage	86-7414-B
coil	86-7509-B,3-21448-S,22-3305-S,29-12029-S,43-669-S,60-10956-S,72-6898-S,90-3181-S,99-859-S,104-5141-S,110-22919-S,113-20145-S,115-28419-S,119-11799-S,126-15214-S,128-761-S,132-20720-S,142-24713-S,165-3384-S,182-13758-S,184-18550-S,240-13497-S,433-4425-S
coil aerial	86-8126-B
coil capacitance	86-8171-B
coil pipe	86-8222-B
coiler	86-8336-B
coimage	86-8359-B
coin	86-8390-B
coin box	86-8859-B
coin box vault door	86-9295-B
coin op	86-10195-B
coin slot	86-8904-B
coinable	86-8948-B
coinage	86-8973-B
coincide	86-9360-B
coincidence	86-9612-B
coincident	86-9756-B
coincidental	86-9853-B
coincidentally	86-9973-B
coiner	86-10012-B
coinitial	86-10160-B
coinsurance	86-10293-B
coinsurer	86-10378-B
cointed	302-20486-S
coir	86-10454-B
coital	86-10498-B
coitally	86-10563-B
coition	86-10590-B
coitu	236-10628-S
coitus	86-10631-B
coke	86-10671-B
coke oven	86-10808-B
coker	86-10873-B
cokernel	86-10909-B
cokernut	86-10948-B
col	86-10991-B,86-11036-B
cola	86-11093-B,84-17997-S
cola nut	86-11137-B
colada	344-5809-S
colander	86-11192-B
colatitude	86-11238-B
colchicine	86-11311-B
colcothar	86-11376-B
cold	86-11471-B,81-20892-S,230-11267-S,259-0-S,445-4509-S
cold backup	86-13181-B
cold blooded	86-14753-B
cold bloodedly	86-14982-B
cold bloodedness	86-15023-B
cold boot	86-13219-B
cold chisel	86-13258-B
cold comfort	86-13349-B
cold cream	86-13420-B
cold cuts	86-13483-B
cold feet	86-13590-B
cold fish	86-13696-B,86-15064-B
cold frame	86-13773-B
cold front	86-13845-B
cold hammer	86-15144-B
cold hearted	86-15214-B
cold heartedly	86-15303-B
cold heartedness	86-15344-B
cold pig	86-13935-B,86-15604-B
cold shoulder	86-14052-B,86-15705-B
cold snap	86-14106-B,86-15817-B
cold sober	445-4571-S
cold sore	86-14144-B
cold start	86-14208-B
cold storage	86-14251-B,86-15886-B
cold sweat	86-14365-B,86-16095-B
cold type	86-14461-B
cold war	86-14578-B
cold warrior	86-14640-B
cold without	86-14673-B
coldish	86-15385-B
coldly	86-15451-B
coldness	86-15529-B
coldsweat	86-16045-B
cole seed	86-16765-B
cole slaw	86-16910-B
colembolan	86-16240-B
coleoptera	86-16373-B
coleopterist	86-16460-B
coleopterous	86-16563-B
coleoptile	86-16689-B
coleslaw	86-16833-B
