compound device	91-1189-B
compound microscope	91-1237-B
compound sentence	91-1334-B
compoundable	91-1372-B
compounder	91-1468-B
comprador	91-1499-B
comprehend	91-1580-B
comprehendible	91-1700-B
comprehendingly	91-1737-B
comprehensibility	91-1777-B
comprehensible	91-1962-B
comprehensibleness	91-2142-B
comprehensibly	91-2215-B
comprehension	91-2256-B
comprehensive	91-2548-B
comprehensively	91-2998-B
comprehensiveness	91-3080-B
compress	91-3221-B
compressed	91-3386-B
compressed character	91-3442-B
compressed pulse	91-3486-B
compressibility	91-3542-B
compressible	91-3641-B,304-24655-S
compressibleness	91-3763-B
compression	91-3804-B,114-15234-S,275-23195-S
compression of band	91-4103-B
compression ratio	91-4142-B
compressional	91-4191-B
compressor	91-4228-B,36-5403-S,480-24631-S
compressor expander	91-4379-B
comprisable	91-4424-B
comprise	91-4456-B
compromise	91-4634-B
compromiser	91-4925-B
compromission	91-4959-B
comptometer	91-5044-B
comptroller	91-5116-B
compulsative	91-5167-B
compulsion	91-5246-B
compulsive	91-5394-B
compulsively	91-5478-B
compulsiveness	91-5513-B
compulsivity	91-5589-B
compulsorily	91-5624-B
compulsoriness	91-5697-B
compulsory	91-5804-B
compunction	91-6073-B
compunctious	91-6308-B
compunctiously	91-6425-B
compurgation	91-6463-B
compurgator	91-6589-B
compuserve	91-6695-B
compusex	91-6816-B
computability	91-6843-B
computability theory	91-7006-B
computable	91-7071-B
computable function	91-7181-B
computalk	91-7232-B
computation	91-7278-B,138-917-S,182-20186-S
computation by combinator	91-7435-B
computation by effect	91-7505-B
computation correction	91-7573-B
computation expression	91-7631-B
computation language	91-7689-B
computation method	91-7743-B
computation model	91-7788-B
computation module	91-7837-B
computation speed	91-7885-B
computation theory	91-7928-B
computation time	91-7981-B
computational	91-8022-B
computational accuracy	91-8112-B
computational algorithm	91-8174-B
computational built in function	91-8240-B
computational complexity	91-8314-B
computational induction	91-8379-B
computational instability	91-8440-B
computational linguistics	91-8512-B
computational method	91-8577-B
computational mode	91-8624-B
computational model	91-8693-B
computational problem	91-8742-B
computational procedure	91-8797-B
computational process	91-8854-B
computational schema	91-8909-B
computational security	91-8961-B
computational stability	91-9023-B
computational system	91-9085-B
computational table	91-9140-B
computational technique	91-9208-B
computationally	91-9266-B
computative	91-9305-B
computator	91-9346-B
compute	91-9386-B
computed	91-9453-B
computed address	91-9509-B
computed azimuth	91-9560-B
computed go to	91-9612-B
computed impulse	91-9661-B
computer	91-9711-B,1-1375-S,3-0-S,6-19114-S,13-23022-S,14-16805-S,18-12520-S,18-13525-S,18-14902-S,54-23888-S,58-19856-S,62-18099-S,72-9153-S,90-1029-S,104-8334-S,114-19576-S,118-10254-S,124-4679-S,128-12410-S,149-10900-S,149-11991-S,150-897-S,182-9040-S,191-20900-S,198-14829-S,210-12704-S,315-11482-S,338-7711-S
computer aided design	92-2657-B
computer aided design and drafting	92-2733-B
computer aided manufacturing	92-2839-B
computer aided manufacturing international	92-2921-B
computer analyst	91-9824-B
computer animation	91-9874-B
computer application	91-9929-B
computer architecture	91-9986-B
computer arithmetic	91-10036-B
computer art	91-10088-B
computer assisted instruction	92-3044-B
computer augmented learning	92-3164-B
computer base education	91-10139-B
computer base learning	91-10218-B
computer based	92-3268-B
computer capacity	91-10296-B
computer center	91-10377-B
computer classified image	92-3400-B
computer communication	92-3486-S
computer computer communication	92-3486-B
computer controlled	92-3574-B
computer controlled instrumentation	92-3646-B
computer dependent language	92-3739-B
computer driven diagnostic unit	92-3948-B
computer enhanced image	92-4036-B
computer generated command	92-4171-B
computer hardware	91-10427-B
computer hardware description language	91-10488-B
computer image processing	91-10601-B
computer independent language	92-4321-B
computer industry	91-10683-B
computer information system	91-10736-B
computer input	91-10811-B
computer installation	91-10868-B
computer instruction	91-10942-B
computer instruction code	91-11003-B
computer instruction set	91-11073-B
computer integrated manufacturing	91-11143-B,92-4417-B
computer interface	91-11243-B
computer internetwork	91-11297-B
computer jargon	91-11355-B
computer jumb instruction	91-11407-B
computer keyboard	91-11488-B
computer language	91-11545-B
computer learning	91-11598-B
computer limited	92-5604-B
computer literacy	91-11658-B
computer logic	91-11721-B
computer made decision	92-5668-B
computer managed instruction	92-5741-B
computer management	91-11803-B
computer manager	91-11857-B
computer manipulation technique	91-11922-B
computer mapping	91-12005-B
computer mapping system	91-12069-B
computer mathematics	91-12153-B
computer memory	91-12209-B
computer memory bank	91-12259-B
computer micrographics	91-12326-B
computer model	91-12381-B
computer modeling	91-12429-B
computer module	91-12486-B
computer monitor system	91-12539-B
computer music	91-12611-B
computer network	91-12660-B
computer networking	91-12707-B
computer numerical control	91-12768-B
computer of averaged transients	91-12863-B
computer on a chip	92-6006-B
computer operated memory test system	92-6065-B
computer operated universal test system	92-6167-B
computer operation	91-12980-B
computer operator	91-13073-B
computer optimization technique	91-13130-B
computer order code	91-13213-B
computer organization	91-13272-B
computer oriented	92-6267-B
computer oriented language	92-6330-B
computer output	91-13334-B
computer output microfilm	91-13399-B
computer output microfilm recorder	91-13487-B
computer output statement	91-13593-B
computer performance	91-13679-B
computer performance evaluation	91-13736-B
computer peripherals	91-13823-B
computer picture	91-13896-B
computer port module	91-13960-B
computer potentiometer	91-14024-B
computer power	91-14093-B
computer practice	91-14148-B
computer print out	91-14214-B
computer printer	91-14277-B
computer process control	91-14325-B
computer processable data file	92-6460-B
computer processing cycle	91-14403-B
computer processor	91-14470-B
computer product	91-14531-B
computer professional	91-14584-B
computer program	91-14641-B
computer programmer	91-14697-B
computer programming	91-14782-B
computer programming language	91-14842-B
computer purchase criteria	91-14923-B
computer rated	92-6566-B
computer readable format	92-6638-B
computer recording	91-14996-B
computer refined	92-6728-B
computer relay	91-15054-B
computer revolution	91-15103-B
computer room	91-15159-B
computer s character set	92-6798-B
computer satellite	91-15208-B
computer science	91-15321-B
computer security	91-15404-B
computer self learning	91-15467-B
computer sensitive language	92-6865-B
computer service	91-15524-B
computer servo system	91-15576-B
computer servomechanism	91-15653-B
computer set page	92-6960-B
computer simulation	91-15729-B
computer simulator	91-15784-B
computer software	91-15843-B
computer solution	91-15895-B
computer specialist	91-15952-B
computer static test	91-16009-B
computer storage	92-0-B
computer store	92-51-B
computer structure	92-106-B
computer supervisory control system	92-165-B
computer support	92-272-B
computer supported graphical plotting	92-7032-B
computer switching group	92-323-B
computer symbol	92-399-B
computer synthesis	92-449-B
computer system	92-517-B
computer system analyst	92-569-B
computer system engineer	92-634-B
computer system fault tolerance	92-704-B
computer system operator	92-787-B
computer system resilience	92-864-B
computer system security	92-948-B
computer system simulation	92-1026-B
computer system simulator	92-1101-B
computer tape	92-1180-B
computer technician	92-1223-B
computer technology	92-1285-B
computer term	92-1372-B
computer terminal	92-1451-B
computer test unit	92-1511-B
computer theory	92-1576-B
computer time	92-1628-B
computer tomography	92-1689-B
computer transformer	92-1777-B
computer transistor	92-1848-B
computer typesetting	92-1907-B
computer typesetting system	92-1975-B
computer user	92-2069-B
computer users group	92-2126-B
computer utility	92-2196-B
computer vendor	92-2264-B
computer virus	92-2318-B
computer vision	92-2377-B
computer voice	92-2433-B
computer watch	92-2489-B
computer word	92-2537-B
computer word processor	92-2585-B
computerdom	92-3821-B
computerese	92-4117-B
computergraphic display	92-4246-B
computerisation	92-4516-B
computerise	92-4637-B
computerism	92-4846-B
computerist	92-4899-B
computerizable	92-4989-B
computerization	92-5027-B
computerize	92-5127-B
computerized	92-5333-B
computerized translation system	92-5424-B
computerjack	92-5504-B
computerjacker	92-5558-B
computermatic	92-5860-B
computernik	92-5911-B
computerphobia	92-6406-B
computers	177-25393-S
computing	92-7122-B,134-24412-S
computing amplifier	92-7208-B
computing electronics	92-7302-B
computing engine	92-7410-B
computing error	92-7473-B
computing facilities	92-7519-B
computing formula	92-7603-B
computing fundamental	92-7655-B
computing gear	92-7736-B
computing group	92-7802-B
computing machine	92-7847-B
computing machinery	92-7894-B,92-7934-B
computing matrix	92-7981-B
computing mechanism	92-8029-B
computing method	92-8080-B
computing mode	92-8133-B
computing network	92-8176-B
computing neuron	92-8222-B
computing power	92-8282-B
computing procedure	92-8331-B
computing resource	92-8384-B
computing service	92-8437-B
computing sight	92-8517-B
computing speed	92-8570-B
computing statement	92-8619-B
computing store	92-8672-B
computing technique	92-8720-B
computing technology	92-8773-B
computing term	92-8828-B
computing time	92-8880-B
computing tools	92-8928-B
computing word	92-9017-B
computist	92-9060-B
computopia	92-9128-B
computor	92-9178-B
computor method	92-9200-B
computron	92-9259-B
computus	92-9341-B
computyper	92-9388-B
compuword	92-9438-B
comrade	92-9473-B
comrade in arms	92-9531-B
comradeliness	92-9606-B
comradery	92-9661-B
comradeship	92-9715-B
comradily	92-9794-B
comsat	92-9859-B
comstockery	92-9965-B
con	92-10093-B,293-13054-S,301-29466-S,362-6659-S
con amore	92-10420-B
con brio	92-10500-B
con carne	76-14114-S,76-14999-S
con man	92-10578-B
con rod	95-22005-B
conarium	92-10634-B
conation	92-10759-B
conatus	92-10830-B
concasse	92-10893-B
concatenate	92-10972-B
concatenated data set	92-11103-B
concatenated file	92-11165-B
concatenation	92-11224-B
concatenation character	92-11467-B
concave	92-11523-B,92-11880-S,99-6577-S,138-4356-S
concave convex	92-11663-B
concave convex lens	92-11698-B
concave lens	92-11586-B
concave mirror	92-11626-B
concavely	92-11751-B
concaveness	92-11780-B
concavity	92-11811-B
concavo concave	92-11880-B
concavo convex	92-11953-B
conceal	92-12021-B
concealable	92-12097-B
concealer	92-12128-B
concealment	92-12215-B
concede	92-12398-B
concededly	92-12663-B
conceder	92-12693-B
conceit	92-12722-B,409-15629-S
conceited	92-13231-B,409-15715-S
conceitedly	92-13321-B
conceitedness	92-13395-B
conceivability	92-13430-B
conceivable	92-13600-B
conceivableness	92-13745-B
conceivably	92-13780-B
conceive	92-13882-B
conceiver	92-14433-B
concentrate	92-14463-B
concentrated	92-14662-B
concentration	92-14794-B
concentration gradient	92-15069-B
concentrative	92-15126-B
concentratively	92-15163-B
concentrator	92-15202-B,114-15277-S
concentrator network	92-15241-B
concentre	92-15295-B
concentric	92-15409-B
concentric cable	92-15518-B
concentric groove	92-15564-B
concentrical	92-15610-B
concentrically	92-15665-B
concentricity	92-15702-B
concept	92-15774-B
conception	92-15833-B,506-6682-S
conceptional	92-16073-B
conceptive	92-16108-B
conceptively	92-16248-B
conceptual	92-16283-B
conceptual model	93-0-B
conceptualism	93-49-B
conceptualist	93-140-B
conceptualistic	93-245-B
conceptualistically	93-286-B
conceptually	93-331-B
conceptus	93-366-B
concer grand	93-420-B
concer hall	93-496-B
concern	93-563-B,409-15793-S
concerned	93-2151-B,409-15894-S
concernedly	93-2357-B
concerning	93-2432-B
concernment	93-2490-B
concerpt	93-2723-B
concert	93-2776-B,73-21464-S,364-4983-S,426-19209-S,450-21906-S
concert goer	93-3486-B
concert grand	93-3019-B,93-3630-B
concert hall	93-3769-B
concert room	93-4243-B
concertealy	93-3092-B
concerted	93-3190-B
concertedly	93-3432-B
concertgrand	93-3570-B
concertina	93-3825-B
concertino	93-3905-B
concertmaster	93-4029-B
concerto	93-4113-B
concession	93-4296-B
concessionaire	93-4658-B
concessional	93-4722-B
concessionary	93-4757-B
concessionnaire	93-4818-B
concessive	93-4990-B
concessively	93-5048-B
concettism	93-5083-B
concexo convex	93-5199-B
conch	93-5236-B
concha	93-5366-B
conchal	93-5441-B
conchiferous	93-5467-B
conchiform	93-5588-B
conchoid	93-5667-B
conchological	93-5725-B
conchologist	93-5761-B
conchology	93-5859-B
conchy	93-5939-B
concierge	93-6057-B
conciliable	93-6172-B
conciliar	93-6206-B
conciliate	93-6287-B
conciliation	93-6709-B
conciliator	93-6827-B
conciliatory	93-6896-B
concilium	93-7064-B
concinnity	93-7150-B
conciousness	500-14928-S
concirlular	93-7222-B
concise	93-7264-B
concisely	93-7336-B
conciseness	93-7403-B
concision	93-7494-B
conclave	93-7542-B
conclude	93-7716-B
concluder	93-8032-B
conclusion	93-8062-B
conclusive	93-8600-B
conclusively	93-8882-B
conclusiveness	93-8963-B
concoct	93-9172-B
concocter	93-9480-B
concoction	93-9509-B
concoctor	93-9663-B
concolorous	93-9692-B
concomitance	93-9767-B
concomitant	93-9864-B
concomitantly	93-10268-B
concord	93-10305-B
concordance	93-10608-B
concordant	93-10862-B
concordantly	93-10977-B
concordat	93-11012-B
concourse	93-11143-B
concrescence	93-11426-B
concrescent	93-11506-B
concrete	93-11542-B,175-6590-S,201-25721-S,384-6754-S
concrete jungle	93-11947-B
concrete mixer	93-12365-B
concrete music	93-12043-B
concrete poetry	93-12117-B
concrete pole	93-12269-B
concretely	93-12307-B
concreteness	93-12443-B
concretion	93-12476-B
concretionary	93-12670-B
concretism	93-12745-B
concretization	93-12937-B
concretize	93-12974-B
concubinage	93-13040-B
concubinary	93-13247-B
concubine	93-13424-B
concupiscence	93-13505-B
concupiscent	93-13638-B
concur	93-13718-B
