adjutant general	8-3382-B
adjuvant	8-3498-B
adm	8-3911-B
adman	8-3963-B
admass	8-4126-B
admeasure	8-4229-B
admeasurement	8-4316-B
admeasurer	8-4416-B
adminiculum	8-4448-B
administer	8-4531-B
administrable	8-5392-B
administrant	8-5428-B
administrate	8-5463-B
administration	8-5568-B,80-16132-S,268-3661-S
administration information display	8-6193-B
administration manager	8-6276-B
administration mode	8-6340-B
administration process	8-6392-B
administration program	8-6446-B
administrative	8-6505-B,22-12065-S
administrative information	8-6781-B
administrative service	8-6838-B
administratively	8-6893-B
administrator	8-6975-B,114-19449-S
administratorship	8-7219-B
administratrices	8-7453-B
administratrix	8-7519-B
admirability	8-7812-B
admirable	8-7872-B
admirableness	8-8208-B
admirably	8-8421-B
admiral	8-8504-B,274-28976-S,379-27698-S,509-21558-S
admiral of the fleet	8-8888-B
admiralship	8-8954-B
admiralty	8-9023-B,509-21626-S
admiration	8-9216-B,409-11679-S
admire	8-9676-B
admirer	8-10173-B
admiring	8-10396-B
admiringly	8-10497-B
admissibility	8-10589-B
admissible	8-10801-B
admissible function	8-10985-B
admissible hypothesis	8-11053-B
admissibleness	8-11122-B
admissibly	8-11159-B
admission	8-11194-B,304-19721-S,356-12439-S
admissive	8-11702-B
admit	8-11733-B
admittable	8-12298-B
admittance	8-12380-B,5-20472-S,149-2773-S,149-10780-S
admitted	8-12724-B
admittedly	8-12847-B
admix	8-13061-B
admixture	8-13126-B
admonish	8-13223-B
admonisher	8-13708-B
admonishingly	8-13742-B
admonishment	8-13776-B
admonition	8-13833-B
admonitory	8-14094-B
adnate	8-14319-B
adnation	8-14380-B
adnexa	8-14407-B
adnexed	8-14489-B
adnominal	8-14553-B
adnoun	8-14581-B
ado	8-14644-B
adobe	8-15107-B
adolescaria	8-15186-B
adolescence	8-15270-B
adolescency	8-15322-B
adolescent	8-15388-B
adonis	8-15538-B
adonize	8-15752-B
adopt	8-15875-B
adoptability	8-16363-B
adoptable	8-16652-B
adoptee	8-16896-B
adopter	8-16947-B
adoption	8-17009-B
adoptionism	8-17289-B
adoptive	8-17409-B
adoptively	8-17539-B
adorability	8-17570-B
adorable	8-17628-B
adorableness	8-17790-B
adorably	8-18014-B
adoration	8-18085-B
adore	8-18302-B
adorer	8-18471-B
adoring	8-18643-B
adoringly	8-18696-B
adorn	8-18767-B
adorned	320-16502-S
adorner	8-19000-B
adornment	8-19025-B
adown	8-19207-B
adp	8-19308-B
adpcm	8-19408-B
adpressed	8-19658-B
adrectal	8-19743-B
adrenal	8-19859-B
adrenal gland	8-20012-B
adrenalectomy	8-20062-B
adrenalin	8-20158-B
adrenally	8-20216-B
adrenocorticotrophic	8-20245-B
adrift	8-20332-B
adroit	8-20691-B
adroitly	8-20751-B
adroitness	8-20805-B
adromia	8-20882-B
ads	514-19643-S
adscititious	8-20947-B
adsl	8-21031-B
adsorb	8-21080-B
adsorbable	8-21138-B
adsorbate	8-21167-B
adsorbent	8-21239-B
adsorber	8-21301-B
adsorption	8-21365-B
adsorptive	8-21433-B
adt	8-21466-B
adularia	8-21575-B
adulate	8-21645-B
adulation	8-21726-B
adulator	8-21825-B
adulatory	8-21921-B
adult	8-22005-B
adulterant	8-22131-B
adulterate	8-22236-B
adulteration	8-22475-B
adulterator	8-22629-B
adulterer	8-22663-B
adulteress	8-22775-B
adulterine	8-22886-B
adulterous	8-23070-B
adulterously	8-23144-B
adultery	8-23179-B
adulthood	8-23261-B
adultlike	8-23348-B
adultness	8-23418-B
adultoid	8-23445-B
adumbral	8-23512-B
adumbrate	8-23574-B
adumbration	8-23770-B
adumbrative	8-24015-B
adumbratively	8-24048-B
aduncate	8-24083-B
adust	8-24146-B
advance	8-24284-B
advance guard	8-26670-B
advance trenches	8-27202-B
advanced	8-25615-B
advanced credit	8-26002-B
advanced function	8-26146-B
advanced ignition	8-26193-B
advanced level	8-26232-B
advanced programming	8-26374-B
advanced research project agency network	8-26454-B
advanced technology	8-26584-B
advancement	8-26747-B,409-11757-S
advancer	8-27174-B
advantage	8-27287-B,285-22405-S
advantageous	8-28078-B
advantageously	8-28156-B
advantageousness	8-28240-B
advection	8-28337-B
advehent	9-0-B
advene	9-48-B
advent	9-93-B
adventism	9-359-B
adventist	9-431-B
adventitia	9-562-B
adventitious	9-627-B
adventitiously	9-949-B
adventitiousness	9-988-B
adventure	9-1112-B
adventure playground	9-1831-B
adventurer	9-1960-B
adventuresome	9-2283-B
adventuress	9-2367-B
adventurism	9-2525-B
adventurist	9-2601-B
adventurous	9-2636-B
adventurously	9-2691-B
adventurousness	9-2775-B
adverb	9-2893-B
adverbe	9-2949-B
adverbial	9-2996-B
adverbially	9-3096-B
adversary	9-3207-B
adversative	9-3306-B
adversatively	9-3374-B
adverse	9-3411-B
adversely	9-3900-B
adverseness	9-3951-B
adversity	9-3982-B
advert	9-4127-B
advertence	9-4250-B
advertency	9-4301-B
advertent	9-4375-B
advertise	9-4444-B
advertisement	9-4834-B
advertiser	9-5122-B
advertising	9-5272-B,450-7720-S
advertize	9-5359-B
advice	9-5406-B,268-1554-S
advisability	9-5878-B
advisable	9-6049-B
advisableness	9-6240-B
advisably	9-6298-B
advise	9-6329-B
advised	9-6606-B,232-3504-S,517-30449-S
advisedly	9-6854-B,232-3574-S
adviser	9-6942-B
advisor	9-7081-B
advisory	9-7123-B
advocacy	9-7274-B
advocate	9-7460-B,274-28579-S
advocator	9-7897-B
advocatory	9-7927-B
advowson	9-7957-B
advt	9-8043-B
adynamia	9-8115-B
adynamic	9-8201-B
adyta	9-8274-B
adytum	9-8312-B
adz	9-8442-B
adze	9-8541-B
aecial	9-8570-B
aeciospore	9-8628-B
aecium	9-8689-B
aedeagus	9-8762-B
aedile	9-8848-B
aeger	9-8912-B
aegis	9-9025-B
aegrotat	9-9165-B
aelotropic	9-9318-B
aelotropy	9-9387-B
aeneolithic	9-9460-B
aeolation	9-9697-B
aeolian	9-9757-B
aeolian harp	9-9811-B
aeolight	9-9886-B
aeon	9-9939-B
aerate	9-10051-B
aeration	9-10366-B
aerenchyma	9-10553-B
aerial	9-10621-B,86-8126-S,274-18862-S,376-1584-S,483-17507-S
aerial cable	9-10878-B
aerial gain antenna gain	9-10929-B
aerie	9-10990-B
aerifecation	9-11023-B
aeriferous	9-11099-B
aeriform	9-11183-B
aerify	9-11254-B
aero	9-11330-B,9-11388-B
aero engine	9-13307-B
aeroballistics	9-11535-B
aerobat	9-11616-B
aerobatic	9-11674-B
aerobatics	9-11766-B
aerobe	9-11889-B
aerobic	9-11949-B
aerobics	9-12051-B
aerobiological	9-12120-B
aerobiologically	9-12158-B
aerobiology	9-12199-B
aerocamera	9-12349-B
aerocarrier	9-12454-B
aeroculture	9-12517-B
aerocyste	9-12606-B
aerocyte	9-12668-B
aerodrome	9-12725-B
aerodynamic	9-12778-B
aerodynamical	9-12837-B
aerodynamically	9-12912-B
aerodynamicist	9-12951-B
aerodynamics	9-12990-B
aerodyne	9-13159-B
aeroembolism	9-13235-B
aerofoil	9-13377-B
aerogram	9-13435-B
aerograph	9-13500-B
aerography	9-13567-B
aerogun	9-13661-B
aerohydroplane	9-13729-B
aerolite	9-13801-B
aerolith	9-13847-B
aerolithology	9-13913-B
aerolitic	9-13991-B
aerologic	9-14021-B
aerologist	9-14051-B
aerology	9-14081-B
aeromagnetic	9-14199-B
aeromechanical	9-14290-B
aeromechanically	9-14331-B
aeromechanics	9-14373-B
aerometer	9-14475-B
aerometry	9-14546-B
aeromodelling	9-14646-B
aeromorphosis	9-14734-B
aeronaut	9-14814-B
aeronautic	9-14901-B
aeronautical	9-14972-B
aeronautically	9-15030-B
aeronautics	9-15067-B
aeronavigation	9-15163-B
aeronef	9-15242-B
aerophobia	9-15299-B
aerophora	9-15368-B
aerophotograph	9-15425-B
aerophotography	9-15509-B
aerophyte	9-15633-B
aeroplane	9-15706-B
aeroplankton	9-15769-B
aeroport	9-15851-B
aerosol	9-15909-B
aerospace	9-15996-B
aerostat	9-16062-B
aerostatic	9-16111-B
aerostatical	9-16142-B
aerostatics	9-16175-B
aerostation	9-16297-B
aerotaxis	9-16428-B
aerotechnics	9-16477-B
aerotropic	9-16580-B
aerotropism	9-16641-B
aeruginous	9-16710-B
aery	9-16815-B
aesculapian	9-16847-B
aesthesia	9-16915-B
aesthete	9-16971-B
aesthetes	9-17028-B
aesthetic	9-17081-B
aesthetically	9-17244-B
aesthetician	9-17337-B
aestheticism	9-17519-B
aesthetics	9-17585-B
aestho physiology	9-17667-B
aestilignosa	9-17756-B
aestival	9-17824-B
aestivarium	9-17907-B
aestivate	9-18010-B
aestivation	9-18080-B
aetherial	9-18159-B
aetiology	9-18215-B
afar	9-18265-B
afaul	9-18388-B
afe	9-18488-B
afebrile	9-18738-B
affability	9-18797-B
affable	9-18849-B
affableness	9-18947-B
affably	9-19077-B
affair	9-19153-B,275-14681-S
affaires	74-17834-S
affairs	280-25220-S
affect	9-20050-B
affectation	9-21271-B
affected	9-21607-B,232-3611-S,409-11851-S,517-30576-S
affectedly	9-22079-B
affectedness	9-22180-B
affecter	9-22213-B
affecting	9-22240-B
affectingly	9-22457-B
affection	9-22546-B
affectional	9-23355-B
affectionally	10-0-B
affectionate	10-35-B
affectionately	10-132-B
affectionateness	10-209-B
affective	10-328-B
affectively	10-401-B
affectivity	10-434-B
afferent	10-505-B
afferently	10-655-B
affettuoso	10-686-B
affiance	10-757-B
affidavit	10-1011-B
affiliate	10-1315-B
affiliated	304-19825-S
affiliation	10-1359-B
affiliation order	10-1720-B
affinage	10-1886-B
affined	10-1969-B
affinity	10-2032-B,149-2824-S
affinor	10-2539-B
affirm	10-2596-B
affirmable	10-2718-B
affirmably	10-2747-B
affirmant	10-2778-B
affirmation	10-2808-B,409-11921-S
affirmative	10-3032-B
affirmative acknowledge	10-3325-B
