contravener	98-13523-B
contravention	98-13557-B
contretemps	98-13737-B
contribute	98-13867-B
contribution	98-14227-B
contributive	98-14624-B
contributively	98-14661-B
contributiveness	98-14698-B
contributor	98-14739-B
contributory	98-14879-B,305-69-S
contrite	98-15278-B
contritely	98-15396-B
contriteness	98-15427-B
contrition	98-15460-B
contrivance	98-15555-B
contrive	98-15940-B
contrived	98-16230-B
contrivedly	98-16310-B
contriver	98-16343-B
control	98-16622-B,4-6532-S,12-1892-S,27-6847-S,35-17635-S,35-17758-S,36-171-S,36-257-S,36-1025-S,36-1144-S,36-1313-S,36-2000-S,36-3601-S,36-5173-S,36-5476-S,36-10498-S,40-12270-S,41-6949-S,49-2875-S,49-11196-S,58-23153-S,68-19989-S,83-7044-S,84-9387-S,91-12768-S,91-14325-S,98-12410-S,113-12666-S,128-1035-S,141-19299-S,149-1204-S,149-11031-S,149-12111-S,164-22902-S,174-2346-S,178-25725-S,180-17268-S,182-9094-S,182-26165-S,183-11139-S,189-10821-S,190-13661-S,194-18159-S,209-12526-S,233-12526-S,338-21469-S,360-19934-S,385-14903-S,409-18356-S,517-19452-S
control approach	209-14832-S
control bit	98-18740-B
control block	98-18781-B
control board	98-18827-B,133-9824-S
control card	98-18873-B
control character	98-18919-B,68-20048-S,125-14369-S,160-13120-S,187-14826-S
control circuit	36-1221-S,36-1387-S,36-5552-S
control code	98-18984-B
control device	4-6583-S
control element	176-16229-S
control equipment	98-19026-B,160-13185-S
control function	98-19082-B
control gate	98-19156-B
control grid	98-19231-B
control index	98-19277-B
control key	98-19328-B
control knob	98-19371-B
control limit	98-19414-B
control line	98-19466-B
control menu	98-19509-B
control mode	168-5721-S
control panel	98-19560-B
control point	98-19597-B
control processor	98-19639-B
control program	98-19696-B
control radar	178-23204-S
control room	98-19753-B
control sequence	98-19798-B
control statement	98-19852-B
control station	98-19902-B
control system	92-165-S
control tower	98-19949-B
control unit	89-13679-S,149-12212-S
controllability	98-20060-B
controllable	98-20295-B
controlled	98-20518-B,92-3574-S,182-19377-S,208-10889-S,293-8132-S,376-4423-S,409-18441-S,475-3571-S
controlled instrumentation	92-3646-S
controller	98-20577-B,12-2027-S,36-343-S,62-14016-S,89-13752-S,103-14990-S,141-18553-S,148-4985-S,206-18100-S
controller general	98-20894-B
controllership	98-20979-B
controlling interest	98-21051-B
controlment	98-21229-B
controversial	98-21313-B
controversialist	98-21667-B
controversiality	98-21799-B
controversially	98-21841-B
controversy	98-21930-B
controvert	98-22242-B
controvertible	98-22407-B
controvertist	98-22506-B
contumacious	98-22572-B
contumaciously	98-22711-B
contumaciousness	98-22800-B
contumacy	98-22966-B
contumelious	98-23022-B
contumeliously	98-23138-B
contumeliousness	98-23174-B
contumely	98-23304-B
contuse	98-23490-B
contusion	98-23545-B
contusive	98-23655-B
conundrum	98-23711-B
conurbation	98-23792-B
conus	98-23892-B
convalesce	98-23965-B
convalescence	98-24072-B
convalescent	98-24204-B
convallaria	98-24372-B
convect	98-24456-B
convection	98-24545-B
convection current	98-24664-B
convectional	98-24710-B
convective	98-24778-B
convectively	98-24811-B
convector	98-24844-B
convenable	98-24912-B
convenance	98-24942-B
convene	98-25059-B
convener	98-25363-B
convenience	98-25408-B,283-3036-S,368-17560-S
convenient	98-26380-B
conveniently	98-26618-B
convenor	98-26699-B
convent	98-26728-B
conventicle	98-26797-B
convention	98-26928-B,85-9828-S
conventional	98-27208-B
conventional memory	98-27678-B
conventional sign	98-27758-B
conventional type	98-27802-B
conventionalise	98-27872-B
conventionalism	98-27955-B
conventionalist	98-28113-B
conventionality	98-28269-B
conventionalization	98-28448-B
conventionalize	99-0-B
conventionally	99-99-B
conventionary	99-199-B
conventual	99-374-B
converge	99-506-B
convergence	99-654-B,4-237-S
convergence algorithm	99-756-B
convergence circuit	99-812-B
convergence coil	99-859-B
convergent	99-908-B,3-667-S,367-21088-S,411-10281-S
convergent lens	99-1068-B
convergent magnet	99-1108-B
convergent point	99-1156-B
converging	99-1209-B
conversable	99-1331-B
conversableness	99-1513-B
conversance	99-1661-B
conversancy	99-1817-B
conversant	99-1872-B
conversantly	99-2269-B
conversation	99-2304-B
conversational	99-2741-B
conversational interaction	99-2906-B
conversational language	99-2970-B
conversational processing	99-3030-B
conversational program	99-3089-B
conversationalist	99-3152-B
conversationally	99-3297-B
conversationist	99-3338-B
conversazione	99-3408-B
conversazioni	99-3545-B
converse	99-3610-B
conversely	99-3767-B
converser	99-3828-B
conversion	99-3895-B,99-4104-B,7-1861-S,18-13607-S,85-8256-S,114-15363-S,117-11246-S,117-11324-S,117-11414-S,128-15573-S,128-15643-S,190-13735-S
conversion code	187-14612-S
conversion coefficient	99-4189-B
conversion conductance	99-4244-B
conversion gain	99-4310-B
conversion loss	99-4359-B
conversion operator	99-4407-B
conversion ratio	99-4459-B
conversion specifier	99-4508-B
conversion table	99-4563-B
conversion transconductance	99-4641-B
conversion voltage gain	99-4708-B
conversional	99-4777-B
conversionary	99-4812-B
convert	99-4848-B
converted	99-5467-B
converter	99-5602-B,7-1920-S,18-13266-S,18-13342-S,18-13672-S,28-592-S,67-20962-S,113-309-S,114-15407-S,149-9843-S,190-16804-S,232-20570-S
converter box	99-5755-B
converter circuit	7-1965-S
convertibility	99-5799-B
convertible	99-5914-B
convertible plane	99-5987-B
convertibleness	99-6121-B
convertibly	99-6160-B
convex	99-6197-B,92-11663-S,92-11953-S,93-5199-S,99-6670-S,138-4437-S
convex lens	99-6330-B,92-11698-S,112-9514-S
convex mirror	99-6370-B
convexity	99-6407-B
convexly	99-6478-B
convexness	99-6505-B
convexo concave	99-6577-B
convexo convex	99-6670-B
convexo plane	99-6743-B
convey	99-6827-B
conveyable	99-7159-B
conveyance	99-7361-B
conveyancer	99-7787-B
conveyancing	99-7910-B
conveyer	99-8041-B,174-3320-S
conveyor	99-8182-B
conveyor belt	99-8243-B
convict	99-8325-B
convicted	409-18538-S
conviction	99-8705-B
convictional	99-9413-B
convictive	99-9448-B
convictively	99-9554-B
convince	99-9589-B
convinced	99-9744-B
convincement	99-9797-B
convincer	99-9830-B
convincible	99-9862-B
convincing	99-9944-B
convincingly	99-10182-B
convincingness	99-10241-B
convive	99-10315-B
convivial	99-10383-B
conviviality	99-10589-B
convivially	99-10736-B
convocate	99-10769-B
convocation	99-10830-B
convocational	99-11024-B
convocator	99-11061-B
convoke	99-11111-B
convoker	99-11262-B
convolute	99-11333-B
convoluted	99-11452-B
convolutely	99-11514-B
convolution	99-11547-B
convolutional	99-11698-B
convolve	99-11735-B
convolvulus	99-11833-B
convoy	99-11906-B
convoyer	99-12088-B
convulsant	99-12147-B
convulse	99-12221-B
convulsion	99-12687-B
convulsive	99-13133-B,148-10614-S
convulsively	99-13238-B
convulsiveness	99-13314-B
cony	99-13351-B
coo	99-13465-B
cooer	99-13693-B
cook	99-13714-B,331-8506-S,379-18385-S
cook book	99-14736-B
cook house	99-15246-B
cook room	99-15867-B
cook shop	99-15955-B
cook stove	99-16018-B
cook table	99-16082-B
cook wood	99-16139-B
cookbook	99-14642-B
cooked	517-32022-S
cooker	99-14806-B,196-15811-S,359-30181-S
cookery	99-15122-B,327-7018-S
cookery book	99-15177-B
cookie	99-15372-B,188-1777-S
cooking	99-15466-B,359-30254-S
cooking range	99-15716-B
cookout	99-15777-B
cooky	99-16207-B
cool	99-16312-B,12-4941-S,515-28841-S
cool headed	99-16716-B
coolant	99-16370-B
cooled	12-5015-S,311-11801-S,409-18622-S,455-21667-S,515-28948-S
cooler	99-16474-B,515-29039-S,520-32398-S
coolie	99-16773-B
cooling	12-5098-S
cooling fan	99-16819-B
cooling fin	99-16860-B
cooling jacket	99-16921-B
cooling off	99-17017-B
cooling system	99-16962-B
coolish	99-17145-B
coolly	99-17359-B
coolness	99-17509-B
coomb	99-17764-B
coon	99-17853-B
coop	99-18281-B,219-599-S
cooper	99-18676-B
cooperage	99-19349-B
cooperation	99-19766-B,305-189-S
cooperative	99-19819-B
coopery	99-20611-B
coordinate	2-24102-S,42-16550-S
coordinate dimensioning	99-21653-B
coordinate geometry	99-21717-B
coordinate indexing	99-21777-B
coordinate plane	99-21834-B
coordinate system	69-2186-S,206-18027-S
coordinatograp	99-22313-B
coordinator	99-22430-B
coot	99-22571-B,40-14507-S
cootie	99-22712-B
cop	99-22950-B,434-4665-S,474-2602-S
cop out	99-23248-B,100-1778-B
cop shop	99-23347-B
copacetic	99-23413-B
copaiba	99-23497-B
copaiva	99-23552-B
copal	99-23594-B
copaliferous	99-23643-B
coparcenary	99-23726-B
coparcener	99-23810-B
copartner	99-23859-B
copartnership	99-23957-B
copartnery	99-24064-B
cope	99-24120-B
cope stone	100-47-B
copeck	99-24662-B
copemate	99-24767-B
copepod	99-24857-B
coper	99-25003-B,225-13103-S
copernican	99-25176-B
copernicanism	100-0-B
cophasal	100-358-B
cophased	100-398-B
copier	100-447-B
coping	100-647-B
coping stone	100-767-B
copious	100-898-B
copiously	100-1019-B
copiousness	100-1086-B
coplaintiff	100-1251-B
coplanar	100-1324-B
coplanar process	100-1369-B
coplanarity	100-1425-B
copolymer	100-1496-B
copolymerization	100-1575-B
copolymerize	100-1683-B
copper	100-1900-B,148-13532-S,416-12219-S
copper beech	100-2411-B,100-2631-B
copper bottomed	100-2698-B
copper coloured	100-2791-B
copper conductor	100-2467-B
copper glance	100-2857-B
copper indian	100-3002-B
copper oxide	100-2519-B
copper rectifier	100-1825-B
copper smith	100-3336-B
copper ware	100-3409-B
copper works	100-3468-B
copperas	100-2555-B
copperhead	100-2927-B
copperplate	100-3084-B
copperskin	100-3212-B
coppersmith	100-3283-B
coppery	100-3565-B
coppice	100-3642-B
coppice clump	100-3744-B
copra	100-3816-B
coprime	100-3868-B
coprocessor	100-3902-B,307-4898-S
coproduce	100-3999-B
coproducer	100-4088-B
coprogenous	100-4165-B
coprolite	100-4225-B
coprology	100-4302-B
coprophagous	100-4401-B
coprophagy	100-4477-B
coprophilous	100-4512-B
coprophyte	100-4585-B
copse	100-4674-B
copsy	100-4766-B
copt	100-4829-B
copter	100-4918-B
coptic	100-4985-B
copula	100-5074-B
copular	100-5219-B
copulate	100-5245-B
copulation	100-5312-B
copulative	100-5415-B
copulatively	100-5599-B
copulatory	100-5663-B
copunctal	100-5737-B
copy	100-5773-B,39-10920-S,67-14230-S,67-14934-S,76-19988-S,81-24185-S,132-20763-S,139-6169-S,164-13406-S,169-16432-S,170-25146-S,177-19817-S,215-4906-S,359-14643-S,390-1042-S
copy book	100-7282-B
copy cat	100-7724-B
copy command	100-6851-B
copy desk	100-6890-B,100-7859-B
copy hold	100-8020-B
copy holder	100-7006-B
copy protected	100-8652-B
copy protected disk	100-8702-B
copy protection	100-7068-B
copy reader	100-8763-B
copy typist	100-9578-B
copy writer	100-9659-B
copyable	100-7147-B
copybook	100-7172-B
copycat	100-7656-B
copydesk	100-7812-B
copyholder	100-8172-B
copying	100-8321-B,150-7030-S
copying ink	100-8374-B
copying pencil	100-8445-B
copyist	100-8524-B
copyright	100-8894-B
copyright fingerprint	100-9368-B
copyrightable	100-9422-B
copyrighter	100-9457-B
copytaster	100-9490-B
coquelicot	100-9740-B
coquet	100-9802-B
coquetry	100-10046-B
coquette	100-10130-B
coquettish	100-10306-B
coquettishly	100-10463-B
coquettishness	100-10541-B
coquilla nut	100-10576-B
coquito	100-10664-B
cor anglais	100-10784-B
coracle	100-10914-B
coracoid	100-10990-B
coral	100-11084-B,381-18877-S,476-18970-S
coral fish	100-11427-B
coral red	100-11500-B
coral reef	100-11560-B
coralliferous	100-11613-B
coralliform	100-11678-B
corallinaceous	100-11740-B
coralline	100-11811-B
corallite	100-11961-B
coralloid	100-12025-B
corallum	100-12083-B
coranto	100-12146-B
corban	100-12243-B
corbeil	100-12339-B
corbel	100-12437-B
corbicula	100-12513-B
corbie	100-12740-B
corbie steps	100-12797-B
cord	100-12877-B,29-14185-S,95-14123-S,168-7854-S,300-23206-S,392-2537-S,401-4798-S,435-10076-S,483-15884-S,519-10223-S
cordage	100-13324-B
cordate	100-13392-B
cordately	100-13441-B
corded	100-13470-B
cordelier	100-13564-B
corder	100-13705-B
cordia pulmonalia	100-13728-B
cordial	100-13808-B
cordiality	100-14104-B
cordially	100-14204-B
cordierite	100-14285-B
cordiform	100-14353-B
cordillera	100-14413-B
cordite	100-14472-B
cordless	100-14547-B
cordless telephone	100-14590-B
cordon	100-14651-B
cordon bleu	100-14938-B
cordon blue	100-15058-B
cordon sanitaire	100-15178-B
cordovan	100-15284-B
cords	512-7552-S
corduroy	100-15378-B
cordwain	100-15538-B
cordwainer	100-15622-B
cordwainery	100-15693-B
cordwood	100-15782-B
core	100-15862-B,19-12416-S,26-18280-S,63-14368-S,142-24679-S,143-16170-S,175-5873-S,215-4975-S,421-17447-S
core coil	142-24713-S
core dump	100-16438-B
core maker	100-16473-B
core memory	100-16550-B
coreciprocal	100-16606-B
corect	100-16672-B
corelation	100-16942-B
coreless	100-17006-B
coremiform	100-17128-B
coremium	100-17189-B
coreopsis	100-17326-B
corepressor	100-17404-B
corer	100-17535-B
coresidual	100-17674-B
corf	100-17892-B
corgi	100-17988-B
coriaceous	100-18056-B
coriander	100-18125-B
corinthian	100-18188-B
corium	100-18309-B
corival	100-18401-B
cork	100-18468-B,108-12813-S
cork board	100-18972-B
cork cambium	100-19080-B
cork cutter	100-19168-B
cork drawer	100-19267-B
cork jacket	100-20035-B
cork leg	100-20110-B
cork oak	100-20162-B
cork tree	100-20437-B
corkage	100-18802-B
corked	100-19330-B
corker	100-19453-B
corkiness	100-19724-B
corking	100-19898-B
corkscrew	100-20240-B
corkwood	100-20501-B
corky	100-20564-B
corm	100-20711-B
cormorant	100-20777-B
corn	100-20878-B,182-12311-S,208-58-S,239-17106-S,393-7172-S,408-23942-S,435-10189-S,457-12458-S,481-3884-S,516-14389-S
corn chandler	101-173-B
corn cob	101-258-B
corn cob pipe	101-309-B
corn dealer	101-395-B
corn exchange	101-4303-B
corn factor	101-4385-B
corn fed	101-4443-B
corn field	101-4555-B
corn flour	101-4755-B
