corn flower	100-21710-B
corn killer	101-5477-B
corn knife	101-5549-B
corn land	101-5597-B
corn laws	100-21788-B
corn merchant	101-5731-B
corn plaster	101-5888-B
corn pone	100-21899-B
corn razor	101-5945-B
corn stalk	101-6012-B
cornaceous	101-0-B
cornball	101-84-B
cornea	101-499-B
corneal	101-581-B
corned	101-652-B
cornel	101-790-B
cornelian	101-864-B
corneous	101-928-B
corner	101-1001-B,16-16706-S,76-16843-S,223-10016-S,334-17696-S,350-3940-S
corner antenna	101-2693-B
corner boy	101-2840-B
corner chair	101-2971-B
corner cupboard	101-3053-B
corner flag	101-3246-B
corner kick	101-3347-B
corner man	101-3437-B
corner reflector	101-2730-B
corner relector cavity	101-2778-B
corner stone	101-3533-B
corner tile	101-3689-B
cornered	101-3136-B,188-18573-S,468-2371-S
cornerways	101-3752-B
cornerwise	101-3818-B
cornet	101-3890-B,176-18701-S
cornet a pistons	101-4132-B
cornetist	101-4232-B
cornflakes	101-4635-B
cornflour	101-4706-B
cornflower	101-4838-B
cornice	101-4930-B
corniced	101-5051-B
corniche	101-5115-B
cornicle	101-5195-B
cornification	101-5253-B
cornily	101-5358-B
corniness	101-5383-B
cornish	101-5410-B
cornless	101-5660-B
cornoid	101-5791-B
cornopean	101-5818-B
cornstarch	101-6131-B
cornucopia	101-6190-B
cornucopian	101-6359-B
cornuto	101-6393-B
corny	101-6470-B
corolla	101-6612-B
corollaceou	101-6671-B
corollarry	101-6729-B
corollary	101-6766-B
corollate	101-6857-B
corollet	101-6886-B
corona	101-6968-B
corona discharge	101-7009-B
corona radiata	101-7081-B
corona statics	101-7194-B
coronach	101-7245-B
coronae	101-7328-B
coronal	101-7560-B
coronal suture	101-7763-B
coronally	101-7853-B
coronary	101-7953-B
coronary thrombosis	101-8063-B
coronate	101-8199-B
coronated	101-8245-B
coronation	101-8331-B
coroner	101-8443-B
coronership	101-8648-B
coronet	101-8679-B
coroneted	101-8809-B
coronograph	101-8877-B
coronoid	101-8999-B
corotate	101-9091-B
corotation	101-9252-B
coroutine	101-9418-B
corozo	101-9486-B
corp	101-9563-B
corpora	101-9658-B
corporal	101-9698-B,263-11723-S
corporality	101-9943-B
corporally	101-10099-B
