counter intuitive	103-17079-B
counter irritant	103-17177-B
counter jumper	103-17357-B
counter offensive	103-18638-B
counter offer	103-18737-B
counter pace	103-18864-B
counter pole	103-19820-B
counter pressure	103-19887-B
counter productive	103-19988-B
counter productively	103-20138-B
counter productiveness	103-20224-B
counter question	103-20317-B
counter reformation	103-20434-B
counter revolution	103-20528-B
counter revolutionary	103-20689-B
counter tenor	103-21978-B
counter tube	149-3160-S
counter type frequency meter	149-12454-S
counter word	103-22848-B
counteract	103-12340-B
counteraction	103-12566-B
counteractive	103-12625-B
counteractively	103-12664-B
counteration	103-13100-B
counterbalance	103-13452-B
counterblast	103-13606-B
counterblow	103-13862-B
countercharge	103-14010-B
countercheck	103-14346-B
countercherk	103-14402-B
counterclockwise	103-14688-B
counterfeit	103-15776-B
counterfeiter	103-16206-B
counterfoil	103-16331-B
counterforce	103-16425-B
counterfort	103-16513-B
counterman	103-17468-B
countermand	103-17553-B
countermarch	103-17837-B
countermark	103-18002-B
countermeasure	103-18081-B,89-13813-S,149-12546-S
countermine	103-18184-B
countermove	103-18395-B
countermovement	103-18504-B
countermure	103-18543-B
counterpane	103-18955-B
counterpart	103-19004-B
counterplot	103-19281-B
counterpoint	103-19462-B
counterpoise	103-19535-B
counterpoison	103-19747-B
counterproductively	103-20069-B
counterrevolution	103-20602-B
counterrevolutionary	103-20819-B
countersank	103-20906-B
counterscarp	103-20981-B
countersign	103-21051-B
countersignal	103-21252-B
countersignature	103-21315-B
countersink	103-21398-B
counterspy	103-21640-B
counterstand	103-21716-B
countersunk	103-21888-B
countertenor	103-22048-B
counterterroism	103-22144-B
countervail	103-22226-B
countervailing	103-22306-B
countervailling	103-22380-B
counterview	103-22588-B
counterweight	103-22682-B
counterweighted	103-22746-B
counterwind	103-22787-B
countess	103-22915-B
counties	223-23134-S
counting device	103-22991-B
counting house	103-23028-B,103-23207-B
counting loop	103-23067-B
counting machine	103-23121-B
counting rate	103-23165-B
counting room	103-23274-B
countless	103-23356-B
countlessly	103-23437-B
countrified	103-23663-B
countrify	103-23760-B
country	103-23839-B,38-21548-S,50-9402-S,107-23576-S,125-10831-S,296-9868-S,305-20506-S,518-9318-S
country air	104-166-B
country and western	104-237-B
country bank	104-395-B
country box	104-468-B
country bred	104-549-B
country club	103-24507-B
country code	103-24629-B
country cousin	103-24671-B
country dance	103-24799-B,104-635-B
country gentleman	103-24886-B
country gentlemant	103-24959-B
country house	104-0-B,104-832-B
country party	104-83-B
country seat	104-1120-B
country ward	104-1387-B
country wide	104-1462-B
countryfied	104-681-B
countryfield	104-795-B
countryman	104-1003-B,174-14620-S,305-20785-S
countryside	104-1196-B
countrywoman	104-1530-B
county	104-1686-B
county college	104-2146-B
county palatine	104-2258-B
county school	104-2352-B
coup	104-2438-B,103-15023-S
coup d etat	104-2874-B
coup d oeil	104-2942-B
coup de grace	104-2576-B
coup de main	104-2712-B
coup de theatre	104-2779-B
coupe	104-3031-B
couplant film	104-3164-B
couple	104-3199-B,467-246-S
coupled	104-4310-B,188-18638-S,274-18734-S,379-7101-S
coupled amplifier	130-7629-S
coupled circuit	104-4348-B
coupled device	74-17772-S
coupled flip flop	3-13901-S
coupled frequency converter	149-9843-S
coupled impedance	104-4395-B
coupled logic circuit	152-12555-S
coupled oscillator	149-9933-S
coupled transistor logic	130-7712-S,152-12622-S
coupled transistor logic circuit	130-7793-S
couplement	104-4448-B
coupler	104-4529-B,4-6660-S,5-20622-S,22-3347-S,149-4127-S
coupler modem	5-20690-S
couplet	104-4620-B
coupling	104-4761-B,3-13990-S,35-15562-S,38-21629-S,66-20896-S,73-12013-S,73-12767-S,98-8529-S,107-20253-S,108-4984-S,115-20080-S,130-6621-S,148-5050-S,148-15286-S,149-12608-S,209-13816-S,405-22086-S,424-12574-S,495-12098-S
coupling cable	104-4969-B
coupling capacitor	104-5004-B
coupling circuit	104-5056-B
coupling coefficient	104-5095-B
coupling coil	104-5141-B
coupling oscillating circuit	149-4177-S
coupling unit	104-5182-B
coupon	104-5223-B
courage	104-5405-B,143-2012-S
courageous	104-5993-B
courageously	104-6063-B
courageousness	104-6138-B
courant	34-3897-S
courante	104-6175-B
courbaril	104-6263-B
courgette	104-6333-B
courier	104-6398-B,37-5417-S,507-2574-S
courrier	37-5478-S
course	104-6649-B,87-6105-S,113-18699-S,188-14840-S,188-15204-S,188-18713-S,204-4540-S,284-17540-S,363-22132-S,383-7791-S,400-3679-S,400-4100-S,447-19009-S
course line computer	104-8334-B
courseware	104-8397-B
coursing	104-8467-B
court	104-8538-B,26-9525-S,107-805-S,107-23743-S,108-12871-S,134-26117-S,191-20469-S,204-4602-S,215-5088-S,220-22665-S,243-19178-S,257-23179-S,265-21349-S,275-24709-S,350-25798-S,350-26426-S,367-8492-S,375-23761-S,414-237-S,425-26832-S,438-22684-S,454-10504-S,455-14763-S,464-27305-S,474-2681-S,476-33158-S
court card	104-10734-B
court day	104-10825-B
court dress	104-10907-B
court fool	104-11803-B
court game	104-9794-B
court hand	104-11876-B
court house	104-11977-B
court martial	104-9903-B,104-12473-B,141-8335-S,176-16332-S,198-11568-S
court of appeals	104-9963-B
court of cassation	104-10059-B
court of inquiry	104-10134-B
court of sessions	104-10212-B
court order	104-10294-B
court plaster	104-10375-B
court record	104-12565-B
court reporter	104-10439-B
court roll	104-10515-B
court room	104-12638-B
court shoe	104-10601-B
court tennis	104-10674-B
court usher	104-13297-B
courteous	104-10979-B
courteously	104-11046-B
courteousness	104-11094-B
courter	104-11178-B
courtesan	104-11281-B
courtesanship	104-11329-B
courtesy	104-11431-B
courtezan	104-11725-B
courtier	104-12042-B
courtliness	104-12162-B
courtly	104-12281-B
