crawling	258-26775-S
crawling peg	105-25147-B
crawlingly	105-25253-B
crawly	106-0-B,106-12596-S
crayfish	106-104-B
crayon	106-202-B,354-1243-S
crayonist	106-521-B
craze	106-549-B
crazed	106-1055-B
crazily	106-1142-B
craziness	106-1267-B
crazing mill	106-1519-B
crazy	106-1573-B
crazy bone	106-1983-B
crazy paving	106-2067-B
crc	106-2153-B
creak	106-2182-B
creakily	106-2329-B
creakiness	106-2393-B
creakingly	106-2502-B
creaky	106-2530-B
cream	106-2602-B,83-16321-S,86-13420-S,137-24227-S,170-4916-S,192-20957-S,230-11319-S,332-22827-S,416-850-S,421-16620-S,431-27902-S,506-6024-S
cream cheese	106-3146-B
cream coloured	106-3246-B
cream cone	230-11365-S
cream faced	106-4038-B
cream laid paper	106-4156-B
cream of tartar	106-3309-B
cream puff	106-3435-B
cream separator	106-3506-B
cream soda	106-3612-B
cream tea	106-3669-B
cream wove	106-3786-B
cream wove paper	106-4235-B
creamer	106-3877-B
creamery	106-3925-B
creamily	106-4100-B
creaminess	106-4127-B
creamy	106-4315-B
crease	106-4397-B
crease resistant	106-4765-B
creaseless	106-4616-B
creaseproof	106-4706-B
creaser	106-4736-B
creasote	106-4846-B
creasy	106-4906-B
create	106-4955-B,381-6736-S
created	144-6629-S
creatine	106-5458-B
creatinine	106-5542-B
creation	106-5605-B,255-24664-S,381-7400-S,409-18789-S
creational	106-5936-B
creationism	106-5967-B
creative	106-6116-B
creatively	106-6209-B
creativeness	106-6267-B
creativity	106-6350-B
creator	106-6404-B
creatural	106-6519-B
creature	106-6549-B,174-14712-S
creatureliness	106-6913-B
creaturely	106-6947-B
creche	106-6977-B
cred	446-29495-S
credence	106-7023-B
credent	106-7217-B
credentials	106-7267-B
credibility	106-7426-B,446-29554-S
credible	106-7480-B
credibleness	106-7545-B
credibly	106-7696-B
credit	106-7762-B,8-26002-S,97-4805-S,268-1647-S,390-9725-S
credit account	106-8890-B
credit card	106-8968-B
credit foncier	106-9026-B
credit mobilier	106-9106-B
credit note	106-9190-B
credit rating	106-9367-B
credit side	106-10021-B
credit squeeze	106-9460-B
credit transfer	106-9576-B
credit worthiness	106-10115-B
credit worthy	106-10298-B
creditability	106-9671-B
creditable	106-9707-B
creditableness	106-9829-B
creditably	106-9867-B
creditor	106-9918-B,256-23615-S,256-25248-S
creditworthy	106-10223-B
credle	70-21769-S
credo	106-10366-B
credulity	106-10416-B,321-763-S
credulous	106-10493-B,321-832-S
credulously	106-10557-B
credulousness	106-10610-B
cree	106-10664-B
creed	106-10759-B,33-4663-S
creedal	106-10823-B
creek	106-10848-B
creel	106-10950-B
creen printing	420-16856-S
creep	106-11013-B
creep hole	106-12038-B
creeper	106-11891-B,59-17958-S,65-18489-S,476-19035-S,511-4134-S
creepiness	106-12131-B
creeping	106-12160-B
creeping discharge	106-12223-B
creeping display	106-12273-B
creepingly	106-12329-B
creepy	106-12407-B
creepy crawly	106-12596-B
creese	106-12675-B
crem de menthe	106-13365-B
cremaster	106-12729-B
cremate	106-12846-B
cremation	106-12929-B
cremator	106-13029-B
crematoria	106-13152-B
crematorium	106-13208-B
crematory	106-13315-B
creme	106-13431-B,106-13475-S
creme de la creme	106-13475-B
creme de menthe	106-13550-B
cremocarp	106-13619-B
crenate	106-13689-B
crenated	106-13731-B
crenately	106-13810-B
crenel	106-13839-B
crenelate	106-13879-B
crenelated	106-13967-B
crenelation	106-14018-B
crenellate	106-14052-B
crenellated	106-14099-B
crenelle	106-14164-B
creole	106-14217-B
creosol	106-14409-B
creosote	106-14466-B
crepe	106-14523-B,106-14649-B
crepe rubber	106-14802-B
crepe sole	106-14862-B
crepitant	106-14923-B
crepitate	106-14954-B
crepitation	106-15083-B
crepitus	106-15237-B
crept	106-15299-B
crepuscle	106-15320-B
crepuscular	106-15385-B
crepusculous	106-15522-B
crescendo	106-15629-B
crescent	106-15818-B,381-18992-S
crescent shaped	106-16179-B
crescentic	106-16045-B
crescentiform	106-16076-B
cresol	106-16225-B
cress	106-16278-B,50-2577-S
cresset	106-16337-B
crest	106-16411-B,516-10136-S
crest factor	106-17009-B
crest fallen	106-17443-B
crest value	106-17049-B
crest voltage	106-17084-B
crest voltmeter	106-17127-B
crested	106-17170-B,415-31423-S
crested newt	106-17264-B
crestfallen	106-17361-B
crestless	106-17529-B
cresylic	106-17586-B
cretaceous	106-17659-B
cretin	106-17788-B
cretinism	106-17898-B
cretinize	106-17991-B
cretinoid	106-18087-B
cretinous	106-18115-B
cretonne	106-18190-B
creutzfeldt jakob disease	106-18266-B
crevasse	106-18664-B
crevice	106-18755-B
creviced	106-18842-B
crew	106-18870-B,11-27967-S,209-12629-S,211-2892-S,279-17477-S,422-17794-S,482-4074-S
crew cut	106-19165-B
crew neck	106-19103-B
crewel	106-19240-B
crewel needle	106-19321-B
crewel thread	106-19386-B
crewel work	106-19463-B
cri de coeur	106-19528-B
crib	106-19625-B
crib biter	106-20376-B
crib biting	106-20494-B
crib death	106-20652-B
cribbage	106-20232-B
cribber	106-20295-B
cribble	106-20580-B
cribrellate	106-20763-B
cribrellum	106-20838-B
cribriform	106-20934-B
cribrose	106-21006-B
crick	106-21063-B
cricket	106-21257-B,40-25458-S,226-9237-S
cricketeer	106-21373-B
cricketer	106-21403-B
crico thyroid	106-21548-B
cricoid	106-21466-B
cried	106-21629-B
crier	106-23792-B,89-5172-S,473-9422-S
cries	446-29761-S
criket	106-23923-B
criketer	106-24159-B
crikey	107-0-B
crikly	107-89-B
crime	107-116-B,514-23657-S
crime passionnel	107-346-B
crime sheet	107-426-B
criminal	107-504-B,514-23797-S
criminal court	107-805-B
criminal damage	107-872-B
criminal law	107-968-B
criminalist	107-1028-B
criminality	107-1083-B
criminally	107-1193-B
criminate	107-1241-B
crimination	107-1314-B
criminative	107-1347-B
criminator	107-1380-B
criminatory	107-1412-B
criminologic	107-1445-B
criminological	107-1527-B
criminologically	107-1592-B
criminologist	107-1632-B
criminology	107-1711-B
crimp	107-1800-B
crimper	107-2258-B
crimping	107-2283-B
crimping machine	107-2341-B
crimple	107-2426-B
crimplene	107-2507-B
crimson	107-2566-B
cringe	107-2832-B
cringing	107-3056-B
cringle	107-3185-B
crinite	107-3286-B
crinkle	107-3348-B
crinkly	107-3626-B
crinkum crankum	107-3703-B
crinoid	107-3862-B
crinoline	107-3941-B
crinolined	107-4056-B
crinome	107-4088-B
crinose	107-4164-B
criollo	107-4217-B
cripes	107-4382-B
cripple	107-4453-B
crippler	107-4890-B
crippling	107-4918-B
crips	107-4980-B
crises	107-5052-B
crisis	107-5484-B,231-8852-S,290-4354-S
