currant wine	110-21023-B
currency	110-21088-B,215-5298-S,429-5827-S,429-8626-S
current	110-21423-B,3-4275-S,6-19173-S,15-14840-S,37-4632-S,37-9445-S,61-2276-S,98-24664-S,103-15317-S,107-23945-S,111-26036-S,114-8001-S,115-20222-S,127-16990-S,128-5810-S,130-6666-S,131-5145-S,139-13461-S,140-21138-S,144-5573-S,145-16898-S,146-14368-S,148-5096-S,149-2874-S,149-3226-S,149-4345-S,149-5561-S,149-7115-S,152-11257-S,152-12140-S,164-24707-S,165-3432-S,168-11890-S,168-18026-S,174-1973-S,174-2401-S,183-16388-S,188-5104-S,188-10687-S,195-10271-S,208-9889-S,360-20010-S,392-2587-S
current account	110-22411-B
current address	110-22546-B
current amplification	110-22598-B
current assets	110-22651-B
current attenuation	110-22723-B
current average	110-22778-B
current balance	110-22830-B
current bias	15-14921-S
current bridge	15-15006-S
current circuit	110-22881-B
current coil	110-22919-B
current density	110-22967-B
current divider	110-23018-B
current echo	111-0-B
current factor	15-4188-S
current feed	111-48-B
current feedback	111-91-B
current generator	15-15067-S
current hogging injection logic	111-136-B
current hogging logic	111-259-B
current hum	15-15144-S
current indicator	111-362-B
current intensity	111-411-B
current limiter	111-459-B
current limiting inductor	111-507-B
current limiting resistor	111-573-B
current loss	145-16969-S
current meter	111-645-B,111-1332-B
current overload relay	111-691-B
current receptacle	15-16374-S
current regulator	111-752-B
current resonance	111-812-B
current restorer	130-7897-S
current reverser	111-870-B
current saturation	111-914-B
current sensitivity	111-967-B
current signaling	15-13673-S,130-6719-S
current socket	15-16450-S
current stabilization	111-1024-B
current supply	111-1080-B
current swing	111-1126-B
current telegraphy	115-21166-S
current wave	111-1176-B
current winding	111-1219-B
currently	111-1262-B
currentness	111-1414-B
curricle	111-1445-B
curricula	111-1506-B
curricular	111-1642-B
curriculum	111-1675-B
curriculum vitae	111-1725-B
currier	111-1954-B
currish	111-2046-B
currishly	111-2180-B
curry	111-2209-B
curry comb	111-2630-B
curry powder	111-2678-B
curse	111-2738-B
cursed	111-3700-B
cursedly	111-3816-B
cursedness	111-3906-B
curser	111-3935-B
cursive	111-3959-B
cursive scanning	111-4068-B
cursively	111-4106-B
cursiveness	111-4137-B
cursor	111-4168-B,30-222-S,51-25557-S
cursor key	111-4253-B
cursorial	111-4289-B
cursorily	111-4376-B
cursoriness	111-4442-B
cursory	111-4530-B
curst	111-4734-B
cursus	111-4824-B
curt	111-4981-B
curtail	111-5113-B
curtailed	111-5409-B
curtailer	111-5447-B
curtailment	111-5476-B
curtain	111-5596-B,137-7488-S,140-37186-S,251-13134-S,296-6167-S,381-19261-S,398-5832-S
curtain antenna	111-6467-B
curtain band	111-6782-B
curtain call	111-6521-B
curtain effect	111-6622-B
curtain fire	111-6844-B
curtain lecture	111-6669-B
curtain raiser	111-6914-B
curtal	111-6988-B
curtal axe	111-7095-B
curtana	111-7163-B
curtate	111-7321-B
curtilage	111-7399-B
curtly	111-7499-B
curtness	111-7557-B
curtsey	111-7656-B
curtsy	111-7906-B
curule	111-7945-B
curvaceous	111-8034-B
curvaceously	111-8130-B
curvaceousness	111-8165-B
curvate	111-8202-B
curvature	111-8279-B
curve	111-8478-B,47-9810-S,64-16547-S,74-12925-S,101-17558-S,117-2359-S,120-21579-S,155-2854-S,167-15376-S,190-15709-S,197-15797-S
curve fitting	111-8742-B
curved	111-8793-B
curvedness	111-8866-B
curvet	111-8894-B
curvicaudate	111-9052-B
curvicaulis	111-9117-B
curvifoliate	111-9176-B
curviform	111-9236-B
curvilinear	111-9301-B
curvilinearity	111-9425-B
curvilinearly	111-9463-B
curvinervate	111-9501-B
curvirostrate	111-9588-B
curvirostreit	111-9671-B
curvity	111-9737-B
curvometer	111-9793-B
curvy	111-9830-B
cuscus	111-9901-B
cusec	111-9969-B
cushat	111-10067-B
cushaw	111-10131-B
cushily	111-10198-B
cushiness	111-10223-B
cushing s disease	111-10250-B
cushing s syndrome	111-10329-B
cushion	111-10418-B,12-5834-S,441-27683-S
cushion tire	111-11202-B
cushioned	111-11046-B
cushionet	111-11081-B
cushionless	111-11140-B
cushiony	111-11276-B
cushy	111-11380-B
cusk	111-11610-B
cusp	111-11667-B
cuspate	111-11797-B
cuspdal	111-11873-B
cuspid	111-11906-B
cuspidal	111-11963-B
cuspidat	111-12101-B
cuspidate	111-12148-B
cuspidated	111-12196-B
cuspidor	111-12273-B
cuss	111-12334-B
cussed	111-12573-B
cussedly	111-12705-B
cussedness	111-12768-B
cussword	111-12875-B
custard	111-12928-B
custard apple	111-12986-B
custardy	111-13040-B
custodial	111-13068-B
custodian	111-13142-B
custodian service	111-13249-B
custodianship	111-13301-B
custody	111-13336-B,360-15108-S,366-3944-S
custom	111-13914-B,185-3527-S
custom built	111-14938-B
custom ic	111-14427-B
custom integrated circuit	111-13859-B
custom made	111-15795-B
custom made software	111-15898-B
custom software	111-14484-B
customable	111-14532-B
customarily	111-14604-B
customariness	111-14693-B
customary	111-14728-B
customer	111-15104-B
customer engineer	111-15230-B
customer service technician	111-15277-B
customhouse	111-15358-B
customisation	111-15388-B
customise	111-15451-B
customization	111-15557-B
customize	111-15712-B
customizer	111-15763-B
customs	111-15952-B
customs duty	111-16624-B
customs house	111-16693-B
customs union	111-16792-B
cut	111-16857-B,81-24633-S,81-32802-S,83-7530-S,106-19165-S,107-24070-S,110-17132-S,178-8974-S,212-24804-S,257-8373-S,310-21443-S,355-21659-S,355-22464-S,394-17186-S,402-2471-S,415-31494-S,418-5213-S,446-5533-S,458-7820-S,504-3956-S
cut and come again	111-23774-B
cut and cover	111-23432-B
cut and dried	111-23852-B
cut and paste	111-23957-B
cut and try approach	111-23991-B
cut away	111-24258-B
cut back	111-24361-B
cut crystal	210-5279-S
cut glass	111-23601-B,111-24806-B
cut off	111-25751-B,20-6760-S
cut off characteristic	111-25977-B
cut off current	111-26036-B
cut off frequency	15-4239-S
cut out	112-0-B
cut over	112-112-B
cut over paraboloid reflector	111-23650-B
cut price	112-159-B
cut quartz	5-7397-S
cut rate	112-300-B
cut sugar	111-23724-B
cutaneous	111-24048-B
cutaneously	111-24094-B
cutaway	111-24127-B
cutback	111-24304-B
cute	111-24513-B
cutely	111-24629-B
cuteness	111-24688-B
cutglass	111-24759-B
cuticle	111-24949-B
cuticular	111-25029-B
cutie	111-25058-B
cutin	111-25205-B
cutis	111-25247-B
cutlass	111-25355-B
cutler	111-25429-B
cutler feed	111-25547-B
cutlery	111-25592-B
cutlet	111-25701-B
cutoff attenuator	111-25921-B
cutoff frequency	146-14422-S
cutoff limiting	111-26099-B
cutoff relay	111-26156-B
cutoff state	111-26209-B
cutoff voltage	111-26257-B
cutoff wavelength	111-26307-B
cutpurse	112-232-B
cuts	86-13483-S
cuttable	112-351-B
cutter	112-375-B,73-10121-S,100-19168-S,113-9418-S,177-16237-S,177-26027-S,193-16464-S,201-25893-S,207-4807-S,327-7593-S,360-20431-S,389-26187-S,405-22746-S,423-28367-S,445-4955-S,446-23313-S,458-7901-S,468-998-S,470-20834-S,521-12070-S
cutthroat	112-626-B
cutthroat place	112-890-B
cutthroat razor	112-975-B
cutting	112-1076-B,177-16300-S,190-1292-S,198-6394-S,207-4893-S,287-264-S,359-26003-S,359-27544-S,360-20469-S,409-19091-S,445-5043-S
cutting head	112-1770-B
