daffiness	113-4903-B
daffodil	113-4930-B
daffodilly	113-5064-B
daffy	113-5111-B
daft	113-5178-B
daftly	113-5339-B
daftness	113-5362-B
dag	113-5431-B
dagger	113-5607-B,82-23106-S
daggle	113-6003-B
dago	113-6104-B
daguerreotype	113-6150-B
daguerreotyper	113-6224-B
daguerreotypy	113-6262-B
dahlia	113-6301-B
dail eireann	113-6472-B
dailiness	113-6560-B
daily	113-6587-B
dailydozen	113-6885-B
dailyness	113-7005-B
daimon	113-7034-B
daimyo	113-7112-B
daintily	113-7265-B
daintiness	113-7329-B
dainty	113-7569-B
daiquiri	113-8041-B
dairy	113-8148-B
dairy cattle	113-8364-B
dairy farm	113-8513-B
dairy produce	113-8422-B
dairying	113-8588-B
dairymaid	113-8657-B
dairyman	113-8784-B
dais	113-8949-B
daisied	113-9001-B
daisy	113-9054-B,204-2321-S,289-12020-S
daisy chain	113-9306-B
daisy chain bus	113-9368-B
daisy cutter	113-9418-B
daisy wheel printer	113-9632-B
daisywell printer	113-9585-B
dal segno	113-9718-B
dale	113-9855-B
dalesman	113-10059-B
dalliance	113-10153-B
dallier	113-10530-B
dally	113-10555-B,129-1638-S
dallyingly	113-10976-B
dalmatian	113-11004-B
dalmatic	113-11083-B
dalton plan	113-11209-B
daltonian	113-11347-B
daltonism	113-11406-B
dam	113-11472-B,113-11544-B,85-17488-S,188-9970-S,290-19284-S
dam fool	113-11924-B
damage	113-11989-B,107-872-S
damage control	113-12666-B
damageability	113-12782-B
damageable	113-12816-B
damaging	113-12914-B
damagingly	113-12994-B
daman	113-13023-B
damascene	113-13086-B
damascener	113-13177-B
damascus steel	113-13209-B
damask	113-13337-B
damask rose	113-13726-B
dame	113-13800-B,206-6117-S
dame school	113-13977-B
dammer	113-14127-B
dammit	113-14149-B
damn	113-14211-B
damn all	113-15242-B
damnable	113-15396-B
damnableness	113-15547-B
damnably	113-15580-B
damnation	113-15640-B
damnatory	113-16029-B
damned	113-16175-B
damnedest	113-16697-B
damnific	113-16738-B
damnification	113-16802-B
damnify	113-16939-B
damning	113-17031-B
damningly	113-17518-B
damocles	458-7013-S
damoisel	113-17544-B
damp	113-17602-B,77-13276-S,178-26058-S,392-11295-S
damp course	113-18699-B
damp proof	113-20713-B
damped	113-18831-B
damped oscillation	113-18852-B
damped wave	113-18903-B
dampen	113-18941-B
dampener	113-19146-B
damper	113-19173-B
damping	113-19784-B,431-23767-S
damping circuit	113-20052-B
damping coefficient	113-20095-B
damping coil	113-20145-B
damping factor	113-20190-B
damping off	113-20260-B
damping resistance	113-20396-B
dampish	113-20449-B
dampishness	113-20512-B
damply	113-20592-B
dampness	113-20656-B
dampy	113-20778-B
damsel	113-20871-B
damson	113-20963-B
damson cheese	113-21084-B
damson coloured	113-21148-B
dan	113-21219-B
dance	113-21432-B,40-24263-S,42-6894-S,45-25431-S,83-1604-S,98-1947-S,103-24799-S,104-635-S,129-13323-S,147-2994-S,171-24415-S,177-11693-S,185-3610-S,200-21922-S,248-16324-S,295-25775-S,395-10256-S,423-9537-S,427-856-S,438-18472-S,438-19937-S,442-19752-S,453-8822-S,458-7967-S,461-27087-S,463-2595-S,470-24833-S,470-24930-S,514-25836-S
dance band	113-22965-B
dance hall	113-23033-B,462-22557-S
dance of death	113-22889-B
dancer	113-23111-B,40-21287-S,45-25497-S,394-11170-S,423-9604-S,438-20083-S,458-8034-S,461-27251-S,462-22665-S,471-0-S,521-12139-S
dancers	288-7900-S
dancing	113-23199-B,40-24318-S,57-29220-S,221-6704-S,230-10044-S,394-11345-S,423-9681-S,438-20179-S,461-27330-S,521-12212-S
dancing girl	113-23332-B
dancing hall	113-23404-B
dancing master	113-23514-B
dancing partner	113-23615-B
dancing party	113-23696-B
dancing saloon	113-23790-B
dancing shoes	113-23866-B
dancingly	113-23487-B
dandelion	113-23931-B
dander	113-23984-B
dandiacal	113-24204-B
dandification	113-24289-B
dandified	113-24392-B
dandify	113-24487-B
dandle	113-24684-B
dandler	113-24899-B
dandruff	113-24925-B
dandruffy	113-24985-B
dandy	113-25015-B,214-25998-S,253-22290-S,255-18457-S
dandy brush	113-25486-B
dandy cart	113-25539-B
dandy fever	113-25611-B
dandyish	113-25660-B
dandyishly	113-25776-B
dandyism	113-25804-B
dane	113-25936-B
danelagh	113-26077-B
dang	113-26156-B
danger	113-26226-B,82-23239-S
danger money	113-26805-B
danger signal	113-27342-B
dangerous	113-26887-B
dangerously	113-27186-B
dangerousness	113-27307-B
dangle	113-27475-B,129-11942-S
dangle dolly	113-27882-B
dangler	113-27979-B
dangling	113-28053-B
dangly	114-0-B
daniel	114-25-B
daniell cell battery	114-152-B
danish	114-206-B
dank	114-302-B
dankly	114-509-B
dankness	114-532-B
danse	43-2363-S
dap	114-609-B
daphne	114-859-B
dapper	114-930-B
dapperly	114-1031-B
dapperness	114-1060-B
dapple	114-1089-B
dapple grey	114-1473-B
dappled	114-1433-B
darbies	114-1565-B
dardy	264-11174-S
dare	114-1636-B
dare devil	114-1749-B
daredevil	114-1667-B
darer	114-1990-B
daresay	114-2012-B
daring	114-2068-B
daringly	114-2187-B
daringness	114-2214-B
dariole	114-2243-B
darjeeling	114-2317-B
dark	114-2399-B,345-6595-S
dark glasses	114-4329-B
dark horse	114-4402-B
dark lantern	114-4456-B
dark room	114-6134-B
darken	114-4545-B
darkener	114-5049-B
darkey	114-5076-B
darkish	114-5112-B
darkle	114-5195-B
darkling	114-5277-B
darkly	114-5411-B
darkness	114-5621-B,411-10639-S
darkroom	114-6090-B
darksome	114-6210-B
darky	114-6283-B
darling	114-6366-B
darlington amplifier	114-6894-B
darlington configuration	114-6973-B
darlington connection	114-7047-B
darlington emitter follower	114-7119-B
darlington pair	114-7223-B
darlington stage	114-7282-B
darlington transistors	114-7343-B
darn	114-7438-B,178-9055-S
darned	114-7629-B
darnel	114-7691-B
darner	114-7790-B
darning	114-7857-B
darning needle	114-7908-B,125-17845-S
dart	114-8165-B,147-2146-S
dartboard	114-8752-B
darter	114-8839-B
darting	114-8955-B
dartle	114-9014-B
dartre	114-9079-B
darwinian	114-9139-B
darwinism	114-9275-B,301-30618-S
dasd	114-9344-B
dash	114-9400-B,137-18157-S,137-18842-S,151-10940-S,153-5760-S,333-7800-S,436-6444-S,458-9864-S
dash board	114-12204-B
dashboard	114-12249-B
dasheen	114-12433-B
dasher	114-12521-B,79-2303-S
dashiki	114-12727-B
dashing	114-12831-B
dashingly	114-13090-B
dashpot	114-13119-B
dastard	114-13192-B
dastardliness	114-13276-B
dastardly	114-13407-B
data	114-13498-B,2-24158-S,4-24468-S,4-26183-S,6-22394-S,11-2902-S,15-5850-S,15-7056-S,15-7654-S,18-12584-S,52-3437-S,85-8609-S,107-8611-S,110-6888-S,128-12616-S,128-15994-S,177-23561-S,182-21487-S,187-15480-S,206-16541-S
data access arrangement	114-13681-B
data access method	114-13761-B
data acquisition	114-13827-B
data address	114-13913-B
data aggregate	114-13960-B
data analysis	114-14008-B
data attribute	114-14055-B
data base database	114-14105-B
data bit	114-14173-B
data block	114-14208-B
data buffer	114-14247-B
data bus	114-14292-B
data byte	114-14336-B
data cache	114-14371-B
data capturing	114-14419-B,67-9792-S
data card	114-14461-B
data carrier	114-14500-B
data cell	114-14545-B
data center	114-14606-B
data chaining	114-14650-B
data channel	114-14702-B
data channel multiplexer	114-14742-B
data circuit terminating equipment	114-14809-B
data code	15-5898-S,15-7101-S,15-7704-S
data collection	114-14893-B
data communication equipment	114-14946-B
data communication line	114-15025-B
data communications	114-15101-B
data communications system	114-15165-B
data compression	114-15234-B
data concentrator	114-15277-B
data conversion	114-15363-B
data converter	114-15407-B
data definition language	114-15455-B,114-15534-B
data delimiter	114-15605-B
data dictionary	114-15654-B
data element	114-15704-B
data encryption	114-15750-B
data encryption standard	114-15796-B
data entry terminal	114-15865-B
data exchange	114-15927-B,143-10436-S,143-10501-S
data feedback	114-16000-B
data field	114-16048-B
data file	114-16090-B,92-6460-S
data flow	114-16131-B
data flow diagram	114-16168-B
data format	114-16223-B
data formatting	114-16270-B
data frame	114-16329-B
data generator	114-16367-B
data group	198-15856-S
data handling unit	114-16414-B
data hierarchy	114-16475-B
data in	115-0-B
data independence	114-16523-B
data input	114-16581-B
data integrity	114-16625-B
data interface	176-4175-S
data item	114-16685-B,15-7763-S
data label	114-16722-B
data layer	114-16760-B
data level	114-16798-B
data line	114-16836-B
data link	114-16886-B,36-407-S
data link layer	114-16956-B
data link protocol	114-17023-B
data logging	114-17080-B
data management system	114-17124-B
data manipulation	114-17192-B
data medium	114-17269-B
data model	114-17313-B
data network	114-17355-B
data organization	114-17396-B
data path	114-17453-B
data plotter	114-17494-B
data point	114-17544-B
data processing	114-17584-B,115-95-B,36-480-S,117-6540-S,134-24466-S,149-12681-S
data processing center	114-17656-B
data processing equipment	114-17720-B
data processing manager	114-17789-B
data processing system	114-17874-B
data processor	72-9211-S
data protection	114-17940-B
data rate	114-17988-B
data receiver	128-12667-S
data record	114-18040-B
data recorder	114-18083-B,128-12736-S
data recovery	114-18127-B
data representation	114-18175-B
data retrieval system	114-18242-B
data security	114-18309-B
data set	114-18356-B,15-13754-S,70-3887-S,92-11103-S
data set label	114-18389-B
data sharing	114-18462-B
data sheet	114-18508-B,115-297-B
data source	114-18545-B
data specification	114-18586-B
data storage device	114-18638-B
data stream	114-18698-B
data structure	114-18729-B,97-23546-S
data terminal equipment	114-18777-B
data transfer	114-18856-B
data translation	114-18927-B
data transmission	114-18986-B,32-20611-S,128-12805-S
data transmitter	114-19039-B
data type	114-19088-B
data unit	114-19126-B
data uot	115-410-B
data validation	114-19168-B
data value	114-19225-B
data worksheet	114-19274-B
databank	114-19328-B
database	114-19369-B,114-14105-S,118-12034-S,134-24535-S,168-11929-S
database administrator	114-19449-B
database analysis	114-19516-B
database computer	114-19576-B
database environment	114-19638-B
database inquiry	114-19699-B
database management system	114-19751-B,114-19865-B
database manager	114-19948-B
database processor	114-20017-B
database service	114-20075-B
database software	114-20129-B
database system	114-20183-B
datable	114-20237-B
dataller	115-27-B
datary	115-152-B
datatron	115-373-B
date	115-436-B,51-21648-S,67-15037-S,137-24308-S,138-4786-S,318-22681-S,319-15623-S,354-20294-S,504-10539-S
date cancel	115-1906-B
date line	115-2382-B
date palm	115-2530-B
dateable	115-1881-B
dated	115-1967-B,418-8076-S
datedly	115-2115-B
datedness	115-2142-B
dateless	115-2169-B
dateness	504-10668-S
dater	115-2601-B
datestamp	115-2625-B
dating	38-21667-S,67-14285-S,376-2538-S
dative	115-2694-B
datively	115-2797-B
datum	115-2824-B,316-7518-S,316-10039-S
datum level	115-3016-B
datum line	115-3131-B
datum point	115-3223-B
datura	115-3285-B
daub	115-3332-B,516-8541-S
daube	115-3906-B
dauber	115-3982-B
daubery	115-4022-B
daubster	115-4046-B
dauby	115-4152-B
daughter	115-4242-B,188-9146-S,188-10026-S,203-32412-S
daughter board	115-4290-B
daughter cell	115-4325-B
daughter chromosome	115-4386-B
daughter in law	115-4472-B
daughterless	115-4536-B
daughterly	115-4602-B
daughters	423-8093-S
daughters in law	115-4675-B
daunt	115-4812-B
daunter	115-5087-B
daunting	115-5115-B
dauntingly	115-5190-B
dauntless	115-5218-B
dauntlessly	115-5350-B
dauntlessness	115-5434-B
dauphin	115-5570-B
daven	115-5626-B
davenport	115-5707-B
david	115-5822-B,440-27111-S
davit	115-5867-B
davy	115-6006-B
davy jones	115-6087-B
davy jones s locker	115-6168-B
davy lamp	115-6393-B
daw	115-6484-B
dawdle	115-6546-B
dawdler	115-6798-B
dawdlingly	115-6931-B
dawn	115-6960-B,105-6756-S
dawning	115-7969-B
