dc1 4	115-21854-B
dce	115-21950-B,115-22041-B,115-22114-B
dcm	115-22198-B
dctl gate	115-22280-B
dd	115-22445-B
dd disk	115-22388-B
ddd	115-22723-B
ddds disk	115-22782-B
dde	115-22871-B
ddt	115-22909-B
ddvp	115-23019-B
de ballet	101-11988-S
de blanc	51-394-S
de boeuf	310-10410-S
de bourree	330-21392-S
de broglie wave	116-21152-B
de cachet	268-4284-S
de camp	11-20540-S,11-20815-S
de chambre	174-20704-S,505-18187-S
de chat	264-1127-S,330-21482-S
de coeur	106-19528-S
de cologne	144-17401-S
de combat	225-9131-S
de corps	161-12826-S
de dee	176-11963-S
de deux	330-21594-S
de do	519-31549-S
de dow	395-23201-S
de facto	115-23083-B
de facto standard	115-23290-B
de force	473-1958-S
de frise	76-1623-S
de grace	104-2576-S
de guerre	107-11731-S,304-15360-S
de ice	120-55-B
de icer	120-136-B
de joie	175-18628-S
de jure	115-23344-B
de la creme	106-13475-S
de lamp	109-18460-S
de lance	175-597-S
de lis	182-229-S,182-808-S
de loup	479-8122-S
de luce	182-416-S,183-13236-S
de luxe	115-23517-B
de lys	182-474-S,182-864-S
de main	104-2712-S
de menthe	106-13365-S,106-13550-S
de mer	280-9243-S
de montana	394-13642-S
de mots	255-11365-S
de nil	144-17343-S
de place	505-18260-S
de plume	304-15433-S
de profundis	115-23619-B
de rigueur	115-23729-B
de sac	109-18551-S
de scandale	451-18832-S
de se	174-16030-S,174-16245-S,174-16623-S
de siecle	178-397-S
de soie	333-7573-S
de texte	167-10955-S
de theatre	104-2779-S
de trop	115-23809-B
de vie	144-17505-S
de vivre	256-3939-S
deacidification	115-23865-B
deacidify	115-23939-B
deacon	115-23998-B
deaconess	115-24429-B
deaconship	115-24499-B
deactivate	115-24576-B
deactivation	115-24695-B
dead	115-24784-B,140-37295-S,445-5190-S
dead air	115-28051-B
dead alive	115-30098-B
dead beat	115-30231-B
dead center	115-28181-B
dead centre	115-28214-B
dead coil	115-28419-B
dead colour	115-28464-B
dead duck	115-28540-B
dead end	115-28571-B,418-5331-S
dead eye	115-31131-B
dead fence	115-28699-B
dead fire	115-31264-B
dead ground	115-28821-B
dead halt	115-28915-B
dead hand	115-28976-B
dead heat	115-29041-B
dead house	116-133-B
dead interval	115-29139-B
dead leaf	116-184-B
dead letter	116-254-B
dead lift	115-29211-B
dead line	116-1031-B
dead load	115-29256-B
dead man s fingers	115-29397-B
dead man s handle	115-29466-B
dead march	115-29555-B
dead nettle	116-2646-B
dead pan	116-2718-B
dead point	115-29632-B,116-2806-B
dead pull	115-29667-B
dead reckoning	115-29800-B
dead shot	115-29906-B
dead spot	115-29964-B
dead wall	115-30027-B
dead weight	116-3147-B
dead wind	116-3293-B
deaden	115-30438-B
deadener	115-30998-B
deadening	115-31025-B
deadfall	115-31206-B
deadhead	116-0-B
deadlight	116-370-B
deadline	116-501-B
deadliness	116-1293-B
deadlock	116-1371-B
deadly	116-1702-B
deadly nightshade	116-2369-B
deadly sin	116-2473-B
deadness	116-2621-B
deadset	116-2900-B
deadweight	116-3082-B
deadwood	116-3362-B
deaerate	116-3393-B
deaeration	116-3475-B
deaf	116-3559-B,445-5247-S,471-17717-S
deaf aid	116-4221-B
deaf and dumb	116-4304-B
deaf mute	116-4145-B
deaf mutism	116-4865-B
deafen	116-4453-B
deafener	116-4633-B
deafening	116-4711-B
deafeningly	116-4794-B
deafly	116-4842-B
deafness	116-4943-B
deal	116-4995-B,138-4845-S,302-19226-S,324-3423-S,438-18639-S
dealer	116-5015-B,71-0-S,101-395-S,138-4895-S,141-4667-S,183-8166-S,225-13264-S,302-23223-S,346-2272-S,514-26942-S,518-24818-S
dealing	116-5281-B,138-5000-S,170-25295-S,244-24636-S,346-2365-S
deallocation	116-5860-B
dealt	116-5916-B
deambulation	116-7719-B
deambulatory	116-7801-B
dean	116-7873-B,396-46631-S,509-22342-S
deanery	116-8309-B
deanship	116-8496-B
dear	116-8521-B
dear bought	116-8629-B
dearborn	116-8553-B
dearie	116-8684-B
dearly	116-8720-B
dearness	116-9970-B
dearth	116-10097-B
deary	116-10288-B
deasil	116-10396-B
death	116-10472-B,50-9598-S,80-16407-S,102-15448-S,106-20652-S,113-22889-S,260-4571-S,269-13486-S,269-15615-S,466-14198-S
death agony	116-12748-B
death bell	116-13105-B
death blow	116-13164-B
death certificate	116-13312-B
death cup	116-13387-B
death duties	116-13441-B
death duty	116-12502-B
death feud	116-13572-B
death house	116-12578-B,116-13631-B
death mask	116-12616-B,116-14434-B
death rate	116-12669-B,116-14539-B
death rattle	116-14672-B
death roll	116-14744-B
death row	116-12702-B,116-14836-B
death s head	116-14938-B
death struggle	116-15103-B
death toll	116-15170-B
death trance	116-15272-B
death trap	116-15344-B
death warrant	116-15419-B
death watch	116-15544-B
death wish	116-15850-B
death wound	116-15968-B
deathbed	116-12804-B
deathcertificate	116-13241-B
deathless	116-13695-B
deathlessly	116-13852-B
deathlessness	116-13885-B
deathlike	116-13987-B
deathly	116-14149-B
deathrow	116-14791-B
deathsman	116-15050-B
deathwatch beetle	116-15739-B
deave	116-16074-B
deb	116-16166-B
debacle	116-16227-B,116-16468-B
debag	116-16636-B
debar	116-16719-B
debark	116-17013-B
debarkation	116-17155-B
debarkment	116-17210-B
debarment	116-17326-B
debase	116-17353-B
debasement	116-17548-B
debaser	116-17763-B
debatable	116-17789-B
debatably	116-17901-B
debate	116-17932-B
debatement	116-18305-B
debater	116-18334-B
debating point	116-18437-B
debating society	116-18556-B
debauch	116-18672-B
debauched	116-18976-B
debauchedly	116-19046-B
debauchee	116-19077-B
debaucher	116-19166-B
debauchery	116-19197-B
debenlitate	116-19403-B
debentura	116-19487-B
debenture	116-19526-B
debilitate	116-19582-B
debilitating	116-19648-B
debilitation	116-19792-B
debility	116-19888-B
debit	116-20118-B,130-6800-S
debit side	116-20396-B
debonair	116-20508-B
debonairly	116-20599-B
debonairness	116-20632-B
debouch	116-20665-B
debouchment	116-20811-B
debounce	116-20941-B
debrief	116-20996-B
debris	116-21064-B
debt	116-21194-B,39-17568-S,182-20241-S,256-23851-S,256-25360-S,300-11164-S,347-16729-S
debt collector	116-21847-B
debt service	116-21917-B
debtless	116-22021-B
debtor	116-22046-B,256-23913-S,256-25446-S
debug	116-22182-B
debugger	116-22238-B
debugging	116-22286-B
debunk	116-22309-B
debunker	116-22464-B
debus	116-22491-B
debussing point	116-22640-B
debut	116-22749-B,116-22895-B
debutant	116-22936-B,116-22986-B
debutante	116-23104-B,116-23155-B
dec	116-23278-B
deca	116-23330-B
decade	116-23366-B
decade box	116-23485-B
decade bridge	116-23524-B
decade counter	116-23566-B
decadence	116-23615-B
decadency	116-23766-B
decadent	116-23814-B
decadent wave	116-24006-B
decadently	116-24046-B
decaffeinate	116-24077-B
decaffeinated	116-24114-B
decaffeination	116-24201-B
decagon	116-24241-B
decagonal	116-24310-B
decagonally	116-24413-B
decagram	116-24444-B
decagramme	116-24496-B
decahedral	116-24543-B
decahedron	116-24653-B
decal	116-24729-B
decalcification	116-24838-B
decalcifier	116-24937-B
decalcify	116-24970-B
decalescence	116-25055-B
decaliter	116-25152-B
decalitre	116-25201-B
decalog	116-25263-B
decalogue	116-25325-B
decameter	116-25407-B
decameter wave	116-25461-B
decametre	116-25522-B
decamp	116-25571-B
decampment	116-25674-B
decamter	116-25809-B
decanadrous	116-25833-B
decanal	116-25919-B
decandrous	116-25987-B
decane	116-26065-B
decangular	116-26116-B
decant	116-26180-B
decantation	116-26251-B
decanter	116-26325-B
decaphyllous	116-26413-B
decapitate	116-26492-B
decapitated	116-26581-B
decapitation	117-0-B
decapitator	117-107-B
decapod	117-141-B
decapodal	117-283-B
decarbonate	117-312-B
decarbonation	117-405-B
decarbonise	117-442-B
decarbonization	117-506-B
decarbonize	117-545-B
decarbonizer	117-599-B
decasaulise	117-637-B
decasaulization	117-762-B
decasaulize	117-886-B
decasyllabic	117-943-B
decasyllable	117-1000-B
decathlete	117-1116-B
decathlon	117-1216-B
decatron	117-1297-B
decay	117-1348-B,149-4917-S
decay coefficient	117-2262-B
decay constant	117-2311-B
decay curve	117-2359-B
decay time	117-2402-B
decayed	274-3226-S
decayer	117-2446-B
deccision	117-2471-B
decease	117-2619-B
deceased	117-2710-B
decedent	117-2848-B
deceiful	117-2918-B
deceifulness	117-3023-B
deceit	117-3160-B,409-19155-S
deceitful	117-3346-B
deceitfully	117-3391-B
deceitfulness	117-3460-B
deceivable	117-3516-B
deceive	117-3598-B
deceiver	117-3819-B,409-19223-S
deceivingly	117-3894-B
decelerate	117-3925-B
deceleration	117-4042-B
deceleration time	117-4118-B
decelerator	117-4197-B
december	117-4231-B
decemberly	117-4305-B
decembrist	117-4394-B
decemvir	117-4558-B
decemviri	117-4703-B
decency	117-4763-B,89-5230-S
decennary	117-5092-B
decenniad	117-5230-B
decennial	117-5276-B
decennially	117-5388-B
decent	117-5421-B
decently	117-5913-B
decentness	117-6209-B
decentralise	117-6238-B
decentralization	117-6295-B
decentralizationist	117-6390-B
decentralize	117-6434-B
decentralized data processing	117-6540-B
decentralized network	117-6611-B
decentralized processing	117-6660-B
decentre	117-6714-B
deception	117-6802-B,409-19300-S
deceptive	117-7018-B
deceptively	117-7222-B
deceptiveness	117-7271-B
decerebrate	117-7382-B
decertify	117-7484-B
