decolor	117-23304-B
decolorant	117-23347-B
decoloration	118-0-B
decolorization	118-63-B
decolorize	118-130-B
decolorizer	118-180-B
decolour	118-235-B
decolouration	118-309-B
decolourization	118-372-B
decolourize	118-470-B
decolourizer	118-521-B
decommission	118-577-B
decompensate	118-671-B
decompensation	118-710-B
decompile	118-785-B
decompiler	118-819-B
decomplex	118-870-B
decomposability	118-981-B
decomposable	118-1018-B
decompose	118-1275-B
decomposed	118-1630-B
decomposite	118-1702-B
decomposition	118-1849-B,138-5404-S
decompositional	118-2068-B
decompound	118-2109-B
decompress	118-2232-B
decompression	118-2315-B
decompressor	35-8434-S
decongestant	118-2411-B
deconsecrate	118-2534-B
decontaminant	118-2681-B
decontaminate	118-2756-B
decontamination	118-2840-B
decontaminator	118-2937-B
decontrol	118-2977-B
decor	118-3145-B
decora	118-3187-B
decorate	118-3452-B
decoration	118-3617-B,247-17179-S
decorative	118-3754-B
decoratively	118-3857-B
decorativeness	118-3894-B
decorator	118-3931-B,247-17256-S
decorous	118-4045-B
decorously	118-4171-B
decorousness	118-4247-B
decors	118-4280-B
decorticate	118-4435-B
decortication	118-4518-B
decorticator	118-4555-B
decorum	118-4614-B
decouple	118-4656-B
decoupling capacitor	118-4716-B
decoupling circuit	118-4771-B
decoupling filter	118-4818-B
decoy	118-4868-B
decoy bird	118-5234-B
decoy duck	118-5290-B
decoy ship	118-5387-B
decoyer	118-5362-B
decrease	118-5486-B
decreasing	305-625-S
decreasing sequence	118-5872-B
decreasingly	118-5927-B
decree	118-5960-B
decree absolute	118-6033-B
decree nisi	118-6131-B
decreeable	118-6324-B
decreer	118-6353-B
decrement	118-6381-B
decrement counter	118-6532-B
decremental	118-6580-B
decrepit	118-6613-B
decrepitate	118-6809-B
decrepitation	118-6915-B
decrepitly	118-7091-B
decrepitude	118-7122-B
decrescendo	118-7295-B
decrescent	118-7437-B
decretal	118-7568-B
decretion	118-7646-B
decretive	118-7707-B
decretory	118-7821-B
decrial	118-7869-B
decrier	118-8017-B
decriminalize	118-8042-B
decry	118-8115-B
decrypt	118-8453-B
decryption	118-8507-B
decuman	118-8572-B
decumbence	118-8654-B
decumbent	118-8686-B
decuple	118-8791-B
decurion	118-8962-B
decurrence	118-9144-B
decurrent	118-9220-B
decussate	118-9307-B
decussately	118-9447-B
decussation	118-9480-B
dedans	118-9586-B
dedicate	118-9726-B
dedicated	118-10155-B
dedicated computer	118-10254-B
dedicated connection dedicated line	118-10316-B
dedicated line	118-10316-S
dedicated memory	118-10394-B
dedicatedly	118-10446-B
dedicatee	118-10479-B
dedication	118-10579-B
dedicative	118-10697-B
dedicator	118-10730-B
dedicatory	118-10833-B
dedoublement	118-10898-B
deduce	118-10973-B
deducibility	118-11122-B
deducible	118-11171-B
deduct	118-11297-B
deductibility	118-11587-B
deductible	118-11623-B,462-21684-S
deduction	118-11712-B
deductive	118-11890-B
deductive database	118-12034-B
deductively	118-12089-B
dee	118-12169-B,176-11963-S
deed	118-12230-B,14-22310-S,470-13169-S,479-26166-S
deed box	118-12869-B
deed poll	118-12968-B
deeep froze	118-13053-B
deem	118-13130-B
deep	118-13433-B,260-16159-S,271-4814-S,423-4367-S,513-23744-S
deep brown	118-16742-B
deep down	118-16790-B
deep drawing	118-16964-B
deep drawn	118-17057-B
deep felt	118-17605-B
deep freeze	118-17683-B
deep frozen	118-17749-B
deep fry	118-16309-B,118-17839-B
deep laid	118-17905-B
deep mined	118-18212-B
deep mining	118-16398-B
deep mouthed	118-18306-B
deep read	118-18482-B
deep rooted	118-18674-B
deep sea	118-18885-B
deep seated	118-19009-B
deep set	118-19253-B
deep south	118-16481-B
deep space	118-16565-B
deep structure	118-16656-B
deepen	118-17149-B
deeply	118-18009-B
deepness	118-18399-B
deer	118-19350-B,171-14516-S,298-17171-S,381-19394-S,393-7225-S
deer forest	118-19523-B
deer hound	118-19599-B
deer lick	118-19686-B
deer neck	118-19819-B
deer park	118-19880-B
deer stalker	118-20002-B
deer stalking	118-20149-B
deerskin	118-19928-B
deerstalker	118-20088-B
deescalate	118-20221-B
deescalation	118-20307-B
def	176-10632-S
defacation	118-20408-B
deface	118-20462-B
defaceable	118-20647-B
defacement	118-20773-B
defacer	118-20995-B
defalcate	118-21021-B
defalcation	118-21102-B
defalcator	118-21276-B
defamation	118-21385-B
defamatory	118-21538-B
defame	118-21631-B
defamer	118-21716-B
defat	118-21742-B
defatted	118-21794-B
default	118-21874-B
default button	118-22597-B
default directory	118-22640-B
default option	118-22692-B
default setting	118-22742-B
default value	118-22795-B
defaulter	118-22869-B
defeasance	118-23336-B
defeasibility	118-23503-B
defeasible	118-23541-B
defeasibleness	118-23641-B
defeat	118-23678-B
defeater	118-24455-B
defeating	409-19359-S
defeatism	118-24482-B
defeatist	118-24550-B
defeature	118-24706-B
defecate	118-24788-B
defecation	118-24960-B
defecator	118-25079-B
defect	118-25109-B
defection	118-25599-B
defective	118-25753-B
defectively	118-26144-B
defectiveness	118-26217-B
defector	118-26363-B
defence	119-0-B,12-5911-S,80-16505-S,84-10930-S,196-14319-S,409-19493-S
defence mechanism	119-578-B
defenceless	119-733-B
defencelessly	119-868-B
defencelessness	119-943-B
defend	119-1100-B
defendable	119-1369-B
defendant	119-1398-B,85-8685-S
defendendo	406-16997-S
defender	119-1587-B
defenestrate	119-1740-B
defenestration	119-1837-B
defense	119-1940-B,217-36213-S
defense initiative	446-18198-S
defenseless	119-2003-B
defenselessly	119-2038-B
defenselessness	119-2071-B
defensibility	119-2110-B
defensible	119-2386-B
defensibleness	119-2625-B
defensibly	119-2662-B
defensive	119-2697-B,409-19695-S
defensively	119-3256-B
defensiveness	119-3289-B
defer	119-3387-B
deference	119-3806-B
deferens	506-21190-S
deferent	119-4569-B
deferentia	506-21311-S
deferential	119-4711-B
deferentially	119-4882-B
deferlant	119-4960-B
deferment	119-4984-B
defernt	119-5031-B
deferrable	119-5064-B
deferral	119-5092-B
deferred	119-5222-B
deferred addressing	119-5278-B
deferred entry	119-5339-B
deferred processing	119-5385-B
deferred restart	119-5434-B
deferrer	119-5486-B
defervesce	119-5515-B
defervescence	119-5551-B
defervescent	119-5639-B
defiance	119-5672-B
defiant	119-6113-B
defiantly	119-6255-B
defibrillate	119-6332-B
defibrillation	119-6437-B
defibrillator	119-6510-B
defibrillatory	119-6582-B
defibrinate	119-6668-B
defibrination	119-6730-B
deficiency	119-6798-B,149-4390-S,287-18316-S
deficiency syndrome	6-3101-S
deficient	119-7238-B
deficiently	119-7529-B
deficit	119-7562-B
deficit spending	119-7747-B
defier	119-7939-B
defilade	119-8072-B
defile	119-8240-B
defilement	119-8611-B
defiler	119-8846-B
defilingly	119-8872-B
definability	119-8900-B
definable	119-8932-B
definably	119-9025-B
define	119-9053-B
defined	232-4946-S,517-32160-S
definement	119-9396-B
definer	119-9426-B
definiendum	119-9453-B
definiens	119-9577-B
defining	119-9632-B
definite	119-9717-B,411-10713-S
definite article	119-9970-B
definitely	119-10014-B
definiteness	119-10084-B
definition	119-10117-B,16-10684-S
definition language	114-15455-S,114-15534-S
definition module	119-10351-B
definition of image	119-10405-B
definitional	119-10464-B
definitive	119-10499-B
definitively	119-10684-B
definitiveness	119-10736-B
deflagrate	119-10773-B
deflagration	119-10881-B
deflagrator	119-10986-B
deflate	119-11056-B
deflation	119-11215-B
deflationary	119-11335-B
deflationist	119-11423-B
deflator	119-11457-B
deflect	119-11485-B
deflectable	119-11717-B
deflecting circuit	119-11748-B
deflecting coil	119-11799-B
deflecting electrode	119-11852-B
deflecting magnet	119-11912-B
deflecting plate	119-11965-B
deflection	119-12015-B,20-12228-S,148-15339-S,192-23855-S
deflection angle	119-12420-B
deflection defocusing	119-12467-B
deflection factor	119-12533-B
deflection system	149-3280-S
deflective	119-12582-B
deflectivity	119-12656-B
deflector	119-12734-B
deflexed	119-12931-B
deflexion	119-13000-B
deflorate	119-13047-B
defloration	119-13122-B
